"DATE","AdjustedClosing","MA2","MA3","MA5","MA7","MA10"
19900201,4.554414,NA,NA,NA,NA,NA
19900202,4.554414,4.554414,NA,NA,NA,NA
19900205,4.45662,4.505517,4.521816,NA,NA,NA
19900206,4.638238,4.547429,4.54975733333333,NA,NA,NA
19900207,4.777944,4.708091,4.62426733333333,4.596326,NA,NA
19900208,4.91765,4.847797,4.777944,4.6689732,NA,NA
19900209,4.889709,4.9036795,4.86176766666667,4.7360322,4.68414128571429,NA
19900212,4.833826,4.8617675,4.880395,4.8114734,4.72405728571429,NA
19900213,5.015444,4.924635,4.912993,4.8869146,4.78991871428571,NA
19900214,4.945591,4.9805175,4.93162033333333,4.920444,4.85977171428571,4.758385
19900215,5.085297,5.015444,5.015444,4.9539734,4.92363728571428,4.8114733
19900216,4.889709,4.987503,4.97353233333333,4.9539734,4.93960371428571,4.8450028
19900220,4.945591,4.91765,4.97353233333333,4.9763264,4.94359528571429,4.8938999
19900221,5.057356,5.0014735,4.96421866666667,4.9847088,4.96754485714286,4.9358117
19900222,5.113238,5.085297,5.03872833333333,5.0182382,5.00746085714286,4.9693411
19900223,4.861767,4.9875025,5.010787,4.9735322,4.985507,4.9637528
19900226,4.722061,4.791914,4.899022,4.9400026,4.95357414285714,4.946988
19900227,4.791914,4.7569875,4.791914,4.9092672,4.91166228571428,4.9427968
19900228,4.945591,4.8687525,4.81985533333333,4.8869142,4.91964542857143,4.9358115
19900301,4.889709,4.91765,4.875738,4.8422084,4.91166228571429,4.9302233
19900302,4.973532,4.9316205,4.93627733333333,4.8645614,4.89968742857143,4.9190468
19900305,4.91765,4.945591,4.92696366666667,4.9036792,4.87174628571429,4.9218409
19900306,5.141179,5.0294145,5.010787,4.9735322,4.91166228571429,4.9413997
19900307,5.252944,5.1970615,5.10392433333333,5.0350028,4.98750271428571,4.9609585
19900308,5.420591,5.3367675,5.27157133333333,5.1411792,5.07731371428571,4.9916938
19900309,5.336768,5.3786795,5.33676766666667,5.2138264,5.13319614285714,5.0391939
19900312,5.238973,5.2878705,5.33211066666667,5.278091,5.183091,5.0908851
19900313,5.057356,5.1481645,5.21103233333333,5.2613264,5.19506585714286,5.1174293
19900314,5.197062,5.127209,5.16446366666667,5.25015,5.23498185714286,5.1425764
19900315,5.197062,5.197062,5.15049333333333,5.2054442,5.24296514285714,5.1733117
19900316,5.39265,5.294856,5.262258,5.2166206,5.26292314285714,5.2152235
19900319,5.490444,5.441547,5.360052,5.2669148,5.27290214285714,5.2725029
19900320,5.420591,5.4555175,5.43456166666667,5.3395618,5.28487685714286,5.3004441
19900321,5.336768,5.3786795,5.41593433333333,5.367503,5.29884757142857,5.3088265
19900322,5.364709,5.3507385,5.37402266666667,5.4010324,5.34275514285714,5.3032383
19900323,5.420591,5.39265,5.37402266666667,5.4066206,5.37468785714286,5.3116206
19900326,5.448532,5.4345615,5.41127733333333,5.3982382,5.41061214285714,5.3325765
19900327,5.448532,5.448532,5.43921833333333,5.4038264,5.41859528571428,5.3716941
19900328,5.308826,5.378679,5.40196333333333,5.398238,5.39264985714286,5.3828705
19900329,5.085297,5.1970615,5.280885,5.3423556,5.34475071428571,5.371694
19900330,5.057356,5.0713265,5.150493,5.2697086,5.30483471428571,5.3381646
19900402,5.057356,5.057356,5.06666966666667,5.1914734,5.26092714285714,5.2948558
19900403,5.280885,5.1691205,5.13186566666667,5.157944,5.24096914285714,5.2808852
19900404,5.16912,5.2250025,5.16912033333333,5.1300028,5.20105314285714,5.2641204
19900405,5.057356,5.113238,5.16912033333333,5.1244146,5.14517085714286,5.2333851
19900406,4.973532,5.015444,5.06666933333333,5.1076498,5.09727171428571,5.1886792
19900409,4.973532,4.973532,5.00147333333333,5.090885,5.08130528571429,5.1411792
19900410,5.071326,5.022429,5.00613,5.0489732,5.083301,5.1034586
19900411,5.16912,5.120223,5.071326,5.0489732,5.09926728571429,5.089488
19900412,5.197062,5.183091,5.145836,5.0769144,5.08729257142857,5.1006645
19900416,5.225003,5.2110325,5.19706166666667,5.1272086,5.09527585714286,5.1174292
19900417,5.225003,5.225003,5.21568933333333,5.1775028,5.11922542857143,5.1341939
19900418,5.085297,5.15515,5.17843433333333,5.180297,5.13519185714286,5.1146351
19900419,4.973532,5.0294145,5.09461066666667,5.1411794,5.13519185714286,5.0950763
19900420,5.001473,4.9875025,5.02010066666667,5.1020616,5.12521285714286,5.089488
19900423,4.945591,4.973532,4.973532,5.0461792,5.09328014285714,5.0866939
19900424,4.91765,4.9316205,4.95490466666667,4.9847086,5.05336414285714,5.0811057
19900425,4.945591,4.9316205,4.93627733333333,4.9567674,5.01344814285714,5.0685322
19900426,5.029414,4.9875025,4.96421833333333,4.9679438,4.98550685714286,5.0545616
19900427,4.805885,4.9176495,4.92696333333333,4.9288262,4.94559085714286,5.0154439
19900430,4.861767,4.833826,4.899022,4.9120614,4.92962442857143,4.9791203
19900501,5.001473,4.93162,4.88970833333333,4.928826,4.92962442857143,4.9567673
19900502,5.001473,5.001473,4.95490433333333,4.9400024,4.93760757142857,4.9483849
19900503,4.973532,4.9875025,4.99215933333333,4.928826,4.94559071428571,4.9483849
19900504,4.973532,4.973532,4.98284566666667,4.9623554,4.94958228571429,4.9455908
19900507,5.280885,5.1272085,5.075983,5.046179,4.98550671428571,4.9791202
19900508,5.308826,5.2948555,5.18774766666667,5.1076496,5.05735542857143,5.0182378
19900509,5.336768,5.322797,5.30882633333333,5.1747086,5.12521271428571,5.0573555
19900510,5.350738,5.343753,5.33211066666667,5.2501498,5.17510771428571,5.0894879
19900511,5.39265,5.371694,5.360052,5.3339734,5.23099014285714,5.1481644
19900514,5.420591,5.4066205,5.387993,5.3619146,5.29485571428571,5.2040468
19900515,5.532356,5.4764735,5.44853233333333,5.4066206,5.37468771428571,5.2571351
19900516,5.61618,5.574268,5.52304233333333,5.462503,5.422587,5.3186058
19900517,5.574268,5.595224,5.574268,5.507209,5.46050728571429,5.3786794
19900518,5.61618,5.595224,5.60220933333333,5.551915,5.50042328571429,5.4429442
19900521,5.839709,5.7279445,5.676719,5.6357386,5.57027628571429,5.4988266
19900522,5.700003,5.769856,5.71863066666667,5.669268,5.61418385714286,5.5379443
19900523,5.783827,5.741915,5.774513,5.7027974,5.66607471428571,5.5826502
19900524,5.86765,5.8257385,5.78382666666667,5.7614738,5.71397385714286,5.6343414
19900525,5.727944,5.797797,5.79314033333333,5.7838266,5.72994014285714,5.6678708
19900529,5.839709,5.7838265,5.81176766666667,5.7838266,5.76786028571429,5.7097826
19900530,5.700003,5.769856,5.75588533333333,5.7838266,5.779835,5.7265473
19900531,5.602209,5.651106,5.71397366666667,5.747503,5.74590642857143,5.7251502
19900601,5.532356,5.5672825,5.61152266666667,5.6804442,5.72195685714286,5.720959
19900604,5.448532,5.490444,5.527699,5.6245618,5.67405757142857,5.7041942
19900605,5.448532,5.448532,5.47647333333333,5.5463264,5.61418357142857,5.6650765
19900606,5.532356,5.490444,5.47647333333333,5.512797,5.58624242857143,5.6483118
19900607,5.504415,5.5183855,5.495101,5.4932382,5.53834328571429,5.6203706
19900608,5.504415,5.504415,5.51372866666667,5.48765,5.51040214285714,5.5840471
19900611,5.644121,5.574268,5.55098366666667,5.5267678,5.51638957142857,5.5756648
19900612,5.700003,5.672062,5.61617966666667,5.577062,5.54033914285714,5.5616942
19900613,5.86765,5.7838265,5.737258,5.6441208,5.60021314285714,5.5784589
19900614,6.021327,5.9444885,5.86299333333333,5.7475032,5.682041,5.6203707
19900615,6.147062,6.0841945,6.012013,5.8760326,5.76985614285714,5.6818413
19900618,5.979415,6.0632385,6.049268,5.9430914,5.83771328571429,5.7349296
19900619,5.979415,5.979415,6.03529733333333,5.9989738,5.90557042857143,5.7880179
19900620,5.895591,5.937503,5.95147366666667,6.004562,5.94149471428571,5.8243414
19900621,5.979415,5.937503,5.95147366666667,5.9961796,5.98141071428571,5.8718414
19900622,6.063239,6.021327,5.979415,5.979415,6.009352,5.9277238
19900625,5.979415,6.021327,6.00735633333333,5.979415,6.00336457142857,5.9612532
19900626,5.895591,5.937503,5.979415,5.9626502,5.96744014285714,5.980812
19900627,5.979415,5.937503,5.95147366666667,5.979415,5.96744014285714,5.9919885
19900628,6.147062,6.0632385,6.007356,6.0129444,5.99138971428571,6.004562
19900629,6.202945,6.1750035,6.10980733333333,6.0408856,6.03529742857143,6.0101503
19900702,6.216915,6.20993,6.188974,6.0883856,6.069226,6.0339003
19900703,6.035297,6.126106,6.151719,6.1163268,6.06523428571429,6.0394885
19900705,5.895591,5.965444,6.04926766666667,6.099562,6.05325942857143,6.0394885
19900706,6.09118,5.9933855,6.007356,6.0883856,6.08120071428571,6.050665
19900709,6.314709,6.2029445,6.10049333333333,6.1107384,6.12909985714286,6.075812
19900710,6.370592,6.3426505,6.258827,6.1414738,6.16103271428571,6.1149297
19900711,6.538239,6.4544155,6.40784666666667,6.2420622,6.20893185714286,6.1791945
19900712,6.538239,6.538239,6.48235666666667,6.3705918,6.25483528571429,6.2350769
19900713,6.538239,6.538239,6.538239,6.4600036,6.32668414285714,6.2741946
19900716,6.705886,6.6220625,6.59412133333333,6.538239,6.44244057142857,6.3244887
19900717,6.510298,6.608092,6.58480766666667,6.5661802,6.50231457142857,6.353827
19900718,6.426474,6.468386,6.54755266666667,6.5438272,6.518281,6.3929447
19900719,6.32868,6.377577,6.42181733333333,6.5019154,6.51229357142857,6.4362536
19900720,5.951474,6.140077,6.23554266666667,6.3845624,6.42847,6.422283
19900723,6.063239,6.0073565,6.11446433333333,6.256033,6.36061285714286,6.397136
19900724,5.86765,5.9654445,5.96078766666667,6.1275034,6.26481442857143,6.3468418
19900725,5.965444,5.916547,5.96544433333333,6.0352974,6.159037,6.2895623
19900726,5.923533,5.9444885,5.91887566666667,5.954268,6.07521342857143,6.2280917
19900727,5.895591,5.909562,5.92818933333333,5.9430914,5.999373,6.1638269
19900730,5.839709,5.86765,5.88627766666667,5.8983854,5.92952,6.0772092
19900731,5.951474,5.8955915,5.89559133333333,5.9151502,5.92952,6.0213268
19900801,5.951474,5.951474,5.914219,5.9123562,5.91355357142857,5.9738268
19900802,5.839709,5.8955915,5.914219,5.8955914,5.909562,5.9249297
19900803,5.755885,5.797797,5.84902266666667,5.8676502,5.879625,5.9053708
19900806,5.476474,5.6161795,5.69068933333333,5.7950032,5.81575942857143,5.8466943
19900807,5.364709,5.4205915,5.532356,5.6776502,5.73991914285714,5.7964002
19900808,5.476474,5.4205915,5.439219,5.5826502,5.68802842857143,5.7475032
19900809,5.448532,5.462503,5.429905,5.5044148,5.61617957142857,5.7000031
19900810,5.336768,5.39265,5.42059133333333,5.4205914,5.52836442857143,5.6441208
19900813,5.504415,5.4205915,5.429905,5.4261796,5.48046528571429,5.6105914
19900814,5.546327,5.525371,5.46250333333333,5.4625032,5.45052842857143,5.5700767
19900815,5.448532,5.4974295,5.499758,5.4569148,5.44653671428571,5.5197825
19900816,5.308826,5.378679,5.43456166666667,5.4289736,5.43855342857143,5.4666942
19900817,5.16912,5.238973,5.308826,5.395444,5.39464571428571,5.4080177
19900820,4.973532,5.071326,5.15049266666667,5.2892674,5.32678857142857,5.3577235
19900821,5.113238,5.043385,5.08529666666667,5.2026496,5.29485571428571,5.3325764
19900822,5.225003,5.1691205,5.10392433333333,5.1579438,5.25493971428571,5.3074293
19900823,4.987503,5.106253,5.10858133333333,5.0936792,5.17510771428571,5.2613264
19900824,5.308826,5.1481645,5.17377733333333,5.1216204,5.15514971428571,5.2585322
19900827,5.504415,5.4066205,5.26691466666667,5.227797,5.183091,5.2585322
19900828,5.588238,5.5463265,5.46715966666667,5.322797,5.242965,5.2627233
19900829,5.686032,5.637135,5.592895,5.4150028,5.34475071428571,5.2864733
19900830,5.518385,5.6022085,5.59755166666667,5.5211792,5.40262885714286,5.3074292
19900831,5.560297,5.539341,5.588238,5.5714734,5.450528,5.3465469
19900904,5.560297,5.560297,5.54632633333333,5.5826498,5.53235571428571,5.4052234
19900905,5.504415,5.532356,5.54166966666667,5.5658852,5.560297,5.4443411
19900906,5.336768,5.4205915,5.46716,5.4960324,5.53634742857143,5.4555176
19900907,5.504415,5.4205915,5.44853266666667,5.4932384,5.52437271428571,5.5072088
19900910,5.560297,5.532356,5.46716,5.4932384,5.50641057142857,5.5323559
