"DATE","AdjustedClosing","MA2","MA3","MA5","MA7","MA10"
20040726,7.23305,NA,NA,NA,NA,NA
20040727,7.009858,7.121454,NA,NA,NA,NA
20040728,7.07599,7.042924,7.10629933333333,NA,NA,NA
20040729,7.109055,7.0925225,7.06496766666667,NA,NA,NA
20040730,7.439709,7.274382,7.20825133333333,7.1735324,NA,NA
20040802,7.927423,7.683566,7.49206233333333,7.312407,NA,NA
20040803,8.233278,8.0803505,7.86680333333333,7.557091,7.43262328571429,NA
20040804,7.894358,8.063818,8.018353,7.7207646,7.52709585714286,NA
20040805,7.150386,7.522372,7.75934066666667,7.7290308,7.54717128571429,NA
20040806,7.522372,7.336379,7.522372,7.7455634,7.61094014285714,7.4595479
20040809,7.770362,7.646367,7.48104,7.7141512,7.70541257142857,7.5132791
20040810,7.638101,7.7042315,7.64361166666667,7.5951158,7.73375428571429,7.5761034
20040811,7.373578,7.5058395,7.59401366666667,7.4909598,7.65463357142857,7.6058622
20040812,7.439709,7.4066435,7.483796,7.5488244,7.54126657142857,7.6389276
20040813,7.563703,7.501706,7.45899666666667,7.5570906,7.49403014285714,7.651327
20040816,7.472774,7.5182385,7.492062,7.497573,7.54008557142857,7.6058621
20040817,7.720764,7.596769,7.585747,7.5141056,7.56842728571429,7.5546107
20040818,7.646367,7.6835655,7.61330166666667,7.5686634,7.55071371428572,7.5298116
20040819,7.935689,7.791028,7.76760666666667,7.6678594,7.59322628571429,7.6083419
20040820,7.629834,7.7827615,7.73729666666667,7.6810856,7.62983428571429,7.6190881
20040823,7.315714,7.472774,7.627079,7.6496736,7.61212071428571,7.5736233
20040824,7.439709,7.3777115,7.46175233333333,7.5934626,7.59440728571429,7.5537841
20040825,7.563703,7.501706,7.43970866666667,7.5769298,7.60739714285714,7.5727966
20040826,8.142348,7.8530255,7.71525333333333,7.6182616,7.66762342857143,7.6430605
20040827,8.539132,8.34074,8.08172766666667,7.8001212,7.79516128571429,7.7406034
20040830,8.481268,8.5102,8.38758266666667,8.033232,7.87310114285714,7.8414528
20040831,8.762324,8.621796,8.59424133333333,8.297755,8.03488542857143,7.9456088
20040901,9.092977,8.9276505,8.77885633333333,8.6036098,8.28878014285714,8.0902698
20040902,9.101244,9.0971105,8.985515,8.795389,8.52614228571429,8.2068253
20040903,9.092977,9.0971105,9.09573266666667,8.906158,8.74461,8.3531396
20040907,9.795617,9.444297,9.329946,9.1690278,8.98079128571428,8.6011299
20040908,9.572425,9.684021,9.48700633333333,9.331048,9.12840457142857,8.8144015
20040909,9.754285,9.663355,9.70744233333333,9.4633096,9.31026414285714,9.0334597
20040910,9.977476,9.8658805,9.768062,9.638556,9.48385728571428,9.2169725
20040913,10.12627,10.051873,9.952677,9.8452146,9.63147057142857,9.3756863
20040914,9.78735,9.95681,9.96369866666667,9.8435612,9.72948571428571,9.5062945
20040915,9.646822,9.717086,9.85348066666667,9.8584406,9.80860642857143,9.5947443
20040916,9.101244,9.374033,9.51180533333333,9.7278324,9.70941028571428,9.595571
20040917,9.20044,9.150842,9.31616866666667,9.5724252,9.65626957142857,9.6054906
20040920,9.051645,9.1260425,9.11777633333333,9.3575002,9.55589242857143,9.6013574
20040921,9.092977,9.072311,9.11502066666667,9.2186256,9.42953542857143,9.5310934
20040922,9.126043,9.10951,9.09022166666667,9.1144698,9.28664585714286,9.4864552
20040923,9.084711,9.105377,9.10124366666667,9.1111632,9.18626885714286,9.4194978
20040924,8.473001,8.778856,8.894585,8.9656754,9.01858014285714,9.2690503
20040927,8.754057,8.613529,8.77058966666667,8.9061578,8.968982,9.131829
20040928,8.539132,8.6465945,8.58873,8.7953888,8.87450942857143,9.0070072
