"DATE","AdjustedClosing","MA2","MA3","MA5","MA7","MA10"
20100616,8.3,NA,NA,NA,NA,NA
20100617,8.36,8.33,NA,NA,NA,NA
20100618,8.41,8.385,8.35666666666667,NA,NA,NA
20100621,8.47,8.44,8.41333333333333,NA,NA,NA
20100622,8.6,8.535,8.49333333333333,8.428,NA,NA
20100623,8.65,8.625,8.57333333333333,8.498,NA,NA
20100624,8.59,8.62,8.61333333333333,8.544,8.48285714285714,NA
20100625,8.65,8.62,8.63,8.592,8.53285714285714,NA
20100628,8.6,8.625,8.61333333333333,8.618,8.56714285714286,NA
20100629,8.46,8.53,8.57,8.59,8.57428571428571,8.509
20100630,8.55,8.505,8.53666666666667,8.57,8.58571428571429,8.534
20100701,8.22,8.385,8.41,8.496,8.53142857142857,8.52
20100702,8.31,8.265,8.36,8.428,8.48285714285714,8.51
20100706,8.3,8.305,8.27666666666667,8.368,8.44142857142857,8.493
20100707,8.76,8.53,8.45666666666667,8.428,8.45714285714286,8.509
20100708,8.76,8.76,8.60666666666667,8.47,8.48,8.52
20100709,8.65,8.705,8.72333333333333,8.556,8.50714285714286,8.526
20100712,8.45,8.55,8.62,8.584,8.49285714285714,8.506
20100713,8.75,8.6,8.61666666666667,8.674,8.56857142857143,8.521
20100714,8.35,8.55,8.51666666666667,8.592,8.57428571428571,8.51
20100715,8.67,8.51,8.59,8.574,8.62714285714286,8.522
20100716,8.58,8.625,8.53333333333333,8.56,8.60142857142857,8.558
20100719,8.84,8.71,8.69666666666667,8.638,8.61285714285714,8.611
20100720,8.6,8.72,8.67333333333333,8.608,8.60571428571428,8.641
20100721,8.55,8.575,8.66333333333333,8.648,8.62,8.62
20100722,8.68,8.615,8.61,8.65,8.61,8.612
20100723,8.62,8.65,8.61666666666667,8.658,8.64857142857143,8.609
20100726,8.58,8.6,8.62666666666667,8.606,8.63571428571429,8.622
20100727,8.55,8.565,8.58333333333333,8.596,8.63142857142857,8.602
20100728,8.4,8.475,8.51,8.566,8.56857142857143,8.607
20100729,8.4,8.4,8.45,8.51,8.54,8.58
20100730,8.65,8.525,8.48333333333333,8.516,8.55428571428572,8.587
20100802,8.78,8.715,8.61,8.556,8.56857142857143,8.581
20100803,8.65,8.715,8.69333333333333,8.576,8.57285714285714,8.586
20100804,8.65,8.65,8.69333333333333,8.626,8.58285714285714,8.596
20100805,8.56,8.605,8.62,8.658,8.58428571428571,8.584
20100806,8.5,8.53,8.57,8.628,8.59857142857143,8.572
20100809,8.46,8.48,8.50666666666667,8.564,8.60714285714286,8.56
20100810,8.57,8.515,8.51,8.548,8.59571428571429,8.562
20100811,8.27,8.42,8.43333333333333,8.472,8.52285714285714,8.549
20100812,8.19,8.23,8.34333333333333,8.398,8.45714285714286,8.528
20100813,8.18,8.185,8.21333333333333,8.334,8.39,8.481
20100816,8.23,8.205,8.2,8.288,8.34285714285714,8.426
20100817,8.25,8.24,8.22,8.224,8.30714285714286,8.386
20100818,8.2,8.225,8.22666666666667,8.21,8.27,8.341
20100819,7.99,8.095,8.14666666666667,8.17,8.18714285714286,8.284
20100820,8.24,8.115,8.14333333333333,8.182,8.18285714285714,8.258
20100823,7.93,8.085,8.05333333333333,8.122,8.14571428571429,8.205
20100824,8.01,7.97,8.06,8.074,8.12142857142857,8.149
20100825,8.18,8.095,8.04,8.07,8.11428571428571,8.14
20100826,7.96,8.07,8.05,8.064,8.07285714285714,8.117
20100827,8.01,7.985,8.05,8.018,8.04571428571428,8.1
20100830,8.1,8.055,8.02333333333333,8.052,8.06142857142857,8.087
20100831,8.05,8.075,8.05333333333333,8.06,8.03428571428571,8.067
20100901,8.1,8.075,8.08333333333333,8.044,8.05857142857143,8.057
20100902,8.1,8.1,8.08333333333333,8.072,8.07142857142857,8.068
20100903,8.21,8.155,8.13666666666667,8.112,8.07571428571428,8.065
20100907,8.23,8.22,8.18,8.138,8.11428571428571,8.095
20100908,8.08,8.155,8.17333333333333,8.144,8.12428571428571,8.102
20100909,8.05,8.065,8.12,8.134,8.11714285714286,8.089
20100910,7.93,7.99,8.02,8.1,8.1,8.086
20100913,8.16,8.045,8.04666666666667,8.09,8.10857142857143,8.101
20100914,8.34,8.25,8.14333333333333,8.112,8.14285714285714,8.125
20100915,8.44,8.39,8.31333333333333,8.184,8.17571428571429,8.164
20100916,9.1,8.77,8.62666666666667,8.394,8.3,8.264
20100917,9,9.05,8.84666666666667,8.608,8.43142857142857,8.354
20100920,9.2,9.1,9.1,8.816,8.59571428571429,8.453
20100921,9.21,9.205,9.13666666666667,8.99,8.77857142857143,8.551
20100922,9,9.105,9.13666666666667,9.102,8.89857142857143,8.643
20100923,8.99,8.995,9.06666666666667,9.08,8.99142857142857,8.737
20100924,10,9.495,9.33,9.28,9.21428571428571,8.944
20100927,9.33,9.665,9.44,9.306,9.24714285714286,9.061
20100928,9.17,9.25,9.5,9.298,9.27142857142857,9.144
20100929,9.02,9.095,9.17333333333333,9.302,9.24571428571429,9.202
20100930,8.66,8.84,8.95,9.236,9.16714285714286,9.158
