Ticker: ADSK  Created on: 2/13/2017 1:32:51 AM,,,,,,,,,,
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20151231,22.02,22.98,21.959999,22.559999,279400,22.559999,0,1,22.2899995,-999
20151230,22.309999,22.530001,21.9,22.120001,95400,22.120001,0,1,22.215,-999
20151229,21.530001,22.65,20.450001,22.27,96900,22.27,0,1,21.9000005,-999
20151228,21.690001,21.700001,20.84,21.5,101100,21.5,0,1,21.5950005,-999
20151224,21.049999,22.59,21.049999,21.73,102000,21.73,0,1,21.3899995,-999
20151223,20.75,21.35,20.59,20.93,44600,20.93,0,1,20.84,-999
20151222,20.969999,20.969999,20.41,20.719999,73200,20.719999,0,1,20.844999,-999
20151221,20.950001,21.360001,20.73,20.93,75400,20.93,0,1,20.9400005,-999
20151218,21.32,21.75,20.629999,20.940001,90200,20.940001,0,1,21.1300005,-999
20151217,21.959999,22.639999,21.299999,21.450001,109600,21.450001,0,1,21.705,-999
20151216,20.85,21.870001,20.200001,21.799999,79700,21.799999,0,1,21.3249995,-999
20151215,20.540001,21.58,20.540001,21.07,138800,21.07,0,1,20.8050005,-999
20151214,21.32,21.889999,20.4,20.6,194000,20.6,0,1,20.96,-999
20151211,23.049999,23.23,21.030001,21.43,235100,21.43,0,1,22.2399995,-999
20151210,23.209999,23.75,22.99,23.42,63700,23.42,0,1,23.3149995,-999
20151209,23.6,24.01,23.049999,23.200001,84400,23.200001,0,1,23.4000005,-999
20151208,23.190001,23.709999,23,23.6,108900,23.6,0,1,23.3950005,-999
20151207,24.5,24.6,23.280001,23.5,141000,23.5,0,1,24,-999
20151204,22.92,24.440001,22.92,24.33,114800,24.33,0,1,23.625,-999
20151203,23.959999,24.08,22.75,23.120001,169700,23.120001,0,1,23.54,-999
20151202,24.99,24.99,23.799999,24.07,163000,24.07,0,1,24.53,-999
20151201,24.700001,24.82,24.15,24.57,149100,24.57,0,1,24.6350005,-999
