Ticker: ADBE  Created on: 2/13/2017 1:32:48 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 116.510002, 116.940002, 115.029999, 116.849998, 2524600, 116.849998, 0, 1, 116.68, -999
20170209, 116.260002, 116.900002, 116.019997, 116.440002, 1688900, 116.440002, 0, 1, 116.350002, -999
20170208, 115, 116.379997, 114.449997, 116.129997, 2590800, 116.129997, 0, 1, 115.5649985, -999
20170207, 114.830002, 115.190002, 114.540001, 114.959999, 1641000, 114.959999, 0, 1, 114.8950005, -999
20170206, 114.68, 114.830002, 113.290001, 114.459999, 3053000, 114.459999, 0, 1, 114.5699995, -999
20170203, 113.550003, 115.449997, 113.419998, 115.169998, 2507500, 115.169998, 0, 1, 114.3600005, -999
20170202, 112.82, 113.580002, 112.269997, 113.160004, 1695400, 113.160004, 0, 1, 112.990002, -999
20170201, 113.309998, 113.639999, 112.68, 113.360001, 1859100, 113.360001, 0, 1, 113.3349995, -999
20170131, 113.220001, 113.75, 112.699997, 113.379997, 1680600, 113.379997, 0, 1, 113.299999, -999
20170130, 113.220001, 113.870003, 112.260002, 113.82, 2171800, 113.82, 0, 1, 113.5200005, -999
20170127, 113.07, 114.010002, 112.75, 113.989998, 1696800, 113.989998, 0, 1, 113.529999, -999
20170126, 113.790001, 114.440002, 112.730003, 112.879997, 2745200, 112.879997, 0, 1, 113.334999, -999
20170125, 113.769997, 114.57, 113.290001, 114.25, 3919300, 114.25, 0, 1, 114.0099985, -999
20170124, 111.459999, 114.169998, 111.339996, 113.720001, 3654400, 113.720001, 0, 1, 112.59, -999
20170123, 110.709999, 111.919998, 110.300003, 110.970001, 2560300, 110.970001, 0, 1, 110.84, -999
20170120, 110.019997, 110.809998, 109.57, 110.709999, 3144200, 110.709999, 0, 1, 110.364998, -999
20170119, 108.629997, 109.980003, 108.040001, 109.790001, 3090500, 109.790001, 0, 1, 109.209999, -999
20170118, 108.5, 109.169998, 107.529999, 108.790001, 2536900, 108.790001, 0, 1, 108.6450005, -999
20170117, 107.790001, 108.050003, 107.059998, 108, 1697800, 108, 0, 1, 107.8950005, -999
20170113, 108.839996, 108.900002, 107.980003, 108.529999, 1593500, 108.529999, 0, 1, 108.6849975, -999
20170112, 107.989998, 108.739998, 107.160004, 108.589996, 1617900, 108.589996, 0, 1, 108.289997, -999
20170111, 108.230003, 109.050003, 108, 108.989998, 1781900, 108.989998, 0, 1, 108.6100005, -999
20170110, 108.57, 108.790001, 107.610001, 108.260002, 3080000, 108.260002, 0, 1, 108.415001, -999
20170109, 107.959999, 108.790001, 107.559998, 108.57, 2925000, 108.57, 0, 1, 108.2649995, -999
20170106, 105.980003, 108.43, 105.25, 108.300003, 2625600, 108.300003, 0, 1, 107.140003, -999
20170105, 104.129997, 106.019997, 103.769997, 105.910004, 2504000, 105.910004, 0, 1, 105.0200005, -999
20170104, 103.739998, 104.370003, 103.5, 104.139999, 1701700, 104.139999, 0, 1, 103.9399985, -999
20170103, 103.43, 104.029999, 102.809998, 103.480003, 2277400, 103.480003, 0, 1, 103.4550015, -999
20161230, 104.07, 104.220001, 102.470001, 102.949997, 2079100, 102.949997, 0, 1, 103.5099985, -999
20161229, 103.629997, 104.389999, 103.410004, 103.68, 1095000, 103.68, 0, 1, 103.6549985, -999
20161228, 104.830002, 105.160004, 103.5, 103.769997, 1723500, 103.769997, 0, 1, 104.2999995, -999
