Ticker: ADSK  Created on: 2/13/2017 1:32:51 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 83.970001, 84.459999, 82.379997, 83.230003, 1695100, 83.230003, 0, 1, 83.600002, -999
20170209, 84.330002, 84.910004, 83.169998, 83.879997, 1808400, 83.879997, 0, 1, 84.1049995, -999
20170208, 84.440002, 84.889999, 82.580002, 82.93, 2175300, 82.93, 0, 1, 83.685001, -999
20170207, 82.290001, 85.110001, 81.800003, 84.5, 2974500, 84.5, 0, 1, 83.3950005, -999
20170206, 84.449997, 84.550003, 82.330002, 82.82, 1918900, 82.82, 0, 1, 83.6349985, -999
20170203, 83.57, 84.970001, 83.139999, 84.410004, 1696800, 84.410004, 0, 1, 83.990002, -999
20170202, 80.82, 82.870003, 80.040001, 82.760002, 1116900, 82.760002, 0, 1, 81.790001, -999
20170201, 81.089996, 81.959999, 80.379997, 81.279999, 1440900, 81.279999, 0, 1, 81.1849975, -999
20170131, 80.879997, 81.349998, 79.800003, 81.339996, 1249500, 81.339996, 0, 1, 81.1099965, -999
20170130, 81.57, 81.669998, 79.150002, 81.160004, 1975800, 81.160004, 0, 1, 81.365002, -999
20170127, 81.980003, 81.980003, 80.889999, 81.760002, 1487100, 81.760002, 0, 1, 81.8700025, -999
20170126, 82.769997, 82.940002, 81.480003, 81.639999, 1515800, 81.639999, 0, 1, 82.204998, -999
20170125, 82.870003, 83.959999, 82.43, 82.650002, 1589700, 82.650002, 0, 1, 82.7600025, -999
20170124, 81.599998, 82.629997, 81.529999, 82, 1814700, 82, 0, 1, 81.799999, -999
20170123, 81.389999, 81.910004, 80.910004, 81.540001, 1204400, 81.540001, 0, 1, 81.465, -999
20170120, 80.699997, 81.889999, 80.239998, 81.669998, 3022600, 81.669998, 0, 1, 81.1849975, -999
20170119, 80.260002, 80.779999, 79.650002, 79.980003, 1498000, 79.980003, 0, 1, 80.1200025, -999
20170118, 79.099998, 80.059998, 78.690002, 79.709999, 1676900, 79.709999, 0, 1, 79.4049985, -999
20170117, 80.970001, 81.230003, 78.290001, 78.620003, 2403000, 78.620003, 0, 1, 79.795002, -999
20170113, 80.720001, 81.410004, 80.440002, 81.32, 1667300, 81.32, 0, 1, 81.0200005, -999
20170112, 80.720001, 80.860001, 79.239998, 80.650002, 1646400, 80.650002, 0, 1, 80.6850015, -999
20170111, 79.970001, 81.029999, 79.169998, 80.870003, 1764000, 80.870003, 0, 1, 80.420002, -999
20170110, 79.290001, 80.370003, 78.559998, 79.980003, 1795600, 79.980003, 0, 1, 79.635002, -999
20170109, 78.949997, 79.739998, 78.260002, 79.589996, 1489000, 79.589996, 0, 1, 79.2699965, -999
20170106, 77.279999, 79.809998, 76.889999, 79.300003, 1587700, 79.300003, 0, 1, 78.290001, -999
20170105, 77.080002, 77.629997, 76.330002, 76.93, 1368200, 76.93, 0, 1, 77.005001, -999
20170104, 76.190002, 77.959999, 76.089996, 77.519997, 1885700, 77.519997, 0, 1, 76.8549995, -999
20170103, 74.610001, 77.099998, 74.5, 76.18, 1896300, 76.18, 0, 1, 75.3950005, -999
20161230, 75.400002, 75.419998, 73.599998, 74.010002, 1529600, 74.010002, 0, 1, 74.705002, -999
20161229, 74.870003, 75.440002, 74.5, 74.980003, 1019500, 74.980003, 0, 1, 74.925003, -999
20161228, 75.93, 76.019997, 74.510002, 75.019997, 870900, 75.019997, 0, 1, 75.4749985, -999
20161227, 76.059998, 76.5, 75.400002, 75.980003, 1156600, 75.980003, 0, 1, 76.0200005, -999
20161223, 74.599998, 76.050003, 74.449997, 76, 1501700, 76, 0, 1, 75.299999, -999
20161222, 75.330002, 75.629997, 74.339996, 74.580002, 2087400, 74.580002, 0, 1, 74.955002, -999
20161221, 76.050003, 76.279999, 75.269997, 75.629997, 1549600, 75.629997, 0, 1, 75.84, -999
20161220, 76.160004, 76.540001, 74.879997, 76.010002, 1630900, 76.010002, 0, 1, 76.085003, -999
20161219, 76.760002, 77.080002, 75.419998, 75.699997, 2003700, 75.699997, 0, 1, 76.2299995, -999
20161216, 79.029999, 79.230003, 76.339996, 76.480003, 5238500, 76.480003, 0, 1, 77.755001, -999
20161215, 76.860001, 79.43, 75.970001, 78.919998, 3745300, 78.919998, 0, 1, 77.8899995, -999
20161214, 79.690002, 79.919998, 76.150002, 76.830002, 3091100, 76.830002, 0, 1, 78.260002, -999
20161213, 78.989998, 80.339996, 78.800003, 79.669998, 2701700, 79.669998, 0, 1, 79.329998, -999
20161212, 81.07, 81.760002, 77.580002, 78.370003, 2772300, 78.370003, 0, 1, 79.7200015, -999
20161209, 82.290001, 83.080002, 80.660004, 81.110001, 2371300, 81.110001, 0, 1, 81.700001, -999
20161208, 80.580002, 82.769997, 80, 81.739998, 4003300, 81.739998, 0, 1, 81.16, -999
20161207, 76.260002, 80.919998, 75.419998, 80.339996, 7696900, 80.339996, 0, 1, 78.299999, -999
20161206, 71.269997, 77.870003, 70.730003, 76.32, 7000900, 76.32, 0, 1, 73.7949985, -999
20161205, 70.440002, 72.410004, 70.150002, 71.18, 2108700, 71.18, 0, 1, 70.810001, -999
20161202, 69.019997, 70.870003, 68.059998, 70.57, 3170100, 70.57, 0, 1, 69.7949985, -999
20161201, 72.769997, 73.239998, 69, 69.220001, 4307600, 69.220001, 0, 1, 70.994999, -999
20161130, 72.709999, 74.720001, 70.550003, 72.610001, 8350600, 72.610001, 0, 1, 72.66, -999
20161129, 75.309998, 75.980003, 75.029999, 75.260002, 2772600, 75.260002, 0, 1, 75.285, -999
20161128, 75.519997, 76.309998, 74.93, 75.18, 1611700, 75.18, 0, 1, 75.3499985, -999
20161125, 75.510002, 76.18, 75.050003, 75.830002, 786300, 75.830002, 0, 1, 75.670002, -999
20161123, 75.040001, 75.449997, 74.010002, 75.150002, 1352200, 75.150002, 0, 1, 75.0950015, -999
20161122, 75.489998, 75.779999, 74.68, 75.209999, 1990200, 75.209999, 0, 1, 75.3499985, -999
20161121, 77.400002, 77.650002, 75.440002, 75.519997, 2182700, 75.519997, 0, 1, 76.4599995, -999
20161118, 78.209999, 78.400002, 76.480003, 76.900002, 2242100, 76.900002, 0, 1, 77.5550005, -999
20161117, 77.540001, 78.580002, 77.080002, 78.459999, 1774700, 78.459999, 0, 1, 78, -999
20161116, 74.919998, 78.419998, 74.790001, 77.57, 3602400, 77.57, 0, 1, 76.244999, -999
20161115, 73.860001, 75.75, 73.75, 75.150002, 2192800, 75.150002, 0, 1, 74.5050015, -999
20161114, 74.370003, 75.18, 73.440002, 73.550003, 2451600, 73.550003, 0, 1, 73.960003, -999
20161111, 73.199997, 74.040001, 72.879997, 73.809998, 2140100, 73.809998, 0, 1, 73.5049975, -999
20161110, 73.5, 75.18, 71.68, 73.489998, 2917600, 73.489998, 0, 1, 73.494999, -999
20161109, 69.540001, 73.93, 69.510002, 72.629997, 3060700, 72.629997, 0, 1, 71.084999, -999
20161108, 71.769997, 72.989998, 71.360001, 72.690002, 1519600, 72.690002, 0, 1, 72.2299995, -999
20161107, 70.809998, 72.120003, 70.32, 72, 2361600, 72, 0, 1, 71.404999, -999
20161104, 67.150002, 70.239998, 67.150002, 69.440002, 2714100, 69.440002, 0, 1, 68.295002, -999
20161103, 68.910004, 69.209999, 67.519997, 67.610001, 1423000, 67.610001, 0, 1, 68.2600025, -999
20161102, 70.18, 70.400002, 67.870003, 68.68, 2032700, 68.68, 0, 1, 69.43, -999
20161101, 72.400002, 72.400002, 69.379997, 70.099998, 1957400, 70.099998, 0, 1, 71.25, -999
20161031, 72.290001, 72.660004, 71.480003, 72.279999, 1397400, 72.279999, 0, 1, 72.285, -999
20161028, 70.709999, 72.440002, 70.589996, 71.860001, 1502100, 71.860001, 0, 1, 71.285, -999
20161027, 71.220001, 72.120003, 70.459999, 70.580002, 1215800, 70.580002, 0, 1, 70.9000015, -999
20161026, 71.230003, 72, 70.599998, 70.660004, 1118900, 70.660004, 0, 1, 70.9450035, -999
20161025, 72.07, 72.410004, 70.919998, 71.360001, 1754400, 71.360001, 0, 1, 71.7150005, -999
20161024, 71.730003, 72.75, 71.199997, 72.220001, 1342100, 72.220001, 0, 1, 71.975002, -999
20161021, 70.849998, 71.339996, 70, 71.18, 1117100, 71.18, 0, 1, 71.014999, -999
20161020, 70.75, 71.400002, 70.07, 71.129997, 1127400, 71.129997, 0, 1, 70.9399985, -999
20161019, 70.129997, 70.940002, 69.860001, 70.779999, 957200, 70.779999, 0, 1, 70.454998, -999
20161018, 69.919998, 70.32, 69.550003, 70.129997, 1047200, 70.129997, 0, 1, 70.0249975, -999
20161017, 69.330002, 69.860001, 68.769997, 68.849998, 1080400, 68.849998, 0, 1, 69.09, -999
20161014, 71.230003, 71.230003, 69.290001, 69.459999, 1169300, 69.459999, 0, 1, 70.345001, -999
20161013, 69.660004, 69.699997, 68.400002, 69.290001, 1690600, 69.290001, 0, 1, 69.4750025, -999
20161012, 70.43, 70.599998, 69.760002, 70.330002, 1419900, 70.330002, 0, 1, 70.380001, -999
20161011, 72.309998, 72.769997, 69.860001, 70.169998, 1704100, 70.169998, 0, 1, 71.239998, -999
20161010, 72, 73.07, 72, 72.209999, 1260200, 72.209999, 0, 1, 72.1049995, -999
20161007, 72.800003, 72.800003, 71.470001, 72.010002, 1598000, 72.010002, 0, 1, 72.4050025, -999
20161006, 73.18, 73.400002, 71.760002, 72.830002, 1415100, 72.830002, 0, 1, 73.005001, -999
20161005, 71.57, 73.239998, 71.57, 73.209999, 1708000, 73.209999, 0, 1, 72.3899995, -999
20161004, 71.32, 72.529999, 71, 71.419998, 1557600, 71.419998, 0, 1, 71.369999, -999
20161003, 71.150002, 72.260002, 70.849998, 71.18, 2202800, 71.18, 0, 1, 71.165001, -999
20160930, 72.029999, 72.589996, 71.410004, 72.330002, 1513400, 72.330002, 0, 1, 72.1800005, -999
20160929, 72.589996, 72.800003, 71.410004, 71.589996, 1425400, 71.589996, 0, 1, 72.089996, -999
