Ticker: AMSWA  Created on: 2/13/2017 1:32:49 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 10.23, 10.33, 10.12, 10.26, 18800, 10.26, 0, 1, 10.245, -999
20170209, 10.13, 10.35, 10.11, 10.22, 31100, 10.22, 0, 1, 10.175, -999
20170208, 10.44, 10.46, 10.1, 10.11, 37000, 10.11, 0, 1, 10.275, -999
20170207, 10.5, 10.62, 10.46, 10.54, 30700, 10.43, 0, 1, 10.465, -999
20170206, 10.42, 10.52, 10.4, 10.43, 33300, 10.321148, 0, 1, 10.370574, -999
20170203, 10.49, 10.56, 10.41, 10.44, 30700, 10.331043, 0, 1, 10.4105215, -999
20170202, 10.35, 10.64, 10.35, 10.39, 28600, 10.281566, 0, 1, 10.315783, -999
20170201, 10.57, 10.58, 10.35, 10.39, 29000, 10.281566, 0, 1, 10.425783, -999
20170131, 10.37, 10.51, 10.26, 10.49, 35000, 10.380522, 0, 1, 10.375261, -999
20170130, 10.58, 10.59, 10.32, 10.38, 39400, 10.27167, 0, 1, 10.425835, -999
20170127, 11, 11.01, 10.55, 10.73, 35400, 10.618017, 0, 1, 10.8090085, -999
20170126, 10.53, 11.06, 10.43, 11, 144000, 10.885199, 0, 1, 10.7075995, -999
20170125, 10.28, 10.42, 10.27, 10.39, 39900, 10.281566, 0, 1, 10.280783, -999
20170124, 9.98, 10.29, 9.94, 10.27, 77400, 10.162818, 0, 1, 10.071409, -999
20170123, 9.93, 10.08, 9.75, 9.93, 52700, 9.826367, 0, 1, 9.8781835, -999
20170120, 9.88, 10.05, 9.69, 9.91, 67500, 9.806575, 0, 1, 9.8432875, -999
20170119, 10.12, 10.12, 9.9, 9.92, 29400, 9.816471, 0, 1, 9.9682355, -999
20170118, 9.99, 10.11, 9.92, 10.04, 21500, 9.935218, 0, 1, 9.962609, -999
20170117, 10.2, 10.3, 9.76, 9.98, 49100, 9.875844, 0, 1, 10.037922, -999
20170113, 10.28, 10.33, 10.16, 10.31, 27000, 10.202401, 0, 1, 10.2412005, -999
20170112, 10.35, 10.35, 10.09, 10.23, 34200, 10.123235, 0, 1, 10.2366175, -999
20170111, 10.28, 10.43, 10.26, 10.38, 27200, 10.27167, 0, 1, 10.275835, -999
20170110, 10.28, 10.45, 10.26, 10.32, 23300, 10.212296, 0, 1, 10.246148, -999
20170109, 10.39, 10.4, 10.25, 10.34, 25000, 10.232088, 0, 1, 10.311044, -999
20170106, 10.5, 10.5, 10.37, 10.38, 26600, 10.27167, 0, 1, 10.385835, -999
20170105, 10.65, 10.69, 10.45, 10.45, 35600, 10.340939, 0, 1, 10.4954695, -999
20170104, 10.35, 10.67, 10.25, 10.64, 49700, 10.528957, 0, 1, 10.4394785, -999
20170103, 10.35, 10.72, 10.3, 10.38, 33300, 10.27167, 0, 1, 10.310835, -999
20161230, 10.37, 10.44, 10.2, 10.33, 30700, 10.222192, 0, 1, 10.296096, -999
20161229, 10.4, 10.51, 10.38, 10.43, 10500, 10.321148, 0, 1, 10.360574, -999
20161228, 10.59, 10.78, 10.36, 10.38, 24700, 10.27167, 0, 1, 10.430835, -999
20161227, 10.62, 10.73, 10.46, 10.54, 36000, 10.43, 0, 1, 10.525, -999
20161223, 10.64, 10.79, 10.63, 10.69, 21300, 10.578434, 0, 1, 10.609217, -999
20161222, 10.3, 10.75, 10.3, 10.64, 35600, 10.528957, 0, 1, 10.4144785, -999
20161221, 10.9, 10.9, 10.59, 10.64, 40600, 10.528957, 0, 1, 10.7144785, -999
20161220, 10.91, 10.98, 10.81, 10.9, 55300, 10.786243, 0, 1, 10.8481215, -999
20161219, 10.68, 11, 10.68, 10.87, 53500, 10.756556, 0, 1, 10.718278, -999
20161216, 10.73, 10.89, 10.66, 10.75, 240000, 10.637809, 0, 1, 10.6839045, -999
20161215, 10.73, 10.93, 10.62, 10.66, 72200, 10.548748, 0, 1, 10.639374, -999
20161214, 10.9, 11, 10.73, 10.76, 45600, 10.647704, 0, 1, 10.773852, -999
20161213, 11.01, 11.04, 10.89, 10.96, 45300, 10.845617, 0, 1, 10.9278085, -999
20161212, 10.99, 11.1, 10.85, 10.9, 113800, 10.786243, 0, 1, 10.8881215, -999
20161209, 10.9, 11.03, 10.73, 10.99, 94200, 10.875304, 0, 1, 10.887652, -999
20161208, 10.43, 10.86, 10.4, 10.85, 77700, 10.736765, 0, 1, 10.5833825, -999
20161207, 10.38, 10.47, 10.28, 10.43, 68500, 10.321148, 0, 1, 10.350574, -999
20161206, 10.57, 10.7, 10.31, 10.44, 49300, 10.331043, 0, 1, 10.4505215, -999
20161205, 10.42, 10.56, 10.3, 10.49, 61400, 10.380522, 0, 1, 10.400261, -999
20161202, 10.2, 10.45, 10.2, 10.3, 92700, 10.192505, 0, 1, 10.1962525, -999
20161201, 11.1, 11.27, 10.2, 10.2, 108600, 10.093548, 0, 1, 10.596774, -999
20161130, 11.27, 11.4, 10.95, 11.02, 49100, 10.904991, 0, 1, 11.0874955, -999
20161129, 11.42, 11.45, 11.24, 11.31, 52200, 11.191965, 0, 1, 11.3059825, -999
20161128, 11.24, 11.49, 11.2, 11.36, 46800, 11.241442, 0, 1, 11.240721, -999
20161125, 11.34, 11.34, 11.01, 11.2, 34900, 11.083112, 0, 1, 11.211556, -999
20161123, 11.4, 11.49, 11.21, 11.25, 50600, 11.13259, 0, 1, 11.266295, -999
20161122, 11.14, 11.54, 11.09, 11.5, 85100, 11.379981, 0, 1, 11.2599905, -999
20161121, 10.75, 11.15, 10.68, 11.14, 50000, 11.023739, 0, 1, 10.8868695, -999
20161118, 10.49, 10.83, 10.42, 10.82, 67300, 10.707078, 0, 1, 10.598539, -999
20161117, 10.55, 10.81, 10.41, 10.52, 71500, 10.410209, 0, 1, 10.4801045, -999
20161116, 10.5, 10.67, 10.43, 10.5, 58600, 10.390418, 0, 1, 10.445209, -999
20161115, 10.7, 10.83, 10.51, 10.55, 35400, 10.439896, 0, 1, 10.569948, -999
20161114, 10.99, 10.99, 10.48, 10.66, 63300, 10.548748, 0, 1, 10.769374, -999
20161111, 10.43, 10.94, 10.43, 10.84, 121200, 10.726869, 0, 1, 10.5784345, -999
20161110, 10.56, 10.73, 10.25, 10.37, 97400, 10.261774, 0, 1, 10.410887, -999
20161109, 9.76, 10.5, 9.73, 10.42, 90000, 10.311253, 0, 1, 10.0356265, -999
20161108, 10.22, 10.35, 10.1, 10.19, 45200, 10.083653, 0, 1.02, 10.1518265, -999
20161107, 10.45, 10.45, 10.21, 10.42, 34300, 10.2024, 0, 1, 10.3262, -999
20161104, 10.13, 10.33, 10.1, 10.23, 27900, 10.016367, 0, 1, 10.0731835, -999
20161103, 10.19, 10.36, 10.05, 10.1, 36900, 9.889083, 0, 1, 10.0395415, -999
20161102, 10.24, 10.29, 10.01, 10.13, 30700, 9.918456, 0, 1, 10.079228, -999
20161101, 10.48, 10.74, 10.17, 10.2, 69600, 9.986994, 0, 1, 10.233497, -999
20161031, 10.38, 10.98, 10.28, 10.43, 44900, 10.212192, 0, 1, 10.296096, -999
20161028, 10.5, 10.98, 10.31, 10.4, 67800, 10.182817, 0, 1, 10.3414085, -999
20161027, 10.61, 10.69, 10.51, 10.53, 34900, 10.310103, 0, 1, 10.4600515, -999
20161026, 10.69, 10.75, 10.59, 10.67, 41900, 10.447179, 0, 1, 10.5685895, -999
20161025, 10.66, 10.84, 10.62, 10.69, 38300, 10.466761, 0, 1, 10.5633805, -999
20161024, 10.7, 10.7, 10.59, 10.64, 27100, 10.417806, 0, 1, 10.558903, -999
20161021, 10.5, 10.6, 10.5, 10.6, 32200, 10.378642, 0, 1, 10.439321, -999
20161020, 10.67, 10.71, 10.5, 10.54, 38200, 10.319894, 0, 1, 10.494947, -999
20161019, 10.81, 10.81, 10.53, 10.63, 28600, 10.408015, 0, 1, 10.6090075, -999
20161018, 10.98, 11.06, 10.79, 10.8, 34600, 10.574465, 0, 1, 10.7772325, -999
20161017, 10.8, 10.97, 10.79, 10.95, 97500, 10.721332, 0, 1, 10.760666, -999
20161014, 10.83, 11.11, 10.57, 10.84, 101500, 10.613629, 0, 1, 10.7218145, -999
20161013, 10.94, 10.96, 10.71, 10.77, 76900, 10.545092, 0, 1, 10.742546, -999
20161012, 10.82, 11.02, 10.71, 11.01, 281100, 10.780079, 0, 1, 10.8000395, -999
20161011, 10.99, 10.99, 10.72, 10.79, 37600, 10.564673, 0, 1, 10.7773365, -999
20161010, 10.77, 10.99, 10.71, 10.96, 19700, 10.731123, 0, 1, 10.7505615, -999
20161007, 10.82, 10.82, 10.51, 10.69, 33400, 10.466761, 0, 1, 10.6433805, -999
20161006, 10.76, 10.83, 10.53, 10.67, 36700, 10.447179, 0, 1, 10.6035895, -999
20161005, 10.84, 11, 10.8, 10.81, 28700, 10.584256, 0, 1, 10.712128, -999
20161004, 11.22, 11.22, 10.77, 10.89, 29600, 10.662586, 0, 1, 10.941293, -999
20161003, 11.02, 11.17, 10.97, 11.04, 36500, 10.809453, 0, 1, 10.9147265, -999
20160930, 10.92, 11.16, 10.82, 11.1, 52800, 10.8682, 0, 1, 10.8941, -999
20160929, 10.9, 10.94, 10.77, 10.82, 26600, 10.594047, 0, 1, 10.7470235, -999
20160928, 10.88, 10.95, 10.87, 10.91, 48200, 10.682167, 0, 1, 10.7810835, -999
20160927, 10.9, 10.95, 10.83, 10.91, 29700, 10.682167, 0, 1, 10.7910835, -999
20160926, 10.97, 10.99, 10.84, 10.85, 27300, 10.623421, 0, 1, 10.7967105, -999
20160923, 11.03, 11.09, 10.94, 10.99, 33500, 10.760497, 0, 1, 10.8952485, -999
20160922, 10.94, 11.02, 10.63, 11, 110700, 10.770288, 0, 1, 10.855144, -999
20160921, 10.88, 11, 10.64, 10.83, 51400, 10.603838, 0, 1, 10.741919, -999
20160920, 10.66, 10.97, 10.62, 10.82, 27600, 10.594047, 0, 1, 10.6270235, -999
20160919, 11, 11, 10.58, 10.65, 51800, 10.427597, 0, 1, 10.7137985, -999
20160916, 10.69, 10.98, 10.56, 10.92, 166000, 10.691959, 0, 1, 10.6909795, -999
20160915, 10.63, 10.69, 10.56, 10.64, 39400, 10.417806, 0, 1, 10.523903, -999
20160914, 10.64, 10.76, 10.56, 10.58, 40500, 10.359059, 0, 1, 10.4995295, -999
20160913, 10.84, 10.96, 10.6, 10.67, 52500, 10.447179, 0, 1, 10.6435895, -999
20160912, 10.61, 10.85, 10.54, 10.85, 49300, 10.623421, 0, 1, 10.6167105, -999
20160909, 10.86, 10.99, 10.55, 10.58, 51200, 10.359059, 0, 1, 10.6095295, -999
20160908, 10.94, 11, 10.8, 10.99, 43600, 10.760497, 0, 1, 10.8502485, -999
20160907, 10.75, 10.97, 10.75, 10.91, 68900, 10.682167, 0, 1, 10.7160835, -999
20160906, 10.54, 10.78, 10.46, 10.71, 50300, 10.486344, 0, 1, 10.513172, -999
20160902, 10.38, 10.49, 10.3, 10.47, 57100, 10.251356, 0, 1, 10.315678, -999
20160901, 10.46, 10.57, 10.25, 10.29, 51000, 10.075115, 0, 1, 10.2675575, -999
20160831, 10.4, 10.51, 10.2, 10.41, 60400, 10.192609, 0, 1, 10.2963045, -999
20160830, 9.98, 10.47, 9.98, 10.43, 87200, 10.212192, 0, 1, 10.096096, -999
20160829, 10.57, 10.57, 9.93, 9.97, 96400, 9.761798, 0, 1, 10.165899, -999
20160826, 11.04, 11.27, 10.42, 10.6, 108000, 10.378642, 0, 1, 10.709321, -999
20160825, 11.2, 11.94, 11.19, 11.59, 178300, 11.347967, 0, 1, 11.2739835, -999
20160824, 11.05, 11.3, 11, 11.27, 43500, 11.03465, 0, 1, 11.042325, -999
20160823, 10.96, 11.16, 10.96, 11.04, 59100, 10.809453, 0, 1, 10.8847265, -999
20160822, 11.17, 11.17, 10.93, 10.98, 66700, 10.750705, 0, 1, 10.9603525, -999
20160819, 11.27, 11.35, 11.09, 11.09, 118300, 10.858409, 0, 1, 11.0642045, -999
20160818, 11.03, 11.26, 11.02, 11.25, 33300, 11.015067, 0, 1, 11.0225335, -999
20160817, 11.2, 11.21, 10.94, 11.06, 39000, 10.829035, 0, 1, 11.0145175, -999
20160816, 11.22, 11.25, 11.1, 11.15, 54000, 10.917155, 0, 1, 11.0685775, -999
20160815, 11.18, 11.37, 11.16, 11.18, 60700, 10.946529, 0, 1, 11.0632645, -999
20160812, 11.23, 11.24, 11.17, 11.21, 29800, 10.975903, 0, 1, 11.1029515, -999
20160811, 11.07, 11.23, 11.06, 11.2, 43500, 10.966111, 0, 1, 11.0180555, -999
20160810, 11.17, 11.17, 11.04, 11.08, 13300, 10.848617, 0, 1, 11.0093085, -999
20160809, 11.12, 11.21, 11, 11.17, 24600, 10.936738, 0, 1, 11.028369, -999
20160808, 11.05, 11.09, 11.02, 11.07, 14400, 10.838826, 0, 1, 10.944413, -999
20160805, 11.04, 11.11, 10.99, 11.02, 49500, 10.789871, 0, 1, 10.9149355, -999
20160804, 10.95, 11.05, 10.95, 11.01, 18400, 10.780079, 0, 1, 10.8650395, -999
20160803, 10.93, 11.04, 10.84, 11.02, 26900, 10.789871, 0, 1, 10.8599355, -999
20160802, 11.08, 11.17, 10.96, 11, 23600, 10.662586, 0, 1, 10.871293, -999
20160801, 11.1, 11.1, 11, 11.07, 42800, 10.730438, 0, 1, 10.915219, -999
20160729, 11.13, 11.19, 10.96, 11.03, 82400, 10.691665, 0, 1, 10.9108325, -999
20160728, 11.09, 11.14, 11.01, 11.1, 15100, 10.759519, 0, 1, 10.9247595, -999
20160727, 11.08, 11.18, 10.95, 11.13, 38200, 10.788598, 0, 1, 10.934299, -999
20160726, 10.85, 11.14, 10.81, 11.13, 46900, 10.788598, 0, 1, 10.819299, -999
20160725, 10.8, 10.85, 10.8, 10.85, 22200, 10.517187, 0, 1, 10.6585935, -999
20160722, 10.95, 11, 10.77, 10.85, 41300, 10.517187, 0, 1, 10.7335935, -999
20160721, 10.85, 10.99, 10.8, 10.93, 28000, 10.594733, 0, 1, 10.7223665, -999
20160720, 10.94, 11, 10.82, 10.83, 54000, 10.4978, 0, 1, 10.7189, -999
20160719, 10.94, 10.99, 10.88, 10.93, 34600, 10.594733, 0, 1, 10.7673665, -999
20160718, 10.8, 11, 10.77, 10.92, 69500, 10.58504, 0, 1, 10.69252, -999
20160715, 10.88, 11.28, 10.75, 10.78, 42300, 10.449334, 0, 1, 10.664667, -999
20160714, 10.85, 10.9, 10.79, 10.8, 35100, 10.468721, 0, 1, 10.6593605, -999
20160713, 10.95, 10.96, 10.78, 10.8, 28800, 10.468721, 0, 1, 10.7093605, -999
20160712, 11.04, 11.04, 10.82, 10.96, 80100, 10.623813, 0, 1, 10.8319065, -999
