Ticker: ANSS  Created on: 2/13/2017 1:32:49 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 96.339996, 97.25, 96.019997, 96.860001, 485000, 96.860001, 0, 1, 96.5999985, -999
20170209, 95.239998, 96.760002, 95.089996, 96.32, 325400, 96.32, 0, 1, 95.779999, -999
20170208, 95.209999, 95.32, 94.519997, 95.230003, 273000, 95.230003, 0, 1, 95.220001, -999
20170207, 95.379997, 95.379997, 94.199997, 95.260002, 415900, 95.260002, 0, 1, 95.3199995, -999
20170206, 95.120003, 95.489998, 94.690002, 95.050003, 388200, 95.050003, 0, 1, 95.085003, -999
20170203, 93.989998, 95.43, 93.190002, 95.169998, 523900, 95.169998, 0, 1, 94.579998, -999
20170202, 93.199997, 94.019997, 93.199997, 93.849998, 474100, 93.849998, 0, 1, 93.5249975, -999
20170201, 93.459999, 94.470001, 92.330002, 93.239998, 424000, 93.239998, 0, 1, 93.3499985, -999
20170131, 93.459999, 93.870003, 92.529999, 93.260002, 422600, 93.260002, 0, 1, 93.3600005, -999
20170130, 93.550003, 93.629997, 92.760002, 93.480003, 351500, 93.480003, 0, 1, 93.515003, -999
20170127, 94.989998, 95.260002, 93.620003, 93.949997, 242100, 93.949997, 0, 1, 94.4699975, -999
20170126, 95.019997, 95.43, 94.559998, 94.849998, 265800, 94.849998, 0, 1, 94.9349975, -999
20170125, 94.989998, 95.32, 94.709999, 94.949997, 289700, 94.949997, 0, 1, 94.9699975, -999
20170124, 93.910004, 94.660004, 93.690002, 94.480003, 479800, 94.480003, 0, 1, 94.1950035, -999
20170123, 93.010002, 93.639999, 93.010002, 93.510002, 248500, 93.510002, 0, 1, 93.260002, -999
20170120, 93.769997, 94.07, 92.900002, 93.300003, 350400, 93.300003, 0, 1, 93.535, -999
20170119, 93.940002, 94.370003, 93.279999, 93.489998, 467500, 93.489998, 0, 1, 93.715, -999
20170118, 93.93, 94.110001, 93.32, 93.57, 390300, 93.57, 0, 1, 93.75, -999
20170117, 93.470001, 94.150002, 93.220001, 93.5, 486800, 93.5, 0, 1, 93.4850005, -999
20170113, 93.860001, 94.419998, 93.830002, 94.029999, 360700, 94.029999, 0, 1, 93.945, -999
