Ticker: ARIS  Created on: 2/13/2017 1:33:25 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 5.23, 5.25, 5.13, 5.22, 35400, 5.22, 0, 1, 5.225, -999
20170209, 5.15, 5.3, 5.14, 5.21, 29700, 5.21, 0, 1, 5.18, -999
20170208, 5.16, 5.2, 5.16, 5.17, 8600, 5.17, 0, 1, 5.165, -999
20170207, 5.25, 5.33, 5.13, 5.21, 20100, 5.21, 0, 1, 5.23, -999
20170206, 5.29, 5.32, 5.23, 5.26, 3300, 5.26, 0, 1, 5.275, -999
20170203, 5.35, 5.35, 5.23, 5.34, 5100, 5.34, 0, 1, 5.345, -999
20170202, 5.2, 5.4, 5.2, 5.4, 12800, 5.4, 0, 1, 5.3, -999
20170201, 5.3, 5.3, 5.2, 5.21, 13500, 5.21, 0, 1, 5.255, -999
20170131, 5.15, 5.3, 5.15, 5.3, 17500, 5.3, 0, 1, 5.225, -999
20170130, 5.18, 5.21, 5.14, 5.21, 23200, 5.21, 0, 1, 5.195, -999
20170127, 5.24, 5.29, 5.22, 5.23, 4300, 5.23, 0, 1, 5.235, -999
20170126, 5.37, 5.39, 5.22, 5.26, 14600, 5.26, 0, 1, 5.315, -999
20170125, 5.16, 5.43, 5.16, 5.33, 9700, 5.33, 0, 1, 5.245, -999
20170124, 5.2, 5.43, 5.16, 5.3, 11800, 5.3, 0, 1, 5.25, -999
20170123, 5.4, 5.47, 5.26, 5.39, 9200, 5.39, 0, 1, 5.395, -999
20170120, 5.32, 5.41, 5.31, 5.4, 15700, 5.4, 0, 1, 5.36, -999
20170119, 5.36, 5.39, 5.3, 5.34, 8300, 5.34, 0, 1, 5.35, -999
20170118, 5.42, 5.42, 5.3, 5.39, 5500, 5.39, 0, 1, 5.405, -999
20170117, 5.53, 5.53, 5.4, 5.41, 16800, 5.41, 0, 1, 5.47, -999
20170113, 5.44, 5.55, 5.4, 5.53, 40100, 5.53, 0, 1, 5.485, -999
20170112, 5.5, 5.5, 5.21, 5.41, 52100, 5.41, 0, 1, 5.455, -999
20170111, 5.21, 5.41, 5.08, 5.41, 26000, 5.41, 0, 1, 5.31, -999
20170110, 5.13, 5.21, 5, 5.21, 49400, 5.21, 0, 1, 5.17, -999
20170109, 5.13, 5.16, 5.05, 5.09, 48600, 5.09, 0, 1, 5.11, -999
20170106, 5.21, 5.37, 5.15, 5.16, 38100, 5.16, 0, 1, 5.185, -999
20170105, 5.25, 5.37, 5.19, 5.24, 14600, 5.24, 0, 1, 5.245, -999
20170104, 5.33, 5.45, 5.22, 5.25, 46000, 5.25, 0, 1, 5.29, -999
20170103, 5.35, 5.42, 5.34, 5.4, 25200, 5.4, 0, 1, 5.375, -999
20161230, 5.34, 5.41, 5.26, 5.41, 17000, 5.41, 0, 1, 5.375, -999
20161229, 5.29, 5.4, 5.25, 5.38, 16400, 5.38, 0, 1, 5.335, -999
20161228, 5.41, 5.41, 5.26, 5.31, 46300, 5.31, 0, 1, 5.36, -999
20161227, 5.49, 5.49, 5.28, 5.41, 17400, 5.41, 0, 1, 5.45, -999
20161223, 5.54, 5.54, 5.36, 5.5, 12900, 5.5, 0, 1, 5.52, -999
20161222, 5.45, 5.59, 5.4, 5.5, 23800, 5.5, 0, 1, 5.475, -999
20161221, 5.42, 5.59, 5.41, 5.45, 29200, 5.45, 0, 1, 5.435, -999
20161220, 5.38, 5.47, 5.25, 5.42, 46700, 5.42, 0, 1, 5.4, -999
20161219, 5.47, 5.47, 5.25, 5.36, 29700, 5.36, 0, 1, 5.415, -999
20161216, 5.5, 5.5, 5.3, 5.43, 35700, 5.43, 0, 1, 5.465, -999
20161215, 5.42, 5.5, 5.15, 5.48, 34600, 5.48, 0, 1, 5.45, -999
20161214, 5.4, 5.45, 5.36, 5.37, 26700, 5.37, 0, 1, 5.385, -999
20161213, 5.5, 5.5, 5.44, 5.45, 6800, 5.45, 0, 1, 5.475, -999
20161212, 5.39, 5.46, 5.33, 5.46, 13400, 5.46, 0, 1, 5.425, -999
20161209, 5.44, 5.44, 5.23, 5.37, 4000, 5.37, 0, 1, 5.405, -999
20161208, 5.22, 5.45, 5.22, 5.32, 15900, 5.32, 0, 1, 5.27, -999
20161207, 5.23, 5.28, 5.15, 5.25, 62500, 5.25, 0, 1, 5.24, -999
20161206, 5.25, 5.25, 5.15, 5.16, 3100, 5.16, 0, 1, 5.205, -999
20161205, 5.12, 5.26, 5.12, 5.17, 8400, 5.17, 0, 1, 5.145, -999
20161202, 5.13, 5.19, 5.1, 5.15, 25000, 5.15, 0, 1, 5.14, -999
20161201, 5.26, 5.29, 5.11, 5.11, 11900, 5.11, 0, 1, 5.185, -999
20161130, 5.38, 5.39, 5.17, 5.3, 24300, 5.3, 0, 1, 5.34, -999
20161129, 5.3, 5.44, 5.12, 5.41, 41300, 5.41, 0, 1, 5.355, -999
20161128, 5.5, 5.5, 5.16, 5.25, 82700, 5.25, 0, 1, 5.375, -999
20161125, 5.5, 5.5, 5.44, 5.5, 8500, 5.5, 0, 1, 5.5, -999
20161123, 5.42, 5.47, 5.2, 5.46, 27700, 5.46, 0, 1, 5.44, -999
20161122, 5.46, 5.49, 5.36, 5.49, 31700, 5.49, 0, 1, 5.475, -999
20161121, 5.34, 5.55, 5.24, 5.48, 73800, 5.48, 0, 1, 5.41, -999
20161118, 5.25, 5.45, 5.12, 5.34, 20100, 5.34, 0, 1, 5.295, -999
20161117, 5.08, 5.3, 5.08, 5.24, 96000, 5.24, 0, 1, 5.16, -999
20161116, 4.99, 5.17, 4.99, 5.02, 14100, 5.02, 0, 1, 5.005, -999
20161115, 5, 5.03, 4.96, 4.99, 32300, 4.99, 0, 1, 4.995, -999
20161114, 5.04, 5.04, 4.87, 5, 20400, 5, 0, 1, 5.02, -999
20161111, 4.89, 5.03, 4.8, 4.97, 11400, 4.97, 0, 1, 4.93, -999
20161110, 4.85, 4.98, 4.75, 4.98, 35700, 4.98, 0, 1, 4.915, -999
20161109, 4.74, 5.13, 4.73, 4.87, 39700, 4.87, 0, 1, 4.805, -999
20161108, 5, 5.15, 4.96, 4.98, 80800, 4.98, 0, 1, 4.99, -999
20161107, 4.98, 5.15, 4.97, 5.02, 32400, 5.02, 0, 1, 5, -999
20161104, 4.95, 5.23, 4.84, 4.87, 64100, 4.87, 0, 1, 4.91, -999
20161103, 4.84, 4.93, 4.82, 4.86, 19100, 4.86, 0, 1, 4.85, -999
20161102, 4.96, 4.96, 4.8, 4.81, 21000, 4.81, 0, 1, 4.885, -999
20161101, 4.98, 4.99, 4.92, 4.94, 11100, 4.94, 0, 1, 4.96, -999
20161031, 5.05, 5.05, 4.81, 4.97, 43700, 4.97, 0, 1, 5.01, -999
20161028, 5.4, 5.45, 5.08, 5.2, 67400, 5.2, 0, 1, 5.3, -999
20161027, 5.42, 5.5, 5.25, 5.44, 86100, 5.44, 0, 1, 5.43, -999
20161026, 5, 5.22, 5, 5.2, 48100, 5.2, 0, 1, 5.1, -999
20161025, 5, 5.04, 4.98, 5.02, 12400, 5.02, 0, 1, 5.01, -999
20161024, 4.96, 5.12, 4.96, 5.02, 32200, 5.02, 0, 1, 4.99, -999
20161021, 4.87, 5.02, 4.87, 4.95, 51500, 4.95, 0, 1, 4.91, -999
20161020, 5.17, 5.27, 4.85, 4.86, 39700, 4.86, 0, 1, 5.015, -999
20161019, 5.31, 5.35, 5.17, 5.18, 37000, 5.18, 0, 1, 5.245, -999
20161018, 5.33, 5.34, 5.28, 5.34, 41700, 5.34, 0, 1, 5.335, -999
20161017, 5.28, 5.39, 5.17, 5.25, 37600, 5.25, 0, 1, 5.265, -999
20161014, 5.2, 5.2, 5.13, 5.2, 14700, 5.2, 0, 1, 5.2, -999
20161013, 5.19, 5.2, 5.11, 5.15, 10000, 5.15, 0, 1, 5.17, -999
20161012, 5.18, 5.26, 5.16, 5.19, 35500, 5.19, 0, 1, 5.185, -999
20161011, 5.48, 5.48, 5.11, 5.19, 67600, 5.19, 0, 1, 5.335, -999
20161010, 5.1, 5.33, 5.07, 5.2, 248000, 5.2, 0, 1, 5.15, -999
20161007, 4.7, 4.8, 4.61, 4.8, 58200, 4.8, 0, 1, 4.75, -999
20161006, 4.59, 4.82, 4.45, 4.68, 117400, 4.68, 0, 1, 4.635, -999
20161005, 4.47, 4.8, 4.4, 4.56, 123100, 4.56, 0, 1, 4.515, -999
20161004, 4.42, 4.47, 4.38, 4.47, 5200, 4.47, 0, 1, 4.445, -999
20161003, 4.41, 4.46, 4.24, 4.45, 21500, 4.45, 0, 1, 4.43, -999
20160930, 4.47, 4.48, 4.37, 4.44, 6000, 4.44, 0, 1, 4.455, -999
20160929, 4.39, 4.48, 4.37, 4.43, 20400, 4.43, 0, 1, 4.41, -999
20160928, 4.49, 4.58, 4.41, 4.41, 14800, 4.41, 0, 1, 4.45, -999
20160927, 4.56, 4.56, 4.4, 4.46, 46400, 4.46, 0, 1, 4.51, -999
20160926, 4.51, 4.56, 4.5, 4.52, 26500, 4.52, 0, 1, 4.515, -999
20160923, 4.5, 4.55, 4.46, 4.54, 34900, 4.54, 0, 1, 4.52, -999
20160922, 4.6, 4.6, 4.46, 4.46, 36600, 4.46, 0, 1, 4.53, -999
20160921, 4.56, 4.6, 4.52, 4.57, 29100, 4.57, 0, 1, 4.565, -999
20160920, 4.46, 4.59, 4.45, 4.52, 25500, 4.52, 0, 1, 4.49, -999
20160919, 4.64, 4.64, 4.5, 4.5, 20200, 4.5, 0, 1, 4.57, -999
20160916, 4.64, 4.77, 4.57, 4.6, 39700, 4.6, 0, 1, 4.62, -999
20160915, 4.57, 4.79, 4.52, 4.59, 40800, 4.59, 0, 1, 4.58, -999
20160914, 4.45, 4.56, 4.38, 4.52, 34900, 4.52, 0, 1, 4.485, -999
20160913, 4.4, 4.51, 4.39, 4.4, 48600, 4.4, 0, 1, 4.4, -999
20160912, 4.47, 4.57, 4.41, 4.45, 21600, 4.45, 0, 1, 4.46, -999
20160909, 4.56, 4.59, 4.43, 4.43, 13900, 4.43, 0, 1, 4.495, -999
20160908, 4.43, 4.6, 4.4, 4.42, 36400, 4.42, 0, 1, 4.425, -999
20160907, 4.44, 4.73, 4.4, 4.41, 81900, 4.41, 0, 1, 4.425, -999
20160906, 4.35, 4.44, 4.35, 4.44, 19000, 4.44, 0, 1, 4.395, -999
20160902, 4.37, 4.45, 4.35, 4.38, 24100, 4.38, 0, 1, 4.375, -999
20160901, 4.43, 4.46, 4.36, 4.37, 36200, 4.37, 0, 1, 4.4, -999
20160831, 4.43, 4.45, 4.37, 4.45, 8100, 4.45, 0, 1, 4.44, -999
20160830, 4.41, 4.57, 4.38, 4.43, 19800, 4.43, 0, 1, 4.42, -999
20160829, 4.46, 4.6, 4.37, 4.37, 79400, 4.37, 0, 1, 4.415, -999
20160826, 4.69, 4.79, 4.28, 4.46, 68800, 4.46, 0, 1, 4.575, -999
20160825, 4.72, 4.72, 4.59, 4.63, 35300, 4.63, 0, 1, 4.675, -999
20160824, 4.56, 4.87, 4.43, 4.74, 87400, 4.74, 0, 1, 4.65, -999
20160823, 4.56, 4.64, 4.51, 4.6, 37100, 4.6, 0, 1, 4.58, -999
20160822, 4.48, 4.73, 4.48, 4.58, 55900, 4.58, 0, 1, 4.53, -999
20160819, 4.64, 4.68, 4.5, 4.52, 11500, 4.52, 0, 1, 4.58, -999
20160818, 4.41, 4.75, 4.4, 4.63, 140500, 4.63, 0, 1, 4.52, -999
20160817, 4.44, 4.46, 4.25, 4.45, 106700, 4.45, 0, 1, 4.445, -999
20160816, 4.42, 4.46, 4.35, 4.4, 28100, 4.4, 0, 1, 4.41, -999
20160815, 4.25, 4.45, 4.25, 4.39, 170100, 4.39, 0, 1, 4.32, -999
20160812, 4.44, 4.44, 4.21, 4.26, 92400, 4.26, 0, 1, 4.35, -999
20160811, 4.4, 4.53, 4.4, 4.41, 37400, 4.41, 0, 1, 4.405, -999
20160810, 4.45, 4.64, 4.4, 4.43, 52600, 4.43, 0, 1, 4.44, -999
20160809, 4.42, 4.51, 4.21, 4.44, 80200, 4.44, 0, 1, 4.43, -999
20160808, 4.35, 4.5, 4.2, 4.42, 139400, 4.42, 0, 1, 4.385, -999
20160805, 4.76, 4.84, 4.4, 4.4, 127700, 4.4, 0, 1, 4.58, -999
20160804, 4.88, 4.88, 4.75, 4.76, 47300, 4.76, 0, 1, 4.82, -999
20160803, 4.79, 4.94, 4.78, 4.84, 34200, 4.84, 0, 1, 4.815, -999
20160802, 5.05, 5.05, 4.77, 4.79, 102600, 4.79, 0, 1, 4.92, -999
20160801, 5.15, 5.3, 4.98, 5.04, 87700, 5.04, 0, 1, 5.095, -999
20160729, 5.2, 5.25, 5.01, 5.12, 78300, 5.12, 0, 1, 5.16, -999
20160728, 5.15, 5.2, 5.05, 5.16, 71300, 5.16, 0, 1, 5.155, -999
20160727, 5.1, 5.15, 4.97, 5.11, 56800, 5.11, 0, 1, 5.105, -999
20160726, 4.94, 5.1, 4.9, 5.02, 41000, 5.02, 0, 1, 4.98, -999
20160725, 5.34, 5.35, 4.95, 4.99, 141700, 4.99, 0, 1, 5.165, -999
20160722, 5.25, 5.39, 5.25, 5.3, 44200, 5.3, 0, 1, 5.275, -999
20160721, 5.35, 5.35, 5.25, 5.29, 48900, 5.29, 0, 1, 5.32, -999
