Ticker: ATVI  Created on: 2/13/2017 1:32:48 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 45, 47.639999, 44.93, 47.23, 51688300, 47.23, 0, 1, 46.115, -999
20170209, 39.41, 39.779999, 38.93, 39.73, 15110400, 39.73, 0, 1, 39.57, -999
20170208, 40.099998, 40.119999, 39.150002, 39.189999, 12126500, 39.189999, 0, 1, 39.6449985, -999
20170207, 40.220001, 40.650002, 39.849998, 40.049999, 9255400, 40.049999, 0, 1, 40.135, -999
20170206, 40.040001, 40.220001, 39.650002, 40.189999, 8319300, 40.189999, 0, 1, 40.115, -999
20170203, 40.709999, 40.73, 39.900002, 40.009998, 8579400, 40.009998, 0, 1, 40.3599985, -999
20170202, 40.459999, 40.599998, 40.029999, 40.470001, 6111900, 40.470001, 0, 1, 40.465, -999
20170201, 40.32, 40.560001, 39.150002, 40.470001, 10230600, 40.470001, 0, 1, 40.3950005, -999
20170131, 39.599998, 40.279999, 39.52, 40.209999, 10038300, 40.209999, 0, 1, 39.9049985, -999
20170130, 39.57, 39.759998, 39.459999, 39.610001, 5836300, 39.610001, 0, 1, 39.5900005, -999
20170127, 39.68, 39.73, 39.41, 39.610001, 5050500, 39.610001, 0, 1, 39.6450005, -999
20170126, 39.68, 39.689999, 39.32, 39.470001, 3206200, 39.470001, 0, 1, 39.5750005, -999
20170125, 39.380001, 39.59, 39.119999, 39.560001, 4540400, 39.560001, 0, 1, 39.470001, -999
20170124, 38.560001, 39.150002, 38.380001, 39.099998, 8364600, 39.099998, 0, 1, 38.8299995, -999
20170123, 38.959999, 39.110001, 38.490002, 38.529999, 5128500, 38.529999, 0, 1, 38.744999, -999
20170120, 39.009998, 39.25, 38.650002, 38.970001, 6056300, 38.970001, 0, 1, 38.9899995, -999
20170119, 39.049999, 39.150002, 38.810001, 38.860001, 4611300, 38.860001, 0, 1, 38.955, -999
20170118, 39, 39.130001, 38.709999, 39.080002, 4404500, 39.080002, 0, 1, 39.040001, -999
20170117, 38.950001, 39.240002, 38.669998, 38.950001, 5456500, 38.950001, 0, 1, 38.950001, -999
20170113, 38.68, 39.360001, 38.59, 38.950001, 6372000, 38.950001, 0, 1, 38.8150005, -999
20170112, 38.990002, 39.400002, 38.560001, 39.130001, 7859500, 39.130001, 0, 1, 39.0600015, -999
20170111, 38.470001, 39.279999, 38.299999, 39.200001, 9477500, 39.200001, 0, 1, 38.835001, -999
20170110, 37.669998, 38.490002, 37.490002, 38.380001, 7629300, 38.380001, 0, 1, 38.0249995, -999
20170109, 38.09, 38.16, 37.369999, 37.700001, 5432400, 37.700001, 0, 1, 37.8950005, -999
20170106, 37.950001, 38.189999, 37.82, 37.91, 8364900, 37.91, 0, 1, 37.9300005, -999
20170105, 37.5, 38.27, 37.389999, 37.939999, 9813200, 37.939999, 0, 1, 37.7199995, -999
20170104, 36.77, 37.529999, 36.639999, 37.360001, 7630000, 37.360001, 0, 1, 37.0650005, -999
20170103, 36.439999, 36.790001, 36.18, 36.639999, 8358600, 36.639999, 0, 1, 36.539999, -999
20161230, 36.529999, 36.560001, 35.950001, 36.110001, 5090500, 36.110001, 0, 1, 36.32, -999
20161229, 36.5, 36.779999, 36.290001, 36.48, 3855100, 36.48, 0, 1, 36.49, -999
20161228, 36.66, 36.93, 36.220001, 36.43, 4899000, 36.43, 0, 1, 36.545, -999
20161227, 36.549999, 36.799999, 36.470001, 36.529999, 2552300, 36.529999, 0, 1, 36.539999, -999
20161223, 36.439999, 36.75, 36.400002, 36.5, 2713900, 36.5, 0, 1, 36.4699995, -999
20161222, 36.900002, 36.939999, 36.259998, 36.439999, 5128800, 36.439999, 0, 1, 36.6700005, -999
20161221, 36.919998, 37.16, 36.57, 36.900002, 5969300, 36.900002, 0, 1, 36.91, -999
20161220, 36.669998, 37.200001, 36.639999, 36.830002, 5729800, 36.830002, 0, 1, 36.75, -999
20161219, 36.330002, 36.779999, 35.860001, 36.630001, 4934700, 36.630001, 0, 1, 36.4800015, -999
20161216, 37.049999, 37.23, 36.32, 36.470001, 7570700, 36.470001, 0, 1, 36.76, -999
20161215, 36.900002, 37.450001, 36.610001, 36.990002, 6650300, 36.990002, 0, 1, 36.945002, -999
20161214, 37.23, 37.279999, 36.119999, 36.740002, 13152800, 36.740002, 0, 1, 36.985001, -999
20161213, 37.389999, 38.16, 37.189999, 37.32, 9506300, 37.32, 0, 1, 37.3549995, -999
20161212, 36.77, 37.310001, 36.560001, 37.169998, 5376900, 37.169998, 0, 1, 36.969999, -999
20161209, 37.200001, 37.389999, 36.349998, 36.790001, 9202300, 36.790001, 0, 1, 36.995001, -999
20161208, 37.450001, 37.619999, 37.18, 37.389999, 7011600, 37.389999, 0, 1, 37.42, -999
20161207, 36.740002, 37.549999, 36.689999, 37.450001, 7154300, 37.450001, 0, 1, 37.0950015, -999
20161206, 36.599998, 37.040001, 36.389999, 36.700001, 7211100, 36.700001, 0, 1, 36.6499995, -999
20161205, 36.009998, 36.580002, 35.889999, 36.48, 8655200, 36.48, 0, 1, 36.244999, -999
20161202, 35.66, 36.02, 35.119999, 35.709999, 7249100, 35.709999, 0, 1, 35.6849995, -999
20161201, 36.650002, 36.73, 35.459999, 35.580002, 12369300, 35.580002, 0, 1, 36.115002, -999
20161130, 38.060001, 38.16, 36.580002, 36.610001, 12085200, 36.610001, 0, 1, 37.335001, -999
20161129, 37.299999, 38.029999, 37.060001, 37.950001, 9709400, 37.950001, 0, 1, 37.625, -999
20161128, 37.369999, 37.73, 37.279999, 37.369999, 5759000, 37.369999, 0, 1, 37.369999, -999
20161125, 37.450001, 37.580002, 37.200001, 37.220001, 3203600, 37.220001, 0, 1, 37.335001, -999
20161123, 36.549999, 37.549999, 36.32, 37.259998, 11774900, 37.259998, 0, 1, 36.9049985, -999
20161122, 38.43, 38.490002, 36.889999, 37.169998, 22615200, 37.169998, 0, 1, 37.799999, -999
20161121, 38.580002, 38.639999, 37.759998, 38.43, 11457600, 38.43, 0, 1, 38.505001, -999
20161118, 39.919998, 40.200001, 38.130001, 38.389999, 18673200, 38.389999, 0, 1, 39.1549985, -999
20161117, 39.07, 40.189999, 38.950001, 39.939999, 11677600, 39.939999, 0, 1, 39.5049995, -999
20161116, 38.509998, 39.049999, 38.139999, 38.970001, 8133000, 38.970001, 0, 1, 38.7399995, -999
20161115, 38, 39.139999, 37.939999, 38.529999, 13210300, 38.529999, 0, 1, 38.2649995, -999
20161114, 39.209999, 39.529999, 37.740002, 37.77, 14884600, 37.77, 0, 1, 38.4899995, -999
20161111, 38.43, 39.450001, 38.23, 39.41, 10625300, 39.41, 0, 1, 38.92, -999
20161110, 40.349998, 40.400002, 38.470001, 38.700001, 15002400, 38.700001, 0, 1, 39.5249995, -999
20161109, 40.189999, 40.700001, 39.349998, 40.150002, 13193900, 40.150002, 0, 1, 40.1700005, -999
20161108, 41.009998, 41.490002, 40.82, 41.009998, 15018100, 41.009998, 0, 1, 41.009998, -999
20161107, 42.52, 42.560001, 40.860001, 41.09, 17854200, 41.09, 0, 1, 41.805, -999
20161104, 41.040001, 43.25, 40.860001, 41.700001, 18751900, 41.700001, 0, 1, 41.370001, -999
20161103, 42.959999, 43.669998, 42.630001, 43.369999, 12822700, 43.369999, 0, 1, 43.164999, -999
20161102, 42.630001, 43.09, 42.259998, 42.599998, 7792900, 42.599998, 0, 1, 42.6149995, -999
20161101, 43.27, 43.369999, 42.43, 42.599998, 11286800, 42.599998, 0, 1, 42.934999, -999
20161031, 43.419998, 43.630001, 43, 43.169998, 7174000, 43.169998, 0, 1, 43.294998, -999
20161028, 43.639999, 43.860001, 42.959999, 43.32, 8982000, 43.32, 0, 1, 43.4799995, -999
20161027, 44.650002, 44.82, 43.700001, 43.720001, 5590600, 43.720001, 0, 1, 44.1850015, -999
20161026, 44.950001, 45.009998, 44.400002, 44.439999, 4894600, 44.439999, 0, 1, 44.695, -999
20161025, 45.529999, 45.549999, 44.959999, 45.060001, 3680400, 45.060001, 0, 1, 45.295, -999
20161024, 44.900002, 45.490002, 44.650002, 45.470001, 6608300, 45.470001, 0, 1, 45.1850015, -999
20161021, 44.32, 44.650002, 43.91, 44.540001, 4296700, 44.540001, 0, 1, 44.4300005, -999
20161020, 43.919998, 44.389999, 43.52, 44.32, 4866800, 44.32, 0, 1, 44.119999, -999
20161019, 44.23, 44.290001, 43.720001, 43.790001, 4531100, 43.790001, 0, 1, 44.0100005, -999
20161018, 44.009998, 44.75, 43.959999, 44.18, 7676300, 44.18, 0, 1, 44.094999, -999
20161017, 43.630001, 43.700001, 43.330002, 43.529999, 4725800, 43.529999, 0, 1, 43.58, -999
20161014, 43.57, 44.330002, 43.41, 43.689999, 8669000, 43.689999, 0, 1, 43.6299995, -999
20161013, 42.98, 43.43, 42.630001, 43.16, 4186400, 43.16, 0, 1, 43.07, -999
20161012, 42.790001, 43.41, 42.700001, 43.330002, 5586500, 43.330002, 0, 1, 43.0600015, -999
20161011, 43.560001, 43.639999, 42.509998, 42.900002, 7005600, 42.900002, 0, 1, 43.2300015, -999
20161010, 43.959999, 44.240002, 43.700001, 43.790001, 4564400, 43.790001, 0, 1, 43.875, -999
20161007, 44.09, 44.470001, 43.720001, 43.919998, 5604200, 43.919998, 0, 1, 44.004999, -999
20161006, 44.549999, 44.599998, 43.759998, 43.990002, 6222500, 43.990002, 0, 1, 44.2700005, -999
20161005, 44.099998, 44.610001, 43.990002, 44.529999, 5807000, 44.529999, 0, 1, 44.3149985, -999
20161004, 44.200001, 44.349998, 43.779999, 44.130001, 5786500, 44.130001, 0, 1, 44.165001, -999
20161003, 44.299999, 44.549999, 43.959999, 44.099998, 5452200, 44.099998, 0, 1, 44.1999985, -999
20160930, 44.369999, 44.459999, 43.990002, 44.299999, 7844500, 44.299999, 0, 1, 44.334999, -999
20160929, 44.150002, 44.43, 43.830002, 44.209999, 8464700, 44.209999, 0, 1, 44.1800005, -999
20160928, 44.200001, 44.419998, 43.759998, 44.16, 5579700, 44.16, 0, 1, 44.1800005, -999
20160927, 43.91, 44.27, 43.669998, 44.209999, 8862000, 44.209999, 0, 1, 44.0599995, -999
20160926, 44.220001, 44.34, 43.93, 43.98, 4426600, 43.98, 0, 1, 44.1000005, -999
20160923, 44.98, 45.119999, 44.099998, 44.360001, 8694700, 44.360001, 0, 1, 44.6700005, -999
20160922, 44.860001, 45.119999, 44.41, 44.509998, 5873400, 44.509998, 0, 1, 44.6849995, -999
20160921, 44.889999, 44.889999, 43.849998, 44.669998, 9032900, 44.669998, 0, 1, 44.7799985, -999
20160920, 44.259998, 44.779999, 44.099998, 44.130001, 6055500, 44.130001, 0, 1, 44.1949995, -999
20160919, 44.580002, 44.84, 44, 44.119999, 8135700, 44.119999, 0, 1, 44.3500005, -999
20160916, 44.669998, 44.669998, 44.049999, 44.419998, 40786800, 44.419998, 0, 1, 44.544998, -999
20160915, 43.619999, 44.759998, 43.5, 44.59, 12341300, 44.59, 0, 1, 44.1049995, -999
20160914, 43.48, 44.029999, 43.43, 43.66, 7760600, 43.66, 0, 1, 43.57, -999
20160913, 43.220001, 43.57, 42.790001, 43.41, 9135000, 43.41, 0, 1, 43.3150005, -999
20160912, 41.950001, 43.540001, 41.849998, 43.459999, 11055500, 43.459999, 0, 1, 42.705, -999
20160909, 42.790001, 43.150002, 42.290001, 42.290001, 8149600, 42.290001, 0, 1, 42.540001, -999
20160908, 43.360001, 43.380001, 42.73, 43.299999, 8130100, 43.299999, 0, 1, 43.33, -999
20160907, 43.740002, 44.23, 43.23, 43.380001, 9686800, 43.380001, 0, 1, 43.5600015, -999
20160906, 43, 43.689999, 42.599998, 43.509998, 13586000, 43.509998, 0, 1, 43.254999, -999
20160902, 42.290001, 43.099998, 42.23, 42.799999, 8730700, 42.799999, 0, 1, 42.545, -999
20160901, 41.439999, 42.279999, 41.41, 42.150002, 7821200, 42.150002, 0, 1, 41.7950005, -999
20160831, 41.41, 41.57, 41.119999, 41.369999, 5751200, 41.369999, 0, 1, 41.3899995, -999
20160830, 41.330002, 41.630001, 41.130001, 41.580002, 5657900, 41.580002, 0, 1, 41.455002, -999
20160829, 41.110001, 41.599998, 41.02, 41.290001, 5917400, 41.290001, 0, 1, 41.200001, -999
20160826, 40.950001, 41.209999, 40.650002, 41.049999, 6890800, 41.049999, 0, 1, 41, -999
20160825, 40.470001, 41.009998, 40.400002, 40.990002, 7901500, 40.990002, 0, 1, 40.7300015, -999
20160824, 40.68, 40.75, 40.439999, 40.669998, 5037800, 40.669998, 0, 1, 40.674999, -999
20160823, 40.23, 40.720001, 40.23, 40.639999, 6391000, 40.639999, 0, 1, 40.4349995, -999
20160822, 39.990002, 40.169998, 39.810001, 40.119999, 4581900, 40.119999, 0, 1, 40.0550005, -999
20160819, 40.130001, 40.290001, 39.779999, 39.98, 6064300, 39.98, 0, 1, 40.0550005, -999
20160818, 39.990002, 40.32, 39.84, 40.02, 7273100, 40.02, 0, 1, 40.005001, -999
20160817, 39.549999, 39.959999, 39.34, 39.880001, 11513500, 39.880001, 0, 1, 39.715, -999
20160816, 40.25, 40.75, 39.290001, 39.310001, 26068600, 39.310001, 0, 1, 39.7800005, -999
