Ticker: AWRE  Created on: 2/13/2017 1:32:52 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 4.9, 5.2, 4.85, 5.1, 62700, 5.1, 0, 1, 5, -999
20170209, 4.85, 5.05, 4.8, 4.95, 76100, 4.95, 0, 1, 4.9, -999
20170208, 5.33, 5.5, 4.41, 5.05, 232600, 5.05, 0, 1, 5.19, -999
20170207, 6.25, 6.25, 5.5, 5.65, 214300, 5.65, 0, 1, 5.95, -999
20170206, 6.25, 6.35, 6.15, 6.15, 30900, 6.15, 0, 1, 6.2, -999
20170203, 6.2, 6.25, 6.15, 6.25, 33700, 6.25, 0, 1, 6.225, -999
20170202, 6.1, 6.5, 6.05, 6.2, 184600, 6.2, 0, 1, 6.15, -999
20170201, 6.2, 6.2, 6.05, 6.15, 19400, 6.15, 0, 1, 6.175, -999
20170131, 6.1, 6.2, 6.1, 6.2, 18300, 6.2, 0, 1, 6.15, -999
20170130, 6, 6.2, 6, 6.2, 96500, 6.2, 0, 1, 6.1, -999
20170127, 6, 6.1, 6, 6.05, 21700, 6.05, 0, 1, 6.025, -999
20170126, 6.15, 6.15, 6, 6.05, 43600, 6.05, 0, 1, 6.1, -999
20170125, 6, 6.25, 6, 6.2, 56700, 6.2, 0, 1, 6.1, -999
20170124, 6.15, 6.15, 6.05, 6.05, 25200, 6.05, 0, 1, 6.1, -999
20170123, 6.2, 6.2, 6.06, 6.15, 58500, 6.15, 0, 1, 6.175, -999
20170120, 6.2, 6.2, 6.1, 6.15, 26700, 6.15, 0, 1, 6.175, -999
20170119, 6.2, 6.25, 6.12, 6.2, 43000, 6.2, 0, 1, 6.2, -999
20170118, 6.1, 6.45, 5.9, 6.15, 77800, 6.15, 0, 1, 6.125, -999
20170117, 6.35, 6.39, 5.95, 6.05, 139800, 6.05, 0, 1, 6.2, -999
20170113, 6.3, 6.5, 6.3, 6.4, 95200, 6.4, 0, 1, 6.35, -999
20170112, 6.25, 6.4, 6.2, 6.3, 63800, 6.3, 0, 1, 6.275, -999
20170111, 6.2, 6.48, 6.2, 6.35, 161900, 6.35, 0, 1, 6.275, -999
20170110, 6.25, 6.3, 6.18, 6.2, 44100, 6.2, 0, 1, 6.225, -999
20170109, 6.15, 6.25, 6.1, 6.2, 55200, 6.2, 0, 1, 6.175, -999
20170106, 6.3, 6.3, 6.05, 6.15, 68400, 6.15, 0, 1, 6.225, -999
20170105, 6.25, 6.4, 6.2, 6.3, 132400, 6.3, 0, 1, 6.275, -999
20170104, 6.2, 6.45, 6.1, 6.25, 159400, 6.25, 0, 1, 6.225, -999
20170103, 6.2, 6.2, 5.99, 6.15, 97900, 6.15, 0, 1, 6.175, -999
20161230, 6.15, 6.15, 6.1, 6.1, 38100, 6.1, 0, 1, 6.125, -999
20161229, 6.05, 6.2, 6.02, 6.15, 121900, 6.15, 0, 1, 6.1, -999
20161228, 6.05, 6.1, 6, 6.05, 20100, 6.05, 0, 1, 6.05, -999
20161227, 6, 6.11, 5.9, 6.05, 35800, 6.05, 0, 1, 6.025, -999
20161223, 5.95, 6, 5.9, 5.95, 18900, 5.95, 0, 1, 5.95, -999
20161222, 5.95, 6, 5.9, 5.9, 12000, 5.9, 0, 1, 5.925, -999
20161221, 5.95, 6, 5.75, 5.9, 65200, 5.9, 0, 1, 5.925, -999
20161220, 6.05, 6.1, 5.95, 5.95, 48200, 5.95, 0, 1, 6, -999
20161219, 6.05, 6.14, 6, 6.1, 91100, 6.1, 0, 1, 6.075, -999
20161216, 6, 6.05, 5.9, 6, 111800, 6, 0, 1, 6, -999
20161215, 5.95, 5.95, 5.9, 5.95, 47700, 5.95, 0, 1, 5.95, -999
20161214, 5.9, 5.95, 5.8, 5.9, 17500, 5.9, 0, 1, 5.9, -999
20161213, 5.6, 5.9, 5.45, 5.9, 73600, 5.9, 0, 1, 5.75, -999
20161212, 5.9, 5.95, 5.4, 5.5, 145400, 5.5, 0, 1, 5.7, -999
20161209, 5.95, 6.1, 5.8, 5.8, 105400, 5.8, 0, 1, 5.875, -999
20161208, 6.25, 6.7, 6.05, 6.15, 230700, 6.15, 0, 1, 6.2, -999
20161207, 5.95, 6.3, 5.9, 6.15, 258000, 6.15, 0, 1, 6.05, -999
20161206, 5.95, 6, 5.85, 5.9, 72300, 5.9, 0, 1, 5.925, -999
20161205, 5.9, 6, 5.8, 5.9, 91000, 5.9, 0, 1, 5.9, -999
20161202, 5.7, 5.89, 5.7, 5.8, 27100, 5.8, 0, 1, 5.75, -999
20161201, 5.85, 5.9, 5.65, 5.7, 75100, 5.7, 0, 1, 5.775, -999
20161130, 5.85, 5.95, 5.8, 5.8, 82000, 5.8, 0, 1, 5.825, -999
20161129, 5.9, 5.95, 5.8, 5.8, 59600, 5.8, 0, 1, 5.85, -999
20161128, 5.9, 6, 5.75, 5.85, 73200, 5.85, 0, 1, 5.875, -999
20161125, 5.8, 5.85, 5.79, 5.85, 47300, 5.85, 0, 1, 5.825, -999
20161123, 5.75, 5.8, 5.7, 5.8, 101700, 5.8, 0, 1, 5.775, -999
20161122, 5.6, 6, 5.6, 5.75, 89500, 5.75, 0, 1, 5.675, -999
20161121, 5.65, 5.7, 5.6, 5.6, 45500, 5.6, 0, 1, 5.625, -999
20161118, 5.6, 5.7, 5.31, 5.65, 38000, 5.65, 0, 1, 5.625, -999
20161117, 5.65, 5.67, 5.55, 5.65, 34500, 5.65, 0, 1, 5.65, -999
20161116, 5.65, 5.65, 5.45, 5.65, 33500, 5.65, 0, 1, 5.65, -999
20161115, 5.6, 5.74, 5.55, 5.6, 98300, 5.6, 0, 1, 5.6, -999
20161114, 5.45, 5.69, 5.35, 5.45, 76700, 5.45, 0, 1, 5.45, -999
20161111, 5.25, 5.5, 5.2, 5.4, 63500, 5.4, 0, 1, 5.325, -999
20161110, 5.2, 5.25, 5.1, 5.25, 59600, 5.25, 0, 1, 5.225, -999
20161109, 5, 5.25, 5, 5.25, 31900, 5.25, 0, 1, 5.125, -999
20161108, 5.25, 5.25, 5, 5.13, 27400, 5.13, 0, 1, 5.19, -999
20161107, 5.05, 5.2, 5.05, 5.15, 28300, 5.15, 0, 1, 5.1, -999
20161104, 5.15, 5.25, 5.05, 5.05, 35100, 5.05, 0, 1, 5.1, -999
20161103, 5.1, 5.25, 5.06, 5.15, 22100, 5.15, 0, 1, 5.125, -999
20161102, 5.05, 5.15, 4.9, 5.1, 42000, 5.1, 0, 1, 5.075, -999
20161101, 5.25, 5.25, 5.05, 5.05, 39600, 5.05, 0, 1, 5.15, -999
20161031, 5.15, 5.35, 5.1, 5.23, 54000, 5.23, 0, 1, 5.19, -999
20161028, 5.25, 5.4, 5.05, 5.15, 70600, 5.15, 0, 1, 5.2, -999
20161027, 5.25, 5.33, 5.1, 5.25, 38600, 5.25, 0, 1, 5.25, -999
20161026, 5, 5.25, 4.91, 5.2, 23600, 5.2, 0, 1, 5.1, -999
20161025, 5, 5.2, 4.95, 5.2, 32500, 5.2, 0, 1, 5.1, -999
20161024, 5.2, 5.2, 5, 5.1, 32700, 5.1, 0, 1, 5.15, -999
