Ticker: AYA  Created on: 2/13/2017 1:33:24 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 14.54, 14.65, 14.45, 14.65, 44600, 14.65, 0, 1, 14.595, -999
20170209, 14.15, 14.55, 14.15, 14.4, 82800, 14.4, 0, 1, 14.275, -999
20170208, 14.1, 14.3, 14.05, 14.25, 64900, 14.25, 0, 1, 14.175, -999
20170207, 14.2, 14.25, 14.1, 14.2, 52100, 14.2, 0, 1, 14.2, -999
20170206, 14.1, 14.25, 14.05, 14.2, 57100, 14.2, 0, 1, 14.15, -999
20170203, 14.05, 14.4, 14.05, 14.2, 109900, 14.2, 0, 1, 14.125, -999
20170202, 14.05, 14.05, 13.85, 14.05, 81000, 14.05, 0, 1, 14.05, -999
20170201, 13.65, 14.2, 13.6, 14.05, 76400, 14.05, 0, 1, 13.85, -999
20170131, 13.7, 13.85, 13.6, 13.75, 69100, 13.75, 0, 1, 13.725, -999
20170130, 13.85, 13.85, 13.7, 13.75, 50500, 13.75, 0, 1, 13.8, -999
20170127, 13.7, 13.93, 13.7, 13.9, 20000, 13.9, 0, 1, 13.8, -999
20170126, 13.9, 13.95, 13.75, 13.8, 32200, 13.8, 0, 1, 13.85, -999
20170125, 13.95, 14.1, 13.75, 13.85, 122000, 13.85, 0, 1, 13.9, -999
20170124, 13.85, 14.15, 13.8, 13.95, 119300, 13.95, 0, 1, 13.9, -999
20170123, 13.75, 13.85, 13.65, 13.75, 54800, 13.75, 0, 1, 13.75, -999
20170120, 13.55, 13.8, 13.55, 13.75, 90200, 13.75, 0, 1, 13.65, -999
20170119, 13.35, 13.4, 13.25, 13.3, 72000, 13.3, 0, 1, 13.325, -999
20170118, 13.6, 13.7, 13.3, 13.35, 64200, 13.35, 0, 1, 13.475, -999
20170117, 13.8, 13.8, 13.36, 13.6, 67900, 13.6, 0, 1, 13.7, -999
20170113, 14.05, 14.18, 13.8, 13.8, 51400, 13.8, 0, 1, 13.925, -999
20170112, 14.21, 14.25, 13.95, 14.05, 63800, 14.05, 0, 1, 14.13, -999
20170111, 14.25, 14.28, 13.95, 14.2, 90900, 14.2, 0, 1, 14.225, -999
20170110, 14.6, 14.6, 14.2, 14.25, 86400, 14.25, 0, 1, 14.425, -999
20170109, 14.4, 14.6, 14.27, 14.55, 44500, 14.55, 0, 1, 14.475, -999
20170106, 14.3, 14.4, 14.25, 14.4, 21800, 14.4, 0, 1, 14.35, -999
20170105, 14.4, 14.7, 14.3, 14.35, 60500, 14.35, 0, 1, 14.375, -999
20170104, 14.55, 14.76, 14.5, 14.6, 127200, 14.6, 0, 1, 14.575, -999
20170103, 13.95, 14.6, 13.95, 14.45, 137000, 14.45, 0, 1, 14.2, -999
20161230, 13.9, 14.18, 13.9, 14.15, 99500, 14.15, 0, 1, 14.025, -999
20161229, 14, 14.13, 13.9, 14.1, 49700, 14.1, 0, 1, 14.05, -999
20161228, 14.1, 14.1, 13.94, 14.05, 62800, 14.05, 0, 1, 14.075, -999
20161227, 13.95, 14.1, 13.85, 14.05, 32700, 14.05, 0, 1, 14, -999
20161223, 14.15, 14.2, 13.9, 14.05, 66800, 14.05, 0, 1, 14.1, -999
20161222, 14.2, 14.25, 14.08, 14.15, 74400, 14.15, 0, 1, 14.175, -999
20161221, 14.25, 14.33, 13.95, 14.2, 143100, 14.2, 0, 1, 14.225, -999
20161220, 13.4, 14.55, 13.35, 14.25, 730200, 14.25, 0, 1, 13.825, -999
20161219, 14.3, 14.55, 14.3, 14.45, 227800, 14.45, 0, 1, 14.375, -999
20161216, 14.3, 14.48, 14.18, 14.35, 74600, 14.35, 0, 1, 14.325, -999
20161215, 14.45, 14.45, 14.05, 14.4, 43300, 14.4, 0, 1, 14.425, -999
20161214, 14.5, 14.78, 14.35, 14.45, 95800, 14.45, 0, 1, 14.475, -999
20161213, 14.05, 14.5, 14, 14.5, 67800, 14.5, 0, 1, 14.275, -999
20161212, 14.5, 14.5, 13.85, 14.05, 16800, 14.05, 0, 1, 14.275, -999
20161209, 14.55, 14.6, 14.25, 14.45, 77100, 14.45, 0, 1, 14.5, -999
20161208, 14.6, 14.65, 14.5, 14.6, 126100, 14.6, 0, 1, 14.6, -999
20161207, 14.5, 14.65, 14.45, 14.55, 124600, 14.55, 0, 1, 14.525, -999
20161206, 14.35, 14.6, 14.3, 14.6, 105700, 14.6, 0, 1, 14.475, -999
20161205, 14.5, 14.63, 14.35, 14.4, 166400, 14.4, 0, 1, 14.45, -999
20161202, 14.45, 14.6, 14.15, 14.35, 92100, 14.35, 0, 1, 14.4, -999
20161201, 14.65, 14.85, 14.1, 14.3, 187300, 14.3, 0, 1, 14.475, -999
20161130, 14.95, 15, 14.55, 14.55, 126200, 14.55, 0, 1, 14.75, -999
20161129, 14.9, 14.98, 14.7, 14.9, 102700, 14.9, 0, 1, 14.9, -999
20161128, 14.9, 15, 14.8, 14.95, 159900, 14.95, 0, 1, 14.925, -999
20161125, 14.35, 15.3, 14.05, 15, 389100, 15, 0, 1, 14.675, -999
20161123, 13.85, 14.45, 13.6, 13.95, 273100, 13.95, 0, 1, 13.9, -999
20161122, 14.7, 14.8, 13.35, 13.85, 1011700, 13.85, 0, 1, 14.275, -999
20161121, 15.1, 15.25, 14.65, 14.85, 511100, 14.85, 0, 1, 14.975, -999
20161118, 15.9, 15.9, 14.5, 14.95, 419800, 14.95, 0, 1, 15.425, -999
20161117, 14.75, 15.4, 14.75, 15.4, 467200, 15.4, 0, 1, 15.075, -999
20161116, 14.75, 14.95, 14.48, 14.65, 305800, 14.65, 0, 1, 14.7, -999
20161115, 15.45, 15.65, 14.75, 14.8, 415600, 14.8, 0, 1, 15.125, -999
20161114, 15.65, 16, 15.26, 15.5, 997900, 15.5, 0, 1, 15.575, -999
20161111, 13.7, 13.7, 13.5, 13.6, 112300, 13.6, 0, 1, 13.65, -999
20161110, 13.45, 13.68, 13.2, 13.6, 144500, 13.6, 0, 1, 13.525, -999
20161109, 13.25, 13.6, 12.85, 13.35, 162000, 13.35, 0, 1, 13.3, -999
20161108, 13.35, 13.45, 13.23, 13.3, 130200, 13.3, 0, 1, 13.325, -999
20161107, 13.25, 13.5, 13.15, 13.4, 170000, 13.4, 0, 1, 13.325, -999
20161104, 13.45, 13.45, 13, 13, 201500, 13, 0, 1, 13.225, -999
20161103, 13.35, 13.5, 13.3, 13.45, 240600, 13.45, 0, 1, 13.4, -999
20161102, 13.25, 13.53, 13.2, 13.4, 262200, 13.4, 0, 1, 13.325, -999
20161101, 13.4, 13.55, 13.15, 13.35, 187700, 13.35, 0, 1, 13.375, -999
20161031, 13.35, 13.5, 13.35, 13.45, 375400, 13.45, 0, 1, 13.4, -999
20161028, 13.44, 13.7, 13.35, 13.52, 107400, 13.52, 0, 1, 13.48, -999
20161027, 13.37, 13.64, 13.33, 13.48, 225900, 13.48, 0, 1, 13.425, -999
20161026, 13.38, 13.48, 13.25, 13.4, 145700, 13.4, 0, 1, 13.39, -999
20161025, 13.69, 13.88, 13.38, 13.43, 221300, 13.43, 0, 1, 13.56, -999
20161024, 14.06, 14.1, 13.35, 13.72, 293300, 13.72, 0, 1, 13.89, -999
20161021, 14.02, 14.16, 13.7, 13.76, 182500, 13.76, 0, 1, 13.89, -999
20161020, 13.75, 14.08, 13.29, 14.02, 381800, 14.02, 0, 1, 13.885, -999
20161019, 14.5, 14.52, 13.76, 13.85, 392600, 13.85, 0, 1, 14.175, -999
20161018, 14.52, 14.56, 13.91, 14.24, 1035400, 14.24, 0, 1, 14.38, -999
20161017, 15.93, 16.15, 15.43, 15.49, 137700, 15.49, 0, 1, 15.71, -999
20161014, 16.290001, 16.5, 15.7, 15.87, 230000, 15.87, 0, 1, 16.0800005, -999
20161013, 17.030001, 17.139999, 15.65, 16.24, 458800, 16.24, 0, 1, 16.6350005, -999
20161012, 16.889999, 17.5, 16.639999, 17.26, 177800, 17.26, 0, 1, 17.0749995, -999
20161011, 16.15, 17.309999, 16.15, 17.07, 692300, 17.07, 0, 1, 16.61, -999
20161010, 16.85, 16.98, 16.08, 16.09, 312700, 16.09, 0, 1, 16.47, -999
20161007, 16.16, 17.5, 15.71, 16.75, 269200, 16.75, 0, 1, 16.455, -999
20161006, 16.32, 16.32, 16.030001, 16.23, 55000, 16.23, 0, 1, 16.275, -999
20161005, 16.290001, 16.379999, 16.110001, 16.299999, 102800, 16.299999, 0, 1, 16.295, -999
20161004, 16.25, 16.370001, 16, 16.17, 60200, 16.17, 0, 1, 16.21, -999
20161003, 16.18, 16.41, 16.15, 16.280001, 53000, 16.280001, 0, 1, 16.2300005, -999
20160930, 16.09, 16.309999, 16.09, 16.200001, 169400, 16.200001, 0, 1, 16.1450005, -999
20160929, 16.059999, 16.200001, 16.040001, 16.049999, 262900, 16.049999, 0, 1, 16.054999, -999
20160928, 15.95, 16.08, 15.92, 16.059999, 91300, 16.059999, 0, 1, 16.0049995, -999
20160927, 15.87, 16.07, 15.73, 15.91, 116800, 15.91, 0, 1, 15.89, -999
20160926, 15.8, 15.92, 15.79, 15.83, 50600, 15.83, 0, 1, 15.815, -999
20160923, 15.78, 15.97, 15.64, 15.94, 101200, 15.94, 0, 1, 15.86, -999
20160922, 15.91, 15.92, 15.64, 15.76, 46400, 15.76, 0, 1, 15.835, -999
20160921, 15.62, 15.94, 15.47, 15.65, 139700, 15.65, 0, 1, 15.635, -999
20160920, 15.65, 15.67, 15.53, 15.55, 80900, 15.55, 0, 1, 15.6, -999
20160919, 15.7, 15.87, 15.46, 15.55, 49500, 15.55, 0, 1, 15.625, -999
20160916, 15.65, 15.74, 15.45, 15.66, 100200, 15.66, 0, 1, 15.655, -999
20160915, 15.42, 15.76, 15.4, 15.65, 91100, 15.65, 0, 1, 15.535, -999
20160914, 15.37, 15.46, 15.27, 15.4, 47700, 15.4, 0, 1, 15.385, -999
20160913, 15.33, 15.41, 14.99, 15.36, 102500, 15.36, 0, 1, 15.345, -999
20160912, 15.79, 15.79, 15.27, 15.38, 163200, 15.38, 0, 1, 15.585, -999
20160909, 16.040001, 16.110001, 15.52, 15.99, 147400, 15.99, 0, 1, 16.0150005, -999
20160908, 16.299999, 16.299999, 15.64, 16.24, 122700, 16.24, 0, 1, 16.2699995, -999
20160907, 16.059999, 16.309999, 15.84, 16.18, 183300, 16.18, 0, 1, 16.1199995, -999
20160906, 15.55, 16.08, 15.54, 15.98, 190800, 15.98, 0, 1, 15.765, -999
20160902, 15.04, 15.5, 15.04, 15.44, 60000, 15.44, 0, 1, 15.24, -999
20160901, 14.96, 15.2, 14.89, 15.01, 38800, 15.01, 0, 1, 14.985, -999
20160831, 14.99, 15.12, 14.8, 15.02, 47400, 15.02, 0, 1, 15.005, -999
20160830, 15, 15.24, 14.91, 14.97, 41600, 14.97, 0, 1, 14.985, -999
20160829, 15.31, 15.33, 14.97, 15.07, 93600, 15.07, 0, 1, 15.19, -999
20160826, 15.59, 15.73, 15.27, 15.37, 75600, 15.37, 0, 1, 15.48, -999
20160825, 15.62, 15.66, 15.48, 15.61, 30300, 15.61, 0, 1, 15.615, -999
20160824, 15.59, 15.76, 15.51, 15.63, 48100, 15.63, 0, 1, 15.61, -999
20160823, 15.98, 16.040001, 15.54, 15.59, 95300, 15.59, 0, 1, 15.785, -999
20160822, 16.25, 16.299999, 15.7, 15.9, 77800, 15.9, 0, 1, 16.075, -999
20160819, 15.73, 16.34, 15.6, 16.299999, 290700, 16.299999, 0, 1, 16.0149995, -999
20160818, 15.5, 15.91, 15.3, 15.76, 174200, 15.76, 0, 1, 15.63, -999
20160817, 15.63, 15.65, 15.18, 15.46, 161200, 15.46, 0, 1, 15.545, -999
20160816, 15.6, 16.120001, 15.53, 15.67, 203800, 15.67, 0, 1, 15.635, -999
20160815, 16.209999, 16.209999, 15.4, 15.56, 176700, 15.56, 0, 1, 15.8849995, -999
20160812, 17.57, 17.57, 14.51, 16.129999, 891600, 16.129999, 0, 1, 16.8499995, -999
