Ticker: BLIN  Created on: 2/13/2017 1:32:53 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 0.65, 0.65, 0.63, 0.63, 41600, 0.63, 0, 1, 0.64, -999
20170209, 0.66, 0.66, 0.63, 0.63, 43800, 0.63, 0, 1, 0.645, -999
20170208, 0.62, 0.65, 0.62, 0.63, 36300, 0.63, 0, 1, 0.625, -999
20170207, 0.64, 0.64, 0.62, 0.64, 64300, 0.64, 0, 1, 0.64, -999
20170206, 0.64, 0.66, 0.62, 0.65, 53800, 0.65, 0, 1, 0.645, -999
20170203, 0.63, 0.66, 0.62, 0.63, 46000, 0.63, 0, 1, 0.63, -999
20170202, 0.63, 0.7, 0.63, 0.64, 46200, 0.64, 0, 1, 0.635, -999
20170201, 0.7, 0.71, 0.62, 0.63, 107500, 0.63, 0, 1, 0.665, -999
20170131, 0.7, 0.7, 0.66, 0.7, 114100, 0.7, 0, 1, 0.7, -999
20170130, 0.78, 0.78, 0.67, 0.7, 228800, 0.7, 0, 1, 0.74, -999
20170127, 0.76, 0.78, 0.73, 0.77, 50300, 0.77, 0, 1, 0.765, -999
20170126, 0.77, 0.77, 0.73, 0.74, 45800, 0.74, 0, 1, 0.755, -999
20170125, 0.78, 0.78, 0.74, 0.75, 40500, 0.75, 0, 1, 0.765, -999
20170124, 0.75, 0.78, 0.72, 0.76, 149600, 0.76, 0, 1, 0.755, -999
20170123, 0.7, 0.77, 0.7, 0.74, 170900, 0.74, 0, 1, 0.72, -999
20170120, 0.72, 0.72, 0.69, 0.69, 45500, 0.69, 0, 1, 0.705, -999
20170119, 0.73, 0.73, 0.69, 0.72, 23900, 0.72, 0, 1, 0.725, -999
20170118, 0.73, 0.73, 0.67, 0.69, 30300, 0.69, 0, 1, 0.71, -999
20170117, 0.75, 0.75, 0.68, 0.73, 66300, 0.73, 0, 1, 0.74, -999
20170113, 0.7, 0.74, 0.7, 0.72, 29000, 0.72, 0, 1, 0.71, -999
20170112, 0.74, 0.74, 0.68, 0.7, 51400, 0.7, 0, 1, 0.72, -999
20170111, 0.71, 0.78, 0.7, 0.74, 337700, 0.74, 0, 1, 0.725, -999
20170110, 0.7, 0.71, 0.68, 0.7, 30600, 0.7, 0, 1, 0.7, -999
20170109, 0.7, 0.71, 0.67, 0.67, 79300, 0.67, 0, 1, 0.685, -999
20170106, 0.66, 0.7, 0.66, 0.67, 71400, 0.67, 0, 1, 0.665, -999
20170105, 0.66, 0.67, 0.66, 0.66, 7800, 0.66, 0, 1, 0.66, -999
20170104, 0.67, 0.69, 0.62, 0.63, 35700, 0.63, 0, 1, 0.65, -999
20170103, 0.64, 0.66, 0.63, 0.66, 21100, 0.66, 0, 1, 0.65, -999
20161230, 0.67, 0.67, 0.63, 0.64, 10200, 0.64, 0, 1, 0.655, -999
20161229, 0.66, 0.67, 0.64, 0.64, 28900, 0.64, 0, 1, 0.65, -999
20161228, 0.64, 0.67, 0.64, 0.67, 42600, 0.67, 0, 1, 0.655, -999
20161227, 0.7, 0.7, 0.64, 0.64, 28700, 0.64, 0, 1, 0.67, -999
20161223, 0.7, 0.71, 0.66, 0.66, 25800, 0.66, 0, 1, 0.68, -999
20161222, 0.68, 0.69, 0.66, 0.66, 14200, 0.66, 0, 1, 0.67, -999
20161221, 0.64, 0.73, 0.63, 0.68, 382100, 0.68, 0, 1, 0.66, -999
20161220, 0.63, 0.66, 0.63, 0.64, 36200, 0.64, 0, 1, 0.635, -999
20161219, 0.68, 0.68, 0.62, 0.66, 14400, 0.66, 0, 1, 0.67, -999
20161216, 0.66, 0.67, 0.62, 0.67, 20500, 0.67, 0, 1, 0.665, -999
20161215, 0.71, 0.71, 0.61, 0.68, 47600, 0.68, 0, 1, 0.695, -999
20161214, 0.68, 0.71, 0.66, 0.7, 99000, 0.7, 0, 1, 0.69, -999
20161213, 0.61, 0.71, 0.61, 0.69, 78000, 0.69, 0, 1, 0.65, -999
20161212, 0.68, 0.68, 0.61, 0.63, 78800, 0.63, 0, 1, 0.655, -999
20161209, 0.69, 0.69, 0.66, 0.66, 66300, 0.66, 0, 1, 0.675, -999
20161208, 0.69, 0.71, 0.68, 0.68, 64000, 0.68, 0, 1, 0.685, -999
20161207, 0.7, 0.72, 0.67, 0.7, 156600, 0.7, 0, 1, 0.7, -999
20161206, 0.68, 0.68, 0.61, 0.66, 59800, 0.66, 0, 1, 0.67, -999
20161205, 0.61, 0.7, 0.61, 0.68, 26800, 0.68, 0, 1, 0.645, -999
20161202, 0.62, 0.65, 0.61, 0.61, 10700, 0.61, 0, 1, 0.615, -999
20161201, 0.64, 0.64, 0.6, 0.63, 9700, 0.63, 0, 1, 0.635, -999
20161130, 0.63, 0.65, 0.62, 0.63, 23100, 0.63, 0, 1, 0.63, -999
20161129, 0.63, 0.66, 0.61, 0.62, 24500, 0.62, 0, 1, 0.625, -999
20161128, 0.67, 0.7, 0.66, 0.67, 79900, 0.67, 0, 1, 0.67, -999
20161125, 0.62, 0.68, 0.62, 0.68, 14600, 0.68, 0, 1, 0.65, -999
20161123, 0.6, 0.65, 0.6, 0.65, 27100, 0.65, 0, 1, 0.625, -999
20161122, 0.67, 0.67, 0.59, 0.66, 16200, 0.66, 0, 1, 0.665, -999
20161121, 0.6, 0.65, 0.6, 0.65, 42900, 0.65, 0, 1, 0.625, -999
20161118, 0.7, 0.7, 0.6, 0.65, 37800, 0.65, 0, 1, 0.675, -999
20161117, 0.64, 0.68, 0.64, 0.68, 120000, 0.68, 0, 1, 0.66, -999
20161116, 0.69, 0.69, 0.59, 0.64, 44200, 0.64, 0, 1, 0.665, -999
20161115, 0.52, 0.7, 0.52, 0.65, 234400, 0.65, 0, 1, 0.585, -999
20161114, 0.52, 0.53, 0.51, 0.51, 17700, 0.51, 0, 1, 0.515, -999
20161111, 0.51, 0.51, 0.48, 0.48, 17900, 0.48, 0, 1, 0.495, -999
