Ticker: BLKB  Created on: 2/13/2017 1:32:53 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 70.68, 70.870003, 67.18, 70.739998, 761700, 70.739998, 0, 1, 70.709999, -999
20170209, 67.019997, 71.75, 64.82, 70.400002, 2637100, 70.400002, 0, 1, 68.7099995, -999
20170208, 63.220001, 63.25, 61.98, 62.060001, 501200, 62.060001, 0, 1, 62.640001, -999
20170207, 64.949997, 65, 63.470001, 63.509998, 634400, 63.509998, 0, 1, 64.2299975, -999
20170206, 65.190002, 65.68, 64.290001, 64.760002, 340900, 64.760002, 0, 1, 64.975002, -999
20170203, 65.440002, 66, 64.900002, 65.449997, 317600, 65.449997, 0, 1, 65.4449995, -999
20170202, 63.860001, 65.220001, 63.18, 64.809998, 259200, 64.809998, 0, 1, 64.3349995, -999
20170201, 65.739998, 65.989998, 62.849998, 63.869999, 396100, 63.869999, 0, 1, 64.8049985, -999
20170131, 65.910004, 66.190002, 65.199997, 65.610001, 244800, 65.610001, 0, 1, 65.7600025, -999
20170130, 66.809998, 66.809998, 65.120003, 66.209999, 275400, 66.209999, 0, 1, 66.5099985, -999
20170127, 67.32, 67.739998, 66.900002, 67.139999, 215300, 67.139999, 0, 1, 67.2299995, -999
20170126, 67.120003, 67.57, 66.529999, 67.190002, 253600, 67.190002, 0, 1, 67.1550025, -999
20170125, 68.57, 68.75, 66.989998, 67.309998, 320700, 67.309998, 0, 1, 67.939999, -999
20170124, 66.639999, 68.07, 66.480003, 67.870003, 221300, 67.870003, 0, 1, 67.255001, -999
20170123, 66.669998, 67.190002, 65.889999, 66.550003, 205400, 66.550003, 0, 1, 66.6100005, -999
20170120, 66.589996, 67.75, 66.290001, 66.720001, 198200, 66.720001, 0, 1, 66.6549985, -999
20170119, 67.629997, 68, 66.540001, 66.550003, 195300, 66.550003, 0, 1, 67.09, -999
20170118, 67.529999, 67.889999, 66.860001, 67.599998, 152500, 67.599998, 0, 1, 67.5649985, -999
20170117, 68.300003, 68.300003, 66.919998, 67.260002, 234600, 67.260002, 0, 1, 67.7800025, -999
20170113, 68.050003, 69.389999, 67.919998, 68.720001, 213500, 68.720001, 0, 1, 68.385002, -999
20170112, 68.139999, 68.970001, 66.650002, 68.120003, 230800, 68.120003, 0, 1, 68.130001, -999
20170111, 66.389999, 68.519997, 66.239998, 68.370003, 301400, 68.370003, 0, 1, 67.380001, -999
20170110, 66.480003, 67.129997, 65.809998, 66.419998, 189500, 66.419998, 0, 1, 66.4500005, -999
20170109, 66.230003, 66.959999, 65.769997, 66.269997, 223800, 66.269997, 0, 1, 66.25, -999
20170106, 67.040001, 67.040001, 65.580002, 66.169998, 149400, 66.169998, 0, 1, 66.6049995, -999
20170105, 66.709999, 67.389999, 66.330002, 66.82, 214100, 66.82, 0, 1, 66.7649995, -999
