Ticker: BNFT  Created on: 2/13/2017 1:32:52 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 29.25, 29.25, 28.450001, 28.85, 119600, 28.85, 0, 1, 29.05, -999
20170209, 28.4, 29.450001, 28.4, 29.200001, 172300, 29.200001, 0, 1, 28.8000005, -999
20170208, 28.5, 28.700001, 28.040001, 28.450001, 128700, 28.450001, 0, 1, 28.4750005, -999
20170207, 28.799999, 29.200001, 28.35, 28.5, 188900, 28.5, 0, 1, 28.6499995, -999
20170206, 28.549999, 28.9, 28.049999, 28.799999, 173900, 28.799999, 0, 1, 28.674999, -999
20170203, 28.5, 29.049999, 28.4, 28.700001, 102200, 28.700001, 0, 1, 28.6000005, -999
20170202, 28.950001, 29, 27.950001, 28.200001, 146900, 28.200001, 0, 1, 28.575001, -999
20170201, 30.450001, 30.5, 28.450001, 28.950001, 395500, 28.950001, 0, 1, 29.700001, -999
20170131, 30.6, 30.799999, 29.709999, 30.25, 266600, 30.25, 0, 1, 30.425, -999
20170130, 30.950001, 31.15, 30.25, 30.6, 172300, 30.6, 0, 1, 30.7750005, -999
20170127, 30.700001, 31.25, 30.299999, 31.1, 229700, 31.1, 0, 1, 30.9000005, -999
20170126, 31.450001, 31.6, 30.85, 30.9, 124900, 30.9, 0, 1, 31.1750005, -999
20170125, 31.85, 32, 31.15, 31.4, 185500, 31.4, 0, 1, 31.625, -999
20170124, 31.6, 31.950001, 31.25, 31.5, 235500, 31.5, 0, 1, 31.55, -999
20170123, 31.6, 31.75, 30.950001, 31.5, 160700, 31.5, 0, 1, 31.55, -999
20170120, 31.85, 31.879999, 31.299999, 31.700001, 142400, 31.700001, 0, 1, 31.7750005, -999
20170119, 31.15, 31.75, 31, 31.65, 153700, 31.65, 0, 1, 31.4, -999
20170118, 31.1, 31.450001, 30.450001, 31.25, 166900, 31.25, 0, 1, 31.175, -999
20170117, 31.35, 31.799999, 30.85, 30.9, 240800, 30.9, 0, 1, 31.125, -999
20170113, 31.700001, 31.950001, 31.6, 31.799999, 118600, 31.799999, 0, 1, 31.75, -999
20170112, 31.450001, 31.85, 31.049999, 31.75, 151200, 31.75, 0, 1, 31.6000005, -999
20170111, 31.4, 31.85, 31.25, 31.549999, 196900, 31.549999, 0, 1, 31.4749995, -999
20170110, 31.549999, 31.85, 31.280001, 31.5, 192800, 31.5, 0, 1, 31.5249995, -999
20170109, 31.35, 31.75, 30.9, 31.549999, 249900, 31.549999, 0, 1, 31.4499995, -999
20170106, 31.1, 31.5, 30.33, 31.299999, 192400, 31.299999, 0, 1, 31.1999995, -999
20170105, 30.4, 31, 30.200001, 30.85, 178900, 30.85, 0, 1, 30.625, -999
20170104, 30.200001, 30.85, 29.700001, 30.6, 208500, 30.6, 0, 1, 30.4000005, -999
20170103, 30, 30.299999, 29.35, 30, 155200, 30, 0, 1, 30, -999
20161230, 29.950001, 30.049999, 29.4, 29.700001, 103900, 29.700001, 0, 1, 29.825001, -999
20161229, 29.65, 30.049999, 29.450001, 29.85, 128900, 29.85, 0, 1, 29.75, -999
20161228, 30.299999, 30.629999, 29.200001, 29.65, 146300, 29.65, 0, 1, 29.9749995, -999
20161227, 30.25, 30.700001, 29.950001, 30.299999, 75300, 30.299999, 0, 1, 30.2749995, -999
20161223, 29.5, 30.4, 29.5, 30.200001, 103500, 30.200001, 0, 1, 29.8500005, -999
20161222, 29.4, 29.85, 29, 29.450001, 153500, 29.450001, 0, 1, 29.4250005, -999
20161221, 29.549999, 29.85, 29.049999, 29.35, 130100, 29.35, 0, 1, 29.4499995, -999
20161220, 30.1, 30.75, 29.1, 29.6, 231100, 29.6, 0, 1, 29.85, -999
20161219, 30.1, 30.450001, 29.6, 30.1, 165100, 30.1, 0, 1, 30.1, -999
20161216, 29.700001, 30.4, 29.200001, 30.1, 231800, 30.1, 0, 1, 29.9000005, -999
20161215, 29, 29.85, 28.299999, 29.799999, 257800, 29.799999, 0, 1, 29.3999995, -999
20161214, 29.049999, 29.450001, 28.4, 28.85, 209200, 28.85, 0, 1, 28.9499995, -999
20161213, 29.450001, 29.700001, 28.65, 29.25, 101900, 29.25, 0, 1, 29.3500005, -999
20161212, 29.299999, 29.6, 28.73, 29.15, 243900, 29.15, 0, 1, 29.2249995, -999
20161209, 30.049999, 30.549999, 29.35, 29.450001, 220600, 29.450001, 0, 1, 29.75, -999
20161208, 29.700001, 31.200001, 29.35, 30.1, 261200, 30.1, 0, 1, 29.9000005, -999
20161207, 29.1, 29.950001, 28.65, 29.75, 258800, 29.75, 0, 1, 29.425, -999
20161206, 28.299999, 29.75, 27.780001, 29.049999, 354300, 29.049999, 0, 1, 28.674999, -999
20161205, 27.35, 28.75, 27.1, 28.200001, 225200, 28.200001, 0, 1, 27.7750005, -999
20161202, 26.200001, 27.200001, 25.4, 27.1, 292000, 27.1, 0, 1, 26.6500005, -999
20161201, 27.450001, 28.1, 26.049999, 26.299999, 352200, 26.299999, 0, 1, 26.875, -999
20161130, 27.950001, 28.200001, 27.049999, 27.299999, 491900, 27.299999, 0, 1, 27.625, -999
20161129, 28.25, 28.450001, 27.85, 27.950001, 240600, 27.950001, 0, 1, 28.1000005, -999
20161128, 28.1, 28.4, 27.799999, 28.15, 404300, 28.15, 0, 1, 28.125, -999
20161125, 28.15, 28.549999, 27.700001, 28.15, 86700, 28.15, 0, 1, 28.15, -999
20161123, 28.549999, 29.200001, 28, 28.15, 254100, 28.15, 0, 1, 28.3499995, -999
20161122, 28.65, 29, 27, 28.65, 186600, 28.65, 0, 1, 28.65, -999
20161121, 28.700001, 29.6, 28.450001, 28.68, 332600, 28.68, 0, 1, 28.6900005, -999
20161118, 27.85, 28.75, 27.5, 28.700001, 211200, 28.700001, 0, 1, 28.2750005, -999
20161117, 27.85, 28.18, 27.4, 27.75, 154700, 27.75, 0, 1, 27.8, -999
20161116, 27.85, 28.35, 27.450001, 27.75, 227900, 27.75, 0, 1, 27.8, -999
20161115, 27.049999, 28.360001, 27.049999, 27.950001, 412100, 27.950001, 0, 1, 27.5, -999
20161114, 26.35, 27.35, 25.9, 26.950001, 949600, 26.950001, 0, 1, 26.6500005, -999
20161111, 24.799999, 26.950001, 24.549999, 26.1, 936300, 26.1, 0, 1, 25.4499995, -999
20161110, 26.549999, 26.6, 24.65, 24.799999, 559600, 24.799999, 0, 1, 25.674999, -999
20161109, 25.700001, 26.35, 24.75, 25.950001, 269600, 25.950001, 0, 1, 25.825001, -999
20161108, 26.5, 26.85, 26.049999, 26.1, 184300, 26.1, 0, 1, 26.3, -999
20161107, 26.799999, 26.799999, 25.83, 26.450001, 788000, 26.450001, 0, 1, 26.625, -999
20161104, 25, 26.950001, 25, 25.98, 1447800, 25.98, 0, 1, 25.49, -999
20161103, 30.1, 30.48, 29.4, 29.450001, 398900, 29.450001, 0, 1, 29.7750005, -999
20161102, 30.700001, 30.700001, 29.1, 30.049999, 510200, 30.049999, 0, 1, 30.375, -999
20161101, 32.700001, 33.200001, 30.549999, 30.9, 346500, 30.9, 0, 1, 31.8000005, -999
20161031, 33.450001, 33.549999, 31.9, 32.5, 195900, 32.5, 0, 1, 32.9750005, -999
20161028, 33.299999, 34.450001, 33.200001, 33.450001, 254400, 33.450001, 0, 1, 33.375, -999
20161027, 34.849998, 35.450001, 33.049999, 33.400002, 210500, 33.400002, 0, 1, 34.125, -999
20161026, 36.200001, 36.200001, 34.450001, 34.599998, 157200, 34.599998, 0, 1, 35.3999995, -999
20161025, 37.849998, 37.849998, 36.049999, 36.349998, 232700, 36.349998, 0, 1, 37.099998, -999
20161024, 37.950001, 38.299999, 37.549999, 37.900002, 140700, 37.900002, 0, 1, 37.9250015, -999
20161021, 38.099998, 38.099998, 37.150002, 37.599998, 165600, 37.599998, 0, 1, 37.849998, -999
20161020, 39.650002, 39.799999, 38.25, 38.400002, 115000, 38.400002, 0, 1, 39.025002, -999
20161019, 39.5, 40.150002, 38.799999, 39.799999, 157000, 39.799999, 0, 1, 39.6499995, -999
20161018, 40.200001, 40.200001, 39.349998, 39.5, 177500, 39.5, 0, 1, 39.8500005, -999
20161017, 40.049999, 40.099998, 39.150002, 39.799999, 141200, 39.799999, 0, 1, 39.924999, -999
20161014, 39.630001, 40.299999, 39.34, 40, 162800, 40, 0, 1, 39.8150005, -999
20161013, 40.73, 40.73, 39.09, 39.509998, 261000, 39.509998, 0, 1, 40.119999, -999
20161012, 42, 42.240002, 41.049999, 41.150002, 159500, 41.150002, 0, 1, 41.575001, -999
20161011, 42.040001, 42.18, 41.650002, 42, 230200, 42, 0, 1, 42.0200005, -999
20161010, 42, 42.490002, 41.32, 42.200001, 193900, 42.200001, 0, 1, 42.1000005, -999
20161007, 41.639999, 41.98, 41.200001, 41.799999, 148400, 41.799999, 0, 1, 41.719999, -999
20161006, 41.049999, 41.68, 40.57, 41.57, 176300, 41.57, 0, 1, 41.3099995, -999
20161005, 40.169998, 41.25, 40.07, 41.16, 166500, 41.16, 0, 1, 40.664999, -999
20161004, 39.73, 40.41, 39.599998, 40.240002, 218900, 40.240002, 0, 1, 39.985001, -999
20161003, 39.610001, 40.16, 39.23, 39.740002, 131200, 39.740002, 0, 1, 39.6750015, -999
20160930, 39.580002, 40.130001, 39.209999, 39.919998, 95400, 39.919998, 0, 1, 39.75, -999
20160929, 40.549999, 40.549999, 39.5, 39.619999, 80800, 39.619999, 0, 1, 40.084999, -999
20160928, 40.009998, 40.709999, 40.009998, 40.709999, 96300, 40.709999, 0, 1, 40.3599985, -999
20160927, 39.5, 40.040001, 39.310001, 40.009998, 81700, 40.009998, 0, 1, 39.754999, -999
20160926, 39.459999, 39.889999, 39.099998, 39.540001, 74300, 39.540001, 0, 1, 39.5, -999
20160923, 39.540001, 39.900002, 39.349998, 39.82, 103300, 39.82, 0, 1, 39.6800005, -999
20160922, 38.790001, 39.77, 38.130001, 39.68, 143600, 39.68, 0, 1, 39.2350005, -999
20160921, 38.150002, 38.57, 37.630001, 38.43, 248300, 38.43, 0, 1, 38.290001, -999
20160920, 39.099998, 39.099998, 37.709999, 37.779999, 153600, 37.779999, 0, 1, 38.4399985, -999
20160919, 38.880001, 39.189999, 38.25, 38.91, 106100, 38.91, 0, 1, 38.8950005, -999
20160916, 38.700001, 39, 38.25, 38.639999, 311000, 38.639999, 0, 1, 38.67, -999
20160915, 39.18, 39.369999, 38.52, 38.790001, 95700, 38.790001, 0, 1, 38.9850005, -999
20160914, 39.060001, 40.060001, 38.849998, 39.119999, 99900, 39.119999, 0, 1, 39.09, -999
20160913, 40.389999, 40.93, 38.869999, 39.09, 211300, 39.09, 0, 1, 39.7399995, -999
20160912, 39.57, 40.939999, 39.57, 40.889999, 181400, 40.889999, 0, 1, 40.2299995, -999
20160909, 41.310001, 41.599998, 39.389999, 39.990002, 223400, 39.990002, 0, 1, 40.6500015, -999
20160908, 41.880001, 42.299999, 41.299999, 41.650002, 258800, 41.650002, 0, 1, 41.7650015, -999
20160907, 41.02, 42.189999, 41.02, 42.130001, 151000, 42.130001, 0, 1, 41.5750005, -999
20160906, 40.75, 41.360001, 40.490002, 41.209999, 170400, 41.209999, 0, 1, 40.9799995, -999
20160902, 40.82, 41.150002, 40.110001, 40.66, 109200, 40.66, 0, 1, 40.74, -999
20160901, 40.509998, 40.740002, 40.049999, 40.459999, 97600, 40.459999, 0, 1, 40.4849985, -999
20160831, 40.360001, 40.610001, 39.610001, 40.389999, 98300, 40.389999, 0, 1, 40.375, -999
20160830, 40.290001, 40.950001, 40.049999, 40.5, 135000, 40.5, 0, 1, 40.3950005, -999
20160829, 40.990002, 41.02, 39.610001, 40.110001, 233300, 40.110001, 0, 1, 40.5500015, -999
20160826, 41.650002, 42.299999, 40.560001, 40.860001, 134800, 40.860001, 0, 1, 41.2550015, -999
20160825, 41.209999, 41.889999, 40.610001, 41.709999, 187100, 41.709999, 0, 1, 41.459999, -999
20160824, 41.360001, 41.77, 40.869999, 41.169998, 422300, 41.169998, 0, 1, 41.2649995, -999
20160823, 40.529999, 41.52, 40.139999, 41.5, 180500, 41.5, 0, 1, 41.0149995, -999
20160822, 39.900002, 41.279999, 39.52, 40.049999, 267100, 40.049999, 0, 1, 39.9750005, -999
20160819, 40.810001, 42.119999, 39.580002, 39.919998, 265200, 39.919998, 0, 1, 40.3649995, -999
20160818, 41.099998, 41.490002, 40.419998, 40.959999, 176800, 40.959999, 0, 1, 41.0299985, -999
20160817, 40.740002, 41.439999, 40.240002, 40.91, 212000, 40.91, 0, 1, 40.825001, -999
20160816, 42.139999, 42.139999, 39.360001, 40.900002, 121500, 40.900002, 0, 1, 41.5200005, -999
20160815, 42.48, 43.25, 42.080002, 42.169998, 228700, 42.169998, 0, 1, 42.324999, -999
20160812, 42.009998, 42.75, 41.400002, 42.700001, 245800, 42.700001, 0, 1, 42.3549995, -999
20160811, 42.75, 42.799999, 41.900002, 42.029999, 247000, 42.029999, 0, 1, 42.3899995, -999
20160810, 42.540001, 42.75, 42.380001, 42.689999, 102200, 42.689999, 0, 1, 42.615, -999
20160809, 42.23, 42.740002, 41.580002, 42.610001, 204700, 42.610001, 0, 1, 42.4200005, -999
20160808, 42.860001, 43.299999, 41.080002, 42.16, 346100, 42.16, 0, 1, 42.5100005, -999
20160805, 44, 44.259998, 42.049999, 43.439999, 225400, 43.439999, 0, 1, 43.7199995, -999
20160804, 44.560001, 44.98, 42.389999, 44.110001, 550000, 44.110001, 0, 1, 44.335001, -999
20160803, 42.799999, 42.799999, 41.82, 42.540001, 297500, 42.540001, 0, 1, 42.67, -999
20160802, 44.380001, 44.889999, 42.630001, 42.810001, 320800, 42.810001, 0, 1, 43.595001, -999
20160801, 43.189999, 44.349998, 43.189999, 44.34, 144000, 44.34, 0, 1, 43.7649995, -999
20160729, 43.450001, 43.490002, 40.5, 43, 334300, 43, 0, 1, 43.2250005, -999
20160728, 43.540001, 44.91, 43.509998, 44.490002, 184100, 44.490002, 0, 1, 44.0150015, -999
20160727, 43.400002, 43.740002, 42.900002, 43.619999, 102100, 43.619999, 0, 1, 43.5100005, -999
20160726, 43.169998, 43.759998, 42.439999, 43.360001, 86200, 43.360001, 0, 1, 43.2649995, -999
20160725, 42.77, 43.18, 42.57, 43.119999, 62600, 43.119999, 0, 1, 42.9449995, -999
20160722, 42.029999, 43.119999, 41.939999, 42.889999, 87100, 42.889999, 0, 1, 42.459999, -999
20160721, 42.959999, 43.439999, 41.98, 42.119999, 86900, 42.119999, 0, 1, 42.539999, -999
20160720, 42.5, 43.380001, 41.91, 43.080002, 79100, 43.080002, 0, 1, 42.790001, -999
20160719, 42.23, 42.950001, 41.490002, 42.200001, 96900, 42.200001, 0, 1, 42.2150005, -999
20160718, 41.02, 42.68, 40.82, 42.189999, 112300, 42.189999, 0, 1, 41.6049995, -999
20160715, 41.630001, 41.630001, 40.73, 41.200001, 70600, 41.200001, 0, 1, 41.415001, -999
20160714, 41.669998, 42.220001, 40.330002, 41.470001, 124700, 41.470001, 0, 1, 41.5699995, -999
20160713, 42.880001, 42.919998, 40.889999, 41.040001, 138800, 41.040001, 0, 1, 41.960001, -999
