Ticker: BSFT  Created on: 2/13/2017 1:32:53 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 43.25, 43.450001, 42.599998, 43.099998, 135100, 43.099998, 0, 1, 43.174999, -999
20170209, 41.950001, 43.200001, 41.950001, 43.049999, 139300, 43.049999, 0, 1, 42.5, -999
20170208, 41.799999, 42.049999, 41.200001, 41.950001, 138000, 41.950001, 0, 1, 41.875, -999
20170207, 42.150002, 42.439999, 41.25, 41.849998, 105400, 41.849998, 0, 1, 42, -999
20170206, 42.950001, 43, 41.549999, 42.099998, 111800, 42.099998, 0, 1, 42.5249995, -999
20170203, 42.700001, 43.23, 42.349998, 43, 146900, 43, 0, 1, 42.8500005, -999
20170202, 41.599998, 42.450001, 41.549999, 42.299999, 130500, 42.299999, 0, 1, 41.9499985, -999
20170201, 42.400002, 42.700001, 41.400002, 41.549999, 201700, 41.549999, 0, 1, 41.9750005, -999
20170131, 41.900002, 42.450001, 41.75, 42, 237800, 42, 0, 1, 41.950001, -999
20170130, 42.75, 42.75, 41.700001, 42.049999, 139000, 42.049999, 0, 1, 42.3999995, -999
20170127, 43.200001, 43.48, 42.950001, 43.150002, 86600, 43.150002, 0, 1, 43.1750015, -999
20170126, 44.25, 44.25, 42.900002, 43.150002, 146700, 43.150002, 0, 1, 43.700001, -999
20170125, 43.700001, 44.450001, 43.200001, 44.25, 190200, 44.25, 0, 1, 43.9750005, -999
20170124, 41.849998, 43.549999, 40.09, 43.450001, 197200, 43.450001, 0, 1, 42.6499995, -999
20170123, 41.150002, 42, 40.799999, 41.700001, 231300, 41.700001, 0, 1, 41.4250015, -999
20170120, 42.099998, 42.099998, 41.049999, 41.25, 297100, 41.25, 0, 1, 41.674999, -999
20170119, 42.799999, 43.150002, 42.049999, 42.150002, 169400, 42.150002, 0, 1, 42.4750005, -999
20170118, 42.950001, 43, 42.400002, 42.849998, 409700, 42.849998, 0, 1, 42.8999995, -999
20170117, 43.299999, 43.400002, 42.549999, 43.099998, 174600, 43.099998, 0, 1, 43.1999985, -999
20170113, 42.700001, 43.599998, 42.25, 43.599998, 191200, 43.599998, 0, 1, 43.1499995, -999
20170112, 42.849998, 43, 41.599998, 42.549999, 124000, 42.549999, 0, 1, 42.6999985, -999
20170111, 42.700001, 43.200001, 42.450001, 43, 159000, 43, 0, 1, 42.8500005, -999
20170110, 41.950001, 42.700001, 41.700001, 42.700001, 148500, 42.700001, 0, 1, 42.325001, -999
20170109, 41.599998, 42.349998, 41.450001, 41.799999, 202500, 41.799999, 0, 1, 41.6999985, -999
20170106, 42.349998, 42.349998, 41.650002, 41.650002, 95200, 41.650002, 0, 1, 42, -999
20170105, 42.349998, 42.5, 41.25, 42.349998, 128900, 42.349998, 0, 1, 42.349998, -999
20170104, 42, 42.599998, 41.450001, 42.450001, 297300, 42.450001, 0, 1, 42.2250005, -999
20170103, 41.799999, 42.41, 41.349998, 41.75, 189300, 41.75, 0, 1, 41.7749995, -999
20161230, 41.950001, 42.25, 41.150002, 41.25, 208200, 41.25, 0, 1, 41.6000005, -999
20161229, 41.900002, 42.299999, 41.349998, 41.950001, 82200, 41.950001, 0, 1, 41.9250015, -999
