Ticker: BV  Created on: 2/13/2017 1:32:52 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 4.75, 4.8, 4.65, 4.7, 317100, 4.7, 0, 1, 4.725, -999
20170209, 4.8, 4.9, 4.7, 4.75, 392600, 4.75, 0, 1, 4.775, -999
20170208, 4.8, 4.9, 4.7, 4.8, 561500, 4.8, 0, 1, 4.8, -999
20170207, 4.8, 4.9, 4.7, 4.8, 439800, 4.8, 0, 1, 4.8, -999
20170206, 4.8, 4.85, 4.7, 4.75, 275800, 4.75, 0, 1, 4.775, -999
20170203, 4.85, 4.85, 4.75, 4.8, 270100, 4.8, 0, 1, 4.825, -999
20170202, 4.75, 4.85, 4.7, 4.8, 489200, 4.8, 0, 1, 4.775, -999
20170201, 4.75, 4.85, 4.7, 4.75, 491700, 4.75, 0, 1, 4.75, -999
20170131, 4.65, 4.85, 4.6, 4.7, 403700, 4.7, 0, 1, 4.675, -999
20170130, 4.65, 4.75, 4.58, 4.7, 740300, 4.7, 0, 1, 4.675, -999
20170127, 4.65, 4.85, 4.6, 4.65, 815700, 4.65, 0, 1, 4.65, -999
20170126, 4.65, 4.7, 4.5, 4.6, 460600, 4.6, 0, 1, 4.625, -999
20170125, 4.6, 4.75, 4.58, 4.65, 627500, 4.65, 0, 1, 4.625, -999
20170124, 4.5, 4.55, 4.35, 4.55, 531600, 4.55, 0, 1, 4.525, -999
20170123, 4.45, 4.55, 4.3, 4.45, 732800, 4.45, 0, 1, 4.45, -999
20170120, 4.4, 4.5, 4.35, 4.45, 492800, 4.45, 0, 1, 4.425, -999
20170119, 4.55, 4.6, 4.4, 4.4, 402700, 4.4, 0, 1, 4.475, -999
20170118, 4.55, 4.6, 4.43, 4.55, 404000, 4.55, 0, 1, 4.55, -999
20170117, 4.5, 4.6, 4.45, 4.5, 827300, 4.5, 0, 1, 4.5, -999
20170113, 4.45, 4.58, 4.45, 4.5, 826600, 4.5, 0, 1, 4.475, -999
20170112, 4.5, 4.63, 4.35, 4.4, 3471400, 4.4, 0, 1, 4.45, -999
20170111, 4.7, 4.85, 4.43, 4.55, 1265700, 4.55, 0, 1, 4.625, -999
20170110, 4.9, 4.93, 4.65, 4.65, 745700, 4.65, 0, 1, 4.775, -999
20170109, 4.95, 4.95, 4.9, 4.95, 115800, 4.95, 0, 1, 4.95, -999
20170106, 4.85, 5, 4.8, 4.95, 342400, 4.95, 0, 1, 4.9, -999
20170105, 4.95, 5, 4.75, 4.85, 340100, 4.85, 0, 1, 4.9, -999
20170104, 4.8, 5.1, 4.8, 4.95, 419000, 4.95, 0, 1, 4.875, -999
20170103, 4.9, 4.95, 4.75, 4.9, 488500, 4.9, 0, 1, 4.9, -999
20161230, 4.8, 4.9, 4.75, 4.85, 365200, 4.85, 0, 1, 4.825, -999
20161229, 4.75, 4.85, 4.7, 4.85, 406900, 4.85, 0, 1, 4.8, -999
20161228, 4.85, 4.95, 4.7, 4.7, 618400, 4.7, 0, 1, 4.775, -999
20161227, 4.95, 5.05, 4.8, 4.85, 409800, 4.85, 0, 1, 4.9, -999
20161223, 4.9, 4.95, 4.8, 4.9, 177100, 4.9, 0, 1, 4.9, -999
20161222, 5.05, 5.08, 4.9, 4.95, 502800, 4.95, 0, 1, 5, -999
20161221, 5.15, 5.15, 5, 5.1, 270300, 5.1, 0, 1, 5.125, -999
20161220, 5.05, 5.15, 4.95, 5.15, 552600, 5.15, 0, 1, 5.1, -999
20161219, 5.05, 5.05, 4.9, 5, 374200, 5, 0, 1, 5.025, -999
20161216, 4.85, 5.05, 4.8, 5, 624100, 5, 0, 1, 4.925, -999
20161215, 4.7, 4.95, 4.7, 4.85, 465700, 4.85, 0, 1, 4.775, -999
20161214, 4.85, 4.9, 4.6, 4.7, 299600, 4.7, 0, 1, 4.775, -999
20161213, 4.85, 4.9, 4.7, 4.8, 545700, 4.8, 0, 1, 4.825, -999
20161212, 4.95, 4.98, 4.75, 4.8, 581300, 4.8, 0, 1, 4.875, -999
20161209, 4.75, 5.05, 4.7, 4.9, 510500, 4.9, 0, 1, 4.825, -999
20161208, 4.8, 4.9, 4.65, 4.75, 932100, 4.75, 0, 1, 4.775, -999
20161207, 4.85, 4.9, 4.75, 4.8, 665800, 4.8, 0, 1, 4.825, -999
20161206, 4.8, 4.85, 4.65, 4.8, 610100, 4.8, 0, 1, 4.8, -999
20161205, 4.85, 4.9, 4.75, 4.85, 1031100, 4.85, 0, 1, 4.85, -999
20161202, 4.7, 4.85, 4.65, 4.8, 602500, 4.8, 0, 1, 4.75, -999
20161201, 5.3, 5.3, 4.4, 4.7, 2827600, 4.7, 0, 1, 5, -999
20161130, 5.1, 5.3, 4.8, 5.3, 1412100, 5.3, 0, 1, 5.2, -999
20161129, 5.25, 5.25, 5, 5.05, 647900, 5.05, 0, 1, 5.15, -999
20161128, 5.15, 5.3, 5.1, 5.2, 777700, 5.2, 0, 1, 5.175, -999
20161125, 5.15, 5.28, 5, 5.1, 234800, 5.1, 0, 1, 5.125, -999
20161123, 4.95, 5.4, 4.85, 5.15, 857900, 5.15, 0, 1, 5.05, -999
20161122, 5, 5.1, 4.95, 4.95, 381900, 4.95, 0, 1, 4.975, -999
20161121, 4.9, 5, 4.88, 4.95, 468400, 4.95, 0, 1, 4.925, -999
20161118, 4.85, 4.9, 4.8, 4.9, 544800, 4.9, 0, 1, 4.875, -999
20161117, 5, 5, 4.72, 4.8, 926900, 4.8, 0, 1, 4.9, -999
20161116, 4.75, 4.85, 4.65, 4.85, 268500, 4.85, 0, 1, 4.8, -999
20161115, 4.8, 4.9, 4.7, 4.8, 452000, 4.8, 0, 1, 4.8, -999
20161114, 4.95, 5, 4.63, 4.8, 578000, 4.8, 0, 1, 4.875, -999
20161111, 4.75, 4.95, 4.5, 4.9, 637000, 4.9, 0, 1, 4.825, -999
20161110, 4.75, 5.05, 4.7, 4.75, 661900, 4.75, 0, 1, 4.75, -999
20161109, 4.6, 4.8, 4.55, 4.65, 763600, 4.65, 0, 1, 4.625, -999
20161108, 4.75, 4.78, 4.6, 4.65, 542800, 4.65, 0, 1, 4.7, -999
20161107, 4.8, 4.85, 4.7, 4.75, 353800, 4.75, 0, 1, 4.775, -999
20161104, 4.8, 4.88, 4.6, 4.7, 662900, 4.7, 0, 1, 4.75, -999
20161103, 4.7, 4.95, 4.7, 4.85, 723100, 4.85, 0, 1, 4.775, -999
20161102, 4.9, 4.9, 4.6, 4.7, 669100, 4.7, 0, 1, 4.8, -999
20161101, 4.9, 5, 4.75, 4.9, 565200, 4.9, 0, 1, 4.9, -999
