Ticker: CA  Created on: 2/13/2017 1:32:54 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 31.6, 31.879999, 31.469999, 31.77, 2261800, 31.77, 0, 1, 31.685, -999
20170209, 31.440001, 31.940001, 31.360001, 31.59, 2421500, 31.59, 0, 1, 31.5150005, -999
20170208, 31.559999, 31.65, 31.299999, 31.34, 2882000, 31.34, 0, 1, 31.4499995, -999
20170207, 31.83, 31.85, 31.450001, 31.49, 4890400, 31.49, 0, 1, 31.66, -999
20170206, 31.82, 31.950001, 31.709999, 31.84, 3141900, 31.84, 0, 1, 31.83, -999
20170203, 31.6, 31.98, 31.530001, 31.860001, 3379300, 31.860001, 0, 1, 31.7300005, -999
20170202, 30.84, 31.5, 30.620001, 31.43, 3141400, 31.43, 0, 1, 31.135, -999
20170201, 31.299999, 31.41, 30.83, 30.950001, 3398900, 30.950001, 0, 1, 31.125, -999
20170131, 31.209999, 31.41, 30.93, 31.27, 3285100, 31.27, 0, 1, 31.2399995, -999
20170130, 31.08, 31.16, 30.719999, 31.129999, 4275000, 31.129999, 0, 1, 31.1049995, -999
20170127, 31.49, 31.690001, 31.02, 31.129999, 3184400, 31.129999, 0, 1, 31.3099995, -999
20170126, 31.389999, 31.75, 30.93, 31.34, 4500700, 31.34, 0, 1, 31.3649995, -999
20170125, 31.530001, 32.009998, 30.92, 31.309999, 8248800, 31.309999, 0, 1, 31.42, -999
20170124, 32.48, 33.130001, 32.380001, 32.950001, 3961400, 32.950001, 0, 1, 32.7150005, -999
20170123, 32.540001, 32.75, 32.25, 32.450001, 2191600, 32.450001, 0, 1, 32.495001, -999
20170120, 32.700001, 32.77, 32.419998, 32.57, 3243100, 32.57, 0, 1, 32.6350005, -999
20170119, 32.700001, 32.810001, 32.52, 32.549999, 2366400, 32.549999, 0, 1, 32.625, -999
20170118, 32.790001, 32.869999, 32.57, 32.700001, 1782600, 32.700001, 0, 1, 32.745001, -999
20170117, 33.07, 33.099998, 32.630001, 32.799999, 1609900, 32.799999, 0, 1, 32.9349995, -999
20170113, 33.16, 33.240002, 32.990002, 33.09, 1028100, 33.09, 0, 1, 33.125, -999
20170112, 33.009998, 33.150002, 32.66, 33.060001, 1654400, 33.060001, 0, 1, 33.0349995, -999
20170111, 32.75, 33.060001, 32.650002, 33, 2084900, 33, 0, 1, 32.875, -999
20170110, 33.23, 33.240002, 32.860001, 33.009998, 2601600, 33.009998, 0, 1, 33.119999, -999
20170109, 33.119999, 33.450001, 33.009998, 33.25, 2290300, 33.25, 0, 1, 33.1849995, -999
20170106, 33.029999, 33.290001, 32.799999, 33.189999, 2270700, 33.189999, 0, 1, 33.109999, -999
20170105, 32.759998, 33.169998, 32.759998, 33.080002, 2030500, 33.080002, 0, 1, 32.92, -999
20170104, 32.139999, 33.029999, 32.110001, 32.810001, 3057500, 32.810001, 0, 1, 32.475, -999
20170103, 32.060001, 32.349998, 31.85, 32.290001, 1915200, 32.290001, 0, 1, 32.175001, -999
20161230, 32.18, 32.43, 31.68, 31.77, 1736200, 31.77, 0, 1, 31.975, -999
20161229, 31.92, 32.200001, 31.92, 32.139999, 889900, 32.139999, 0, 1, 32.0299995, -999
20161228, 32.290001, 32.380001, 31.93, 31.969999, 757300, 31.969999, 0, 1, 32.13, -999
20161227, 32.130001, 32.450001, 32.080002, 32.23, 718500, 32.23, 0, 1, 32.1800005, -999
20161223, 32.139999, 32.23, 31.99, 32.049999, 1129900, 32.049999, 0, 1, 32.094999, -999
20161222, 32.380001, 32.380001, 32, 32.16, 1842300, 32.16, 0, 1, 32.2700005, -999
20161221, 32.779999, 32.880001, 32.380001, 32.43, 2516000, 32.43, 0, 1, 32.6049995, -999
20161220, 32.869999, 33.040001, 32.720001, 32.880001, 2021500, 32.880001, 0, 1, 32.875, -999
20161219, 32.110001, 32.75, 32, 32.720001, 2344300, 32.720001, 0, 1, 32.415001, -999
20161216, 32.709999, 32.709999, 31.75, 32.02, 7525900, 32.02, 0, 1, 32.3649995, -999
20161215, 32.369999, 32.849998, 32.200001, 32.740002, 2180800, 32.740002, 0, 1, 32.5550005, -999
20161214, 32.77, 32.98, 32.279999, 32.369999, 2849100, 32.369999, 0, 1, 32.5699995, -999
20161213, 31.82, 32.970001, 31.799999, 32.73, 3897300, 32.73, 0, 1, 32.275, -999
20161212, 31.629999, 31.860001, 31.5, 31.82, 1593900, 31.82, 0, 1, 31.7249995, -999
20161209, 31.85, 31.870001, 31.450001, 31.68, 1460000, 31.68, 0, 1, 31.765, -999
20161208, 31.75, 31.950001, 31.58, 31.780001, 2198500, 31.780001, 0, 1, 31.7650005, -999
20161207, 31.059999, 31.870001, 30.99, 31.75, 2447500, 31.75, 0, 1, 31.4049995, -999
20161206, 31.34, 31.49, 30.84, 31.07, 2514700, 31.07, 0, 1, 31.205, -999
20161205, 31.26, 31.889999, 31.139999, 31.370001, 3726900, 31.370001, 0, 1, 31.3150005, -999
20161202, 30.33, 31.110001, 30.01, 31.049999, 4212700, 31.049999, 0, 1, 30.6899995, -999
20161201, 31.93, 32.060001, 30.4, 30.41, 3934600, 30.41, 0, 1, 31.17, -999
20161130, 32.580002, 32.580002, 31.959999, 31.959999, 2777600, 31.959999, 0, 1, 32.2700005, -999
20161129, 31.98, 32.720001, 31.93, 32.48, 3539700, 32.48, 0, 1, 32.23, -999
20161128, 31.73, 32.07, 31.700001, 31.959999, 1888100, 31.959999, 0, 1, 31.8449995, -999
20161125, 31.6, 31.940001, 31.6, 31.780001, 758000, 31.780001, 0, 1, 31.6900005, -999
20161123, 31.58, 31.73, 31.5, 31.6, 1655500, 31.6, 0, 1, 31.59, -999
20161122, 31.440001, 31.6, 31.299999, 31.58, 1450400, 31.58, 0, 1, 31.5100005, -999
20161121, 31.139999, 31.469999, 30.940001, 31.41, 2575600, 31.41, 0, 1, 31.2749995, -999
20161118, 31.4, 31.459999, 30.84, 31.01, 2447600, 31.01, 0, 1, 31.205, -999
20161117, 31.389999, 31.709999, 31.139999, 31.48, 2573000, 31.48, 0, 1, 31.4349995, -999
20161116, 31.33, 31.559999, 31.27, 31.559999, 1807700, 31.559999, 0, 1, 31.4449995, -999
20161115, 31.049999, 31.620001, 31.01, 31.48, 2600400, 31.48, 0, 1, 31.2649995, -999
20161114, 32.189999, 32.369999, 31.219999, 31.33, 4074200, 31.074999, 0, 1, 31.632499, -999
20161111, 31.799999, 32.23, 31.74, 32.07, 3222400, 31.808976, 0, 1, 31.8044875, -999
20161110, 31.9, 32.209999, 31.27, 31.889999, 2948400, 31.630441, 0, 1, 31.7652205, -999
20161109, 30.9, 31.940001, 30.700001, 31.74, 3140100, 31.481662, 0, 1, 31.190831, -999
20161108, 31.51, 31.629999, 31.219999, 31.559999, 1495300, 31.303127, 0, 1, 31.4065635, -999
20161107, 31.139999, 31.639999, 31.08, 31.51, 1970600, 31.253534, 0, 1, 31.1967665, -999
20161104, 30.549999, 31.01, 30.530001, 30.68, 1711700, 30.43029, 0, 1, 30.4901445, -999
20161103, 30.99, 31.1, 30.629999, 30.700001, 1843600, 30.450128, 0, 1, 30.720064, -999
