Ticker: COOL  Created on: 2/13/2017 1:33:13 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 4.73, 5, 4.65, 4.85, 44500, 4.85, 0, 1, 4.79, -999
20170209, 4.73, 4.74, 4.64, 4.73, 20900, 4.73, 0, 1, 4.73, -999
20170208, 5.01, 5.07, 4.52, 4.74, 81200, 4.74, 0, 1, 4.875, -999
20170207, 4.89, 5.17, 4.76, 5, 87900, 5, 0, 1, 4.945, -999
20170206, 4.38, 4.83, 4.38, 4.82, 115600, 4.82, 0, 1, 4.6, -999
20170203, 4.19, 4.49, 4.02, 4.35, 87900, 4.35, 0, 1, 4.27, -999
20170202, 3.86, 4.19, 3.86, 4.19, 65600, 4.19, 0, 1, 4.025, -999
20170201, 3.81, 3.87, 3.8, 3.86, 15200, 3.86, 0, 1, 3.835, -999
20170131, 3.69, 3.91, 3.69, 3.81, 13200, 3.81, 0, 1, 3.75, -999
20170130, 3.75, 3.94, 3.64, 3.76, 42200, 3.76, 0, 1, 3.755, -999
20170127, 3.59, 3.75, 3.58, 3.72, 33300, 3.72, 0, 1, 3.655, -999
20170126, 3.55, 3.65, 3.51, 3.59, 9700, 3.59, 0, 1, 3.57, -999
20170125, 3.42, 3.65, 3.41, 3.6, 43800, 3.6, 0, 1, 3.51, -999
20170124, 3.46, 3.5, 3.43, 3.45, 11200, 3.45, 0, 1, 3.455, -999
20170123, 3.5, 3.52, 3.46, 3.5, 13300, 3.5, 0, 1, 3.5, -999
20170120, 3.47, 3.55, 3.47, 3.51, 3600, 3.51, 0, 1, 3.49, -999
20170119, 3.61, 3.61, 3.46, 3.48, 12700, 3.48, 0, 1, 3.545, -999
20170118, 3.49, 3.62, 3.46, 3.62, 42500, 3.62, 0, 1, 3.555, -999
20170117, 3.51, 3.64, 3.44, 3.53, 22100, 3.53, 0, 1, 3.52, -999
20170113, 3.5, 3.64, 3.47, 3.56, 37000, 3.56, 0, 1, 3.53, -999
20170112, 3.53, 3.55, 3.4, 3.53, 19300, 3.53, 0, 1, 3.53, -999
20170111, 3.51, 3.62, 3.36, 3.41, 28500, 3.41, 0, 1, 3.46, -999
20170110, 3.49, 4.09, 3.45, 3.54, 400900, 3.54, 0, 1, 3.515, -999
20170109, 3.5, 3.6, 3.32, 3.44, 13800, 3.44, 0, 1, 3.47, -999
20170106, 3.49, 3.56, 3.34, 3.5, 42300, 3.5, 0, 1, 3.495, -999
20170105, 3.39, 3.5, 3.33, 3.41, 33700, 3.41, 0, 1, 3.4, -999
20170104, 3.33, 3.45, 3.2, 3.32, 26900, 3.32, 0, 1, 3.325, -999
20170103, 3.3, 3.32, 3.16, 3.27, 14700, 3.27, 0, 1, 3.285, -999
20161230, 3.42, 3.53, 3.24, 3.24, 40600, 3.24, 0, 1, 3.33, -999
20161229, 3.33, 3.75, 3.31, 3.36, 86200, 3.36, 0, 1, 3.345, -999
20161228, 3.42, 3.6, 3.3, 3.31, 31700, 3.31, 0, 1, 3.365, -999
20161227, 3.45, 3.5, 3.35, 3.37, 12800, 3.37, 0, 1, 3.41, -999
20161223, 3.43, 3.65, 3.33, 3.34, 25900, 3.34, 0, 1, 3.385, -999
20161222, 3.53, 3.7, 3.42, 3.46, 43300, 3.46, 0, 1, 3.495, -999
20161221, 3.51, 3.68, 3.5, 3.6, 51100, 3.6, 0, 1, 3.555, -999
20161220, 3.28, 3.68, 3.28, 3.6, 49200, 3.6, 0, 1, 3.44, -999
20161219, 3.63, 3.73, 3.23, 3.24, 140200, 3.24, 0, 1, 3.435, -999
20161216, 3.75, 3.88, 3.55, 3.66, 102700, 3.66, 0, 1, 3.705, -999
20161215, 4.29, 4.33, 3.71, 3.83, 739900, 3.83, 0, 1, 4.06, -999
20161214, 3.84, 4.5, 3.74, 4.33, 773200, 4.33, 0, 1, 4.085, -999
20161213, 4.12, 4.14, 3.75, 3.88, 59500, 3.88, 0, 1, 4, -999
20161212, 4.41, 4.41, 3.8, 4.15, 346500, 4.15, 0, 1, 4.28, -999
20161209, 5.05, 5.6, 4.16, 4.42, 1719200, 4.42, 0, 1, 4.735, -999
20161208, 4.15, 6.22, 4.15, 5.17, 9666600, 5.17, 0, 1, 4.66, -999
20161207, 3.1, 3.18, 3.1, 3.16, 4100, 3.16, 0, 1, 3.13, -999
20161206, 3.12, 3.14, 3.12, 3.13, 2200, 3.13, 0, 1, 3.125, -999
20161205, 3.12, 3.13, 3.02, 3.09, 13200, 3.09, 0, 1, 3.105, -999
20161202, 3.17, 3.2, 3.14, 3.18, 1700, 3.18, 0, 1, 3.175, -999
20161201, 3.23, 3.23, 3.15, 3.15, 2400, 3.15, 0, 1, 3.19, -999
20161130, 3.24, 3.28, 3.13, 3.23, 10400, 3.23, 0, 1, 3.235, -999
20161129, 3.28, 3.35, 3.26, 3.26, 12900, 3.26, 0, 1, 3.27, -999
20161128, 3.22, 3.43, 3.16, 3.24, 28100, 3.24, 0, 1, 3.23, -999
20161125, 3.17, 3.28, 3.16, 3.16, 1300, 3.16, 0, 1, 3.165, -999
20161123, 3.31, 3.31, 3.21, 3.25, 13200, 3.25, 0, 1, 3.28, -999
20161122, 3.14, 3.41, 3.14, 3.33, 119400, 3.33, 0, 1, 3.235, -999
20161121, 3.37, 3.46, 3.13, 3.13, 11400, 3.13, 0, 1, 3.25, -999
20161118, 3.46, 3.52, 3.3, 3.32, 11800, 3.32, 0, 1, 3.39, -999
20161117, 3.63, 3.64, 3.3, 3.41, 93500, 3.41, 0, 1, 3.52, -999
20161116, 3.35, 3.6, 3.35, 3.53, 42100, 3.53, 0, 1, 3.44, -999
20161115, 3.31, 3.37, 3.25, 3.36, 9200, 3.36, 0, 1, 3.335, -999
20161114, 3.05, 3.34, 3.05, 3.28, 12800, 3.28, 0, 1, 3.165, -999
20161111, 2.95, 3.15, 2.95, 3.15, 14600, 3.15, 0, 1, 3.05, -999
20161110, 3.06, 3.06, 2.87, 2.95, 7500, 2.95, 0, 1, 3.005, -999
20161109, 2.9, 3.09, 2.9, 3.04, 39200, 3.04, 0, 1, 2.97, -999
20161108, 2.92, 3, 2.77, 2.97, 51500, 2.97, 0, 1, 2.945, -999
20161107, 2.86, 3.15, 2.73, 2.79, 8400, 2.79, 0, 1, 2.825, -999
20161104, 3.03, 3.18, 2.61, 2.89, 94200, 2.89, 0, 1, 2.96, -999
20161103, 3.3, 3.36, 3.01, 3.01, 36000, 3.01, 0, 1, 3.155, -999
20161102, 3.42, 3.53, 3.25, 3.3, 34700, 3.3, 0, 1, 3.36, -999
20161101, 3.6, 3.7, 3.39, 3.39, 72100, 3.39, 0, 1, 3.495, -999
20161031, 3.5, 3.69, 3.49, 3.58, 97400, 3.58, 0, 1, 3.54, -999
20161028, 3.4, 3.54, 3.27, 3.53, 36400, 3.53, 0, 1, 3.465, -999
