Ticker: CPAH  Created on: 2/13/2017 1:32:57 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 2.49, 2.49, 2.49, 2.49, 300, 2.49, 0, 1, 2.49, -999
20170209, 2.4, 2.54, 2.4, 2.44, 5300, 2.44, 0, 1, 2.42, -999
20170208, 2.49, 2.5, 2.48, 2.49, 1400, 2.49, 0, 1, 2.49, -999
20170207, 2.59, 2.59, 2.59, 2.59, 2000, 2.59, 0, 1, 2.59, -999
20170206, 2.51, 2.58, 2.49, 2.58, 5800, 2.58, 0, 1, 2.545, -999
20170203, 2.5, 2.5, 2.5, 2.5, 100, 2.5, 0, 1, 2.5, -999
20170202, 2.51, 2.55, 2.5, 2.51, 700, 2.51, 0, 1, 2.51, -999
20170201, 2.6, 2.6, 2.5, 2.6, 9800, 2.6, 0, 1, 2.6, -999
20170131, 2.4, 2.63, 2.23, 2.63, 20200, 2.63, 0, 1, 2.515, -999
20170130, 2.24, 2.39, 2.24, 2.32, 3400, 2.32, 0, 1, 2.28, -999
20170127, 2.5, 2.5, 2.5, 2.5, 500, 2.5, 0, 1, 2.5, -999
20170126, 2.46, 2.58, 2.44, 2.55, 1900, 2.55, 0, 1, 2.505, -999
20170125, 2.57, 2.57, 2.35, 2.55, 1600, 2.55, 0, 1, 2.56, -999
20170124, 2.47, 2.47, 2.47, 2.47, 300, 2.47, 0, 1, 2.47, -999
20170123, 2.62, 2.62, 2.47, 2.53, 14500, 2.53, 0, 1, 2.575, -999
20170120, 2.56, 2.58, 2.42, 2.58, 1900, 2.58, 0, 1, 2.57, -999
20170119, 2.46, 2.56, 2.35, 2.49, 1500, 2.49, 0, 1, 2.475, -999
20170118, 2.44, 2.45, 2.35, 2.35, 10000, 2.35, 0, 1, 2.395, -999
20170117, 2.33, 2.38, 2.3, 2.3, 6200, 2.3, 0, 1, 2.315, -999
20170113, 2.36, 2.49, 2.36, 2.49, 800, 2.49, 0, 1, 2.425, -999
20170112, 2.5, 2.5, 2.34, 2.48, 1100, 2.48, 0, 1, 2.49, -999
20170111, 2.76, 2.76, 2.35, 2.5, 1600, 2.5, 0, 1, 2.63, -999
20170110, 2.3, 2.44, 2.3, 2.4, 800, 2.4, 0, 1, 2.35, -999
20170109, 2.33, 2.37, 2.26, 2.26, 3600, 2.26, 0, 1, 2.295, -999
20170106, 2.45, 2.47, 2.35, 2.41, 8700, 2.41, 0, 1, 2.43, -999
20170105, 2.5, 2.5, 2.42, 2.45, 7900, 2.45, 0, 1, 2.475, -999
20170104, 2.49, 2.54, 2.41, 2.46, 2400, 2.46, 0, 1, 2.475, -999
20170103, 2.44, 2.52, 2.44, 2.47, 1400, 2.47, 0, 1, 2.455, -999
20161230, 2.45, 2.48, 2.43, 2.48, 9800, 2.48, 0, 1, 2.465, -999
20161229, 2.47, 2.5, 2.47, 2.47, 2300, 2.47, 0, 1, 2.47, -999
20161228, 2.65, 2.73, 2.45, 2.5, 12200, 2.5, 0, 1, 2.575, -999
20161227, 2.31, 2.46, 2.31, 2.45, 64800, 2.45, 0, 1, 2.38, -999
20161223, 2.29, 2.34, 2.2, 2.26, 23800, 2.26, 0, 1, 2.275, -999
20161222, 2.1, 2.25, 2.1, 2.25, 20000, 2.25, 0, 1, 2.175, -999
20161221, 2.01, 2.05, 1.95, 2.05, 1500, 2.05, 0, 1, 2.03, -999
20161220, 2.04, 2.16, 1.98, 2.06, 17500, 2.06, 0, 1, 2.05, -999
20161219, 2.01, 2.09, 1.98, 2.03, 5700, 2.03, 0, 1, 2.02, -999
20161216, 1.98, 2.05, 1.92, 2.01, 12800, 2.01, 0, 1, 1.995, -999
20161215, 1.96, 1.96, 1.96, 1.96, 200, 1.96, 0, 1, 1.96, -999
20161214, 2, 2.17, 1.99, 2.03, 25100, 2.03, 0, 1, 2.015, -999
20161213, 2.1, 2.1, 2.01, 2.07, 12200, 2.07, 0, 1, 2.085, -999
20161212, 2.04, 2.15, 2.01, 2.02, 13200, 2.02, 0, 1, 2.03, -999
20161209, 2.03, 2.13, 1.97, 2.13, 1000, 2.13, 0, 1, 2.08, -999
20161208, 1.97, 2, 1.97, 2, 1600, 2, 0, 1, 1.985, -999
20161207, 2.06, 2.07, 2, 2, 5600, 2, 0, 1, 2.03, -999
20161206, 2.14, 2.17, 2.01, 2.01, 6600, 2.01, 0, 1, 2.075, -999
20161205, 2.01, 2.13, 2, 2.02, 7200, 2.02, 0, 1, 2.015, -999
20161202, 2, 2.18, 2, 2.09, 2300, 2.09, 0, 1, 2.045, -999
20161201, 2.06, 2.08, 1.93, 1.97, 26300, 1.97, 0, 1, 2.015, -999
20161130, 2, 2, 1.97, 1.97, 1300, 1.97, 0, 1, 1.985, -999
20161129, 2.21, 2.21, 1.95, 2.05, 13100, 2.05, 0, 1, 2.13, -999
20161128, 2.04, 2.18, 2, 2.18, 15500, 2.18, 0, 1, 2.11, -999
20161125, 2.07, 2.18, 2.07, 2.08, 400, 2.08, 0, 1, 2.075, -999
20161123, 2, 2.1, 1.99, 2.1, 6100, 2.1, 0, 1, 2.05, -999
20161122, 2.01, 2.01, 2.01, 2.01, 300, 2.01, 0, 1, 2.01, -999
20161121, 1.97, 1.97, 1.89, 1.97, 600, 1.97, 0, 1, 1.97, -999
20161118, 1.89, 1.89, 1.88, 1.88, 600, 1.88, 0, 1, 1.885, -999
20161117, 1.81, 1.9, 1.81, 1.9, 700, 1.9, 0, 1, 1.855, -999
20161116, 1.86, 1.86, 1.81, 1.81, 5300, 1.81, 0, 1, 1.835, -999
20161115, 1.9, 1.9, 1.85, 1.86, 8900, 1.86, 0, 1, 1.88, -999
20161114, 2, 2, 2, 2, 0, 2, 0, 1, 2, -999
20161111, 2, 2, 2, 2, 0, 2, 0, 1, 2, -999
20161110, 2, 2, 2, 2, 100, 2, 0, 1, 2, -999
20161109, 1.96, 1.96, 1.91, 1.91, 2100, 1.91, 0, 1, 1.935, -999
20161108, 1.97, 2.18, 1.97, 2.18, 400, 2.18, 0, 1, 2.075, -999
20161107, 2.1, 2.1, 2.1, 2.1, 0, 2.1, 0, 1, 2.1, -999
20161104, 1.98, 2.1, 1.95, 2.1, 3900, 2.1, 0, 1, 2.04, -999
20161103, 2.13, 2.3, 2.13, 2.3, 900, 2.3, 0, 1, 2.215, -999
20161102, 1.96, 2.19, 1.95, 2.19, 1700, 2.19, 0, 1, 2.075, -999
20161101, 2, 2, 1.96, 1.96, 3600, 1.96, 0, 1, 1.98, -999
20161031, 2.01, 2.01, 2.01, 2.01, 100, 2.01, 0, 1, 2.01, -999
20161028, 1.95, 1.99, 1.94, 1.97, 6500, 1.97, 0, 1, 1.96, -999
20161027, 1.98, 2, 1.95, 1.95, 3700, 1.95, 0, 1, 1.965, -999
20161026, 1.95, 2.07, 1.91, 2, 3500, 2, 0, 1, 1.975, -999
20161025, 1.95, 2.01, 1.95, 1.95, 1100, 1.95, 0, 1, 1.95, -999
20161024, 1.97, 1.98, 1.95, 1.98, 1800, 1.98, 0, 1, 1.975, -999
20161021, 1.97, 1.97, 1.95, 1.96, 4600, 1.96, 0, 1, 1.965, -999
20161020, 2.03, 2.03, 2.03, 2.03, 1000, 2.03, 0, 1, 2.03, -999
20161019, 1.98, 2.16, 1.96, 2.13, 1200, 2.13, 0, 1, 2.055, -999
20161018, 2.07, 2.07, 1.99, 2.07, 1500, 2.07, 0, 1, 2.07, -999
20161017, 2.03, 2.16, 2.01, 2.09, 1100, 2.09, 0, 1, 2.06, -999
20161014, 1.95, 2.13, 1.95, 2.13, 800, 2.13, 0, 1, 2.04, -999
20161013, 2.07, 2.07, 2.07, 2.07, 0, 2.07, 0, 1, 2.07, -999
20161012, 2.07, 2.07, 2.07, 2.07, 300, 2.07, 0, 1, 2.07, -999
20161011, 2.07, 2.07, 1.98, 1.98, 900, 1.98, 0, 1, 2.025, -999
20161010, 1.96, 2.06, 1.96, 2.06, 1000, 2.06, 0, 1, 2.01, -999
20161007, 2.1, 2.1, 2.1, 2.1, 0, 2.1, 0, 1, 2.1, -999
20161006, 2.06, 2.1, 2.06, 2.1, 3600, 2.1, 0, 1, 2.08, -999
20161005, 2.03, 2.03, 2.03, 2.03, 400, 2.03, 0, 1, 2.03, -999
20161004, 1.94, 2.12, 1.94, 2.12, 1600, 2.12, 0, 1, 2.03, -999
20161003, 2.01, 2.01, 1.96, 2, 4000, 2, 0, 1, 2.005, -999
20160930, 1.93, 2.12, 1.93, 2.09, 4700, 2.09, 0, 1, 2.01, -999
20160929, 1.97, 1.97, 1.94, 1.94, 1300, 1.94, 0, 1, 1.955, -999
20160928, 1.93, 2, 1.93, 1.99, 3400, 1.99, 0, 1, 1.96, -999
20160927, 2.11, 2.14, 1.89, 1.89, 7100, 1.89, 0, 1, 2, -999
20160926, 2.05, 2.05, 2.05, 2.05, 600, 2.05, 0, 1, 2.05, -999
20160923, 2.09, 2.09, 2.05, 2.05, 2800, 2.05, 0, 1, 2.07, -999
20160922, 2.06, 2.11, 2.06, 2.09, 900, 2.09, 0, 1, 2.075, -999
20160921, 2.1, 2.15, 2.05, 2.11, 2500, 2.11, 0, 1, 2.105, -999
20160920, 2.1, 2.2, 2.07, 2.07, 1700, 2.07, 0, 1, 2.085, -999
20160919, 2.09, 2.14, 2.09, 2.14, 2000, 2.14, 0, 1, 2.115, -999
20160916, 2.11, 2.19, 1.97, 2.19, 1500, 2.19, 0, 1, 2.15, -999
20160915, 2.23, 2.23, 2.23, 2.23, 1000, 2.23, 0, 1, 2.23, -999
20160914, 2.05, 2.22, 2.05, 2.17, 4700, 2.17, 0, 1, 2.11, -999
20160913, 2.14, 2.14, 2.03, 2.03, 1000, 2.03, 0, 1, 2.085, -999
20160912, 2.21, 2.21, 2.21, 2.21, 0, 2.21, 0, 1, 2.21, -999
