Ticker: CSOD  Created on: 2/13/2017 1:32:56 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 41.549999, 42.349998, 41.470001, 42.080002, 805200, 42.080002, 0, 1, 41.8150005, -999
20170209, 41.209999, 41.900002, 41.16, 41.549999, 864700, 41.549999, 0, 1, 41.379999, -999
20170208, 42.279999, 42.279999, 40.990002, 41, 536500, 41, 0, 1, 41.6399995, -999
20170207, 42.25, 42.630001, 41.93, 42.110001, 456600, 42.110001, 0, 1, 42.1800005, -999
20170206, 42.599998, 42.700001, 42.02, 42.060001, 507800, 42.060001, 0, 1, 42.3299995, -999
20170203, 42, 42.59, 42, 42.439999, 656400, 42.439999, 0, 1, 42.2199995, -999
20170202, 41.32, 41.849998, 40.57, 41.560001, 358600, 41.560001, 0, 1, 41.4400005, -999
20170201, 40.990002, 41.509998, 40.720001, 41.43, 712600, 41.43, 0, 1, 41.210001, -999
20170131, 40.43, 40.84, 40.23, 40.689999, 474500, 40.689999, 0, 1, 40.5599995, -999
20170130, 40.779999, 40.779999, 39.810001, 40.650002, 483100, 40.650002, 0, 1, 40.7150005, -999
20170127, 41.189999, 41.279999, 40.299999, 41.029999, 412600, 41.029999, 0, 1, 41.109999, -999
20170126, 41.52, 41.560001, 40.720001, 41.060001, 363300, 41.060001, 0, 1, 41.2900005, -999
20170125, 41.830002, 42.32, 41.150002, 41.27, 751500, 41.27, 0, 1, 41.550001, -999
20170124, 40.98, 41.619999, 40.860001, 41.459999, 355100, 41.459999, 0, 1, 41.2199995, -999
20170123, 40.77, 41.68, 40.52, 40.869999, 563700, 40.869999, 0, 1, 40.8199995, -999
20170120, 41.209999, 41.619999, 40.549999, 40.950001, 815300, 40.950001, 0, 1, 41.08, -999
20170119, 41.419998, 41.709999, 41.009998, 41.220001, 679500, 41.220001, 0, 1, 41.3199995, -999
20170118, 41.169998, 41.650002, 40.950001, 41.490002, 581500, 41.490002, 0, 1, 41.33, -999
20170117, 41.869999, 41.869999, 40.73, 41.07, 559900, 41.07, 0, 1, 41.4699995, -999
20170113, 41.77, 42.130001, 41.560001, 41.73, 799300, 41.73, 0, 1, 41.75, -999
20170112, 41.900002, 42.099998, 41.27, 41.599998, 673100, 41.599998, 0, 1, 41.75, -999
20170111, 42.23, 42.459999, 41.849998, 42.110001, 575100, 42.110001, 0, 1, 42.1700005, -999
20170110, 41.98, 42.610001, 41.77, 42.209999, 499700, 42.209999, 0, 1, 42.0949995, -999
20170109, 42.099998, 42.450001, 41.849998, 41.93, 481800, 41.93, 0, 1, 42.014999, -999
20170106, 42.68, 42.68, 42, 42.25, 374800, 42.25, 0, 1, 42.465, -999
20170105, 42.459999, 42.639999, 41.849998, 42.27, 519700, 42.27, 0, 1, 42.3649995, -999
20170104, 41.880001, 42.700001, 41.599998, 42.630001, 633200, 42.630001, 0, 1, 42.255001, -999
20170103, 42.84, 42.84, 41.52, 41.950001, 675900, 41.950001, 0, 1, 42.3950005, -999
20161230, 42.68, 43, 42.139999, 42.310001, 541800, 42.310001, 0, 1, 42.4950005, -999
20161229, 42.459999, 42.880001, 42.349998, 42.619999, 390400, 42.619999, 0, 1, 42.539999, -999
20161228, 42.950001, 42.950001, 41.98, 42.439999, 300600, 42.439999, 0, 1, 42.695, -999
20161227, 41.91, 43, 41.509998, 42.849998, 327600, 42.849998, 0, 1, 42.379999, -999
20161223, 41.330002, 41.959999, 41.150002, 41.91, 227100, 41.91, 0, 1, 41.620001, -999
20161222, 42, 42.119999, 41.400002, 41.48, 585200, 41.48, 0, 1, 41.74, -999
20161221, 41.599998, 42.27, 41.200001, 42.07, 400600, 42.07, 0, 1, 41.834999, -999
20161220, 41.830002, 41.98, 41.049999, 41.470001, 335700, 41.470001, 0, 1, 41.6500015, -999
20161219, 41.459999, 41.959999, 41.23, 41.580002, 483800, 41.580002, 0, 1, 41.5200005, -999
