Ticker: CTXS  Created on: 2/13/2017 1:32:55 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 78.470001, 79.010002, 77.830002, 78.550003, 2115400, 78.550003, 0, 1, 78.510002, -999
20170209, 77.910004, 79.379997, 77.639999, 78.419998, 3971800, 78.419998, 0, 1, 78.165001, -999
20170208, 77.239998, 78.169998, 76.879997, 77.690002, 2636100, 77.690002, 0, 1, 77.465, -999
20170207, 76.57, 78.489998, 76.32, 77.650002, 3262500, 77.650002, 0, 1, 77.110001, -999
20170206, 76.389999, 76.730003, 75.540001, 76.300003, 3790300, 76.300003, 0, 1, 76.345001, -999
20170203, 75.650002, 76.940002, 75.220001, 76.699997, 3968900, 76.699997, 0, 1, 76.1749995, -999
20170202, 71, 75.57, 71, 74.949997, 4662300, 74.949997, 0, 1, 72.9749985, -999
20170201, 74.269997, 75, 70.239998, 71.239998, 5759000, 71.239998, 0, 1, 72.7549975, -999
20170131, 91.050003, 91.260002, 89.790001, 91.190002, 2225700, 91.190002, 0, 1, 91.1200025, -999
20170130, 89.910004, 91.339996, 89.230003, 91.129997, 3051200, 91.129997, 0, 1, 90.5200005, -999
20170127, 89.699997, 90.68, 89.650002, 90.260002, 2461900, 90.260002, 0, 1, 89.9799995, -999
20170126, 90.68, 91.839996, 88.589996, 89.519997, 4738800, 89.519997, 0, 1, 90.0999985, -999
20170125, 95, 95.900002, 94.050003, 95.739998, 2773500, 95.739998, 0, 1, 95.369999, -999
20170124, 92.809998, 94.739998, 92.559998, 94.370003, 1165400, 94.370003, 0, 1, 93.5900005, -999
20170123, 92.959999, 93.459999, 91.400002, 92.449997, 1289600, 92.449997, 0, 1, 92.704998, -999
20170120, 93.050003, 94.080002, 92.699997, 92.989998, 1040300, 92.989998, 0, 1, 93.0200005, -999
20170119, 93.410004, 93.5, 92.290001, 92.629997, 1063500, 92.629997, 0, 1, 93.0200005, -999
20170118, 91.129997, 93.629997, 90.800003, 93.559998, 2080900, 93.559998, 0, 1, 92.3449975, -999
20170117, 91.779999, 92.269997, 90.519997, 90.900002, 1519100, 90.900002, 0, 1, 91.3400005, -999
20170113, 91.230003, 92.120003, 91.169998, 91.800003, 1692900, 91.800003, 0, 1, 91.515003, -999
20170112, 91.290001, 91.529999, 89.849998, 91.099998, 815600, 91.099998, 0, 1, 91.1949995, -999
20170111, 90.519997, 91.75, 90.519997, 91.57, 1506300, 91.57, 0, 1, 91.0449985, -999
20170110, 90.889999, 91.5, 90.480003, 90.650002, 764300, 90.650002, 0, 1, 90.7700005, -999
20170109, 90.769997, 91.279999, 90.010002, 90.790001, 2422800, 90.790001, 0, 1, 90.779999, -999
20170106, 90.510002, 91.440002, 90.029999, 91.010002, 1004400, 91.010002, 0, 1, 90.760002, -999
20170105, 90.059998, 90.610001, 89.650002, 90.239998, 670000, 90.239998, 0, 1, 90.149998, -999
20170104, 90.209999, 90.519997, 89.989998, 90.269997, 1127200, 90.269997, 0, 1, 90.239998, -999
20170103, 90.25, 90.919998, 89.470001, 90.129997, 1046400, 90.129997, 0, 1, 90.1899985, -999
20161230, 90.400002, 90.639999, 89.029999, 89.309998, 673600, 89.309998, 0, 1, 89.855, -999
20161229, 89.949997, 90.57, 89.82, 90.019997, 680200, 90.019997, 0, 1, 89.984997, -999
20161228, 91.150002, 91.190002, 89.93, 90.080002, 560500, 90.080002, 0, 1, 90.615002, -999
20161227, 91.199997, 91.720001, 90.919998, 90.970001, 530900, 90.970001, 0, 1, 91.084999, -999
20161223, 90.440002, 91, 90.120003, 90.839996, 510900, 90.839996, 0, 1, 90.639999, -999
20161222, 91.400002, 91.400002, 90.230003, 90.449997, 1167800, 90.449997, 0, 1, 90.9249995, -999
20161221, 91.970001, 92.269997, 91.470001, 92.059998, 1079800, 92.059998, 0, 1, 92.0149995, -999
20161220, 91.730003, 91.93, 91.279999, 91.730003, 740000, 91.730003, 0, 1, 91.730003, -999
20161219, 90.809998, 91.739998, 90.620003, 91.449997, 578500, 91.449997, 0, 1, 91.1299975, -999
20161216, 92.260002, 92.400002, 90.57, 90.690002, 1707700, 90.690002, 0, 1, 91.475002, -999
20161215, 90.849998, 92.32, 90.489998, 91.760002, 1179700, 91.760002, 0, 1, 91.305, -999
20161214, 90.419998, 91.209999, 90.110001, 90.449997, 1718600, 90.449997, 0, 1, 90.4349975, -999
20161213, 89.349998, 91.07, 88.889999, 90.449997, 1029500, 90.449997, 0, 1, 89.8999975, -999
20161212, 89.029999, 89.410004, 88.5, 88.870003, 761200, 88.870003, 0, 1, 88.950001, -999
20161209, 90.379997, 90.550003, 89.150002, 89.32, 840300, 89.32, 0, 1, 89.8499985, -999
20161208, 88.639999, 90.25, 88.389999, 90, 1596000, 90, 0, 1, 89.3199995, -999
20161207, 87.610001, 89.110001, 86.910004, 89.080002, 1269400, 89.080002, 0, 1, 88.3450015, -999
20161206, 88.93, 88.93, 87.449997, 87.620003, 1508300, 87.620003, 0, 1, 88.2750015, -999
20161205, 86.610001, 89.089996, 86.050003, 88.989998, 1959200, 88.989998, 0, 1, 87.7999995, -999
