Ticker: CVLT  Created on: 2/13/2017 1:32:56 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 50.950001, 51.049999, 50.599998, 50.849998, 377800, 50.849998, 0, 1, 50.8999995, -999
20170209, 50.75, 51.25, 50.529999, 50.700001, 353700, 50.700001, 0, 1, 50.7250005, -999
20170208, 50.400002, 50.700001, 50, 50.549999, 446600, 50.549999, 0, 1, 50.4750005, -999
20170207, 50, 50.779999, 50, 50.5, 360700, 50.5, 0, 1, 50.25, -999
20170206, 50.099998, 50.5, 47.610001, 49.950001, 385000, 49.950001, 0, 1, 50.0249995, -999
20170203, 49.549999, 50.650002, 49.099998, 50.099998, 573100, 50.099998, 0, 1, 49.8249985, -999
20170202, 48.900002, 49.599998, 48.450001, 49.200001, 392800, 49.200001, 0, 1, 49.0500015, -999
20170201, 49.599998, 49.900002, 48.5, 49, 576100, 49, 0, 1, 49.299999, -999
20170131, 49.549999, 49.950001, 49.049999, 49.099998, 543500, 49.099998, 0, 1, 49.3249985, -999
20170130, 49.849998, 50.25, 49.43, 49.849998, 548400, 49.849998, 0, 1, 49.849998, -999
20170127, 50.150002, 50.580002, 49.75, 50.299999, 439200, 50.299999, 0, 1, 50.2250005, -999
20170126, 51.299999, 51.299999, 49.080002, 49.900002, 704200, 49.900002, 0, 1, 50.6000005, -999
20170125, 51.700001, 53.099998, 50.049999, 51.279999, 2744600, 51.279999, 0, 1, 51.49, -999
20170124, 55.950001, 57.549999, 55.580002, 56.799999, 437600, 56.799999, 0, 1, 56.375, -999
20170123, 55.25, 55.950001, 54.75, 55.849998, 314700, 55.849998, 0, 1, 55.549999, -999
20170120, 54.25, 55.299999, 54.080002, 55.25, 346300, 55.25, 0, 1, 54.75, -999
20170119, 53.75, 54.799999, 53.75, 54.150002, 223100, 54.150002, 0, 1, 53.950001, -999
20170118, 53.049999, 54, 52.950001, 53.75, 295800, 53.75, 0, 1, 53.3999995, -999
20170117, 54.700001, 54.950001, 54, 54.099998, 203200, 54.099998, 0, 1, 54.3999995, -999
20170113, 54.049999, 55.150002, 54.049999, 55.099998, 147100, 55.099998, 0, 1, 54.5749985, -999
20170112, 54.549999, 54.549999, 53.700001, 54.049999, 269000, 54.049999, 0, 1, 54.299999, -999
20170111, 53.700001, 54.900002, 53.349998, 54.799999, 254300, 54.799999, 0, 1, 54.25, -999
20170110, 53.549999, 54.099998, 53.23, 53.849998, 226400, 53.849998, 0, 1, 53.6999985, -999
20170109, 52.75, 53.950001, 52.650002, 53.599998, 246600, 53.599998, 0, 1, 53.174999, -999
20170106, 52.599998, 53.150002, 52.200001, 52.849998, 153800, 52.849998, 0, 1, 52.724998, -999
20170105, 52.400002, 53.529999, 52.349998, 52.349998, 284300, 52.349998, 0, 1, 52.375, -999
20170104, 52.5, 52.799999, 51.950001, 52.400002, 397800, 52.400002, 0, 1, 52.450001, -999
20170103, 52.099998, 52.849998, 51.529999, 52.400002, 322100, 52.400002, 0, 1, 52.25, -999
20161230, 52.450001, 52.450001, 51.25, 51.400002, 132500, 51.400002, 0, 1, 51.9250015, -999
20161229, 51.900002, 52.349998, 51.099998, 52.25, 147000, 52.25, 0, 1, 52.075001, -999
20161228, 52.849998, 53, 51.330002, 51.75, 247200, 51.75, 0, 1, 52.299999, -999
20161227, 52.849998, 53.450001, 52.580002, 52.950001, 128600, 52.950001, 0, 1, 52.8999995, -999
20161223, 52.25, 52.900002, 51.950001, 52.849998, 274600, 52.849998, 0, 1, 52.549999, -999
20161222, 53.25, 53.25, 52.150002, 52.200001, 221300, 52.200001, 0, 1, 52.7250005, -999
20161221, 52.799999, 53.75, 52.799999, 53.25, 214500, 53.25, 0, 1, 53.0249995, -999
20161220, 54.099998, 54.349998, 52.599998, 52.900002, 307400, 52.900002, 0, 1, 53.5, -999
20161219, 53.900002, 54.599998, 53.75, 54, 193300, 54, 0, 1, 53.950001, -999
20161216, 54.099998, 54.400002, 53.400002, 53.700001, 692600, 53.700001, 0, 1, 53.8999995, -999
20161215, 53.25, 54.950001, 53.049999, 53.900002, 279700, 53.900002, 0, 1, 53.575001, -999
20161214, 53.450001, 54.150002, 52.450001, 53, 437500, 53, 0, 1, 53.2250005, -999
20161213, 53.799999, 54, 52.849998, 53.650002, 465500, 53.650002, 0, 1, 53.7250005, -999
20161212, 53.900002, 54.150002, 53.299999, 53.599998, 258900, 53.599998, 0, 1, 53.75, -999
20161209, 54.349998, 54.599998, 53.799999, 53.98, 183500, 53.98, 0, 1, 54.164999, -999
20161208, 54.349998, 54.400002, 53.349998, 54.150002, 319400, 54.150002, 0, 1, 54.25, -999
20161207, 54.150002, 54.48, 53.450001, 54.349998, 278500, 54.349998, 0, 1, 54.25, -999
20161206, 53.200001, 54.200001, 52.25, 54.049999, 408000, 54.049999, 0, 1, 53.625, -999
20161205, 51.450001, 53.25, 51.150002, 53, 441500, 53, 0, 1, 52.2250005, -999
20161202, 50.900002, 51.43, 50.700001, 51.049999, 383200, 51.049999, 0, 1, 50.9750005, -999
20161201, 53.5, 53.799999, 51, 51.450001, 711500, 51.450001, 0, 1, 52.4750005, -999
20161130, 55, 55, 53.799999, 54, 366000, 54, 0, 1, 54.5, -999
20161129, 54.099998, 54.950001, 54.080002, 54.599998, 208700, 54.599998, 0, 1, 54.349998, -999
20161128, 55.25, 55.349998, 54.200001, 54.25, 197200, 54.25, 0, 1, 54.75, -999
20161125, 55.400002, 55.650002, 55.049999, 55.450001, 83900, 55.450001, 0, 1, 55.4250015, -999
20161123, 56.900002, 57, 55.400002, 55.599998, 280500, 55.599998, 0, 1, 56.25, -999
20161122, 57.25, 57.25, 56.400002, 57.200001, 227600, 57.200001, 0, 1, 57.2250005, -999
20161121, 56.049999, 57.200001, 55.779999, 57, 369400, 57, 0, 1, 56.5249995, -999
