Ticker: CYRN  Created on: 2/13/2017 1:32:57 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 2.3, 2.3, 2.2, 2.2, 91300, 2.2, 0, 1, 2.25, -999
20170209, 2.2, 2.3, 2.2, 2.2, 175300, 2.2, 0, 1, 2.2, -999
20170208, 2.1, 2.2, 2.1, 2.17, 150500, 2.17, 0, 1, 2.135, -999
20170207, 2.15, 2.15, 2.06, 2.15, 71900, 2.15, 0, 1, 2.15, -999
20170206, 2.15, 2.15, 2.1, 2.13, 19100, 2.13, 0, 1, 2.14, -999
20170203, 2.07, 2.1, 2.05, 2.1, 10300, 2.1, 0, 1, 2.085, -999
20170202, 2.05, 2.1, 2.05, 2.1, 9400, 2.1, 0, 1, 2.075, -999
20170201, 2.05, 2.05, 2, 2.05, 8300, 2.05, 0, 1, 2.05, -999
20170131, 2, 2.05, 2, 2, 2900, 2, 0, 1, 2, -999
20170130, 2, 2.05, 2, 2.05, 26000, 2.05, 0, 1, 2.025, -999
20170127, 2.05, 2.05, 2, 2.05, 4300, 2.05, 0, 1, 2.05, -999
20170126, 2, 2.05, 1.95, 2.05, 52700, 2.05, 0, 1, 2.025, -999
20170125, 2.05, 2.1, 2.05, 2.07, 10700, 2.07, 0, 1, 2.06, -999
20170124, 2, 2.1, 2, 2, 11100, 2, 0, 1, 2, -999
20170123, 2.1, 2.1, 1.95, 2.05, 38500, 2.05, 0, 1, 2.075, -999
20170120, 2.15, 2.15, 2.1, 2.15, 6600, 2.15, 0, 1, 2.15, -999
20170119, 2.15, 2.2, 2.06, 2.15, 44600, 2.15, 0, 1, 2.15, -999
20170118, 2.05, 2.15, 2, 2.15, 35400, 2.15, 0, 1, 2.1, -999
20170117, 1.95, 2.05, 1.9, 2.05, 83500, 2.05, 0, 1, 2, -999
20170113, 2, 2.15, 1.93, 1.95, 181600, 1.95, 0, 1, 1.975, -999
20170112, 1.97, 2, 1.95, 1.98, 74500, 1.98, 0, 1, 1.975, -999
20170111, 1.95, 2.05, 1.95, 2, 113800, 2, 0, 1, 1.975, -999
20170110, 2, 2.1, 1.95, 1.98, 189100, 1.98, 0, 1, 1.99, -999
20170109, 2.05, 2.1, 1.95, 2, 114500, 2, 0, 1, 2.025, -999
20170106, 2.01, 2.05, 1.96, 2.05, 59400, 2.05, 0, 1, 2.03, -999
20170105, 2.05, 2.2, 1.95, 2.1, 661100, 2.1, 0, 1, 2.075, -999
20170104, 2.1, 2.1, 2.05, 2.05, 99300, 2.05, 0, 1, 2.075, -999
20170103, 2.05, 2.2, 1.95, 2.08, 121900, 2.08, 0, 1, 2.065, -999
20161230, 2.05, 2.25, 2.05, 2.15, 45600, 2.15, 0, 1, 2.1, -999
20161229, 2.01, 2.15, 1.95, 2.15, 66000, 2.15, 0, 1, 2.08, -999
20161228, 1.95, 2, 1.95, 2, 121000, 2, 0, 1, 1.975, -999
20161227, 1.9, 2, 1.9, 1.95, 44400, 1.95, 0, 1, 1.925, -999
20161223, 2, 2, 1.85, 1.95, 32100, 1.95, 0, 1, 1.975, -999
20161222, 2, 2, 1.91, 2, 33500, 2, 0, 1, 2, -999
20161221, 1.95, 2, 1.75, 2, 49400, 2, 0, 1, 1.975, -999
20161220, 1.9, 1.95, 1.85, 1.95, 36800, 1.95, 0, 1, 1.925, -999
20161219, 1.9, 1.9, 1.75, 1.85, 108300, 1.85, 0, 1, 1.875, -999
20161216, 1.75, 1.92, 1.65, 1.7, 62600, 1.7, 0, 1, 1.725, -999
