Ticker: DSGX  Created on: 2/13/2017 1:33:19 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 21.75, 22.049999, 21.75, 22, 15400, 22, 0, 1, 21.875, -999
20170209, 21.799999, 22, 21.75, 21.85, 18300, 21.85, 0, 1, 21.8249995, -999
20170208, 21.549999, 21.75, 21.450001, 21.700001, 15800, 21.700001, 0, 1, 21.625, -999
20170207, 21.450001, 21.85, 21.299999, 21.6, 48800, 21.6, 0, 1, 21.5250005, -999
20170206, 21.4, 21.6, 21.200001, 21.450001, 26900, 21.450001, 0, 1, 21.4250005, -999
20170203, 21.65, 21.799999, 21.5, 21.6, 19200, 21.6, 0, 1, 21.625, -999
20170202, 21.9, 22, 21.549999, 21.6, 23500, 21.6, 0, 1, 21.75, -999
20170201, 21.9, 22.1, 21.799999, 21.85, 24300, 21.85, 0, 1, 21.875, -999
20170131, 21.9, 22.1, 21.65, 21.85, 16800, 21.85, 0, 1, 21.875, -999
20170130, 22.65, 22.65, 21.9, 22, 61400, 22, 0, 1, 22.325, -999
20170127, 22.4, 22.799999, 22.4, 22.799999, 14700, 22.799999, 0, 1, 22.5999995, -999
20170126, 22.65, 22.700001, 22.450001, 22.6, 15200, 22.6, 0, 1, 22.625, -999
20170125, 22.25, 22.799999, 22.25, 22.65, 115400, 22.65, 0, 1, 22.45, -999
20170124, 21.5, 22.25, 21.5, 22.15, 22400, 22.15, 0, 1, 21.825, -999
20170123, 21.5, 21.6, 21.35, 21.450001, 13100, 21.450001, 0, 1, 21.4750005, -999
20170120, 21.4, 21.450001, 21.15, 21.4, 26000, 21.4, 0, 1, 21.4, -999
20170119, 21.5, 21.700001, 21.200001, 21.25, 23900, 21.25, 0, 1, 21.375, -999
20170118, 21.700001, 21.700001, 21.4, 21.4, 56800, 21.4, 0, 1, 21.5500005, -999
20170117, 21.700001, 21.75, 21.549999, 21.700001, 29600, 21.700001, 0, 1, 21.700001, -999
20170113, 21.6, 21.85, 21.299999, 21.700001, 14200, 21.700001, 0, 1, 21.6500005, -999
20170112, 21.450001, 21.799999, 21.35, 21.549999, 23300, 21.549999, 0, 1, 21.5, -999
20170111, 21.5, 21.700001, 21.450001, 21.450001, 17900, 21.450001, 0, 1, 21.4750005, -999
20170110, 21.25, 21.700001, 21.200001, 21.549999, 50000, 21.549999, 0, 1, 21.3999995, -999
20170109, 21.280001, 21.35, 21.18, 21.200001, 32900, 21.200001, 0, 1, 21.240001, -999
20170106, 21.200001, 21.4, 21.1, 21.25, 187300, 21.25, 0, 1, 21.2250005, -999
20170105, 21.5, 21.6, 21.1, 21.15, 273800, 21.15, 0, 1, 21.325, -999
20170104, 21.299999, 21.6, 21.299999, 21.450001, 46900, 21.450001, 0, 1, 21.375, -999
20170103, 21.5, 21.5, 21.1, 21.25, 99100, 21.25, 0, 1, 21.375, -999
20161230, 21.25, 21.450001, 21.200001, 21.4, 57700, 21.4, 0, 1, 21.325, -999
20161229, 21.1, 21.299999, 21.08, 21.299999, 62100, 21.299999, 0, 1, 21.1999995, -999
20161228, 21.049999, 21.15, 20.9, 21.049999, 14200, 21.049999, 0, 1, 21.049999, -999
20161227, 21.799999, 21.799999, 20.9, 21.200001, 7700, 21.200001, 0, 1, 21.5, -999
