Ticker: DWCH  Created on: 2/13/2017 1:32:58 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 6.75, 7.55, 6.7, 6.8, 940600, 6.8, 0, 1, 6.775, -999
20170209, 6.95, 7, 6.7, 6.75, 246900, 6.75, 0, 1, 6.85, -999
20170208, 7.2, 7.55, 6.9, 6.9, 55700, 6.9, 0, 1, 7.05, -999
20170207, 7.5, 7.6, 7.1, 7.15, 109700, 7.15, 0, 1, 7.325, -999
20170206, 7.55, 7.6, 7.05, 7.55, 52100, 7.55, 0, 1, 7.55, -999
20170203, 7.4, 7.6, 7.15, 7.5, 33800, 7.5, 0, 1, 7.45, -999
20170202, 7.4, 7.6, 6.95, 7.35, 68900, 7.35, 0, 1, 7.375, -999
20170201, 8, 8, 6.92, 7.45, 71400, 7.45, 0, 1, 7.725, -999
20170131, 7.45, 8.2, 7.2, 8.05, 148400, 8.05, 0, 1, 7.75, -999
20170130, 7.35, 7.7, 7, 7.55, 132300, 7.55, 0, 1, 7.45, -999
20170127, 6.65, 7.5, 6.5, 7.4, 184300, 7.4, 0, 1, 7.025, -999
20170126, 5.8, 6.9, 5.75, 6.65, 454400, 6.65, 0, 1, 6.225, -999
20170125, 5.62, 5.7, 5.55, 5.6, 79600, 5.6, 0, 1, 5.61, -999
20170124, 5.55, 5.75, 5.4, 5.65, 44100, 5.65, 0, 1, 5.6, -999
20170123, 5.65, 5.65, 5.4, 5.55, 29600, 5.55, 0, 1, 5.6, -999
20170120, 5.55, 5.8, 5.55, 5.7, 16400, 5.7, 0, 1, 5.625, -999
20170119, 5.65, 5.65, 5.5, 5.6, 9200, 5.6, 0, 1, 5.625, -999
20170118, 5.6, 5.85, 5.6, 5.75, 112400, 5.75, 0, 1, 5.675, -999
20170117, 5.94, 5.95, 5.55, 5.55, 47800, 5.55, 0, 1, 5.745, -999
20170113, 5.7, 5.9, 5.65, 5.8, 50700, 5.8, 0, 1, 5.75, -999
20170112, 5.6, 5.7, 5.45, 5.7, 51400, 5.7, 0, 1, 5.65, -999
20170111, 5.7, 5.7, 5.55, 5.55, 4900, 5.55, 0, 1, 5.625, -999
20170110, 5.7, 5.9, 5.6, 5.7, 36200, 5.7, 0, 1, 5.7, -999
20170109, 5.65, 5.75, 5.45, 5.7, 39200, 5.7, 0, 1, 5.675, -999
20170106, 5.55, 5.7, 5.5, 5.65, 40500, 5.65, 0, 1, 5.6, -999
20170105, 5.74, 5.8, 5.5, 5.55, 11900, 5.55, 0, 1, 5.645, -999
20170104, 5.6, 5.7, 5.4, 5.5, 46800, 5.5, 0, 1, 5.55, -999
20170103, 5.55, 5.65, 5.4, 5.6, 588200, 5.6, 0, 1, 5.575, -999
20161230, 5.45, 5.7, 5.3, 5.5, 88300, 5.5, 0, 1, 5.475, -999
20161229, 5.55, 5.65, 5.36, 5.5, 24900, 5.5, 0, 1, 5.525, -999
20161228, 5.65, 5.65, 5.4, 5.55, 20000, 5.55, 0, 1, 5.6, -999
20161227, 5.55, 5.96, 5.53, 5.6, 49300, 5.6, 0, 1, 5.575, -999
20161223, 5.35, 5.61, 5.35, 5.6, 24600, 5.6, 0, 1, 5.475, -999
20161222, 5.55, 5.6, 5.3, 5.3, 35600, 5.3, 0, 1, 5.425, -999
20161221, 5.65, 5.75, 5.45, 5.55, 19400, 5.55, 0, 1, 5.6, -999
20161220, 5.75, 5.75, 5.45, 5.7, 44000, 5.7, 0, 1, 5.725, -999
20161219, 5.45, 5.71, 5.45, 5.7, 52200, 5.7, 0, 1, 5.575, -999
20161216, 5.35, 5.5, 5.3, 5.5, 62200, 5.5, 0, 1, 5.425, -999
20161215, 5.5, 5.55, 5.25, 5.3, 44800, 5.3, 0, 1, 5.4, -999
20161214, 5.45, 5.65, 5.45, 5.45, 39000, 5.45, 0, 1, 5.45, -999
20161213, 5.8, 5.9, 5.4, 5.45, 80200, 5.45, 0, 1, 5.625, -999
20161212, 6.1, 6.1, 5.75, 5.75, 57400, 5.75, 0, 1, 5.925, -999
20161209, 6.35, 6.4, 6.05, 6.05, 36600, 6.05, 0, 1, 6.2, -999
20161208, 6.25, 6.35, 6.05, 6.3, 60000, 6.3, 0, 1, 6.275, -999
20161207, 6.15, 6.3, 6.05, 6.2, 67300, 6.2, 0, 1, 6.175, -999
20161206, 6.25, 6.25, 5.9, 6.1, 63400, 6.1, 0, 1, 6.175, -999
20161205, 6.15, 6.25, 6, 6.15, 55500, 6.15, 0, 1, 6.15, -999
20161202, 6.05, 6.2, 5.7, 6.1, 154500, 6.1, 0, 1, 6.075, -999
20161201, 5.95, 6.75, 5.75, 5.95, 406900, 5.95, 0, 1, 5.95, -999
20161130, 6.5, 6.5, 5.93, 6, 354400, 6, 0, 1, 6.25, -999
20161129, 6.65, 6.65, 6.28, 6.4, 681000, 6.4, 0, 1, 6.525, -999
20161128, 6.7, 6.75, 6.55, 6.6, 441400, 6.6, 0, 1, 6.65, -999
20161125, 6.7, 6.75, 6.61, 6.75, 44500, 6.75, 0, 1, 6.725, -999
20161123, 6.8, 6.8, 6.5, 6.65, 821700, 6.65, 0, 1, 6.725, -999
20161122, 6.7, 6.85, 6.7, 6.8, 212600, 6.8, 0, 1, 6.75, -999
20161121, 6.9, 6.95, 6.6, 6.75, 1328600, 6.75, 0, 1, 6.825, -999
20161118, 6.95, 6.95, 6.83, 6.9, 141300, 6.9, 0, 1, 6.925, -999
20161117, 6.9, 6.95, 6.8, 6.95, 132300, 6.95, 0, 1, 6.925, -999
20161116, 7.05, 7.15, 6.8, 6.85, 397500, 6.85, 0, 1, 6.95, -999
20161115, 7, 7.1, 6.95, 7.05, 530100, 7.05, 0, 1, 7.025, -999
20161114, 6.95, 7.25, 6.7, 7, 1613800, 7, 0, 1, 6.975, -999
20161111, 6.95, 7.4, 6.7, 7, 1485800, 7, 0, 1, 6.975, -999
20161110, 6.7, 7.05, 6.4, 7, 322800, 7, 0, 1, 6.85, -999
20161109, 6.5, 6.9, 6.2, 6.75, 259800, 6.75, 0, 1, 6.625, -999
20161108, 6.37, 6.6, 6.05, 6.55, 202000, 6.55, 0, 1, 6.46, -999
20161107, 6.05, 6.35, 5.68, 6.15, 127100, 6.15, 0, 1, 6.1, -999
20161104, 6.15, 6.75, 5.9, 5.95, 158600, 5.95, 0, 1, 6.05, -999
20161103, 7.35, 7.5, 5.35, 6.05, 163600, 6.05, 0, 1, 6.7, -999
20161102, 7.6, 7.6, 7.35, 7.45, 85100, 7.45, 0, 1, 7.525, -999
20161101, 7.55, 7.75, 7.5, 7.6, 44000, 7.6, 0, 1, 7.575, -999
20161031, 7.5, 7.7, 7.1, 7.65, 97600, 7.65, 0, 1, 7.575, -999
20161028, 7.5, 7.65, 7.5, 7.6, 20300, 7.6, 0, 1, 7.55, -999
20161027, 7.65, 7.65, 7.45, 7.6, 19800, 7.6, 0, 1, 7.625, -999
20161026, 7.55, 7.95, 7.46, 7.6, 30000, 7.6, 0, 1, 7.575, -999
20161025, 7.6, 7.65, 7.55, 7.65, 15900, 7.65, 0, 1, 7.625, -999
20161024, 7.55, 7.6, 7.5, 7.6, 12200, 7.6, 0, 1, 7.575, -999
20161021, 7.5, 7.65, 7.1, 7.58, 72700, 7.58, 0, 1, 7.54, -999
20161020, 7.5, 8, 7.45, 7.5, 111000, 7.5, 0, 1, 7.5, -999
20161019, 7.15, 7.7, 7.15, 7.45, 162400, 7.45, 0, 1, 7.3, -999
20161018, 7.4, 7.4, 7.05, 7.2, 13400, 7.2, 0, 1, 7.3, -999
20161017, 7.35, 7.5, 7.25, 7.45, 11500, 7.45, 0, 1, 7.4, -999
20161014, 7.25, 7.64, 7.25, 7.52, 31100, 7.52, 0, 1, 7.385, -999
20161013, 7.1, 7.38, 6.66, 7.3, 238200, 7.3, 0, 1, 7.2, -999
20161012, 7.45, 7.46, 7.07, 7.07, 12100, 7.07, 0, 1, 7.26, -999
20161011, 7.13, 7.6, 7.13, 7.47, 90300, 7.47, 0, 1, 7.3, -999
20161010, 7.4, 7.43, 7.14, 7.2, 90000, 7.2, 0, 1, 7.3, -999
20161007, 7.23, 7.35, 7.09, 7.34, 38600, 7.34, 0, 1, 7.285, -999
20161006, 7.29, 7.35, 7.25, 7.25, 4900, 7.25, 0, 1, 7.27, -999
20161005, 7.35, 7.49, 7.21, 7.29, 46400, 7.29, 0, 1, 7.32, -999
20161004, 7.05, 7.49, 7.01, 7.4, 22500, 7.4, 0, 1, 7.225, -999
20161003, 7.38, 7.5, 7.36, 7.45, 14400, 7.45, 0, 1, 7.415, -999
20160930, 7.35, 7.64, 7.23, 7.41, 26800, 7.41, 0, 1, 7.38, -999
20160929, 7.52, 7.65, 7, 7.4, 166300, 7.4, 0, 1, 7.46, -999
20160928, 7.7, 7.79, 7.11, 7.5, 182900, 7.5, 0, 1, 7.6, -999
20160927, 7.45, 7.75, 7.32, 7.65, 63000, 7.65, 0, 1, 7.55, -999
20160926, 7.35, 7.79, 7.1, 7.65, 143900, 7.65, 0, 1, 7.5, -999
20160923, 7.26, 7.48, 7.08, 7.42, 71700, 7.42, 0, 1, 7.34, -999
