Ticker: EA  Created on: 2/13/2017 1:32:58 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 84.739998, 86.660004, 84.129997, 86.169998, 6405100, 86.169998, 0, 1, 85.454998, -999
20170209, 82.209999, 83.400002, 81.489998, 83.260002, 3193000, 83.260002, 0, 1, 82.7350005, -999
20170208, 81.940002, 82.910004, 81.269997, 81.480003, 2637100, 81.480003, 0, 1, 81.7100025, -999
20170207, 81.809998, 82.400002, 81.550003, 82.209999, 2942600, 82.209999, 0, 1, 82.0099985, -999
20170206, 80.830002, 81.779999, 80.400002, 81.519997, 2338300, 81.519997, 0, 1, 81.1749995, -999
20170203, 82.510002, 82.669998, 80.970001, 81.279999, 4296300, 81.279999, 0, 1, 81.8950005, -999
20170202, 82.68, 82.980003, 81.379997, 82.510002, 4079700, 82.510002, 0, 1, 82.595001, -999
20170201, 83.43, 84.25, 81.449997, 83, 7607300, 83, 0, 1, 83.215, -999
20170131, 83.82, 84.089996, 82.889999, 83.43, 6461400, 83.43, 0, 1, 83.625, -999
20170130, 82.959999, 84.029999, 82.75, 83.839996, 4061400, 83.839996, 0, 1, 83.3999975, -999
20170127, 82, 83.25, 81.860001, 83.160004, 2607200, 83.160004, 0, 1, 82.580002, -999
20170126, 81.559998, 81.870003, 81.099998, 81.699997, 1854400, 81.699997, 0, 1, 81.6299975, -999
20170125, 80.849998, 81.589996, 80.519997, 81.480003, 2727000, 81.480003, 0, 1, 81.1650005, -999
20170124, 79.879997, 80.800003, 79.410004, 80.510002, 2004300, 80.510002, 0, 1, 80.1949995, -999
20170123, 80.050003, 80.169998, 79.260002, 79.879997, 2671300, 79.879997, 0, 1, 79.965, -999
20170120, 80.489998, 80.519997, 78.889999, 80.120003, 2620700, 80.120003, 0, 1, 80.3050005, -999
20170119, 80.400002, 81.339996, 80.050003, 80.379997, 1746100, 80.379997, 0, 1, 80.3899995, -999
20170118, 80.510002, 80.82, 79.82, 80.529999, 1926600, 80.529999, 0, 1, 80.5200005, -999
20170117, 80, 80.589996, 79.470001, 80.230003, 2073300, 80.230003, 0, 1, 80.1150015, -999
20170113, 79.139999, 81.260002, 79.129997, 80.349998, 2818000, 80.349998, 0, 1, 79.7449985, -999
20170112, 78.849998, 79.760002, 78.25, 79.599998, 2035700, 79.599998, 0, 1, 79.224998, -999
20170111, 78.800003, 79.419998, 78.169998, 79.019997, 2618900, 79.019997, 0, 1, 78.91, -999
20170110, 78.489998, 79.230003, 77.940002, 78.849998, 2328900, 78.849998, 0, 1, 78.669998, -999
20170109, 79.190002, 79.43, 78.050003, 78.639999, 2332300, 78.639999, 0, 1, 78.9150005, -999
20170106, 79.110001, 79.519997, 78.370003, 79.010002, 2014300, 79.010002, 0, 1, 79.0600015, -999
20170105, 79.980003, 80.459999, 78.730003, 78.959999, 3295000, 78.959999, 0, 1, 79.470001, -999
20170104, 79.389999, 81.110001, 79.120003, 80.629997, 1846900, 80.629997, 0, 1, 80.009998, -999
20170103, 79.519997, 79.620003, 78.269997, 79.169998, 2187300, 79.169998, 0, 1, 79.3449975, -999
20161230, 80.559998, 80.559998, 78.519997, 78.760002, 1800100, 78.760002, 0, 1, 79.66, -999
20161229, 80.529999, 81.010002, 79.699997, 80.160004, 1470100, 80.160004, 0, 1, 80.3450015, -999
20161228, 81.07, 81.260002, 79.970001, 80.379997, 1297400, 80.379997, 0, 1, 80.7249985, -999
20161227, 80.989998, 81.760002, 80.75, 81.080002, 1246800, 81.080002, 0, 1, 81.035, -999
20161223, 79.849998, 81.120003, 79.57, 80.669998, 2017100, 80.669998, 0, 1, 80.259998, -999
20161222, 79.739998, 80.150002, 79.18, 79.790001, 1206800, 79.790001, 0, 1, 79.7649995, -999
20161221, 79.489998, 80.18, 79.129997, 79.660004, 2181700, 79.660004, 0, 1, 79.575001, -999
20161220, 79.599998, 80.260002, 79.260002, 79.5, 2218100, 79.5, 0, 1, 79.549999, -999
20161219, 79.309998, 80.529999, 79.150002, 79.5, 2194100, 79.5, 0, 1, 79.404999, -999
20161216, 81.440002, 81.5, 79.169998, 79.510002, 4071400, 79.510002, 0, 1, 80.475002, -999
20161215, 81.32, 82.620003, 80.739998, 81.510002, 3957900, 81.510002, 0, 1, 81.415001, -999
20161214, 80.610001, 81.68, 79.980003, 80.699997, 2545600, 80.699997, 0, 1, 80.654999, -999
20161213, 80.459999, 82.599998, 80.459999, 80.760002, 3435700, 80.760002, 0, 1, 80.6100005, -999
20161212, 78.879997, 80.629997, 78.510002, 80.620003, 3926900, 80.620003, 0, 1, 79.75, -999
20161209, 77.809998, 79.07, 77.809998, 78.75, 2072200, 78.75, 0, 1, 78.279999, -999
20161208, 78.029999, 78.599998, 77.400002, 77.779999, 3445700, 77.779999, 0, 1, 77.904999, -999
20161207, 76.849998, 78.110001, 76.419998, 77.949997, 3286500, 77.949997, 0, 1, 77.3999975, -999
20161206, 77.629997, 78.029999, 76.5, 76.870003, 2298700, 76.870003, 0, 1, 77.25, -999
20161205, 76.169998, 77.830002, 75.5, 77.449997, 2499100, 77.449997, 0, 1, 76.8099975, -999
20161202, 75.650002, 76.470001, 73.739998, 75.860001, 4090900, 75.860001, 0, 1, 75.7550015, -999
20161201, 79.209999, 79.279999, 75.169998, 75.580002, 4920000, 75.580002, 0, 1, 77.3950005, -999
20161130, 81.290001, 81.370003, 79.150002, 79.239998, 3411400, 79.239998, 0, 1, 80.2649995, -999
20161129, 78.949997, 81.690002, 78.93, 81.370003, 3376600, 81.370003, 0, 1, 80.16, -999
20161128, 79.419998, 79.559998, 78.529999, 78.730003, 2332200, 78.730003, 0, 1, 79.0750005, -999
20161125, 79.18, 79.919998, 78.540001, 79.169998, 780400, 79.169998, 0, 1, 79.174999, -999
20161123, 77.900002, 79.699997, 77.769997, 79.349998, 2853600, 79.349998, 0, 1, 78.625, -999
20161122, 78.519997, 78.559998, 76.93, 77.75, 2737200, 77.75, 0, 1, 78.1349985, -999
20161121, 79.07, 79.18, 77.559998, 78.260002, 3060700, 78.260002, 0, 1, 78.665001, -999
20161118, 79.800003, 80.610001, 78.760002, 78.989998, 2652200, 78.989998, 0, 1, 79.3950005, -999
20161117, 78.760002, 80.169998, 78.540001, 79.620003, 2642700, 79.620003, 0, 1, 79.1900025, -999
20161116, 77.599998, 78.940002, 77.029999, 78.830002, 2454200, 78.830002, 0, 1, 78.215, -999
20161115, 77, 78.419998, 77, 77.620003, 2549300, 77.620003, 0, 1, 77.3100015, -999
20161114, 77.470001, 78.080002, 76.139999, 76.379997, 5016200, 76.379997, 0, 1, 76.924999, -999
20161111, 75.800003, 77.940002, 75.529999, 77.449997, 4039300, 77.449997, 0, 1, 76.625, -999
20161110, 79.970001, 80.059998, 76.190002, 76.790001, 5526900, 76.790001, 0, 1, 78.380001, -999
20161109, 78.730003, 80.989998, 78.449997, 79.440002, 4446900, 79.440002, 0, 1, 79.0850025, -999
20161108, 81.059998, 82.449997, 80.68, 81.489998, 2198200, 81.489998, 0, 1, 81.274998, -999
20161107, 81.089996, 82.029999, 80.330002, 81.080002, 3750900, 81.080002, 0, 1, 81.084999, -999
20161104, 79.949997, 81.720001, 79.029999, 80.220001, 4694600, 80.220001, 0, 1, 80.084999, -999
20161103, 79.120003, 82.290001, 79.120003, 80.519997, 7210600, 80.519997, 0, 1, 79.82, -999
20161102, 78.830002, 81.93, 77.860001, 79.120003, 9449900, 79.120003, 0, 1, 78.9750025, -999
20161101, 78.639999, 78.760002, 77.18, 77.839996, 7226300, 77.839996, 0, 1, 78.2399975, -999
20161031, 79.639999, 80.139999, 77.43, 78.519997, 5380700, 78.519997, 0, 1, 79.079998, -999
20161028, 80.779999, 81.419998, 78.550003, 79.449997, 6933800, 79.449997, 0, 1, 80.114998, -999
20161027, 83.279999, 84.43, 82.580002, 82.720001, 3159900, 82.720001, 0, 1, 83, -999
20161026, 82.949997, 84.110001, 82.5, 82.580002, 2026000, 82.580002, 0, 1, 82.7649995, -999
20161025, 84.190002, 84.790001, 82.889999, 82.940002, 2822900, 82.940002, 0, 1, 83.565002, -999
20161024, 81.910004, 84.370003, 81.779999, 84.150002, 3046700, 84.150002, 0, 1, 83.030003, -999
20161021, 82.150002, 82.989998, 82, 82.870003, 2708200, 82.870003, 0, 1, 82.5100025, -999
20161020, 82.699997, 82.82, 81.599998, 82.519997, 2468400, 82.519997, 0, 1, 82.609997, -999
20161019, 84.220001, 84.360001, 82.620003, 82.760002, 2269200, 82.760002, 0, 1, 83.4900015, -999
20161018, 83.18, 84.400002, 83.110001, 84.010002, 2185200, 84.010002, 0, 1, 83.595001, -999
20161017, 82.769997, 83.220001, 82.160004, 82.32, 1981900, 82.32, 0, 1, 82.5449985, -999
20161014, 82.349998, 83.980003, 82.349998, 82.589996, 2658300, 82.589996, 0, 1, 82.469997, -999
20161013, 82.089996, 82.519997, 80.779999, 81.760002, 3034000, 81.760002, 0, 1, 81.924999, -999
20161012, 85.029999, 85.029999, 82.160004, 82.529999, 2395200, 82.529999, 0, 1, 83.779999, -999
20161011, 84.699997, 84.800003, 83.150002, 83.370003, 2308800, 83.370003, 0, 1, 84.035, -999
20161010, 84.07, 84.919998, 83.849998, 84.739998, 2278100, 84.739998, 0, 1, 84.404999, -999
20161007, 85.059998, 85.190002, 83.440002, 83.809998, 3076700, 83.809998, 0, 1, 84.434998, -999
20161006, 85.550003, 85.639999, 83.860001, 84.580002, 3189300, 84.580002, 0, 1, 85.0650025, -999
20161005, 85.559998, 85.75, 84.970001, 85.470001, 1961700, 85.470001, 0, 1, 85.5149995, -999
20161004, 85.93, 86.07, 85.120003, 85.559998, 1724800, 85.559998, 0, 1, 85.744999, -999
20161003, 85.220001, 86.050003, 85.129997, 85.410004, 2047900, 85.410004, 0, 1, 85.3150025, -999
20160930, 84.349998, 85.830002, 83.769997, 85.400002, 2860300, 85.400002, 0, 1, 84.875, -999
20160929, 84.93, 85.129997, 84.120003, 84.260002, 1324900, 84.260002, 0, 1, 84.595001, -999
20160928, 85.349998, 85.599998, 84.580002, 85, 1794400, 85, 0, 1, 85.174999, -999
20160927, 83.400002, 85.529999, 83.190002, 85.199997, 2453200, 85.199997, 0, 1, 84.2999995, -999
20160926, 83.669998, 84.25, 83.220001, 83.5, 1836700, 83.5, 0, 1, 83.584999, -999
20160923, 84.5, 84.5, 83.519997, 84.260002, 2644400, 84.260002, 0, 1, 84.380001, -999
20160922, 84.099998, 84.199997, 82.760002, 83.169998, 2194300, 83.169998, 0, 1, 83.634998, -999
20160921, 83.480003, 83.629997, 82.260002, 83.470001, 2663300, 83.470001, 0, 1, 83.475002, -999
20160920, 82.889999, 83.389999, 82.620003, 82.989998, 2173000, 82.989998, 0, 1, 82.9399985, -999
20160919, 83.139999, 83.410004, 82.459999, 82.769997, 1872800, 82.769997, 0, 1, 82.954998, -999
20160916, 83.260002, 83.360001, 82.160004, 82.889999, 3731900, 82.889999, 0, 1, 83.0750005, -999
20160915, 80.559998, 83.669998, 80.559998, 83.370003, 3167500, 83.370003, 0, 1, 81.9650005, -999
20160914, 81.139999, 81.769997, 80.5, 80.830002, 1410400, 80.830002, 0, 1, 80.9850005, -999
20160913, 80.610001, 81.120003, 79.940002, 80.870003, 2710500, 80.870003, 0, 1, 80.740002, -999
20160912, 79.730003, 80.919998, 79.510002, 80.839996, 3371100, 80.839996, 0, 1, 80.2849995, -999
20160909, 81.419998, 81.790001, 79.839996, 79.860001, 2212500, 79.860001, 0, 1, 80.6399995, -999
20160908, 82.639999, 82.639999, 81.580002, 82.160004, 3188500, 82.160004, 0, 1, 82.4000015, -999
20160907, 83.760002, 84.269997, 82.540001, 82.75, 3050100, 82.75, 0, 1, 83.255001, -999
20160906, 83.300003, 84.449997, 83.300003, 83.870003, 2648500, 83.870003, 0, 1, 83.585003, -999
20160902, 82.300003, 84.18, 82.160004, 83.459999, 3524700, 83.459999, 0, 1, 82.880001, -999
20160901, 81.519997, 81.989998, 81.029999, 81.760002, 1813900, 81.760002, 0, 1, 81.6399995, -999
20160831, 81.370003, 81.68, 81.029999, 81.230003, 2077500, 81.230003, 0, 1, 81.300003, -999
20160830, 82.400002, 82.400002, 81.480003, 81.730003, 1711500, 81.730003, 0, 1, 82.0650025, -999
20160829, 81.099998, 81.959999, 80.639999, 81.510002, 1975900, 81.510002, 0, 1, 81.305, -999
20160826, 81.199997, 81.510002, 80.019997, 81.209999, 3037800, 81.209999, 0, 1, 81.204998, -999
20160825, 82.019997, 82.199997, 80.959999, 81.550003, 3304400, 81.550003, 0, 1, 81.785, -999
20160824, 82.309998, 82.629997, 81.949997, 82.419998, 3310900, 82.419998, 0, 1, 82.364998, -999
20160823, 81.980003, 82.620003, 81.489998, 82.309998, 4603800, 82.309998, 0, 1, 82.1450005, -999
20160822, 81.07, 81.82, 81.040001, 81.489998, 3218900, 81.489998, 0, 1, 81.279999, -999
20160819, 80.949997, 81.889999, 80.800003, 81.760002, 3238700, 81.760002, 0, 1, 81.3549995, -999
20160818, 79.800003, 81.800003, 79.629997, 80.980003, 4741900, 80.980003, 0, 1, 80.390003, -999
20160817, 78, 79.860001, 77.809998, 79.769997, 3552800, 79.769997, 0, 1, 78.8849985, -999
20160816, 78.779999, 78.889999, 77.82, 78.050003, 2969600, 78.050003, 0, 1, 78.415001, -999
20160815, 77.589996, 79.559998, 77.330002, 79.480003, 3225600, 79.480003, 0, 1, 78.5349995, -999
20160812, 78, 78.400002, 77.029999, 77.43, 2028200, 77.43, 0, 1, 77.715, -999
20160811, 78.849998, 79.160004, 77.839996, 77.849998, 3212600, 77.849998, 0, 1, 78.349998, -999
20160810, 78.540001, 79.099998, 78.260002, 78.57, 1431700, 78.57, 0, 1, 78.5550005, -999
20160809, 79.010002, 79.360001, 78.629997, 78.690002, 1980500, 78.690002, 0, 1, 78.850002, -999
20160808, 79.849998, 79.989998, 79.169998, 79.269997, 2917700, 79.269997, 0, 1, 79.5599975, -999
20160805, 78.940002, 79.989998, 78.43, 79.839996, 4294000, 79.839996, 0, 1, 79.389999, -999
20160804, 78.360001, 78.720001, 77.889999, 78.230003, 4543900, 78.230003, 0, 1, 78.295002, -999
20160803, 76.660004, 78.980003, 75.169998, 78.629997, 10446400, 78.629997, 0, 1, 77.6450005, -999
20160802, 76.580002, 76.940002, 75.75, 76.779999, 5942400, 76.779999, 0, 1, 76.6800005, -999
20160801, 76.230003, 76.82, 76.110001, 76.629997, 3756300, 76.629997, 0, 1, 76.43, -999
20160729, 76.480003, 76.529999, 75.779999, 76.32, 2911100, 76.32, 0, 1, 76.4000015, -999
20160728, 76.610001, 76.720001, 76, 76.279999, 1268200, 76.279999, 0, 1, 76.445, -999
20160727, 77.220001, 77.370003, 76.57, 76.669998, 2319900, 76.669998, 0, 1, 76.9449995, -999
20160726, 76.919998, 77.349998, 76.209999, 76.839996, 2111900, 76.839996, 0, 1, 76.879997, -999
20160725, 76.040001, 76.910004, 75.730003, 76.900002, 3416500, 76.900002, 0, 1, 76.4700015, -999
20160722, 75.879997, 76.68, 74.949997, 76.330002, 5822000, 76.330002, 0, 1, 76.1049995, -999
20160721, 76.440002, 76.93, 74.32, 75.379997, 8602700, 75.379997, 0, 1, 75.9099995, -999
20160720, 77.220001, 78.220001, 76.440002, 76.699997, 5482000, 76.699997, 0, 1, 76.959999, -999
20160719, 77.989998, 78.110001, 76.220001, 76.5, 5143300, 76.5, 0, 1, 77.244999, -999
20160718, 78.129997, 78.860001, 77.720001, 78.260002, 2185500, 78.260002, 0, 1, 78.1949995, -999
20160715, 78.440002, 78.730003, 77.599998, 77.830002, 2702500, 77.830002, 0, 1, 78.135002, -999
20160714, 77.889999, 78.300003, 76.970001, 78.050003, 3203400, 78.050003, 0, 1, 77.970001, -999
20160713, 79.93, 79.93, 77.610001, 77.620003, 2426500, 77.620003, 0, 1, 78.7750015, -999
20160712, 79.279999, 79.989998, 78.599998, 79.510002, 2722600, 79.510002, 0, 1, 79.3950005, -999
20160711, 78.279999, 79.559998, 78.279999, 79.169998, 2983300, 79.169998, 0, 1, 78.7249985, -999
20160708, 77.32, 78.5, 77.010002, 78.260002, 3263000, 78.260002, 0, 1, 77.790001, -999
20160707, 76.559998, 76.830002, 76.019997, 76.620003, 1516600, 76.620003, 0, 1, 76.5900005, -999
20160706, 75.419998, 77.150002, 75.010002, 76.739998, 2274900, 76.739998, 0, 1, 76.079998, -999
20160705, 75.779999, 76.419998, 75.279999, 75.889999, 1688200, 75.889999, 0, 1, 75.834999, -999
20160701, 75.75, 76.57, 75.449997, 75.870003, 1892500, 75.870003, 0, 1, 75.8100015, -999
20160630, 73.870003, 76.110001, 73.230003, 75.760002, 3371100, 75.760002, 0, 1, 74.8150025, -999
20160629, 72.900002, 74, 72.809998, 73.739998, 2120300, 73.739998, 0, 1, 73.32, -999
20160628, 71.989998, 72.650002, 71.360001, 72.599998, 2743800, 72.599998, 0, 1, 72.294998, -999
20160627, 73.010002, 73.059998, 71.010002, 71.5, 3631900, 71.5, 0, 1, 72.255001, -999
20160624, 73.639999, 74.769997, 72.910004, 73.209999, 4622500, 73.209999, 0, 1, 73.424999, -999
20160623, 75.620003, 76.18, 74.849998, 76.050003, 2333500, 76.050003, 0, 1, 75.835003, -999
20160622, 75.209999, 75.529999, 74.690002, 74.800003, 2039300, 74.800003, 0, 1, 75.005001, -999
20160621, 75.25, 76.07, 75.07, 75.510002, 2072300, 75.510002, 0, 1, 75.380001, -999
20160620, 74.690002, 76.339996, 74.120003, 75.309998, 2947600, 75.309998, 0, 1, 75, -999
20160617, 75.160004, 75.160004, 73.580002, 74.519997, 4220600, 74.519997, 0, 1, 74.8400005, -999
20160616, 73.989998, 75.080002, 73.57, 75, 2868800, 75, 0, 1, 74.494999, -999
20160615, 74.559998, 75.230003, 74.040001, 74.389999, 2409900, 74.389999, 0, 1, 74.4749985, -999
20160614, 74.139999, 74.779999, 73.349998, 74.519997, 2017000, 74.519997, 0, 1, 74.329998, -999
20160613, 74.889999, 75.43, 73.800003, 74.239998, 3680300, 74.239998, 0, 1, 74.5649985, -999
20160610, 75.410004, 76.239998, 74.809998, 75.279999, 3025100, 75.279999, 0, 1, 75.3450015, -999
20160609, 75.589996, 76.790001, 75.519997, 76.25, 3055400, 76.25, 0, 1, 75.919998, -999
20160608, 77.059998, 77.190002, 76.010002, 76.279999, 2527100, 76.279999, 0, 1, 76.6699985, -999
20160607, 76.860001, 78.089996, 76.760002, 77.25, 4215200, 77.25, 0, 1, 77.0550005, -999
20160606, 76.370003, 76.959999, 75.199997, 76.489998, 2816800, 76.489998, 0, 1, 76.4300005, -999
20160603, 76.699997, 76.699997, 75.43, 76.360001, 1863900, 76.360001, 0, 1, 76.529999, -999
20160602, 76.720001, 76.940002, 76.099998, 76.580002, 2062400, 76.580002, 0, 1, 76.6500015, -999
20160601, 76.809998, 77.379997, 76.199997, 76.620003, 3260500, 76.620003, 0, 1, 76.7150005, -999
20160531, 75.980003, 76.82, 75.699997, 76.75, 4700100, 76.75, 0, 1, 76.3650015, -999
20160527, 75.330002, 76.459999, 75.330002, 75.699997, 2311200, 75.699997, 0, 1, 75.5149995, -999
20160526, 74.629997, 75.43, 73.919998, 75.110001, 1853200, 75.110001, 0, 1, 74.869999, -999
20160525, 75.389999, 75.830002, 74.839996, 74.940002, 2002500, 74.940002, 0, 1, 75.1650005, -999
20160524, 73.68, 75.660004, 73.25, 75.349998, 3781500, 75.349998, 0, 1, 74.514999, -999
20160523, 73.389999, 73.889999, 72.410004, 73.239998, 3248300, 73.239998, 0, 1, 73.3149985, -999
20160520, 73.480003, 74.010002, 72.93, 73.110001, 3772500, 73.110001, 0, 1, 73.295002, -999
20160519, 74.220001, 74.220001, 72.940002, 73.5, 3236700, 73.5, 0, 1, 73.8600005, -999
20160518, 74.699997, 74.870003, 73.260002, 74.489998, 4432500, 74.489998, 0, 1, 74.5949975, -999
20160517, 75.720001, 76.599998, 74.529999, 75.139999, 5105100, 75.139999, 0, 1, 75.43, -999
20160516, 75.07, 77.150002, 74.809998, 76.620003, 4329200, 76.620003, 0, 1, 75.8450015, -999
20160513, 74.730003, 76.089996, 74.660004, 75.199997, 4189100, 75.199997, 0, 1, 74.965, -999
20160512, 73.629997, 76.239998, 73.389999, 75.010002, 8201300, 75.010002, 0, 1, 74.3199995, -999
20160511, 70.43, 74.919998, 70.239998, 73.379997, 21901700, 73.379997, 0, 1, 71.9049985, -999
20160510, 65, 65.099998, 63.73, 64.540001, 7604400, 64.540001, 0, 1, 64.7700005, -999
20160509, 64.18, 65.040001, 64.010002, 64.519997, 3044600, 64.519997, 0, 1, 64.3499985, -999
20160506, 62.189999, 63.990002, 61.990002, 63.939999, 3362800, 63.939999, 0, 1, 63.064999, -999
20160505, 62.279999, 62.759998, 61.18, 62.240002, 4874100, 62.240002, 0, 1, 62.2600005, -999
20160504, 61.740002, 62.48, 61.099998, 61.880001, 3212800, 61.880001, 0, 1, 61.8100015, -999
20160503, 62.610001, 63.23, 62.02, 62.080002, 3230100, 62.080002, 0, 1, 62.3450015, -999
20160502, 62, 63.119999, 61.700001, 62.889999, 3360400, 62.889999, 0, 1, 62.4449995, -999
20160429, 61.810001, 62.419998, 61.23, 61.849998, 3729200, 61.849998, 0, 1, 61.8299995, -999
20160428, 63.119999, 64.019997, 61.91, 62.32, 4233500, 62.32, 0, 1, 62.7199995, -999
20160427, 65.129997, 65.419998, 62.349998, 63.349998, 5537400, 63.349998, 0, 1, 64.2399975, -999
20160426, 65.970001, 66.290001, 65.169998, 65.330002, 1516800, 65.330002, 0, 1, 65.6500015, -999
20160425, 65.43, 66, 65.419998, 65.93, 1153300, 65.93, 0, 1, 65.68, -999
20160422, 65.900002, 66.849998, 65.32, 65.870003, 2606400, 65.870003, 0, 1, 65.8850025, -999
20160421, 65.830002, 66.330002, 65.230003, 66.18, 1741700, 66.18, 0, 1, 66.005001, -999
20160420, 66.599998, 66.739998, 65.699997, 65.800003, 1804400, 65.800003, 0, 1, 66.2000005, -999
20160419, 66.589996, 66.739998, 65.330002, 66.190002, 1903500, 66.190002, 0, 1, 66.389999, -999
20160418, 66.279999, 66.559998, 65.459999, 66.519997, 2845700, 66.519997, 0, 1, 66.399998, -999
20160415, 65.139999, 66.970001, 64.459999, 66.839996, 4647400, 66.839996, 0, 1, 65.9899975, -999
20160414, 64.849998, 65.239998, 64.43, 64.940002, 2100600, 64.940002, 0, 1, 64.895, -999
