Ticker: EDGW  Created on: 2/13/2017 1:33:26 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 6.73, 6.73, 6.33, 6.72, 14500, 6.72, 0, 1, 6.725, -999
20170209, 6.52, 6.75, 6.52, 6.73, 8200, 6.73, 0, 1, 6.625, -999
20170208, 6.6, 6.97, 6.51, 6.58, 16800, 6.58, 0, 1, 6.59, -999
20170207, 6.77, 6.77, 6.51, 6.65, 24100, 6.65, 0, 1, 6.71, -999
20170206, 6.6, 6.73, 6.35, 6.63, 76600, 6.63, 0, 1, 6.615, -999
20170203, 6.66, 6.8, 6.65, 6.69, 12600, 6.69, 0, 1, 6.675, -999
20170202, 7, 7.05, 6.86, 6.89, 5900, 6.89, 0, 1, 6.945, -999
20170201, 7, 7.2, 6.96, 6.96, 23500, 6.96, 0, 1, 6.98, -999
20170131, 6.77, 7.09, 6.7, 7, 39500, 7, 0, 1, 6.885, -999
20170130, 7.14, 7.14, 6.77, 6.82, 16800, 6.82, 0, 1, 6.98, -999
20170127, 7.1, 7.17, 7.03, 7.03, 696600, 7.03, 0, 1, 7.065, -999
20170126, 7.09, 7.25, 6.93, 7.17, 6700, 7.17, 0, 1, 7.13, -999
20170125, 7.3, 7.31, 7.2, 7.2, 2900, 7.2, 0, 1, 7.25, -999
20170124, 7.3, 7.34, 7.3, 7.3, 1500, 7.3, 0, 1, 7.3, -999
20170123, 7.31, 7.34, 7.3, 7.34, 3700, 7.34, 0, 1, 7.325, -999
20170120, 7.32, 7.32, 7.31, 7.31, 600, 7.31, 0, 1, 7.315, -999
20170119, 7.39, 7.39, 7.39, 7.39, 0, 7.39, 0, 1, 7.39, -999
20170118, 7.39, 7.39, 7.39, 7.39, 200, 7.39, 0, 1, 7.39, -999
20170117, 7.39, 7.44, 7.38, 7.38, 800, 7.38, 0, 1, 7.385, -999
20170113, 7.3, 7.5, 7.27, 7.49, 4600, 7.49, 0, 1, 7.395, -999
20170112, 7.29, 7.5, 7.27, 7.5, 11600, 7.5, 0, 1, 7.395, -999
20170111, 7.31, 7.45, 7.21, 7.45, 4500, 7.45, 0, 1, 7.38, -999
20170110, 7.36, 7.36, 7.36, 7.36, 300, 7.36, 0, 1, 7.36, -999
20170109, 7.4, 7.4, 7.24, 7.25, 1600, 7.25, 0, 1, 7.325, -999
20170106, 7.35, 7.41, 7.25, 7.39, 15100, 7.39, 0, 1, 7.37, -999
20170105, 7.39, 7.39, 7.39, 7.39, 0, 7.39, 0, 1, 7.39, -999
20170104, 7.53, 7.53, 7.39, 7.39, 1100, 7.39, 0, 1, 7.46, -999
20170103, 7.49, 7.53, 7.44, 7.52, 6100, 7.52, 0, 1, 7.505, -999
20161230, 7.34, 7.5, 7.34, 7.5, 8400, 7.5, 0, 1, 7.42, -999
20161229, 7.04, 7.25, 7.04, 7.25, 3300, 7.25, 0, 1, 7.145, -999
20161228, 7.1, 7.1, 6.95, 6.97, 3700, 6.97, 0, 1, 7.035, -999
20161227, 7.11, 7.34, 7.1, 7.18, 1700, 7.18, 0, 1, 7.145, -999
20161223, 7.25, 7.26, 6.96, 7.11, 4100, 7.11, 0, 1, 7.18, -999
20161222, 7.39, 7.47, 7.28, 7.32, 2900, 7.32, 0, 1, 7.355, -999
20161221, 7.05, 7.48, 7, 7.48, 70300, 7.48, 0, 1, 7.265, -999
20161220, 7, 7.1, 6.87, 7.07, 8800, 7.07, 0, 1, 7.035, -999
20161219, 6.61, 6.91, 6.61, 6.89, 13200, 6.89, 0, 1, 6.75, -999
20161216, 6.55, 6.8, 6.55, 6.72, 22200, 6.72, 0, 1, 6.635, -999
20161215, 6.98, 6.98, 6.55, 6.72, 23100, 6.72, 0, 1, 6.85, -999
20161214, 7.02, 7.32, 6.85, 6.85, 114500, 6.85, 0, 1, 6.935, -999
20161213, 7.05, 7.1, 6.75, 7.01, 50300, 7.01, 0, 1, 7.03, -999
20161212, 6.85, 7.85, 6.58, 6.8, 27300, 6.8, 0, 1, 6.825, -999
20161209, 6.65, 6.82, 6.65, 6.8, 48100, 6.8, 0, 1, 6.725, -999
20161208, 6.45, 6.74, 6.26, 6.64, 83800, 6.64, 0, 1, 6.545, -999
20161207, 6.9, 7.16, 6.22, 6.5, 162500, 6.5, 0, 1, 6.7, -999
20161206, 6.79, 6.91, 6.55, 6.9, 117700, 6.9, 0, 1, 6.845, -999
20161205, 6.91, 6.91, 6.8, 6.8, 4400, 6.8, 0, 1, 6.855, -999
20161202, 6.81, 6.93, 6.3, 6.49, 23100, 6.49, 0, 1, 6.65, -999
20161201, 6.99, 7.01, 6.63, 6.7, 8900, 6.7, 0, 1, 6.845, -999
20161130, 6.86, 6.99, 6.82, 6.9, 10000, 6.9, 0, 1, 6.88, -999
20161129, 7.02, 7.11, 6.81, 6.81, 2400, 6.81, 0, 1, 6.915, -999
20161128, 7.14, 7.14, 7.07, 7.07, 2500, 7.07, 0, 1, 7.105, -999
20161125, 7.13, 7.2, 6.99, 7.11, 17100, 7.11, 0, 1, 7.12, -999
20161123, 7.1, 7.1, 7, 7, 7200, 7, 0, 1, 7.05, -999
20161122, 7.01, 7.14, 6.94, 7, 25000, 7, 0, 1, 7.005, -999
20161121, 7.04, 7.2, 7.03, 7.07, 14300, 7.07, 0, 1, 7.055, -999
20161118, 7.08, 7.19, 6.97, 7.13, 22800, 7.13, 0, 1, 7.105, -999
20161117, 7.2, 7.2, 7.13, 7.13, 4700, 7.13, 0, 1, 7.165, -999
20161116, 7.01, 7.25, 7.01, 7.25, 29300, 7.25, 0, 1, 7.13, -999
20161115, 7.05, 7.18, 7.02, 7.05, 15200, 7.05, 0, 1, 7.05, -999
20161114, 7.98, 7.98, 6.38, 7.12, 16000, 7.12, 0, 1, 7.55, -999
20161111, 7.88, 8, 7.51, 8, 11300, 8, 0, 1, 7.94, -999
20161110, 8.06, 8.06, 7.69, 7.85, 14500, 7.85, 0, 1, 7.955, -999
20161109, 7.85, 8.06, 7.42, 8.06, 7500, 8.06, 0, 1, 7.955, -999
20161108, 7.65, 8.08, 7.65, 8.05, 11000, 8.05, 0, 1, 7.85, -999
20161107, 7.95, 8.05, 7.51, 7.87, 7100, 7.87, 0, 1, 7.91, -999
20161104, 8.18, 8.19, 7.85, 7.85, 19900, 7.85, 0, 1, 8.015, -999
20161103, 8.15, 8.2, 8.02, 8.02, 3300, 8.02, 0, 1, 8.085, -999
20161102, 7.91, 8.25, 7.05, 8.02, 33800, 8.02, 0, 1, 7.965, -999
20161101, 8.3, 8.3, 8.15, 8.3, 15700, 8.3, 0, 1, 8.3, -999
20161031, 8.51, 8.51, 7.66, 8.15, 1700, 8.15, 0, 1, 8.33, -999
20161028, 8.46, 8.49, 8.25, 8.49, 3200, 8.49, 0, 1, 8.475, -999
20161027, 8.56, 8.69, 8.35, 8.35, 3100, 8.35, 0, 1, 8.455, -999
20161026, 8.52, 8.68, 8.38, 8.49, 104200, 8.49, 0, 1, 8.505, -999
20161025, 8.59, 8.59, 8.42, 8.42, 300, 8.42, 0, 1, 8.505, -999
20161024, 8.67, 8.67, 8.58, 8.58, 800, 8.58, 0, 1, 8.625, -999
20161021, 8.1, 8.65, 8.1, 8.35, 3400, 8.35, 0, 1, 8.225, -999
20161020, 8.1, 8.11, 7.98, 8.07, 17600, 8.07, 0, 1, 8.085, -999
20161019, 8.17, 8.17, 8.1, 8.1, 10000, 8.1, 0, 1, 8.135, -999
20161018, 8.42, 8.48, 7.75, 8.14, 6900, 8.14, 0, 1, 8.28, -999
20161017, 8.56, 8.68, 8.56, 8.58, 2300, 8.58, 0, 1, 8.57, -999
20161014, 8.51, 8.53, 8.35, 8.53, 2700, 8.53, 0, 1, 8.52, -999
20161013, 8.59, 8.75, 8.45, 8.57, 1400, 8.57, 0, 1, 8.58, -999
20161012, 8.72, 8.72, 8.45, 8.51, 1900, 8.51, 0, 1, 8.615, -999
20161011, 8.52, 8.75, 8.31, 8.73, 1600, 8.73, 0, 1, 8.625, -999
20161010, 8.45, 8.5, 8.45, 8.5, 1900, 8.5, 0, 1, 8.475, -999
20161007, 8.45, 8.5, 8.32, 8.41, 10700, 8.41, 0, 1, 8.43, -999
20161006, 8.6, 8.6, 8.4, 8.45, 4600, 8.45, 0, 1, 8.525, -999
20161005, 8.5, 8.73, 8.45, 8.5, 3100, 8.5, 0, 1, 8.5, -999
20161004, 8.44, 8.5, 8.44, 8.5, 3700, 8.5, 0, 1, 8.47, -999
20161003, 8.46, 8.58, 7.03, 8.5, 3100, 8.5, 0, 1, 8.48, -999
20160930, 8.62, 8.71, 8.5, 8.5, 2500, 8.5, 0, 1, 8.56, -999
20160929, 8.6, 8.6, 8.52, 8.52, 2100, 8.52, 0, 1, 8.56, -999
20160928, 8.67, 8.75, 8.5, 8.53, 3700, 8.53, 0, 1, 8.6, -999
20160927, 8.41, 8.43, 8.41, 8.43, 2100, 8.43, 0, 1, 8.42, -999
20160926, 8.6, 8.61, 8.26, 8.51, 8900, 8.51, 0, 1, 8.555, -999
20160923, 8.25, 8.51, 8.25, 8.51, 1200, 8.51, 0, 1, 8.38, -999
20160922, 8.61, 8.77, 8.42, 8.42, 3900, 8.42, 0, 1, 8.515, -999
20160921, 8.7, 8.7, 8.65, 8.65, 600, 8.65, 0, 1, 8.675, -999
20160920, 8.62, 8.62, 8.62, 8.62, 0, 8.62, 0, 1, 8.62, -999
20160919, 8.75, 8.76, 8.62, 8.62, 1100, 8.62, 0, 1, 8.685, -999
20160916, 8.96, 8.96, 8.61, 8.69, 7500, 8.69, 0, 1, 8.825, -999
