Ticker: EGAN  Created on: 2/13/2017 1:32:58 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 2, 2.1, 2, 2.05, 30500, 2.05, 0, 1, 2.025, -999
20170209, 2.2, 2.2, 2.05, 2.05, 39800, 2.05, 0, 1, 2.125, -999
20170208, 2.15, 2.2, 2.1, 2.1, 29500, 2.1, 0, 1, 2.125, -999
20170207, 2.2, 2.25, 2.2, 2.2, 10600, 2.2, 0, 1, 2.2, -999
20170206, 2.1, 2.2, 2.1, 2.2, 36900, 2.2, 0, 1, 2.15, -999
20170203, 2.25, 2.25, 2.1, 2.1, 22700, 2.1, 0, 1, 2.175, -999
20170202, 2.2, 2.25, 2.2, 2.25, 14800, 2.25, 0, 1, 2.225, -999
20170201, 2.25, 2.3, 2.15, 2.25, 38500, 2.25, 0, 1, 2.25, -999
20170131, 2.25, 2.3, 2.15, 2.3, 18300, 2.3, 0, 1, 2.275, -999
20170130, 2.25, 2.25, 2.19, 2.25, 2600, 2.25, 0, 1, 2.25, -999
20170127, 2.25, 2.25, 2.15, 2.25, 2800, 2.25, 0, 1, 2.25, -999
20170126, 2.1, 2.25, 2.1, 2.25, 70400, 2.25, 0, 1, 2.175, -999
20170125, 2.2, 2.2, 2.1, 2.15, 29300, 2.15, 0, 1, 2.175, -999
20170124, 2.15, 2.25, 2.14, 2.25, 37400, 2.25, 0, 1, 2.2, -999
20170123, 2.3, 2.3, 2.15, 2.2, 17100, 2.2, 0, 1, 2.25, -999
20170120, 2.2, 2.3, 2.2, 2.3, 88000, 2.3, 0, 1, 2.25, -999
20170119, 2.25, 2.25, 2.2, 2.2, 19600, 2.2, 0, 1, 2.225, -999
20170118, 2.2, 2.3, 2.1, 2.25, 81400, 2.25, 0, 1, 2.225, -999
20170117, 2.1, 2.25, 2.1, 2.15, 10800, 2.15, 0, 1, 2.125, -999
20170113, 2.1, 2.15, 2.05, 2.1, 33500, 2.1, 0, 1, 2.1, -999
20170112, 2, 2.4, 2, 2.05, 58200, 2.05, 0, 1, 2.025, -999
20170111, 2, 2.1, 1.8, 2, 55100, 2, 0, 1, 2, -999
20170110, 2.05, 2.1, 2, 2, 10000, 2, 0, 1, 2.025, -999
20170109, 2, 2.05, 1.95, 2, 25300, 2, 0, 1, 2, -999
20170106, 2, 2.1, 1.95, 2.05, 18000, 2.05, 0, 1, 2.025, -999
20170105, 2.05, 2.1, 2, 2.05, 20300, 2.05, 0, 1, 2.05, -999
20170104, 2.1, 2.15, 2.05, 2.05, 30900, 2.05, 0, 1, 2.075, -999
20170103, 2.05, 2.15, 2.05, 2.05, 16800, 2.05, 0, 1, 2.05, -999
20161230, 2.05, 2.2, 2.05, 2.1, 56900, 2.1, 0, 1, 2.075, -999
20161229, 2.15, 2.2, 2.05, 2.1, 94800, 2.1, 0, 1, 2.125, -999
20161228, 2.2, 2.2, 2.08, 2.1, 44400, 2.1, 0, 1, 2.15, -999
20161227, 2.1, 2.2, 2.1, 2.2, 27200, 2.2, 0, 1, 2.15, -999
20161223, 2.1, 2.15, 2.05, 2.15, 22000, 2.15, 0, 1, 2.125, -999
20161222, 2.05, 2.1, 2, 2.1, 127600, 2.1, 0, 1, 2.075, -999
20161221, 1.95, 2.09, 1.95, 2.05, 501100, 2.05, 0, 1, 2, -999
20161220, 2.05, 2.05, 1.95, 1.98, 163400, 1.98, 0, 1, 2.015, -999
20161219, 2.15, 2.15, 1.93, 2.01, 289000, 2.01, 0, 1, 2.08, -999
20161216, 2.05, 2.15, 1.95, 2.15, 236300, 2.15, 0, 1, 2.1, -999
20161215, 2.05, 2.15, 2.05, 2.1, 29300, 2.1, 0, 1, 2.075, -999
20161214, 2.1, 2.2, 2, 2.1, 63100, 2.1, 0, 1, 2.1, -999
20161213, 2.25, 2.25, 2.1, 2.1, 25600, 2.1, 0, 1, 2.175, -999
20161212, 2.2, 2.25, 2.15, 2.2, 1100, 2.2, 0, 1, 2.2, -999
20161209, 2.15, 2.25, 2.1, 2.2, 37900, 2.2, 0, 1, 2.175, -999
20161208, 2.15, 2.2, 2.15, 2.15, 29900, 2.15, 0, 1, 2.15, -999
20161207, 2.1, 2.25, 2.1, 2.15, 17400, 2.15, 0, 1, 2.125, -999
20161206, 2.1, 2.2, 2.1, 2.1, 15300, 2.1, 0, 1, 2.1, -999
20161205, 2.15, 2.22, 2.1, 2.1, 73900, 2.1, 0, 1, 2.125, -999
20161202, 2.2, 2.35, 2.1, 2.15, 94000, 2.15, 0, 1, 2.175, -999
20161201, 2.4, 2.4, 2.25, 2.25, 13000, 2.25, 0, 1, 2.325, -999
20161130, 2.4, 2.4, 2.3, 2.35, 18900, 2.35, 0, 1, 2.375, -999
20161129, 2.25, 2.7, 2.25, 2.35, 68000, 2.35, 0, 1, 2.3, -999
20161128, 2.25, 2.65, 2.25, 2.3, 83500, 2.3, 0, 1, 2.275, -999
20161125, 2.3, 2.35, 2.3, 2.35, 5000, 2.35, 0, 1, 2.325, -999
20161123, 2.31, 2.4, 2.1, 2.3, 43500, 2.3, 0, 1, 2.305, -999
20161122, 2.35, 2.35, 2.3, 2.3, 1800, 2.3, 0, 1, 2.325, -999
20161121, 2.3, 2.35, 2.3, 2.3, 6200, 2.3, 0, 1, 2.3, -999
20161118, 2.5, 2.5, 2.3, 2.3, 34000, 2.3, 0, 1, 2.4, -999
20161117, 2.48, 2.55, 2.4, 2.5, 4500, 2.5, 0, 1, 2.49, -999
20161116, 2.6, 2.6, 2.4, 2.5, 11700, 2.5, 0, 1, 2.55, -999
20161115, 2.49, 2.55, 2.28, 2.55, 11300, 2.55, 0, 1, 2.52, -999
20161114, 2.55, 2.55, 2.34, 2.45, 239500, 2.45, 0, 1, 2.5, -999
20161111, 2.65, 2.65, 2.52, 2.55, 12000, 2.55, 0, 1, 2.6, -999
20161110, 2.7, 2.7, 2.6, 2.7, 34900, 2.7, 0, 1, 2.7, -999
20161109, 2.75, 2.85, 2.75, 2.8, 14800, 2.8, 0, 1, 2.775, -999
20161108, 2.75, 2.9, 2.65, 2.8, 35200, 2.8, 0, 1, 2.775, -999
20161107, 2.85, 2.85, 2.65, 2.75, 8700, 2.75, 0, 1, 2.8, -999
20161104, 2.85, 2.85, 2.75, 2.8, 4600, 2.8, 0, 1, 2.825, -999
20161103, 2.8, 2.85, 2.75, 2.75, 14300, 2.75, 0, 1, 2.775, -999
20161102, 2.9, 2.95, 2.75, 2.75, 25400, 2.75, 0, 1, 2.825, -999
20161101, 2.9, 2.95, 2.85, 2.9, 22500, 2.9, 0, 1, 2.9, -999
20161031, 2.95, 2.95, 2.85, 2.85, 26200, 2.85, 0, 1, 2.9, -999
20161028, 2.9, 2.93, 2.85, 2.88, 6800, 2.88, 0, 1, 2.89, -999
20161027, 2.9, 3.03, 2.8, 2.85, 36900, 2.85, 0, 1, 2.875, -999
20161026, 3, 3.1, 2.85, 2.85, 41900, 2.85, 0, 1, 2.925, -999
20161025, 3, 3.1, 2.95, 2.95, 7200, 2.95, 0, 1, 2.975, -999
20161024, 3.05, 3.15, 3, 3.1, 16800, 3.1, 0, 1, 3.075, -999
20161021, 2.85, 3.15, 2.85, 3, 11700, 3, 0, 1, 2.925, -999
20161020, 2.9, 2.9, 2.9, 2.9, 900, 2.9, 0, 1, 2.9, -999
20161019, 2.9, 2.95, 2.85, 2.9, 10400, 2.9, 0, 1, 2.9, -999
20161018, 2.95, 2.95, 2.75, 2.8, 30000, 2.8, 0, 1, 2.875, -999
20161017, 2.95, 2.95, 2.75, 2.9, 22200, 2.9, 0, 1, 2.925, -999
20161014, 2.95, 3, 2.89, 2.91, 7600, 2.91, 0, 1, 2.93, -999
20161013, 2.9, 2.98, 2.9, 2.93, 18400, 2.93, 0, 1, 2.915, -999
20161012, 3, 3.07, 2.9, 2.92, 53600, 2.92, 0, 1, 2.96, -999
20161011, 3.06, 3.1, 3.01, 3.04, 14500, 3.04, 0, 1, 3.05, -999
20161010, 2.96, 3.1, 2.92, 3.04, 28500, 3.04, 0, 1, 3, -999
20161007, 3.14, 3.15, 3.05, 3.08, 36700, 3.08, 0, 1, 3.11, -999
20161006, 3.16, 3.25, 3.08, 3.16, 41900, 3.16, 0, 1, 3.16, -999
20161005, 3.15, 3.25, 3.06, 3.18, 21700, 3.18, 0, 1, 3.165, -999
20161004, 3.16, 3.23, 3.13, 3.16, 25500, 3.16, 0, 1, 3.16, -999
20161003, 3.15, 3.4, 3.1, 3.15, 167900, 3.15, 0, 1, 3.15, -999
20160930, 2.86, 3.09, 2.85, 3.09, 11900, 3.09, 0, 1, 2.975, -999
20160929, 2.93, 3.05, 2.86, 2.96, 18400, 2.96, 0, 1, 2.945, -999
20160928, 2.89, 3.05, 2.82, 2.97, 20200, 2.97, 0, 1, 2.93, -999
20160927, 2.96, 3.06, 2.83, 2.92, 29500, 2.92, 0, 1, 2.94, -999
20160926, 2.95, 3.07, 2.9, 3, 11100, 3, 0, 1, 2.975, -999
20160923, 2.89, 3.03, 2.85, 2.93, 9100, 2.93, 0, 1, 2.91, -999
20160922, 2.84, 2.97, 2.81, 2.87, 8200, 2.87, 0, 1, 2.855, -999
20160921, 2.88, 2.99, 2.85, 2.91, 3400, 2.91, 0, 1, 2.895, -999
20160920, 3.02, 3.02, 2.86, 2.87, 17300, 2.87, 0, 1, 2.945, -999
20160919, 3.21, 3.25, 2.89, 2.99, 19400, 2.99, 0, 1, 3.1, -999
20160916, 2.83, 3.2, 2.79, 3.2, 56300, 3.2, 0, 1, 3.015, -999
20160915, 2.7, 2.89, 2.7, 2.75, 22600, 2.75, 0, 1, 2.725, -999
20160914, 2.74, 2.84, 2.55, 2.66, 56800, 2.66, 0, 1, 2.7, -999
20160913, 2.81, 2.87, 2.67, 2.71, 29400, 2.71, 0, 1, 2.76, -999
20160912, 2.88, 2.92, 2.76, 2.79, 31000, 2.79, 0, 1, 2.835, -999
20160909, 3.32, 3.32, 2.8, 2.92, 83700, 2.92, 0, 1, 3.12, -999
20160908, 3.05, 3.2, 2.9, 3.1, 46400, 3.1, 0, 1, 3.075, -999
20160907, 3.19, 3.33, 3.04, 3.04, 27100, 3.04, 0, 1, 3.115, -999
20160906, 3.22, 3.3, 3.15, 3.18, 24500, 3.18, 0, 1, 3.2, -999
20160902, 3.14, 3.22, 3.14, 3.17, 2200, 3.17, 0, 1, 3.155, -999
20160901, 3.15, 3.28, 3.11, 3.28, 5100, 3.28, 0, 1, 3.215, -999
20160831, 3.28, 3.3, 3.15, 3.17, 4200, 3.17, 0, 1, 3.225, -999
20160830, 3.17, 3.35, 3.14, 3.35, 5400, 3.35, 0, 1, 3.26, -999
20160829, 3.07, 3.36, 3.07, 3.14, 6000, 3.14, 0, 1, 3.105, -999
20160826, 3.3, 3.51, 3.15, 3.2, 32400, 3.2, 0, 1, 3.25, -999
20160825, 3.22, 3.39, 3.2, 3.38, 5500, 3.38, 0, 1, 3.3, -999
20160824, 3.23, 3.31, 3.13, 3.22, 15400, 3.22, 0, 1, 3.225, -999
20160823, 3.21, 3.24, 3.2, 3.23, 4300, 3.23, 0, 1, 3.22, -999
20160822, 3.23, 3.26, 3.03, 3.24, 11800, 3.24, 0, 1, 3.235, -999
20160819, 3.17, 3.27, 3, 3.17, 27500, 3.17, 0, 1, 3.17, -999
20160818, 3.19, 3.34, 3.14, 3.23, 10500, 3.23, 0, 1, 3.21, -999
20160817, 3.34, 3.34, 3.14, 3.22, 26500, 3.22, 0, 1, 3.28, -999
20160816, 3.29, 3.38, 3.1, 3.29, 40100, 3.29, 0, 1, 3.29, -999
20160815, 2.96, 3.38, 2.94, 3.32, 14500, 3.32, 0, 1, 3.14, -999
20160812, 2.95, 2.99, 2.81, 2.99, 12400, 2.99, 0, 1, 2.97, -999
20160811, 2.8, 3.04, 2.79, 2.88, 34300, 2.88, 0, 1, 2.84, -999
20160810, 2.65, 2.79, 2.61, 2.62, 7600, 2.62, 0, 1, 2.635, -999
20160809, 2.65, 2.7, 2.55, 2.7, 9400, 2.7, 0, 1, 2.675, -999
20160808, 2.61, 2.68, 2.54, 2.65, 4000, 2.65, 0, 1, 2.63, -999
20160805, 2.53, 2.64, 2.41, 2.64, 9100, 2.64, 0, 1, 2.585, -999
20160804, 2.61, 2.61, 2.5, 2.54, 3500, 2.54, 0, 1, 2.575, -999
20160803, 2.53, 2.56, 2.51, 2.52, 2100, 2.52, 0, 1, 2.525, -999
20160802, 2.5, 2.59, 2.5, 2.53, 26200, 2.53, 0, 1, 2.515, -999
20160801, 2.49, 2.62, 2.49, 2.51, 4000, 2.51, 0, 1, 2.5, -999
20160729, 2.5, 2.66, 2.39, 2.48, 20400, 2.48, 0, 1, 2.49, -999
20160728, 2.29, 2.54, 2.2, 2.54, 69200, 2.54, 0, 1, 2.415, -999
20160727, 2.28, 2.3, 2.18, 2.3, 22000, 2.3, 0, 1, 2.29, -999
20160726, 2.25, 2.38, 2.15, 2.3, 74800, 2.3, 0, 1, 2.275, -999
20160725, 2.39, 2.4, 2.19, 2.19, 32200, 2.19, 0, 1, 2.29, -999
20160722, 2.25, 2.49, 2.21, 2.34, 13600, 2.34, 0, 1, 2.295, -999
20160721, 2.35, 2.35, 2.19, 2.29, 8400, 2.29, 0, 1, 2.32, -999
20160720, 2.4, 2.4, 2.22, 2.3, 11800, 2.3, 0, 1, 2.35, -999
20160719, 2.29, 2.39, 2.15, 2.39, 29800, 2.39, 0, 1, 2.34, -999
20160718, 2.44, 2.5, 2.12, 2.13, 42800, 2.13, 0, 1, 2.285, -999
20160715, 2.47, 2.48, 2.42, 2.44, 12700, 2.44, 0, 1, 2.455, -999
20160714, 2.55, 2.58, 2.46, 2.47, 11200, 2.47, 0, 1, 2.51, -999
20160713, 2.6, 2.65, 2.55, 2.55, 22200, 2.55, 0, 1, 2.575, -999
20160712, 2.48, 2.64, 2.48, 2.64, 5700, 2.64, 0, 1, 2.56, -999
20160711, 2.74, 2.79, 2.48, 2.48, 38300, 2.48, 0, 1, 2.61, -999
20160708, 2.72, 2.78, 2.65, 2.78, 17900, 2.78, 0, 1, 2.75, -999
20160707, 2.76, 2.78, 2.73, 2.73, 3200, 2.73, 0, 1, 2.745, -999
20160706, 2.64, 2.82, 2.61, 2.74, 17000, 2.74, 0, 1, 2.69, -999
20160705, 2.87, 2.88, 2.72, 2.83, 13400, 2.83, 0, 1, 2.85, -999
20160701, 2.89, 2.92, 2.8, 2.88, 19500, 2.88, 0, 1, 2.885, -999
20160630, 2.8, 2.89, 2.65, 2.82, 19300, 2.82, 0, 1, 2.81, -999
20160629, 3.16, 3.17, 2.72, 2.76, 80200, 2.76, 0, 1, 2.96, -999
20160628, 3.08, 3.2, 2.93, 3.2, 4200, 3.2, 0, 1, 3.14, -999
20160627, 3.17, 3.17, 2.9, 2.98, 15000, 2.98, 0, 1, 3.075, -999
20160624, 3.15, 3.25, 2.94, 2.98, 11100, 2.98, 0, 1, 3.065, -999
20160623, 3.18, 3.24, 3.05, 3.15, 17600, 3.15, 0, 1, 3.165, -999
20160622, 3.05, 3.19, 3.02, 3.19, 20800, 3.19, 0, 1, 3.12, -999
20160621, 3.2, 3.23, 2.92, 3.04, 15500, 3.04, 0, 1, 3.12, -999
20160620, 2.93, 3.27, 2.85, 3.11, 31200, 3.11, 0, 1, 3.02, -999
20160617, 3, 3.25, 2.67, 2.83, 49000, 2.83, 0, 1, 2.915, -999
20160616, 3.02, 3.25, 3.01, 3.06, 26900, 3.06, 0, 1, 3.04, -999
20160615, 3.44, 3.6, 3.06, 3.06, 25000, 3.06, 0, 1, 3.25, -999
20160614, 3.24, 3.47, 3.24, 3.47, 13400, 3.47, 0, 1, 3.355, -999
20160613, 3.36, 3.45, 3.3, 3.31, 14400, 3.31, 0, 1, 3.335, -999
20160610, 3.3, 3.56, 3.27, 3.39, 24600, 3.39, 0, 1, 3.345, -999
20160609, 3.4, 3.55, 3.34, 3.43, 9900, 3.43, 0, 1, 3.415, -999
20160608, 3.51, 3.63, 3.32, 3.46, 22400, 3.46, 0, 1, 3.485, -999
20160607, 3.34, 3.68, 3.3, 3.57, 30200, 3.57, 0, 1, 3.455, -999
20160606, 3.11, 3.4, 3.1, 3.36, 28300, 3.36, 0, 1, 3.235, -999
20160603, 3, 3.18, 3, 3.15, 7300, 3.15, 0, 1, 3.075, -999
20160602, 3.09, 3.11, 3.01, 3.08, 6200, 3.08, 0, 1, 3.085, -999
20160601, 3.15, 3.33, 2.96, 3.08, 59300, 3.08, 0, 1, 3.115, -999
20160531, 3.27, 3.27, 3.08, 3.2, 2800, 3.2, 0, 1, 3.235, -999
20160527, 3.11, 3.34, 3.11, 3.21, 6900, 3.21, 0, 1, 3.16, -999
20160526, 2.95, 3.26, 2.95, 3.1, 27500, 3.1, 0, 1, 3.025, -999
20160525, 3.06, 3.12, 2.97, 2.97, 8900, 2.97, 0, 1, 3.015, -999
20160524, 3, 3.12, 2.98, 2.98, 3300, 2.98, 0, 1, 2.99, -999
20160523, 3.02, 3.12, 2.97, 3, 9900, 3, 0, 1, 3.01, -999
20160520, 3.05, 3.23, 2.95, 3.05, 40100, 3.05, 0, 1, 3.05, -999
20160519, 3.27, 3.27, 3.04, 3.05, 18100, 3.05, 0, 1, 3.16, -999
20160518, 3.19, 3.4, 3.01, 3.23, 14900, 3.23, 0, 1, 3.21, -999
20160517, 3.1, 3.33, 3.08, 3.21, 33000, 3.21, 0, 1, 3.155, -999
20160516, 3.29, 3.35, 3.12, 3.15, 37200, 3.15, 0, 1, 3.22, -999
20160513, 3.09, 3.44, 3.05, 3.28, 24200, 3.28, 0, 1, 3.185, -999
20160512, 3.46, 3.48, 3.13, 3.22, 8400, 3.22, 0, 1, 3.34, -999
20160511, 3.36, 3.59, 3.25, 3.37, 43500, 3.37, 0, 1, 3.365, -999
