Ticker: EIGI  Created on: 2/13/2017 1:32:59 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 8.2, 8.35, 8.15, 8.25, 571900, 8.25, 0, 1, 8.225, -999
20170209, 8, 8.25, 7.975, 8.15, 241200, 8.15, 0, 1, 8.075, -999
20170208, 7.9, 8.1, 7.725, 8, 323800, 8, 0, 1, 7.95, -999
20170207, 7.85, 8.2, 7.85, 7.95, 297900, 7.95, 0, 1, 7.9, -999
20170206, 7.8, 8.05, 7.75, 7.85, 148700, 7.85, 0, 1, 7.825, -999
20170203, 7.8, 7.9, 7.8, 7.85, 130800, 7.85, 0, 1, 7.825, -999
20170202, 7.8, 7.9, 7.65, 7.8, 174200, 7.8, 0, 1, 7.8, -999
20170201, 7.8, 8.15, 7.6, 7.8, 515700, 7.8, 0, 1, 7.8, -999
20170131, 7.8, 7.8, 7.5, 7.7, 595000, 7.7, 0, 1, 7.75, -999
20170130, 8.05, 8.05, 7.65, 7.8, 419000, 7.8, 0, 1, 7.925, -999
20170127, 8.2, 8.2, 8, 8.1, 173800, 8.1, 0, 1, 8.15, -999
20170126, 8.4, 8.4, 8.1, 8.2, 192500, 8.2, 0, 1, 8.3, -999
20170125, 8.3, 8.525, 8.25, 8.35, 475200, 8.35, 0, 1, 8.325, -999
20170124, 8.1, 8.35, 8.075, 8.2, 277100, 8.2, 0, 1, 8.15, -999
20170123, 7.85, 8.05, 7.833, 8.05, 646500, 8.05, 0, 1, 7.95, -999
20170120, 7.9, 7.95, 7.7, 7.8, 227300, 7.8, 0, 1, 7.85, -999
20170119, 7.8, 8.025, 7.6, 7.85, 390300, 7.85, 0, 1, 7.825, -999
20170118, 7.7, 7.8, 7.6, 7.8, 212200, 7.8, 0, 1, 7.75, -999
20170117, 8, 8.2, 7.6, 7.65, 763500, 7.65, 0, 1, 7.825, -999
20170113, 8.05, 8.243, 7.9, 8.1, 373000, 8.1, 0, 1, 8.075, -999
20170112, 8.05, 8.2, 7.85, 8, 536600, 8, 0, 1, 8.025, -999
20170111, 8.3, 8.45, 8.05, 8.1, 428000, 8.1, 0, 1, 8.2, -999
20170110, 8.25, 8.8, 8.2, 8.35, 948600, 8.35, 0, 1, 8.3, -999
