Ticker: ELNK  Created on: 2/13/2017 1:33:26 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 5.82, 5.83, 5.73, 5.81, 747300, 5.81, 0, 1, 5.815, -999
20170209, 5.83, 5.83, 5.73, 5.78, 649100, 5.78, 0, 1, 5.805, -999
20170208, 5.93, 5.94, 5.8, 5.83, 413000, 5.83, 0, 1, 5.88, -999
20170207, 6.05, 6.06, 5.94, 5.94, 532800, 5.94, 0, 1, 5.995, -999
20170206, 6.18, 6.2, 6.04, 6.05, 390800, 6.05, 0, 1, 6.115, -999
20170203, 6.32, 6.33, 6.16, 6.2, 636600, 6.2, 0, 1, 6.26, -999
20170202, 6.23, 6.29, 6.07, 6.26, 1286200, 6.26, 0, 1, 6.245, -999
20170201, 6.45, 6.56, 6.27, 6.27, 554000, 6.27, 0, 1, 6.36, -999
20170131, 6.47, 6.51, 6.39, 6.41, 610200, 6.41, 0, 1, 6.44, -999
20170130, 6.47, 6.51, 6.36, 6.47, 676200, 6.47, 0, 1, 6.47, -999
20170127, 6.54, 6.55, 6.4, 6.53, 551900, 6.53, 0, 1, 6.535, -999
20170126, 6.51, 6.55, 6.46, 6.52, 842000, 6.52, 0, 1, 6.515, -999
20170125, 6.53, 6.59, 6.49, 6.51, 984700, 6.51, 0, 1, 6.52, -999
20170124, 6.46, 6.55, 6.39, 6.51, 994900, 6.51, 0, 1, 6.485, -999
20170123, 6.15, 6.47, 6.01, 6.46, 796400, 6.46, 0, 1, 6.305, -999
20170120, 6.18, 6.29, 6.18, 6.2, 1081500, 6.2, 0, 1, 6.19, -999
20170119, 6.18, 6.26, 6.08, 6.22, 483900, 6.22, 0, 1, 6.2, -999
20170118, 6.19, 6.26, 6.1, 6.2, 670300, 6.2, 0, 1, 6.195, -999
20170117, 6.04, 6.16, 6.04, 6.15, 567400, 6.15, 0, 1, 6.095, -999
20170113, 5.97, 6.09, 5.95, 6.07, 505500, 6.07, 0, 1, 6.02, -999
20170112, 6.11, 6.13, 5.89, 5.98, 743300, 5.98, 0, 1, 6.045, -999
20170111, 6.07, 6.13, 6.06, 6.1, 1650700, 6.1, 0, 1, 6.085, -999
20170110, 5.85, 6.09, 5.81, 6.07, 689900, 6.07, 0, 1, 5.96, -999
20170109, 5.84, 5.91, 5.76, 5.84, 392900, 5.84, 0, 1, 5.84, -999
20170106, 5.98, 5.98, 5.83, 5.83, 388200, 5.83, 0, 1, 5.905, -999
