Ticker: ENOC  Created on: 2/13/2017 1:33:26 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 6, 6, 5.75, 5.85, 151800, 5.85, 0, 1, 5.925, -999
20170209, 5.8, 6, 5.7, 6, 166700, 6, 0, 1, 5.9, -999
20170208, 5.7, 5.8, 5.65, 5.75, 121500, 5.75, 0, 1, 5.725, -999
20170207, 5.9, 6, 5.75, 5.75, 318500, 5.75, 0, 1, 5.825, -999
20170206, 5.95, 5.95, 5.85, 5.85, 74200, 5.85, 0, 1, 5.9, -999
20170203, 5.8, 5.95, 5.75, 5.95, 218700, 5.95, 0, 1, 5.875, -999
20170202, 5.7, 5.9, 5.6, 5.8, 207500, 5.8, 0, 1, 5.75, -999
20170201, 5.75, 5.85, 5.6, 5.6, 110500, 5.6, 0, 1, 5.675, -999
20170131, 5.7, 5.9, 5.65, 5.7, 259200, 5.7, 0, 1, 5.7, -999
20170130, 5.55, 5.8, 5.48, 5.8, 154500, 5.8, 0, 1, 5.675, -999
20170127, 5.6, 5.68, 5.55, 5.6, 108200, 5.6, 0, 1, 5.6, -999
20170126, 5.3, 5.75, 5.25, 5.65, 160500, 5.65, 0, 1, 5.475, -999
20170125, 5.2, 5.35, 5.1, 5.25, 503700, 5.25, 0, 1, 5.225, -999
20170124, 5.4, 5.45, 5, 5.15, 260200, 5.15, 0, 1, 5.275, -999
20170123, 5.45, 5.75, 5.35, 5.4, 262000, 5.4, 0, 1, 5.425, -999
20170120, 5.9, 6, 5.7, 5.75, 167100, 5.75, 0, 1, 5.825, -999
20170119, 5.9, 5.95, 5.75, 5.85, 118400, 5.85, 0, 1, 5.875, -999
20170118, 5.85, 6, 5.7, 5.8, 136800, 5.8, 0, 1, 5.825, -999
20170117, 6, 6.28, 5.75, 5.75, 184000, 5.75, 0, 1, 5.875, -999
20170113, 6.05, 6.15, 5.95, 6, 116000, 6, 0, 1, 6.025, -999
20170112, 6, 6.1, 5.8, 5.95, 118300, 5.95, 0, 1, 5.975, -999
20170111, 6, 6.1, 5.98, 6.1, 84300, 6.1, 0, 1, 6.05, -999
20170110, 6.05, 6.1, 5.95, 6.05, 65800, 6.05, 0, 1, 6.05, -999
20170109, 6.15, 6.2, 6, 6, 76600, 6, 0, 1, 6.075, -999
20170106, 6.25, 6.25, 6.1, 6.1, 119300, 6.1, 0, 1, 6.175, -999
20170105, 6.3, 6.35, 6, 6.25, 218700, 6.25, 0, 1, 6.275, -999
20170104, 6.15, 6.3, 6, 6.25, 209200, 6.25, 0, 1, 6.2, -999
20170103, 6.05, 6.2, 5.95, 6.15, 153500, 6.15, 0, 1, 6.1, -999
20161230, 6.05, 6.25, 6, 6, 112600, 6, 0, 1, 6.025, -999
20161229, 5.95, 6.18, 5.9, 6.1, 245600, 6.1, 0, 1, 6.025, -999
20161228, 6.1, 6.15, 5.85, 5.9, 111700, 5.9, 0, 1, 6, -999
20161227, 6.1, 6.25, 6.1, 6.15, 119900, 6.15, 0, 1, 6.125, -999
20161223, 6.15, 6.2, 6.1, 6.15, 49500, 6.15, 0, 1, 6.15, -999
20161222, 6.2, 6.25, 6.13, 6.15, 120100, 6.15, 0, 1, 6.175, -999
20161221, 6.2, 6.35, 6.15, 6.2, 81000, 6.2, 0, 1, 6.2, -999
20161220, 6.4, 6.5, 6.23, 6.25, 100100, 6.25, 0, 1, 6.325, -999
20161219, 6.2, 6.4, 6.15, 6.3, 218900, 6.3, 0, 1, 6.25, -999
20161216, 6.15, 6.5, 6.15, 6.25, 297400, 6.25, 0, 1, 6.2, -999
20161215, 6.1, 6.25, 6.05, 6.15, 180900, 6.15, 0, 1, 6.125, -999
20161214, 5.95, 6.2, 5.95, 6.15, 452100, 6.15, 0, 1, 6.05, -999
20161213, 5.9, 6, 5.85, 6, 570400, 6, 0, 1, 5.95, -999
