Ticker: EPAY  Created on: 2/13/2017 1:32:53 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 26.469999, 26.469999, 26.129999, 26.32, 116500, 26.32, 0, 1, 26.3949995, -999
20170209, 25.870001, 26.32, 25.719999, 26.280001, 321700, 26.280001, 0, 1, 26.075001, -999
20170208, 26.280001, 26.280001, 25.92, 25.950001, 232600, 25.950001, 0, 1, 26.115001, -999
20170207, 26.52, 26.57, 26.299999, 26.309999, 292500, 26.309999, 0, 1, 26.4149995, -999
20170206, 26.76, 27.23, 26.209999, 26.5, 391500, 26.5, 0, 1, 26.63, -999
20170203, 26.780001, 27.1, 26.530001, 26.99, 368400, 26.99, 0, 1, 26.8850005, -999
20170202, 27.5, 28.35, 26.030001, 26.57, 1047000, 26.57, 0, 1, 27.035, -999
20170201, 25.799999, 26.02, 24.92, 25.52, 417800, 25.52, 0, 1, 25.6599995, -999
20170131, 25.52, 25.780001, 25.18, 25.719999, 196200, 25.719999, 0, 1, 25.6199995, -999
20170130, 25.549999, 25.76, 25.25, 25.639999, 224700, 25.639999, 0, 1, 25.594999, -999
20170127, 25.85, 26.040001, 25.620001, 25.77, 118700, 25.77, 0, 1, 25.81, -999
20170126, 25.75, 25.790001, 25.5, 25.74, 129200, 25.74, 0, 1, 25.745, -999
20170125, 25.790001, 26.02, 25.540001, 25.76, 122600, 25.76, 0, 1, 25.7750005, -999
20170124, 25.43, 25.780001, 25.280001, 25.68, 238800, 25.68, 0, 1, 25.555, -999
20170123, 25.26, 25.440001, 25.07, 25.4, 108000, 25.4, 0, 1, 25.33, -999
20170120, 25.450001, 25.6, 25.27, 25.379999, 190500, 25.379999, 0, 1, 25.415, -999
20170119, 25.459999, 25.709999, 25.24, 25.450001, 250200, 25.450001, 0, 1, 25.455, -999
20170118, 25.23, 25.48, 24.99, 25.469999, 209000, 25.469999, 0, 1, 25.3499995, -999
20170117, 25.15, 25.41, 24.889999, 25.1, 199800, 25.1, 0, 1, 25.125, -999
20170113, 25.379999, 25.459999, 25.209999, 25.33, 112900, 25.33, 0, 1, 25.3549995, -999
20170112, 25.389999, 25.610001, 24.809999, 25.25, 94700, 25.25, 0, 1, 25.3199995, -999
20170111, 25.389999, 25.52, 25.299999, 25.51, 117400, 25.51, 0, 1, 25.4499995, -999
20170110, 25.200001, 25.559999, 25.110001, 25.389999, 110900, 25.389999, 0, 1, 25.295, -999
20170109, 25.459999, 25.459999, 25.15, 25.190001, 97900, 25.190001, 0, 1, 25.325, -999
20170106, 25.809999, 25.959999, 24.860001, 25.48, 146100, 25.48, 0, 1, 25.6449995, -999
20170105, 25.700001, 25.92, 25.459999, 25.75, 129500, 25.75, 0, 1, 25.7250005, -999
20170104, 25.6, 25.75, 25.5, 25.66, 225600, 25.66, 0, 1, 25.63, -999
20170103, 25.26, 25.82, 25.07, 25.5, 204500, 25.5, 0, 1, 25.38, -999
20161230, 25.190001, 25.33, 24.799999, 25.02, 101700, 25.02, 0, 1, 25.1050005, -999
20161229, 25.040001, 25.33, 24.9, 25.08, 97300, 25.08, 0, 1, 25.0600005, -999
20161228, 25.43, 25.58, 24.77, 25.09, 135700, 25.09, 0, 1, 25.26, -999
20161227, 25.01, 25.49, 24.940001, 25.41, 90900, 25.41, 0, 1, 25.21, -999
20161223, 24.77, 24.969999, 24.59, 24.969999, 101700, 24.969999, 0, 1, 24.8699995, -999
20161222, 25.15, 25.15, 24.57, 24.76, 198900, 24.76, 0, 1, 24.955, -999
20161221, 25.110001, 25.370001, 24.85, 25.209999, 236100, 25.209999, 0, 1, 25.16, -999
20161220, 24.58, 25.25, 24.27, 25.110001, 605000, 25.110001, 0, 1, 24.8450005, -999
20161219, 24.35, 24.709999, 24.23, 24.360001, 132900, 24.360001, 0, 1, 24.3550005, -999
20161216, 24.33, 24.860001, 24.33, 24.41, 443400, 24.41, 0, 1, 24.37, -999
20161215, 24.1, 24.469999, 24.1, 24.23, 275200, 24.23, 0, 1, 24.165, -999
20161214, 24.65, 24.809999, 24.129999, 24.18, 192700, 24.18, 0, 1, 24.415, -999
20161213, 24.639999, 24.92, 24.48, 24.76, 189700, 24.76, 0, 1, 24.6999995, -999
20161212, 24.950001, 24.969999, 24.299999, 24.540001, 199300, 24.540001, 0, 1, 24.745001, -999
20161209, 25.25, 25.49, 24.889999, 25.08, 203100, 25.08, 0, 1, 25.165, -999
20161208, 25, 25.43, 24.809999, 25.32, 317700, 25.32, 0, 1, 25.16, -999
20161207, 24.790001, 25.1, 24.709999, 24.959999, 202000, 24.959999, 0, 1, 24.875, -999
20161206, 24.809999, 24.959999, 24.389999, 24.940001, 223000, 24.940001, 0, 1, 24.875, -999
20161205, 24.129999, 24.780001, 24.02, 24.780001, 200700, 24.780001, 0, 1, 24.455, -999
20161202, 24.219999, 24.41, 24.02, 24.049999, 197100, 24.049999, 0, 1, 24.134999, -999
20161201, 25.030001, 25.24, 24.110001, 24.35, 296100, 24.35, 0, 1, 24.6900005, -999
20161130, 24.940001, 25.110001, 24.59, 25.059999, 394600, 25.059999, 0, 1, 25, -999
20161129, 24.9, 25.1, 24.620001, 24.75, 179100, 24.75, 0, 1, 24.825, -999
20161128, 24.9, 25.059999, 24.620001, 24.790001, 158500, 24.790001, 0, 1, 24.8450005, -999
20161125, 24.83, 25.059999, 24.68, 25.040001, 61100, 25.040001, 0, 1, 24.9350005, -999
20161123, 24.73, 24.93, 24.530001, 24.870001, 135600, 24.870001, 0, 1, 24.8000005, -999
