Ticker: EXA  Created on: 2/13/2017 1:32:59 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 15.96, 16.379999, 15.96, 16.17, 20400, 16.17, 0, 1, 16.065, -999
20170209, 15.52, 16.139999, 15.52, 15.89, 18000, 15.89, 0, 1, 15.705, -999
20170208, 16.120001, 16.280001, 15.84, 15.89, 56000, 15.89, 0, 1, 16.0050005, -999
20170207, 16.360001, 16.690001, 15.88, 16.139999, 23600, 16.139999, 0, 1, 16.25, -999
20170206, 16.530001, 16.889999, 16.16, 16.66, 32000, 16.66, 0, 1, 16.5950005, -999
20170203, 16.200001, 16.6, 15.92, 16.559999, 84500, 16.559999, 0, 1, 16.38, -999
20170202, 16.33, 16.379999, 16, 16.02, 11000, 16.02, 0, 1, 16.175, -999
20170201, 15.55, 16.35, 15.5, 16.200001, 37100, 16.200001, 0, 1, 15.8750005, -999
20170131, 15.39, 15.65, 15.1, 15.5, 30100, 15.5, 0, 1, 15.445, -999
20170130, 16.24, 16.24, 15.26, 15.4, 30900, 15.4, 0, 1, 15.82, -999
20170127, 16.309999, 16.459999, 16.25, 16.34, 21300, 16.34, 0, 1, 16.3249995, -999
20170126, 16.540001, 16.58, 16.32, 16.34, 7700, 16.34, 0, 1, 16.4400005, -999
20170125, 16.190001, 16.6, 16.190001, 16.51, 16700, 16.51, 0, 1, 16.3500005, -999
20170124, 15.59, 16.17, 15.59, 16.129999, 21300, 16.129999, 0, 1, 15.8599995, -999
20170123, 16.08, 16.08, 15.67, 15.78, 25100, 15.78, 0, 1, 15.93, -999
20170120, 15.86, 16, 15.78, 15.92, 24200, 15.92, 0, 1, 15.89, -999
20170119, 15.96, 16.09, 15.78, 15.85, 36400, 15.85, 0, 1, 15.905, -999
20170118, 15.87, 16.120001, 15.85, 15.99, 7400, 15.99, 0, 1, 15.93, -999
20170117, 16, 16, 15.65, 15.8, 19600, 15.8, 0, 1, 15.9, -999
20170113, 15.79, 16.09, 15.68, 16.02, 16600, 16.02, 0, 1, 15.905, -999
20170112, 16.07, 16.07, 15.73, 15.78, 14500, 15.78, 0, 1, 15.925, -999
20170111, 16.08, 16.200001, 15.96, 16.16, 21600, 16.16, 0, 1, 16.12, -999
20170110, 16.120001, 16.15, 16, 16.07, 23100, 16.07, 0, 1, 16.0950005, -999
20170109, 15.86, 16.200001, 15.75, 16.02, 40400, 16.02, 0, 1, 15.94, -999
20170106, 15.99, 16.200001, 15.5, 16.02, 17900, 16.02, 0, 1, 16.005, -999
20170105, 15.52, 16.040001, 15.52, 15.85, 15300, 15.85, 0, 1, 15.685, -999
20170104, 15.4, 15.83, 15.24, 15.64, 38400, 15.64, 0, 1, 15.52, -999
20170103, 15.33, 15.53, 14.91, 15.33, 43500, 15.33, 0, 1, 15.33, -999
20161230, 15.49, 15.49, 15.11, 15.36, 20800, 15.36, 0, 1, 15.425, -999
20161229, 15.61, 15.69, 15.15, 15.37, 23200, 15.37, 0, 1, 15.49, -999
20161228, 15.9, 15.93, 15.17, 15.48, 35300, 15.48, 0, 1, 15.69, -999
20161227, 16.15, 16.15, 15.81, 15.93, 64000, 15.93, 0, 1, 16.04, -999
20161223, 15.75, 16.33, 14.4, 16.18, 25500, 16.18, 0, 1, 15.965, -999
20161222, 16.25, 16.25, 16.030001, 16.129999, 37700, 16.129999, 0, 1, 16.1899995, -999
20161221, 16.040001, 16.200001, 15.79, 16.16, 37300, 16.16, 0, 1, 16.1000005, -999
20161220, 15.55, 16.110001, 15.31, 16.09, 92200, 16.09, 0, 1, 15.82, -999
20161219, 14.5, 15.37, 14.49, 15.31, 40000, 15.31, 0, 1, 14.905, -999
20161216, 14.49, 14.58, 14.17, 14.49, 100000, 14.49, 0, 1, 14.49, -999
20161215, 14.77, 14.98, 14.32, 14.41, 53200, 14.41, 0, 1, 14.59, -999
20161214, 14.72, 14.87, 14.43, 14.66, 39200, 14.66, 0, 1, 14.69, -999
