Ticker: FALC  Created on: 2/13/2017 1:32:59 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 0.66, 0.72, 0.63, 0.68, 239400, 0.68, 0, 1, 0.67, -999
20170209, 0.6, 0.64, 0.58, 0.64, 75900, 0.64, 0, 1, 0.62, -999
20170208, 0.58, 0.62, 0.58, 0.61, 75800, 0.61, 0, 1, 0.595, -999
20170207, 0.62, 0.63, 0.57, 0.59, 122800, 0.59, 0, 1, 0.605, -999
20170206, 0.62, 0.66, 0.56, 0.59, 116400, 0.59, 0, 1, 0.605, -999
20170203, 0.65, 0.66, 0.58, 0.63, 302400, 0.63, 0, 1, 0.64, -999
20170202, 0.63, 0.65, 0.58, 0.65, 84000, 0.65, 0, 1, 0.64, -999
20170201, 0.6, 0.63, 0.6, 0.62, 38700, 0.62, 0, 1, 0.61, -999
20170131, 0.6, 0.63, 0.57, 0.62, 67600, 0.62, 0, 1, 0.61, -999
20170130, 0.62, 0.62, 0.58, 0.61, 109700, 0.61, 0, 1, 0.615, -999
20170127, 0.59, 0.63, 0.58, 0.6, 290400, 0.6, 0, 1, 0.595, -999
20170126, 0.55, 0.62, 0.55, 0.58, 139600, 0.58, 0, 1, 0.565, -999
20170125, 0.56, 0.63, 0.55, 0.59, 388900, 0.59, 0, 1, 0.575, -999
20170124, 0.46, 0.55, 0.46, 0.55, 397900, 0.55, 0, 1, 0.505, -999
20170123, 0.44, 0.49, 0.44, 0.49, 91000, 0.49, 0, 1, 0.465, -999
20170120, 0.46, 0.46, 0.44, 0.45, 51700, 0.45, 0, 1, 0.455, -999
20170119, 0.49, 0.49, 0.46, 0.46, 56900, 0.46, 0, 1, 0.475, -999
20170118, 0.48, 0.49, 0.45, 0.47, 60600, 0.47, 0, 1, 0.475, -999
20170117, 0.47, 0.5, 0.45, 0.48, 253100, 0.48, 0, 1, 0.475, -999
20170113, 0.5, 0.5, 0.44, 0.45, 91200, 0.45, 0, 1, 0.475, -999
20170112, 0.46, 0.5, 0.46, 0.5, 59700, 0.5, 0, 1, 0.48, -999
20170111, 0.47, 0.5, 0.46, 0.5, 108600, 0.5, 0, 1, 0.485, -999
20170110, 0.45, 0.48, 0.44, 0.47, 9400, 0.47, 0, 1, 0.46, -999
20170109, 0.44, 0.45, 0.44, 0.44, 58800, 0.44, 0, 1, 0.44, -999
20170106, 0.45, 0.45, 0.43, 0.45, 20500, 0.45, 0, 1, 0.45, -999
20170105, 0.45, 0.45, 0.41, 0.45, 75000, 0.45, 0, 1, 0.45, -999
20170104, 0.46, 0.46, 0.45, 0.45, 56300, 0.45, 0, 1, 0.455, -999
20170103, 0.45, 0.46, 0.45, 0.46, 34100, 0.46, 0, 1, 0.455, -999
20161230, 0.45, 0.49, 0.45, 0.45, 356900, 0.45, 0, 1, 0.45, -999
20161229, 0.48, 0.5, 0.45, 0.46, 171900, 0.46, 0, 1, 0.47, -999
20161228, 0.5, 0.51, 0.47, 0.48, 308800, 0.48, 0, 1, 0.49, -999
20161227, 0.5, 0.55, 0.48, 0.5, 305000, 0.5, 0, 1, 0.5, -999
20161223, 0.48, 0.51, 0.48, 0.51, 76600, 0.51, 0, 1, 0.495, -999
20161222, 0.51, 0.51, 0.48, 0.48, 206600, 0.48, 0, 1, 0.495, -999
20161221, 0.57, 0.57, 0.5, 0.54, 121400, 0.54, 0, 1, 0.555, -999
20161220, 0.54, 0.62, 0.54, 0.54, 194200, 0.54, 0, 1, 0.54, -999
20161219, 0.55, 0.61, 0.55, 0.58, 159000, 0.58, 0, 1, 0.565, -999
20161216, 0.58, 0.63, 0.58, 0.6, 26300, 0.6, 0, 1, 0.59, -999
20161215, 0.62, 0.62, 0.6, 0.61, 16500, 0.61, 0, 1, 0.615, -999
20161214, 0.58, 0.64, 0.51, 0.63, 228500, 0.63, 0, 1, 0.605, -999
20161213, 0.63, 0.63, 0.6, 0.61, 48900, 0.61, 0, 1, 0.62, -999
20161212, 0.62, 0.65, 0.58, 0.63, 41300, 0.63, 0, 1, 0.625, -999
20161209, 0.64, 0.68, 0.61, 0.65, 214500, 0.65, 0, 1, 0.645, -999
20161208, 0.52, 0.63, 0.52, 0.62, 312800, 0.62, 0, 1, 0.57, -999
20161207, 0.5, 0.56, 0.49, 0.5, 158200, 0.5, 0, 1, 0.5, -999
20161206, 0.5, 0.5, 0.49, 0.5, 56800, 0.5, 0, 1, 0.5, -999
20161205, 0.53, 0.53, 0.5, 0.52, 20400, 0.52, 0, 1, 0.525, -999
20161202, 0.56, 0.56, 0.5, 0.53, 66000, 0.53, 0, 1, 0.545, -999
20161201, 0.5, 0.58, 0.5, 0.55, 124400, 0.55, 0, 1, 0.525, -999
20161130, 0.52, 0.55, 0.5, 0.55, 33600, 0.55, 0, 1, 0.535, -999
20161129, 0.57, 0.57, 0.5, 0.55, 111800, 0.55, 0, 1, 0.56, -999
20161128, 0.58, 0.59, 0.56, 0.59, 36300, 0.59, 0, 1, 0.585, -999
20161125, 0.56, 0.59, 0.56, 0.58, 18200, 0.58, 0, 1, 0.57, -999
20161123, 0.64, 0.64, 0.57, 0.57, 33200, 0.57, 0, 1, 0.605, -999
20161122, 0.63, 0.64, 0.59, 0.61, 233400, 0.61, 0, 1, 0.62, -999
20161121, 0.66, 0.66, 0.63, 0.63, 68100, 0.63, 0, 1, 0.645, -999
20161118, 0.7, 0.7, 0.64, 0.66, 88200, 0.66, 0, 1, 0.68, -999
20161117, 0.7, 0.73, 0.66, 0.67, 20700, 0.67, 0, 1, 0.685, -999
20161116, 0.74, 0.74, 0.7, 0.7, 37800, 0.7, 0, 1, 0.72, -999
20161115, 0.76, 0.78, 0.75, 0.76, 20800, 0.76, 0, 1, 0.76, -999
20161114, 0.77, 0.8, 0.75, 0.76, 49100, 0.76, 0, 1, 0.765, -999
20161111, 0.7, 0.77, 0.7, 0.74, 53200, 0.74, 0, 1, 0.72, -999
20161110, 0.66, 0.77, 0.63, 0.76, 85800, 0.76, 0, 1, 0.71, -999
20161109, 0.54, 0.67, 0.54, 0.65, 68000, 0.65, 0, 1, 0.595, -999
20161108, 0.59, 0.66, 0.53, 0.63, 37400, 0.63, 0, 1, 0.61, -999
20161107, 0.55, 0.57, 0.46, 0.56, 155100, 0.56, 0, 1, 0.555, -999
20161104, 0.65, 0.7, 0.5, 0.55, 55000, 0.55, 0, 1, 0.6, -999
20161103, 0.65, 0.71, 0.65, 0.65, 54200, 0.65, 0, 1, 0.65, -999
20161102, 0.7, 0.78, 0.67, 0.7, 24800, 0.7, 0, 1, 0.7, -999
20161101, 0.73, 0.73, 0.65, 0.72, 19300, 0.72, 0, 1, 0.725, -999
20161031, 0.69, 0.76, 0.65, 0.71, 58200, 0.71, 0, 1, 0.7, -999
20161028, 0.72, 0.78, 0.65, 0.65, 65000, 0.65, 0, 1, 0.685, -999
20161027, 0.77, 0.77, 0.7, 0.7, 56000, 0.7, 0, 1, 0.735, -999
20161026, 0.8, 0.8, 0.77, 0.77, 182500, 0.77, 0, 1, 0.785, -999
20161025, 0.8, 0.82, 0.77, 0.77, 55200, 0.77, 0, 1, 0.785, -999
20161024, 0.82, 0.83, 0.76, 0.8, 244300, 0.8, 0, 1, 0.81, -999
20161021, 0.83, 0.83, 0.8, 0.82, 97200, 0.82, 0, 1, 0.825, -999
20161020, 0.81, 0.83, 0.81, 0.82, 30200, 0.82, 0, 1, 0.815, -999
20161019, 0.81, 0.85, 0.81, 0.83, 29200, 0.83, 0, 1, 0.82, -999
20161018, 0.85, 0.85, 0.79, 0.8, 308800, 0.8, 0, 1, 0.825, -999
20161017, 0.96, 0.96, 0.8, 0.83, 534200, 0.83, 0, 1, 0.895, -999
20161014, 0.98, 1, 0.93, 0.96, 92700, 0.96, 0, 1, 0.97, -999
20161013, 1.01, 1.01, 0.98, 0.98, 86100, 0.98, 0, 1, 0.995, -999
20161012, 1.01, 1.02, 1, 1.01, 31200, 1.01, 0, 1, 1.01, -999
20161011, 1, 1.06, 0.99, 1.02, 10300, 1.02, 0, 1, 1.01, -999
20161010, 0.98, 1.02, 0.98, 1, 7800, 1, 0, 1, 0.99, -999
20161007, 1, 1.04, 0.99, 1, 56600, 1, 0, 1, 1, -999
20161006, 1.04, 1.05, 1, 1, 19800, 1, 0, 1, 1.02, -999
20161005, 1.04, 1.06, 1, 1, 16800, 1, 0, 1, 1.02, -999
20161004, 1.04, 1.04, 1.03, 1.03, 3800, 1.03, 0, 1, 1.035, -999
20161003, 1.05, 1.05, 1, 1.02, 36600, 1.02, 0, 1, 1.035, -999
