Ticker: FUEL  Created on: 2/13/2017 1:33:28 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 2.35, 2.4, 2.22, 2.31, 179800, 2.31, 0, 1, 2.33, -999
20170209, 2.33, 2.42, 2.3, 2.36, 170000, 2.36, 0, 1, 2.345, -999
20170208, 2.32, 2.33, 2.29, 2.33, 112000, 2.33, 0, 1, 2.325, -999
20170207, 2.3, 2.34, 2.28, 2.31, 89300, 2.31, 0, 1, 2.305, -999
20170206, 2.32, 2.34, 2.22, 2.29, 783500, 2.29, 0, 1, 2.305, -999
20170203, 2.25, 2.38, 2.25, 2.3, 283000, 2.3, 0, 1, 2.275, -999
20170202, 2.22, 2.27, 2.18, 2.26, 215300, 2.26, 0, 1, 2.24, -999
20170201, 2.03, 2.28, 1.99, 2.22, 470700, 2.22, 0, 1, 2.125, -999
20170131, 1.95, 2.04, 1.95, 2, 60000, 2, 0, 1, 1.975, -999
20170130, 1.98, 2.02, 1.95, 1.97, 160900, 1.97, 0, 1, 1.975, -999
20170127, 2.07, 2.08, 2, 2.02, 41100, 2.02, 0, 1, 2.045, -999
20170126, 2.08, 2.08, 2, 2.05, 47300, 2.05, 0, 1, 2.065, -999
20170125, 2.03, 2.1, 2, 2.08, 87000, 2.08, 0, 1, 2.055, -999
20170124, 2.04, 2.06, 1.99, 2, 207900, 2, 0, 1, 2.02, -999
20170123, 2.07, 2.14, 2.04, 2.05, 138000, 2.05, 0, 1, 2.06, -999
20170120, 2.09, 2.1, 2.07, 2.08, 93500, 2.08, 0, 1, 2.085, -999
20170119, 2.11, 2.11, 2.04, 2.08, 125500, 2.08, 0, 1, 2.095, -999
20170118, 2.1, 2.14, 2.09, 2.1, 170800, 2.1, 0, 1, 2.1, -999
20170117, 2.15, 2.17, 2.05, 2.1, 155400, 2.1, 0, 1, 2.125, -999
20170113, 2.13, 2.21, 2.08, 2.14, 156000, 2.14, 0, 1, 2.135, -999
20170112, 2.15, 2.18, 2.08, 2.13, 158000, 2.13, 0, 1, 2.14, -999
20170111, 2.03, 2.264, 2.015, 2.17, 753600, 2.17, 0, 1, 2.1, -999
20170110, 2.05, 2.15, 2.02, 2.03, 432900, 2.03, 0, 1, 2.04, -999
20170109, 1.9, 2.04, 1.9, 2.02, 308000, 2.02, 0, 1, 1.96, -999
20170106, 1.92, 1.94, 1.86, 1.92, 63800, 1.92, 0, 1, 1.92, -999
20170105, 1.99, 1.99, 1.85, 1.89, 176300, 1.89, 0, 1, 1.94, -999
20170104, 1.9, 2.01, 1.85, 1.9, 266200, 1.9, 0, 1, 1.9, -999
20170103, 1.76, 1.95, 1.721, 1.92, 400200, 1.92, 0, 1, 1.84, -999
20161230, 1.7, 1.73, 1.7, 1.71, 398000, 1.71, 0, 1, 1.705, -999
20161229, 1.74, 1.76, 1.7, 1.71, 325400, 1.71, 0, 1, 1.725, -999
20161228, 1.74, 1.77, 1.731, 1.75, 232600, 1.75, 0, 1, 1.745, -999
20161227, 1.74, 1.8, 1.74, 1.74, 203900, 1.74, 0, 1, 1.74, -999
20161223, 1.75, 1.78, 1.72, 1.75, 155000, 1.75, 0, 1, 1.75, -999
20161222, 1.81, 1.85, 1.75, 1.75, 199400, 1.75, 0, 1, 1.78, -999
20161221, 1.84, 1.85, 1.79, 1.8, 97200, 1.8, 0, 1, 1.82, -999
20161220, 1.84, 1.85, 1.79, 1.83, 166800, 1.83, 0, 1, 1.835, -999
20161219, 1.89, 1.89, 1.81, 1.82, 104900, 1.82, 0, 1, 1.855, -999
20161216, 1.88, 1.97, 1.83, 1.85, 162000, 1.85, 0, 1, 1.865, -999
20161215, 1.93, 1.99, 1.881, 1.9, 131500, 1.9, 0, 1, 1.915, -999
20161214, 1.87, 1.94, 1.84, 1.94, 169300, 1.94, 0, 1, 1.905, -999
20161213, 1.93, 1.94, 1.84, 1.87, 464500, 1.87, 0, 1, 1.9, -999
20161212, 1.96, 2, 1.91, 1.95, 213700, 1.95, 0, 1, 1.955, -999
20161209, 1.86, 1.99, 1.858, 1.98, 188100, 1.98, 0, 1, 1.92, -999
20161208, 1.88, 1.91, 1.81, 1.84, 377500, 1.84, 0, 1, 1.86, -999
20161207, 1.87, 1.91, 1.81, 1.87, 235900, 1.87, 0, 1, 1.87, -999
20161206, 1.88, 1.89, 1.77, 1.86, 193900, 1.86, 0, 1, 1.87, -999
20161205, 1.73, 1.88, 1.73, 1.85, 300200, 1.85, 0, 1, 1.79, -999
20161202, 1.7, 1.8, 1.7, 1.75, 407800, 1.75, 0, 1, 1.725, -999
20161201, 1.83, 1.89, 1.71, 1.71, 256000, 1.71, 0, 1, 1.77, -999
20161130, 1.97, 1.99, 1.8, 1.82, 426800, 1.82, 0, 1, 1.895, -999
20161129, 1.96, 1.98, 1.904, 1.96, 105500, 1.96, 0, 1, 1.96, -999
20161128, 1.95, 2.04, 1.93, 1.95, 94100, 1.95, 0, 1, 1.95, -999
20161125, 1.99, 2.02, 1.92, 2, 24400, 2, 0, 1, 1.995, -999
20161123, 1.98, 2.05, 1.96, 1.99, 92800, 1.99, 0, 1, 1.985, -999
20161122, 1.9, 2, 1.9, 1.99, 110200, 1.99, 0, 1, 1.945, -999
20161121, 1.96, 2.04, 1.92, 1.93, 151600, 1.93, 0, 1, 1.945, -999
20161118, 2.04, 2.14, 1.96, 1.96, 194000, 1.96, 0, 1, 2, -999
20161117, 2.09, 2.15, 2.04, 2.04, 146200, 2.04, 0, 1, 2.065, -999
20161116, 1.88, 2.11, 1.87, 2.07, 370400, 2.07, 0, 1, 1.975, -999
20161115, 1.83, 1.97, 1.8, 1.91, 363000, 1.91, 0, 1, 1.87, -999
20161114, 1.82, 1.88, 1.79, 1.81, 419900, 1.81, 0, 1, 1.815, -999
20161111, 1.83, 1.84, 1.78, 1.79, 381400, 1.79, 0, 1, 1.81, -999
20161110, 1.9, 1.915, 1.79, 1.82, 522400, 1.82, 0, 1, 1.86, -999
20161109, 1.78, 1.9, 1.76, 1.86, 188200, 1.86, 0, 1, 1.82, -999
20161108, 1.77, 1.9, 1.77, 1.86, 211400, 1.86, 0, 1, 1.815, -999
20161107, 1.78, 1.895, 1.74, 1.75, 315700, 1.75, 0, 1, 1.765, -999
20161104, 1.82, 1.9, 1.76, 1.76, 234100, 1.76, 0, 1, 1.79, -999
20161103, 1.95, 1.964, 1.81, 1.81, 384300, 1.81, 0, 1, 1.88, -999
20161102, 2, 2.02, 1.95, 1.97, 306500, 1.97, 0, 1, 1.985, -999
20161101, 2, 2.07, 1.95, 1.99, 387700, 1.99, 0, 1, 1.995, -999
20161031, 2.055, 2.17, 1.98, 1.98, 599000, 1.98, 0, 1, 2.0175, -999
20161028, 2.3, 2.33, 2.09, 2.14, 601800, 2.14, 0, 1, 2.22, -999
20161027, 2.46, 2.5, 2.32, 2.34, 405100, 2.34, 0, 1, 2.4, -999
20161026, 2.69, 2.8, 2.34, 2.45, 916500, 2.45, 0, 1, 2.57, -999
20161025, 2.83, 2.9, 2.8, 2.89, 254100, 2.89, 0, 1, 2.86, -999
20161024, 2.84, 2.84, 2.73, 2.82, 194500, 2.82, 0, 1, 2.83, -999
20161021, 2.78, 2.82, 2.71, 2.8, 139700, 2.8, 0, 1, 2.79, -999
20161020, 2.67, 2.8, 2.64, 2.77, 133400, 2.77, 0, 1, 2.72, -999
20161019, 2.63, 2.69, 2.59, 2.68, 129600, 2.68, 0, 1, 2.655, -999
20161018, 2.53, 2.64, 2.5, 2.61, 150000, 2.61, 0, 1, 2.57, -999
20161017, 2.48, 2.54, 2.45, 2.5, 184500, 2.5, 0, 1, 2.49, -999
20161014, 2.55, 2.59, 2.45, 2.49, 168400, 2.49, 0, 1, 2.52, -999
20161013, 2.53, 2.54, 2.43, 2.52, 202700, 2.52, 0, 1, 2.525, -999
20161012, 2.54, 2.59, 2.5, 2.54, 130400, 2.54, 0, 1, 2.54, -999
20161011, 2.59, 2.62, 2.51, 2.54, 79300, 2.54, 0, 1, 2.565, -999
20161010, 2.5, 2.62, 2.49, 2.59, 183200, 2.59, 0, 1, 2.545, -999
20161007, 2.6, 2.6, 2.45, 2.48, 200500, 2.48, 0, 1, 2.54, -999
20161006, 2.6, 2.6, 2.5, 2.55, 161800, 2.55, 0, 1, 2.575, -999
20161005, 2.63, 2.672, 2.57, 2.59, 139100, 2.59, 0, 1, 2.61, -999
20161004, 2.6, 2.66, 2.59, 2.63, 215800, 2.63, 0, 1, 2.615, -999
20161003, 2.65, 2.68, 2.48, 2.59, 402900, 2.59, 0, 1, 2.62, -999
20160930, 2.71, 2.71, 2.64, 2.64, 284200, 2.64, 0, 1, 2.675, -999
20160929, 2.75, 2.79, 2.68, 2.72, 126900, 2.72, 0, 1, 2.735, -999
20160928, 2.7, 2.78, 2.65, 2.75, 153600, 2.75, 0, 1, 2.725, -999
20160927, 2.72, 2.8, 2.7, 2.71, 84700, 2.71, 0, 1, 2.715, -999
20160926, 2.81, 2.86, 2.72, 2.72, 125600, 2.72, 0, 1, 2.765, -999
20160923, 2.84, 2.89, 2.78, 2.83, 234600, 2.83, 0, 1, 2.835, -999
20160922, 2.68, 2.88, 2.67, 2.82, 289300, 2.82, 0, 1, 2.75, -999
20160921, 2.7, 2.74, 2.68, 2.69, 266500, 2.69, 0, 1, 2.695, -999
20160920, 2.71, 2.75, 2.67, 2.7, 244400, 2.7, 0, 1, 2.705, -999
20160919, 2.81, 2.84, 2.69, 2.7, 222500, 2.7, 0, 1, 2.755, -999
20160916, 2.75, 2.88, 2.72, 2.81, 277600, 2.81, 0, 1, 2.78, -999
20160915, 2.74, 2.8, 2.67, 2.76, 212400, 2.76, 0, 1, 2.75, -999
20160914, 2.8, 2.85, 2.7, 2.75, 254300, 2.75, 0, 1, 2.775, -999
20160913, 2.75, 2.79, 2.645, 2.76, 265700, 2.76, 0, 1, 2.755, -999
