Ticker: GOOG  Created on: 2/13/2017 1:33:20 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 811.700012, 815.25, 809.780029, 813.669983, 1129100, 813.669983, 0, 1, 812.6849975, -999
20170209, 809.51001, 810.659973, 804.539978, 809.559998, 989700, 809.559998, 0, 1, 809.535004, -999
20170208, 807, 811.840027, 803.190002, 808.380005, 1155300, 808.380005, 0, 1, 807.6900025, -999
20170207, 803.98999, 810.5, 801.780029, 806.969971, 1235200, 806.969971, 0, 1, 805.4799805, -999
20170206, 799.700012, 801.669983, 795.25, 801.340027, 1174200, 801.340027, 0, 1, 800.5200195, -999
20170203, 802.98999, 806, 800.369995, 801.48999, 1460400, 801.48999, 0, 1, 802.23999, -999
20170202, 793.799988, 802.700012, 792, 798.530029, 1525800, 798.530029, 0, 1, 796.1650085, -999
20170201, 799.679993, 801.190002, 791.190002, 795.695007, 2023300, 795.695007, 0, 1, 797.6875, -999
20170131, 796.859985, 801.25, 790.52002, 796.789978, 2143500, 796.789978, 0, 1, 796.8249815, -999
20170130, 814.659973, 815.840027, 799.799988, 802.320007, 3228900, 802.320007, 0, 1, 808.48999, -999
20170127, 834.710022, 841.950012, 820.440002, 823.309998, 2951800, 823.309998, 0, 1, 829.01001, -999
20170126, 837.809998, 838, 827.01001, 832.150024, 2734400, 832.150024, 0, 1, 834.980011, -999
20170125, 829.619995, 835.77002, 825.059998, 835.669983, 1494500, 835.669983, 0, 1, 832.644989, -999
20170124, 822.299988, 825.900024, 817.820984, 823.869995, 1461000, 823.869995, 0, 1, 823.0849915, -999
20170123, 807.25, 820.869995, 803.73999, 819.309998, 1901600, 819.309998, 0, 1, 813.279999, -999
20170120, 806.909973, 806.909973, 801.690002, 805.02002, 1645000, 805.02002, 0, 1, 805.9649965, -999
20170119, 805.119995, 809.47998, 801.799988, 802.174988, 912000, 802.174988, 0, 1, 803.6474915, -999
20170118, 805.809998, 806.205017, 800.98999, 806.070007, 1293300, 806.070007, 0, 1, 805.9400025, -999
20170117, 807.080017, 807.140015, 800.369995, 804.609985, 1355800, 804.609985, 0, 1, 805.845001, -999
20170113, 807.47998, 811.223999, 806.690002, 807.880005, 1090100, 807.880005, 0, 1, 807.6799925, -999
20170112, 807.140015, 807.390015, 799.169983, 806.359985, 1351000, 806.359985, 0, 1, 806.75, -999
20170111, 805, 808.150024, 801.369995, 807.909973, 1057900, 807.909973, 0, 1, 806.4549865, -999
20170110, 807.859985, 809.130005, 803.51001, 804.789978, 1174300, 804.789978, 0, 1, 806.3249815, -999
20170109, 806.400024, 809.966003, 802.830017, 806.650024, 1272400, 806.650024, 0, 1, 806.525024, -999
20170106, 795.26001, 807.900024, 792.203979, 806.150024, 1620500, 806.150024, 0, 1, 800.705017, -999
20170105, 786.080017, 794.47998, 785.02002, 794.02002, 1315400, 794.02002, 0, 1, 790.0500185, -999
20170104, 788.359985, 791.340027, 783.159973, 786.900024, 1065400, 786.900024, 0, 1, 787.6300045, -999
20170103, 778.809998, 789.630005, 775.799988, 786.140015, 1643100, 786.140015, 0, 1, 782.4750065, -999
20161230, 782.75, 782.780029, 770.409973, 771.820007, 1760200, 771.820007, 0, 1, 777.2850035, -999
20161229, 783.330017, 785.929993, 778.919983, 782.789978, 742200, 782.789978, 0, 1, 783.0599975, -999
20161228, 793.700012, 794.22998, 783.200012, 785.049988, 1132700, 785.049988, 0, 1, 789.375, -999
20161227, 790.679993, 797.859985, 787.656982, 791.549988, 789100, 791.549988, 0, 1, 791.1149905, -999
20161223, 790.900024, 792.73999, 787.280029, 789.909973, 623400, 789.909973, 0, 1, 790.4049985, -999
20161222, 792.359985, 793.320007, 788.580017, 791.26001, 969100, 791.26001, 0, 1, 791.8099975, -999
20161221, 795.840027, 796.676025, 787.099976, 794.559998, 1208700, 794.559998, 0, 1, 795.2000125, -999
20161220, 796.76001, 798.650024, 793.27002, 796.419983, 925100, 796.419983, 0, 1, 796.5899965, -999
20161219, 790.219971, 797.659973, 786.27002, 794.200012, 1225900, 794.200012, 0, 1, 792.2099915, -999
20161216, 800.400024, 800.856018, 790.289978, 790.799988, 2428300, 790.799988, 0, 1, 795.600006, -999
20161215, 797.340027, 803, 792.919983, 797.849976, 1623700, 797.849976, 0, 1, 797.5950015, -999
20161214, 797.400024, 804, 794.01001, 797.070007, 1664500, 797.070007, 0, 1, 797.2350155, -999
20161213, 793.900024, 804.380005, 793.340027, 796.099976, 2119800, 796.099976, 0, 1, 795, -999
20161212, 785.039978, 791.25, 784.35498, 789.27002, 2097100, 789.27002, 0, 1, 787.154999, -999
20161209, 780, 789.429993, 779.020996, 789.289978, 1780500, 789.289978, 0, 1, 784.644989, -999
20161208, 772.47998, 778.179993, 767.22998, 776.419983, 1448200, 776.419983, 0, 1, 774.4499815, -999
20161207, 761, 771.359985, 755.799988, 771.190002, 1750800, 771.190002, 0, 1, 766.095001, -999
20161206, 764.72998, 768.830017, 757.340027, 759.109985, 1632800, 759.109985, 0, 1, 761.9199825, -999
20161205, 757.710022, 763.900024, 752.900024, 762.52002, 1382900, 762.52002, 0, 1, 760.115021, -999
20161202, 744.590027, 754, 743.099976, 750.5, 1448700, 750.5, 0, 1, 747.5450135, -999
20161201, 757.440002, 759.849976, 737.025024, 747.919983, 2996900, 747.919983, 0, 1, 752.6799925, -999
20161130, 770.070007, 772.98999, 754.830017, 758.039978, 2365800, 758.039978, 0, 1, 764.0549925, -999
20161129, 771.530029, 778.5, 768.23999, 770.840027, 1604500, 770.840027, 0, 1, 771.185028, -999
20161128, 760, 779.530029, 759.799988, 768.23999, 2172200, 768.23999, 0, 1, 764.119995, -999
20161125, 764.26001, 765, 760.52002, 761.679993, 586000, 761.679993, 0, 1, 762.9700015, -999
20161123, 767.72998, 768.28302, 755.25, 760.98999, 1477400, 760.98999, 0, 1, 764.359985, -999
20161122, 772.630005, 776.960022, 767, 768.27002, 1591800, 768.27002, 0, 1, 770.4500125, -999
20161121, 762.609985, 769.700012, 760.599976, 769.200012, 1323000, 769.200012, 0, 1, 765.9049985, -999
20161118, 771.369995, 775, 760, 760.539978, 1526200, 760.539978, 0, 1, 765.9549865, -999
20161117, 766.919983, 772.700012, 764.22998, 771.22998, 1287000, 771.22998, 0, 1, 769.0749815, -999
20161116, 755.200012, 766.359985, 750.51001, 764.47998, 1465200, 764.47998, 0, 1, 759.839996, -999
20161115, 746.969971, 764.416016, 746.969971, 758.48999, 2341200, 758.48999, 0, 1, 752.7299805, -999
20161114, 755.599976, 757.849976, 727.539978, 736.080017, 3631700, 736.080017, 0, 1, 745.8399965, -999
20161111, 756.539978, 760.780029, 750.380005, 754.02002, 2394000, 754.02002, 0, 1, 755.279999, -999
20161110, 791.169983, 791.169983, 752.179993, 762.559998, 4740100, 762.559998, 0, 1, 776.8649905, -999
20161109, 779.940002, 791.22699, 771.669983, 785.309998, 2602700, 785.309998, 0, 1, 782.625, -999
20161108, 783.400024, 795.632996, 780.190002, 790.51001, 1350800, 790.51001, 0, 1, 786.955017, -999
20161107, 774.5, 785.190002, 772.549988, 782.52002, 1585100, 782.52002, 0, 1, 778.51001, -999
20161104, 750.659973, 770.359985, 750.560974, 762.02002, 2134800, 762.02002, 0, 1, 756.3399965, -999
20161103, 767.25, 769.950012, 759.030029, 762.130005, 1943200, 762.130005, 0, 1, 764.6900025, -999
20161102, 778.200012, 781.650024, 763.450012, 768.700012, 1872400, 768.700012, 0, 1, 773.450012, -999
20161101, 782.890015, 789.48999, 775.539978, 783.609985, 2406400, 783.609985, 0, 1, 783.25, -999
20161031, 795.469971, 796.859985, 784, 784.539978, 2427300, 784.539978, 0, 1, 790.0049745, -999
20161028, 808.349976, 815.48999, 793.590027, 795.369995, 4269900, 795.369995, 0, 1, 801.8599855, -999
20161027, 801, 803.48999, 791.5, 795.349976, 2749200, 795.349976, 0, 1, 798.174988, -999
20161026, 806.340027, 806.97998, 796.320007, 799.070007, 1647700, 799.070007, 0, 1, 802.705017, -999
20161025, 816.679993, 816.679993, 805.140015, 807.669983, 1576400, 807.669983, 0, 1, 812.174988, -999
20161024, 804.900024, 815.179993, 804.820007, 813.109985, 1697500, 813.109985, 0, 1, 809.0050045, -999
20161021, 795, 799.5, 794, 799.369995, 1266200, 799.369995, 0, 1, 797.1849975, -999
20161020, 803.299988, 803.969971, 796.030029, 796.969971, 1757500, 796.969971, 0, 1, 800.1349795, -999
20161019, 798.23999, 804.599976, 798.030029, 801.5, 1766800, 801.5, 0, 1, 799.869995, -999
20161018, 787.849976, 801.609985, 785.565002, 795.26001, 2056900, 795.26001, 0, 1, 791.554993, -999
20161017, 779.799988, 785.849976, 777.5, 779.960022, 1093000, 779.960022, 0, 1, 779.880005, -999
20161014, 781.650024, 783.950012, 776, 778.530029, 852500, 778.530029, 0, 1, 780.0900265, -999
