Ticker: GUID  Created on: 2/13/2017 1:33:00 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 6.75, 6.99, 6.55, 6.86, 109700, 6.86, 0, 1, 6.805, -999
20170209, 6.92, 6.99, 6.66, 6.77, 142700, 6.77, 0, 1, 6.845, -999
20170208, 6.94, 7.08, 6.9, 6.91, 21000, 6.91, 0, 1, 6.925, -999
20170207, 6.85, 7.19, 6.85, 6.98, 30900, 6.98, 0, 1, 6.915, -999
20170206, 7.17, 7.17, 6.89, 6.91, 42000, 6.91, 0, 1, 7.04, -999
20170203, 7.13, 7.32, 7.07, 7.23, 32800, 7.23, 0, 1, 7.18, -999
20170202, 7.07, 7.24, 7.06, 7.07, 14200, 7.07, 0, 1, 7.07, -999
20170201, 7.33, 7.33, 7.07, 7.07, 9600, 7.07, 0, 1, 7.2, -999
20170131, 7.21, 7.3, 7.11, 7.26, 28000, 7.26, 0, 1, 7.235, -999
20170130, 7.02, 7.31, 6.89, 7.27, 56300, 7.27, 0, 1, 7.145, -999
20170127, 7.19, 7.21, 7, 7.09, 27700, 7.09, 0, 1, 7.14, -999
20170126, 7.3, 7.3, 7.06, 7.15, 14600, 7.15, 0, 1, 7.225, -999
20170125, 7.27, 7.34, 7.13, 7.32, 13400, 7.32, 0, 1, 7.295, -999
20170124, 7.07, 7.21, 7.01, 7.19, 15100, 7.19, 0, 1, 7.13, -999
20170123, 7.08, 7.17, 7.01, 7.06, 15600, 7.06, 0, 1, 7.07, -999
20170120, 7.2, 7.29, 7.07, 7.1, 20300, 7.1, 0, 1, 7.15, -999
20170119, 7.38, 7.38, 7.17, 7.19, 15600, 7.19, 0, 1, 7.285, -999
20170118, 7.16, 7.5, 7.13, 7.44, 71700, 7.44, 0, 1, 7.3, -999
20170117, 7.29, 7.4, 7.1, 7.1, 49500, 7.1, 0, 1, 7.195, -999
20170113, 7.33, 7.5, 7.3, 7.42, 32300, 7.42, 0, 1, 7.375, -999
20170112, 7.26, 7.32, 7.02, 7.29, 28200, 7.29, 0, 1, 7.275, -999
20170111, 6.99, 7.32, 6.99, 7.26, 55400, 7.26, 0, 1, 7.125, -999
20170110, 7.04, 7.21, 6.97, 7.01, 99700, 7.01, 0, 1, 7.025, -999
20170109, 7.23, 7.28, 7, 7.08, 73100, 7.08, 0, 1, 7.155, -999
20170106, 7.4, 7.4, 7.17, 7.26, 26200, 7.26, 0, 1, 7.33, -999
20170105, 7.39, 7.45, 7.35, 7.37, 27800, 7.37, 0, 1, 7.38, -999
20170104, 7.12, 7.45, 7.12, 7.43, 41100, 7.43, 0, 1, 7.275, -999
20170103, 7.24, 7.33, 7, 7.06, 105700, 7.06, 0, 1, 7.15, -999
20161230, 7.04, 7.25, 6.97, 7.08, 50400, 7.08, 0, 1, 7.06, -999
20161229, 7.24, 7.38, 7.04, 7.17, 24300, 7.17, 0, 1, 7.205, -999
20161228, 7.24, 7.24, 7.11, 7.19, 42700, 7.19, 0, 1, 7.215, -999
20161227, 7.45, 7.56, 7.29, 7.37, 31000, 7.37, 0, 1, 7.41, -999
20161223, 7.53, 7.54, 7.25, 7.39, 17900, 7.39, 0, 1, 7.46, -999
20161222, 7.41, 7.41, 7.2, 7.35, 26800, 7.35, 0, 1, 7.38, -999
20161221, 7.51, 7.53, 7.2, 7.41, 102500, 7.41, 0, 1, 7.46, -999
20161220, 7.41, 7.52, 7.36, 7.5, 43000, 7.5, 0, 1, 7.455, -999
20161219, 7.37, 7.4, 7.23, 7.35, 56600, 7.35, 0, 1, 7.36, -999
20161216, 7.48, 7.59, 7.31, 7.35, 137000, 7.35, 0, 1, 7.415, -999
20161215, 7.27, 7.56, 7.27, 7.44, 72800, 7.44, 0, 1, 7.355, -999
20161214, 7.22, 7.42, 7.22, 7.29, 62100, 7.29, 0, 1, 7.255, -999
20161213, 7.44, 7.62, 7.26, 7.28, 65700, 7.28, 0, 1, 7.36, -999
20161212, 7.41, 7.46, 7.2, 7.43, 48400, 7.43, 0, 1, 7.42, -999
20161209, 7.64, 7.8, 7.29, 7.4, 73700, 7.4, 0, 1, 7.52, -999
20161208, 7.25, 7.6, 7.25, 7.6, 67200, 7.6, 0, 1, 7.425, -999
20161207, 7.15, 7.46, 7.15, 7.27, 85200, 7.27, 0, 1, 7.21, -999
20161206, 7.05, 7.23, 7.03, 7.15, 66600, 7.15, 0, 1, 7.1, -999
20161205, 7.04, 7.29, 7.04, 7.05, 94700, 7.05, 0, 1, 7.045, -999
20161202, 7.15, 7.27, 7, 7.01, 48700, 7.01, 0, 1, 7.08, -999
20161201, 7.05, 7.22, 7.05, 7.15, 72100, 7.15, 0, 1, 7.1, -999
20161130, 7.12, 7.16, 6.86, 7.05, 67200, 7.05, 0, 1, 7.085, -999
20161129, 7.45, 7.55, 6.93, 7.09, 88700, 7.09, 0, 1, 7.27, -999
20161128, 7.45, 7.62, 7.33, 7.44, 53400, 7.44, 0, 1, 7.445, -999
20161125, 7.3, 7.48, 7.13, 7.44, 38400, 7.44, 0, 1, 7.37, -999
20161123, 7.12, 7.33, 6.85, 7.29, 87800, 7.29, 0, 1, 7.205, -999
20161122, 7, 7.18, 6.9, 7.17, 80800, 7.17, 0, 1, 7.085, -999
20161121, 6.86, 6.99, 6.84, 6.96, 64200, 6.96, 0, 1, 6.91, -999
20161118, 6.49, 6.96, 6.49, 6.81, 154300, 6.81, 0, 1, 6.65, -999
20161117, 6.65, 6.7, 6.43, 6.49, 53400, 6.49, 0, 1, 6.57, -999
20161116, 6.41, 6.65, 6.3, 6.57, 131900, 6.57, 0, 1, 6.49, -999
20161115, 6.02, 6.25, 5.98, 6.25, 82100, 6.25, 0, 1, 6.135, -999
20161114, 6, 6.2, 5.84, 5.98, 136600, 5.98, 0, 1, 5.99, -999
20161111, 5.64, 5.98, 5.37, 5.9, 233400, 5.9, 0, 1, 5.77, -999
20161110, 5.49, 5.58, 5.26, 5.45, 74000, 5.45, 0, 1, 5.47, -999
20161109, 5.38, 5.52, 5.22, 5.45, 82000, 5.45, 0, 1, 5.415, -999
20161108, 5.33, 5.45, 5.27, 5.38, 59600, 5.38, 0, 1, 5.355, -999
20161107, 5.42, 5.44, 5.28, 5.38, 145300, 5.38, 0, 1, 5.4, -999
20161104, 5.39, 5.55, 4.82, 5.35, 221600, 5.35, 0, 1, 5.37, -999
20161103, 4.96, 5.24, 4.95, 4.99, 33200, 4.99, 0, 1, 4.975, -999
20161102, 4.99, 5.09, 4.52, 4.93, 33900, 4.93, 0, 1, 4.96, -999
20161101, 5.16, 5.25, 4.95, 5.01, 36100, 5.01, 0, 1, 5.085, -999
20161031, 5.41, 5.53, 5.07, 5.16, 102100, 5.16, 0, 1, 5.285, -999
20161028, 5.38, 5.71, 5.35, 5.41, 18900, 5.41, 0, 1, 5.395, -999
20161027, 5.58, 5.66, 5.34, 5.38, 91600, 5.38, 0, 1, 5.48, -999
20161026, 5.72, 5.74, 5.51, 5.53, 43600, 5.53, 0, 1, 5.625, -999
