Ticker: HSTM  Created on: 2/13/2017 1:33:27 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 22.33, 22.610001, 21.83, 22.1, 164500, 22.1, 0, 1, 22.215, -999
20170209, 22.24, 22.540001, 22.17, 22.200001, 180100, 22.200001, 0, 1, 22.2200005, -999
20170208, 22.459999, 22.459999, 22.07, 22.200001, 98700, 22.200001, 0, 1, 22.33, -999
20170207, 22.68, 22.76, 22.440001, 22.530001, 78200, 22.530001, 0, 1, 22.6050005, -999
20170206, 22.559999, 22.76, 22.34, 22.59, 123100, 22.59, 0, 1, 22.5749995, -999
20170203, 22.67, 22.790001, 22.450001, 22.66, 109800, 22.66, 0, 1, 22.665, -999
20170202, 22.91, 23.030001, 22.49, 22.5, 138900, 22.5, 0, 1, 22.705, -999
20170201, 23.09, 23.32, 22.700001, 23.02, 139900, 23.02, 0, 1, 23.055, -999
20170131, 22.32, 23.01, 22.23, 22.959999, 200800, 22.959999, 0, 1, 22.6399995, -999
20170130, 22.73, 23.1, 22.309999, 22.4, 237300, 22.4, 0, 1, 22.565, -999
20170127, 22.48, 22.959999, 22.290001, 22.950001, 105000, 22.950001, 0, 1, 22.7150005, -999
20170126, 22.33, 22.66, 22.17, 22.530001, 96900, 22.530001, 0, 1, 22.4300005, -999
20170125, 22.129999, 22.48, 21.85, 22.41, 130100, 22.41, 0, 1, 22.2699995, -999
20170124, 21.32, 22.24, 21.129999, 22, 193300, 22, 0, 1, 21.66, -999
20170123, 20.860001, 21.459999, 20.6, 21.450001, 290300, 21.450001, 0, 1, 21.155001, -999
20170120, 23.139999, 23.440001, 22.67, 22.75, 118500, 22.75, 0, 1, 22.9449995, -999
20170119, 23.41, 23.6, 23.07, 23.190001, 102500, 23.190001, 0, 1, 23.3000005, -999
20170118, 23.6, 23.65, 23.23, 23.4, 134100, 23.4, 0, 1, 23.5, -999
20170117, 23.969999, 23.969999, 23.48, 23.540001, 112900, 23.540001, 0, 1, 23.755, -999
20170113, 23.959999, 24.540001, 23.77, 24, 338500, 24, 0, 1, 23.9799995, -999
20170112, 23.75, 24.120001, 23.450001, 23.780001, 228900, 23.780001, 0, 1, 23.7650005, -999
20170111, 24.360001, 24.360001, 23.67, 23.889999, 170900, 23.889999, 0, 1, 24.125, -999
20170110, 24.309999, 24.620001, 23.860001, 24.370001, 84300, 24.370001, 0, 1, 24.34, -999
20170109, 23.99, 24.66, 23.83, 24.360001, 152400, 24.360001, 0, 1, 24.1750005, -999
20170106, 24.93, 24.93, 24.09, 24.1, 111900, 24.1, 0, 1, 24.515, -999
20170105, 25.360001, 25.76, 24.809999, 24.93, 79600, 24.93, 0, 1, 25.1450005, -999
20170104, 25.719999, 25.83, 25.309999, 25.52, 118100, 25.52, 0, 1, 25.6199995, -999
20170103, 25.209999, 25.610001, 25.01, 25.559999, 151200, 25.559999, 0, 1, 25.384999, -999
20161230, 24.9, 25.08, 24.35, 25.049999, 72400, 25.049999, 0, 1, 24.9749995, -999
20161229, 24.719999, 25.02, 24.559999, 24.780001, 38800, 24.780001, 0, 1, 24.75, -999
20161228, 25.120001, 25.15, 24.5, 24.6, 41000, 24.6, 0, 1, 24.8600005, -999
20161227, 24.51, 25.5, 24.280001, 25.049999, 85700, 25.049999, 0, 1, 24.7799995, -999
20161223, 24.57, 24.74, 24.290001, 24.58, 56700, 24.58, 0, 1, 24.575, -999
20161222, 24.459999, 24.610001, 24.08, 24.290001, 117100, 24.290001, 0, 1, 24.375, -999
20161221, 25.16, 25.610001, 24.440001, 24.440001, 105500, 24.440001, 0, 1, 24.8000005, -999
20161220, 25.629999, 25.709999, 25.1, 25.290001, 238100, 25.290001, 0, 1, 25.46, -999
20161219, 25.49, 25.91, 25.190001, 25.309999, 93100, 25.309999, 0, 1, 25.3999995, -999
20161216, 25.9, 25.9, 25.209999, 25.360001, 264400, 25.360001, 0, 1, 25.6300005, -999
20161215, 26.139999, 26.870001, 25.91, 26, 167200, 26, 0, 1, 26.0699995, -999
20161214, 26.280001, 26.469999, 25.889999, 25.959999, 64600, 25.959999, 0, 1, 26.12, -999
20161213, 26.040001, 26.5, 25.959999, 26.219999, 101700, 26.219999, 0, 1, 26.13, -999
20161212, 26.41, 26.450001, 25.73, 25.969999, 146100, 25.969999, 0, 1, 26.1899995, -999
20161209, 26.690001, 27.34, 26.42, 26.5, 113100, 26.5, 0, 1, 26.5950005, -999
20161208, 25.82, 26.610001, 25.65, 26.559999, 73600, 26.559999, 0, 1, 26.1899995, -999
20161207, 25.799999, 25.959999, 25.32, 25.719999, 73600, 25.719999, 0, 1, 25.759999, -999
20161206, 26.02, 26.120001, 25.66, 25.84, 120700, 25.84, 0, 1, 25.93, -999
20161205, 26.25, 26.700001, 25.77, 25.92, 136200, 25.92, 0, 1, 26.085, -999
20161202, 25.18, 26.809999, 24.48, 26.030001, 365600, 26.030001, 0, 1, 25.6050005, -999
20161201, 25.110001, 25.209999, 23.959999, 24.24, 153800, 24.24, 0, 1, 24.6750005, -999
20161130, 25.6, 25.6, 24.77, 25.059999, 99000, 25.059999, 0, 1, 25.3299995, -999
20161129, 25.469999, 26.379999, 25.139999, 25.389999, 290600, 25.389999, 0, 1, 25.429999, -999
20161128, 26, 26.33, 25.299999, 25.32, 244400, 25.32, 0, 1, 25.66, -999
20161125, 25.299999, 26.15, 25.209999, 26.15, 61400, 26.15, 0, 1, 25.7249995, -999
20161123, 24.690001, 25.059999, 24.389999, 25.059999, 72100, 25.059999, 0, 1, 24.875, -999
20161122, 24.309999, 24.84, 23.98, 24.83, 84500, 24.83, 0, 1, 24.5699995, -999
20161121, 24.629999, 24.700001, 23.969999, 24.23, 104800, 24.23, 0, 1, 24.4299995, -999
20161118, 24.83, 24.83, 24.309999, 24.59, 149500, 24.59, 0, 1, 24.71, -999
20161117, 25.27, 25.33, 24.690001, 24.709999, 112100, 24.709999, 0, 1, 24.9899995, -999
20161116, 25.17, 25.51, 24.92, 25.16, 111200, 25.16, 0, 1, 25.165, -999
20161115, 25.450001, 25.6, 25.129999, 25.17, 157100, 25.17, 0, 1, 25.3100005, -999
20161114, 25.879999, 26, 25.030001, 25.450001, 227800, 25.450001, 0, 1, 25.665, -999
20161111, 24.07, 25.68, 23.68, 25.620001, 251900, 25.620001, 0, 1, 24.8450005, -999
20161110, 23.76, 24.280001, 23.370001, 24.110001, 258200, 24.110001, 0, 1, 23.9350005, -999
20161109, 21.959999, 23.59, 21.709999, 23.49, 227600, 23.49, 0, 1, 22.7249995, -999
20161108, 22.5, 22.549999, 22.110001, 22.360001, 158400, 22.360001, 0, 1, 22.4300005, -999
20161107, 22.370001, 22.84, 22.049999, 22.469999, 381200, 22.469999, 0, 1, 22.42, -999
20161104, 23.41, 23.559999, 21.27, 22.059999, 465200, 22.059999, 0, 1, 22.7349995, -999
20161103, 23.799999, 25.15, 23.4, 24.1, 463800, 24.1, 0, 1, 23.9499995, -999
20161102, 26.49, 26.68, 25.690001, 26.1, 323900, 26.1, 0, 1, 26.295, -999
20161101, 26.91, 26.91, 26.4, 26.629999, 75300, 26.629999, 0, 1, 26.7699995, -999
20161031, 26.709999, 27.01, 26.1, 26.969999, 109500, 26.969999, 0, 1, 26.839999, -999
20161028, 26.940001, 27.01, 26.309999, 26.66, 208000, 26.66, 0, 1, 26.8000005, -999
20161027, 27.48, 27.48, 26.51, 27, 80200, 27, 0, 1, 27.24, -999
20161026, 27.74, 27.74, 26.67, 27.379999, 64000, 27.379999, 0, 1, 27.5599995, -999
20161025, 27.82, 27.82, 27.41, 27.67, 104300, 27.67, 0, 1, 27.745, -999
20161024, 27.129999, 27.870001, 27.129999, 27.780001, 139600, 27.780001, 0, 1, 27.455, -999
20161021, 26.83, 27.26, 26.700001, 27.16, 78000, 27.16, 0, 1, 26.995, -999
20161020, 26.959999, 27.16, 26.799999, 27.09, 47300, 27.09, 0, 1, 27.0249995, -999
20161019, 26.280001, 27.040001, 26.280001, 26.85, 1300, 26.85, 0, 1, 26.5650005, -999
20161018, 26.68, 26.879999, 26.43, 26.610001, 147300, 26.610001, 0, 1, 26.6450005, -999
20161017, 26, 26.48, 26, 26.35, 44600, 26.35, 0, 1, 26.175, -999
20161014, 26.459999, 26.889999, 26.059999, 26.200001, 50300, 26.200001, 0, 1, 26.33, -999
20161013, 26.559999, 26.67, 26.120001, 26.469999, 43000, 26.469999, 0, 1, 26.514999, -999
20161012, 26.809999, 27.15, 26.469999, 26.870001, 35300, 26.870001, 0, 1, 26.84, -999
20161011, 27.120001, 27.219999, 26.48, 26.790001, 45800, 26.790001, 0, 1, 26.955001, -999
20161010, 27.049999, 27.639999, 26.67, 27.459999, 43400, 27.459999, 0, 1, 27.254999, -999
20161007, 27.16, 27.450001, 26.67, 26.959999, 58100, 26.959999, 0, 1, 27.0599995, -999
20161006, 28.129999, 28.129999, 27.309999, 27.360001, 49700, 27.360001, 0, 1, 27.745, -999
20161005, 28.5, 28.84, 28.219999, 28.32, 80300, 28.32, 0, 1, 28.41, -999
20161004, 27.91, 28.459999, 27.639999, 28.389999, 121400, 28.389999, 0, 1, 28.1499995, -999
20161003, 27.48, 28.059999, 27.01, 27.959999, 85200, 27.959999, 0, 1, 27.7199995, -999
20160930, 26.51, 27.74, 26.15, 27.6, 135600, 27.6, 0, 1, 27.055, -999
20160929, 26.700001, 26.700001, 26.07, 26.309999, 69800, 26.309999, 0, 1, 26.505, -999
20160928, 26.52, 26.870001, 26.309999, 26.780001, 54000, 26.780001, 0, 1, 26.6500005, -999
20160927, 26.35, 26.68, 26.200001, 26.540001, 68300, 26.540001, 0, 1, 26.4450005, -999
20160926, 26.639999, 26.75, 26.25, 26.25, 60500, 26.25, 0, 1, 26.4449995, -999
20160923, 26.99, 27.15, 26.73, 26.950001, 54000, 26.950001, 0, 1, 26.9700005, -999
20160922, 26.58, 27.280001, 26.52, 27.18, 71500, 27.18, 0, 1, 26.88, -999
20160921, 26.27, 26.540001, 25.91, 26.530001, 85500, 26.530001, 0, 1, 26.4000005, -999
20160920, 26.59, 26.780001, 26.059999, 26.17, 79800, 26.17, 0, 1, 26.38, -999
20160919, 26.58, 27, 26.290001, 26.370001, 99100, 26.370001, 0, 1, 26.4750005, -999
20160916, 26.469999, 26.950001, 26.290001, 26.360001, 284600, 26.360001, 0, 1, 26.415, -999
20160915, 25.959999, 26.43, 25.799999, 26.43, 73300, 26.43, 0, 1, 26.1949995, -999
20160914, 26.23, 26.52, 24.42, 25.870001, 48200, 25.870001, 0, 1, 26.0500005, -999
20160913, 26.23, 26.68, 25.98, 26.24, 51500, 26.24, 0, 1, 26.235, -999
20160912, 25.91, 26.559999, 25.870001, 26.540001, 71000, 26.540001, 0, 1, 26.2250005, -999
20160909, 26.610001, 26.860001, 26.040001, 26.1, 61000, 26.1, 0, 1, 26.3550005, -999
20160908, 26.860001, 27.030001, 26.540001, 26.85, 54400, 26.85, 0, 1, 26.8550005, -999
20160907, 26.799999, 27.040001, 26.620001, 26.98, 78000, 26.98, 0, 1, 26.8899995, -999
20160906, 26.870001, 26.969999, 26.43, 26.809999, 73900, 26.809999, 0, 1, 26.84, -999
20160902, 26.620001, 26.959999, 26.52, 26.91, 76500, 26.91, 0, 1, 26.7650005, -999
20160901, 26.74, 26.74, 26.25, 26.6, 64400, 26.6, 0, 1, 26.67, -999
20160831, 26.360001, 26.809999, 26.129999, 26.59, 108900, 26.59, 0, 1, 26.4750005, -999
20160830, 26.17, 26.4, 25.99, 26.27, 34900, 26.27, 0, 1, 26.22, -999
20160829, 26.200001, 26.450001, 25.9, 26.26, 63300, 26.26, 0, 1, 26.2300005, -999
20160826, 25.870001, 26.57, 25.870001, 26.07, 71200, 26.07, 0, 1, 25.9700005, -999
20160825, 25.82, 26.110001, 25.73, 25.91, 66100, 25.91, 0, 1, 25.865, -999
20160824, 25.66, 26.059999, 25.4, 25.860001, 164900, 25.860001, 0, 1, 25.7600005, -999
20160823, 25.120001, 25.66, 25.1, 25.559999, 80900, 25.559999, 0, 1, 25.34, -999
20160822, 24.26, 25.280001, 24.110001, 25.1, 106500, 25.1, 0, 1, 24.68, -999
20160819, 24.1, 24.75, 23.809999, 24.360001, 90800, 24.360001, 0, 1, 24.2300005, -999
20160818, 24.1, 24.370001, 23.91, 24.110001, 58000, 24.110001, 0, 1, 24.1050005, -999
20160817, 24.07, 24.200001, 23.67, 24.09, 101600, 24.09, 0, 1, 24.08, -999
20160816, 24.16, 24.5, 23.639999, 24, 70400, 24, 0, 1, 24.08, -999
20160815, 24.190001, 24.4, 24.16, 24.24, 68800, 24.24, 0, 1, 24.2150005, -999
20160812, 24.1, 24.23, 23.85, 24.139999, 63000, 24.139999, 0, 1, 24.1199995, -999
20160811, 23.75, 24.110001, 23.629999, 24.059999, 70300, 24.059999, 0, 1, 23.9049995, -999
20160810, 23.99, 23.99, 23.58, 23.73, 69800, 23.73, 0, 1, 23.86, -999
20160809, 24.360001, 24.360001, 23.99, 24.02, 84900, 24.02, 0, 1, 24.1900005, -999
20160808, 24.6, 24.629999, 24.049999, 24.139999, 57500, 24.139999, 0, 1, 24.3699995, -999
20160805, 24.209999, 24.700001, 24.120001, 24.530001, 106600, 24.530001, 0, 1, 24.37, -999
20160804, 24.68, 24.809999, 23.969999, 23.99, 54800, 23.99, 0, 1, 24.335, -999
20160803, 24.43, 24.84, 24.309999, 24.719999, 151700, 24.719999, 0, 1, 24.5749995, -999
20160802, 24.940001, 24.940001, 23.99, 24.5, 167200, 24.5, 0, 1, 24.7200005, -999
20160801, 24.16, 24.959999, 24.16, 24.889999, 185000, 24.889999, 0, 1, 24.5249995, -999
20160729, 24.85, 24.85, 24.190001, 24.23, 97200, 24.23, 0, 1, 24.54, -999
20160728, 24.24, 25.360001, 24, 24.889999, 326500, 24.889999, 0, 1, 24.5649995, -999
20160727, 24.02, 24.42, 23.32, 24.27, 246400, 24.27, 0, 1, 24.145, -999
20160726, 23.08, 24.950001, 23.01, 24.82, 395600, 24.82, 0, 1, 23.95, -999
20160725, 25.950001, 26.120001, 25.77, 25.969999, 78900, 25.969999, 0, 1, 25.96, -999
20160722, 25.51, 26, 25.209999, 25.83, 160100, 25.83, 0, 1, 25.67, -999
20160721, 25.950001, 26.07, 25.51, 25.549999, 180500, 25.549999, 0, 1, 25.75, -999
20160720, 26.41, 27.059999, 25.91, 26, 277100, 26, 0, 1, 26.205, -999
20160719, 27, 27.309999, 26.129999, 26.24, 75100, 26.24, 0, 1, 26.62, -999
20160718, 27.02, 27.57, 26.77, 27.01, 68900, 27.01, 0, 1, 27.015, -999
20160715, 27.75, 27.85, 26.74, 26.85, 158400, 26.85, 0, 1, 27.3, -999
20160714, 27.77, 27.809999, 27.299999, 27.469999, 68400, 27.469999, 0, 1, 27.6199995, -999
20160713, 27.870001, 28.110001, 27.209999, 27.65, 140200, 27.65, 0, 1, 27.7600005, -999
20160712, 27.549999, 28.16, 27.34, 27.65, 138300, 27.65, 0, 1, 27.5999995, -999
20160711, 27.700001, 27.700001, 27.139999, 27.4, 68100, 27.4, 0, 1, 27.5500005, -999
20160708, 26.799999, 27.73, 26.719999, 27.610001, 84800, 27.610001, 0, 1, 27.205, -999
20160707, 26.309999, 26.75, 25.889999, 26.469999, 55000, 26.469999, 0, 1, 26.389999, -999
20160706, 26.02, 26.440001, 25.709999, 26.309999, 60700, 26.309999, 0, 1, 26.1649995, -999
20160705, 26.139999, 26.6, 26.139999, 26.23, 101300, 26.23, 0, 1, 26.1849995, -999
20160701, 26.639999, 26.780001, 26.190001, 26.48, 49300, 26.48, 0, 1, 26.5599995, -999
20160630, 26.67, 26.67, 26.049999, 26.52, 116300, 26.52, 0, 1, 26.595, -999
20160629, 25.969999, 26.530001, 25.790001, 26.51, 139000, 26.51, 0, 1, 26.2399995, -999
20160628, 24.67, 25.459999, 24.67, 25.17, 71800, 25.17, 0, 1, 24.92, -999
20160627, 24.860001, 25.120001, 24.17, 24.469999, 85500, 24.469999, 0, 1, 24.665, -999
20160624, 25, 25.469999, 24.77, 25.15, 176000, 25.15, 0, 1, 25.075, -999
20160623, 25.5, 26.24, 24.959999, 25.98, 59100, 25.98, 0, 1, 25.74, -999
20160622, 25.49, 25.83, 25.190001, 25.27, 50800, 25.27, 0, 1, 25.38, -999
20160621, 25.74, 25.940001, 25.299999, 25.389999, 42900, 25.389999, 0, 1, 25.5649995, -999
20160620, 25.74, 26.23, 25.629999, 25.65, 61900, 25.65, 0, 1, 25.695, -999
20160617, 25.58, 25.58, 25, 25.370001, 149800, 25.370001, 0, 1, 25.4750005, -999
20160616, 25.27, 25.620001, 25, 25.49, 93200, 25.49, 0, 1, 25.38, -999
20160615, 25.860001, 26.18, 25.49, 25.540001, 52300, 25.540001, 0, 1, 25.700001, -999
20160614, 25.629999, 25.959999, 25.49, 25.74, 49700, 25.74, 0, 1, 25.6849995, -999
20160613, 25.92, 26.879999, 25.469999, 25.639999, 88500, 25.639999, 0, 1, 25.7799995, -999
20160610, 26.48, 26.66, 25.879999, 25.99, 83400, 25.99, 0, 1, 26.235, -999
20160609, 26.469999, 26.9, 25.74, 26.43, 51100, 26.43, 0, 1, 26.4499995, -999
20160608, 25.879999, 26.639999, 25.809999, 26.58, 69500, 26.58, 0, 1, 26.2299995, -999
20160607, 25.83, 26.02, 25.67, 25.790001, 79200, 25.790001, 0, 1, 25.8100005, -999
20160606, 25.309999, 25.870001, 25.17, 25.77, 142400, 25.77, 0, 1, 25.5399995, -999
20160603, 25.41, 25.41, 24.73, 25.15, 80600, 25.15, 0, 1, 25.28, -999
20160602, 24.120001, 25.469999, 24.120001, 25.4, 137400, 25.4, 0, 1, 24.7600005, -999
20160601, 23.450001, 24.32, 23.209999, 24.25, 84300, 24.25, 0, 1, 23.8500005, -999
20160531, 23.49, 23.66, 23.26, 23.49, 131700, 23.49, 0, 1, 23.49, -999
20160527, 23.129999, 23.4, 22.940001, 23.389999, 87500, 23.389999, 0, 1, 23.259999, -999
20160526, 23.08, 23.08, 22.4, 22.959999, 50900, 22.959999, 0, 1, 23.0199995, -999
20160525, 22.99, 23.15, 22.76, 23.120001, 79500, 23.120001, 0, 1, 23.0550005, -999
20160524, 22.309999, 23.15, 22.219999, 22.93, 81200, 22.93, 0, 1, 22.6199995, -999
20160523, 22.629999, 23.01, 22.459999, 22.49, 55300, 22.49, 0, 1, 22.5599995, -999
20160520, 22.16, 22.74, 22.049999, 22.559999, 66600, 22.559999, 0, 1, 22.3599995, -999
20160519, 22.440001, 22.450001, 21.6, 22, 52500, 22, 0, 1, 22.2200005, -999
20160518, 21.98, 22.549999, 21.879999, 22.32, 46500, 22.32, 0, 1, 22.15, -999
20160517, 22.09, 22.690001, 21.889999, 22.040001, 105700, 22.040001, 0, 1, 22.0650005, -999
20160516, 22.25, 22.43, 21.299999, 22.23, 65500, 22.23, 0, 1, 22.24, -999
20160513, 21.99, 22.200001, 21.58, 22.139999, 88200, 22.139999, 0, 1, 22.0649995, -999
20160512, 22.17, 22.469999, 21.68, 22.1, 68600, 22.1, 0, 1, 22.135, -999
20160511, 22.48, 22.530001, 22.25, 22.370001, 115200, 22.370001, 0, 1, 22.4250005, -999
20160510, 22.15, 22.51, 21.74, 22.49, 46800, 22.49, 0, 1, 22.32, -999
20160509, 21.860001, 22.15, 21.780001, 21.98, 39100, 21.98, 0, 1, 21.9200005, -999
20160506, 21.43, 21.940001, 20.719999, 21.889999, 91600, 21.889999, 0, 1, 21.6599995, -999
20160505, 22.110001, 22.129999, 21.139999, 21.620001, 110700, 21.620001, 0, 1, 21.865001, -999
20160504, 22.219999, 22.43, 21.42, 21.969999, 149700, 21.969999, 0, 1, 22.094999, -999
20160503, 22.33, 23.32, 21.27, 22.290001, 201600, 22.290001, 0, 1, 22.3100005, -999
20160502, 22.790001, 22.91, 21.82, 22.610001, 134600, 22.610001, 0, 1, 22.700001, -999
20160429, 22.85, 22.940001, 22.26, 22.620001, 111900, 22.620001, 0, 1, 22.7350005, -999
20160428, 22.950001, 23.139999, 22.58, 22.950001, 97900, 22.950001, 0, 1, 22.950001, -999
20160427, 22.959999, 23.98, 22.77, 23.110001, 109600, 23.110001, 0, 1, 23.035, -999
20160426, 22.299999, 24.120001, 19.950001, 23.030001, 464000, 23.030001, 0, 1, 22.665, -999
20160425, 23.290001, 23.540001, 22.52, 23.370001, 181200, 23.370001, 0, 1, 23.330001, -999
20160422, 22.219999, 23.26, 21.27, 23.209999, 145900, 23.209999, 0, 1, 22.714999, -999
20160421, 22.190001, 22.51, 22.110001, 22.290001, 83700, 22.290001, 0, 1, 22.240001, -999
20160420, 22.23, 22.24, 21.790001, 22.110001, 62200, 22.110001, 0, 1, 22.1700005, -999
20160419, 22.799999, 22.92, 21.84, 22.280001, 54900, 22.280001, 0, 1, 22.54, -999
20160418, 22.139999, 23.08, 22.139999, 22.690001, 64100, 22.690001, 0, 1, 22.415, -999
20160415, 22.25, 22.549999, 22.25, 22.35, 28800, 22.35, 0, 1, 22.3, -999
20160414, 22.379999, 22.74, 22.290001, 22.42, 40300, 22.42, 0, 1, 22.3999995, -999
20160413, 21.98, 22.5, 21.969999, 22.440001, 87100, 22.440001, 0, 1, 22.2100005, -999
20160412, 21.23, 21.92, 20.98, 21.799999, 62900, 21.799999, 0, 1, 21.5149995, -999
20160411, 21.940001, 22.280001, 21.1, 21.17, 98200, 21.17, 0, 1, 21.5550005, -999
20160408, 21.969999, 22.01, 21.17, 21.889999, 82600, 21.889999, 0, 1, 21.929999, -999
20160407, 21.690001, 22.26, 21.66, 21.84, 135400, 21.84, 0, 1, 21.7650005, -999
20160406, 22.030001, 22.209999, 21.59, 21.799999, 66000, 21.799999, 0, 1, 21.915, -999
20160405, 21.559999, 22.110001, 21.559999, 21.690001, 81300, 21.690001, 0, 1, 21.625, -999
20160404, 22.32, 22.6, 22.02, 22.07, 147000, 22.07, 0, 1, 22.195, -999
20160401, 21.98, 22.43, 21.98, 22.32, 102900, 22.32, 0, 1, 22.15, -999
20160331, 21.690001, 22.360001, 21.540001, 22.09, 70900, 22.09, 0, 1, 21.8900005, -999
20160330, 22.049999, 22.1, 21.6, 21.719999, 76200, 21.719999, 0, 1, 21.884999, -999
20160329, 19.950001, 22.030001, 19.709999, 21.860001, 190100, 21.860001, 0, 1, 20.905001, -999
20160328, 19.98, 19.98, 19.610001, 19.66, 64900, 19.66, 0, 1, 19.82, -999
20160324, 20.280001, 20.370001, 19.77, 19.85, 38600, 19.85, 0, 1, 20.0650005, -999
20160323, 20.540001, 20.889999, 20.33, 20.440001, 108200, 20.440001, 0, 1, 20.490001, -999
20160322, 20.6, 20.68, 20.42, 20.530001, 66700, 20.530001, 0, 1, 20.5650005, -999
20160321, 20.83, 21.129999, 20.25, 20.559999, 67900, 20.559999, 0, 1, 20.6949995, -999
