Ticker: IMPV  Created on: 2/13/2017 1:33:00 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 47.299999, 47.299999, 46.349998, 46.650002, 833000, 46.650002, 0, 1, 46.9750005, -999
20170209, 47, 47.049999, 44.049999, 46.75, 3373800, 46.75, 0, 1, 46.875, -999
20170208, 42.400002, 43.900002, 41.700001, 42.900002, 1431200, 42.900002, 0, 1, 42.650002, -999
20170207, 42.099998, 42.849998, 41.75, 42.650002, 986200, 42.650002, 0, 1, 42.375, -999
20170206, 42.25, 42.400002, 41.549999, 41.849998, 459200, 41.849998, 0, 1, 42.049999, -999
20170203, 42.299999, 42.549999, 41.630001, 42.400002, 603800, 42.400002, 0, 1, 42.3500005, -999
20170202, 41.799999, 42.529999, 41.299999, 42.299999, 646200, 42.299999, 0, 1, 42.049999, -999
20170201, 42, 42.299999, 41.400002, 41.650002, 862900, 41.650002, 0, 1, 41.825001, -999
20170131, 40.099998, 41.799999, 39.799999, 41.75, 1116300, 41.75, 0, 1, 40.924999, -999
20170130, 39.150002, 40.150002, 38.700001, 40.150002, 452300, 40.150002, 0, 1, 39.650002, -999
20170127, 40.700001, 40.950001, 39.150002, 39.400002, 842300, 39.400002, 0, 1, 40.0500015, -999
20170126, 41.299999, 41.700001, 40.529999, 40.599998, 644900, 40.599998, 0, 1, 40.9499985, -999
20170125, 41, 41.400002, 40.25, 41.150002, 449900, 41.150002, 0, 1, 41.075001, -999
20170124, 40.549999, 40.849998, 40.299999, 40.650002, 263200, 40.650002, 0, 1, 40.6000005, -999
20170123, 40.549999, 40.849998, 40.099998, 40.450001, 261700, 40.450001, 0, 1, 40.5, -999
20170120, 40.599998, 41.299999, 40.049999, 40.599998, 469400, 40.599998, 0, 1, 40.599998, -999
20170119, 40.400002, 41.299999, 39.849998, 40.349998, 440600, 40.349998, 0, 1, 40.375, -999
20170118, 40, 40.450001, 39.700001, 40.349998, 244400, 40.349998, 0, 1, 40.174999, -999
20170117, 40.599998, 40.900002, 39.700001, 40.049999, 411700, 40.049999, 0, 1, 40.3249985, -999
20170113, 40.049999, 40.700001, 39.779999, 40.650002, 364800, 40.650002, 0, 1, 40.3500005, -999
20170112, 40.150002, 40.150002, 38.849998, 39.849998, 521700, 39.849998, 0, 1, 40, -999
20170111, 39.599998, 40.450001, 39.549999, 40.25, 536200, 40.25, 0, 1, 39.924999, -999
20170110, 39.549999, 39.919998, 39.200001, 39.450001, 249200, 39.450001, 0, 1, 39.5, -999
20170109, 39.299999, 39.950001, 38.950001, 39.450001, 718000, 39.450001, 0, 1, 39.375, -999
20170106, 39.200001, 39.650002, 38.799999, 39.299999, 465300, 39.299999, 0, 1, 39.25, -999
20170105, 38.349998, 39.849998, 38.25, 39.049999, 584400, 39.049999, 0, 1, 38.6999985, -999
20170104, 37.75, 38.799999, 37.669998, 38.650002, 452100, 38.650002, 0, 1, 38.200001, -999
20170103, 38.75, 38.75, 37.200001, 37.450001, 642100, 37.450001, 0, 1, 38.1000005, -999
20161230, 37.299999, 38.400002, 37.049999, 38.400002, 589000, 38.400002, 0, 1, 37.8500005, -999
20161229, 37.25, 38.150002, 37.099998, 37.299999, 282300, 37.299999, 0, 1, 37.2749995, -999
20161228, 38.700001, 38.700001, 37.150002, 37.25, 516000, 37.25, 0, 1, 37.9750005, -999
20161227, 38.400002, 39.5, 37.849998, 38.599998, 208300, 38.599998, 0, 1, 38.5, -999
20161223, 37.650002, 38.5, 37.5, 38.299999, 503100, 38.299999, 0, 1, 37.9750005, -999
20161222, 39.099998, 39.099998, 37.299999, 37.650002, 445200, 37.650002, 0, 1, 38.375, -999
20161221, 38.099998, 40.5, 37.799999, 38.900002, 1599100, 38.900002, 0, 1, 38.5, -999
20161220, 38.150002, 38.5, 37.900002, 38.200001, 447200, 38.200001, 0, 1, 38.1750015, -999
