Ticker: INAP  Created on: 2/13/2017 1:33:28 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 1.78, 1.78, 1.74, 1.78, 155200, 1.78, 0, 1, 1.78, -999
20170209, 1.73, 1.78, 1.69, 1.77, 439400, 1.77, 0, 1, 1.75, -999
20170208, 1.69, 1.74, 1.62, 1.71, 307200, 1.71, 0, 1, 1.7, -999
20170207, 1.64, 1.73, 1.63, 1.69, 359900, 1.69, 0, 1, 1.665, -999
20170206, 1.64, 1.68, 1.62, 1.64, 417800, 1.64, 0, 1, 1.64, -999
20170203, 1.67, 1.7, 1.61, 1.63, 127700, 1.63, 0, 1, 1.65, -999
20170202, 1.64, 1.65, 1.6, 1.62, 535400, 1.62, 0, 1, 1.63, -999
20170201, 1.65, 1.67, 1.62, 1.66, 143500, 1.66, 0, 1, 1.655, -999
20170131, 1.64, 1.67, 1.57, 1.65, 157000, 1.65, 0, 1, 1.645, -999
20170130, 1.7, 1.71, 1.63, 1.65, 243700, 1.65, 0, 1, 1.675, -999
20170127, 1.76, 1.78, 1.66, 1.71, 295500, 1.71, 0, 1, 1.735, -999
20170126, 1.7, 1.76, 1.7, 1.76, 144800, 1.76, 0, 1, 1.73, -999
20170125, 1.7, 1.8, 1.67, 1.7, 272500, 1.7, 0, 1, 1.7, -999
20170124, 1.62, 1.71, 1.57, 1.69, 252600, 1.69, 0, 1, 1.655, -999
20170123, 1.69, 1.69, 1.58, 1.63, 226100, 1.63, 0, 1, 1.66, -999
20170120, 1.71, 1.71, 1.65, 1.65, 96700, 1.65, 0, 1, 1.68, -999
20170119, 1.72, 1.73, 1.65, 1.66, 357900, 1.66, 0, 1, 1.69, -999
20170118, 1.8, 1.8, 1.7, 1.72, 222600, 1.72, 0, 1, 1.76, -999
20170117, 1.91, 1.94, 1.76, 1.8, 344600, 1.8, 0, 1, 1.855, -999
20170113, 1.86, 1.91, 1.82, 1.89, 192100, 1.89, 0, 1, 1.875, -999
20170112, 1.86, 1.94, 1.82, 1.86, 315900, 1.86, 0, 1, 1.86, -999
20170111, 1.83, 1.86, 1.78, 1.86, 297700, 1.86, 0, 1, 1.845, -999
20170110, 1.79, 1.81, 1.74, 1.8, 220900, 1.8, 0, 1, 1.795, -999
20170109, 1.82, 1.88, 1.76, 1.8, 193700, 1.8, 0, 1, 1.81, -999
20170106, 1.78, 1.87, 1.73, 1.79, 543100, 1.79, 0, 1, 1.785, -999
20170105, 1.78, 1.87, 1.72, 1.77, 395500, 1.77, 0, 1, 1.775, -999
20170104, 1.7, 1.8, 1.68, 1.78, 570900, 1.78, 0, 1, 1.74, -999
20170103, 1.55, 1.74, 1.52, 1.71, 481000, 1.71, 0, 1, 1.63, -999
20161230, 1.59, 1.61, 1.48, 1.54, 2043700, 1.54, 0, 1, 1.565, -999
20161229, 1.72, 1.73, 1.56, 1.57, 867900, 1.57, 0, 1, 1.645, -999
20161228, 1.7, 1.83, 1.68, 1.72, 1366900, 1.72, 0, 1, 1.71, -999
20161227, 1.7, 1.89, 1.67, 1.71, 1371300, 1.71, 0, 1, 1.705, -999
20161223, 1.78, 1.93, 1.71, 1.81, 3096800, 1.81, 0, 1, 1.795, -999
20161222, 1.47, 1.78, 1.46, 1.77, 4712300, 1.77, 0, 1, 1.62, -999
20161221, 1.18, 1.75, 1.17, 1.62, 13406100, 1.62, 0, 1, 1.4, -999
20161220, 1.1, 1.26, 1.06, 1.13, 2071900, 1.13, 0, 1, 1.115, -999
20161219, 0.95, 1.12, 0.93, 1.09, 1274000, 1.09, 0, 1, 1.02, -999
20161216, 0.89, 0.95, 0.89, 0.93, 544400, 0.93, 0, 1, 0.91, -999
20161215, 0.81, 0.92, 0.8, 0.89, 796500, 0.89, 0, 1, 0.85, -999
20161214, 0.91, 0.91, 0.8, 0.82, 887200, 0.82, 0, 1, 0.865, -999
20161213, 0.93, 0.96, 0.91, 0.91, 241800, 0.91, 0, 1, 0.92, -999
20161212, 0.99, 1, 0.92, 0.92, 610000, 0.92, 0, 1, 0.955, -999
20161209, 1.06, 1.08, 0.97, 0.98, 810400, 0.98, 0, 1, 1.02, -999
20161208, 1.06, 1.12, 1.06, 1.07, 465600, 1.07, 0, 1, 1.065, -999
20161207, 1.07, 1.1, 1.05, 1.06, 443700, 1.06, 0, 1, 1.065, -999
20161206, 0.97, 1.12, 0.97, 1.07, 398000, 1.07, 0, 1, 1.02, -999
20161205, 0.96, 1, 0.96, 0.98, 430800, 0.98, 0, 1, 0.97, -999
20161202, 1.02, 1.02, 0.93, 0.98, 638300, 0.98, 0, 1, 1, -999
20161201, 1.09, 1.09, 1.03, 1.03, 633300, 1.03, 0, 1, 1.06, -999
20161130, 1.11, 1.11, 1.06, 1.08, 574100, 1.08, 0, 1, 1.095, -999
20161129, 1.13, 1.15, 1.08, 1.09, 877000, 1.09, 0, 1, 1.11, -999
20161128, 1.13, 1.16, 1.11, 1.14, 807800, 1.14, 0, 1, 1.135, -999
20161125, 1.14, 1.15, 1.11, 1.13, 598300, 1.13, 0, 1, 1.135, -999
20161123, 1.13, 1.2, 1.12, 1.14, 801400, 1.14, 0, 1, 1.135, -999
20161122, 1.13, 1.21, 1.11, 1.14, 659900, 1.14, 0, 1, 1.135, -999
20161121, 1.2, 1.22, 1.1, 1.11, 899200, 1.11, 0, 1, 1.155, -999
20161118, 1.07, 1.23, 1.06, 1.16, 2143000, 1.16, 0, 1, 1.115, -999
20161117, 1.03, 1.11, 1.02, 1.08, 498300, 1.08, 0, 1, 1.055, -999
20161116, 1.06, 1.08, 1.01, 1.03, 612600, 1.03, 0, 1, 1.045, -999
20161115, 1.05, 1.08, 1.05, 1.06, 1194400, 1.06, 0, 1, 1.055, -999
20161114, 1.1, 1.11, 1.04, 1.05, 371500, 1.05, 0, 1, 1.075, -999
20161111, 1.09, 1.14, 1.05, 1.07, 640900, 1.07, 0, 1, 1.08, -999
20161110, 1.1, 1.18, 1.08, 1.11, 472800, 1.11, 0, 1, 1.105, -999
20161109, 1.04, 1.1, 1.04, 1.09, 288600, 1.09, 0, 1, 1.065, -999
20161108, 1.08, 1.1, 1.05, 1.06, 347200, 1.06, 0, 1, 1.07, -999
20161107, 1.1, 1.1, 1.02, 1.08, 406400, 1.08, 0, 1, 1.09, -999
20161104, 1.19, 1.28, 1.05, 1.1, 962300, 1.1, 0, 1, 1.145, -999
20161103, 1.24, 1.3, 1.12, 1.12, 276700, 1.12, 0, 1, 1.18, -999
20161102, 1.25, 1.36, 1.18, 1.23, 176600, 1.23, 0, 1, 1.24, -999
20161101, 1.24, 1.28, 1.15, 1.17, 240100, 1.17, 0, 1, 1.205, -999
20161031, 1.34, 1.34, 1.22, 1.25, 282700, 1.25, 0, 1, 1.295, -999
20161028, 1.38, 1.4, 1.33, 1.35, 100700, 1.35, 0, 1, 1.365, -999
20161027, 1.39, 1.41, 1.31, 1.37, 163500, 1.37, 0, 1, 1.38, -999
20161026, 1.34, 1.41, 1.3, 1.38, 210400, 1.38, 0, 1, 1.36, -999
20161025, 1.43, 1.45, 1.4, 1.41, 61200, 1.41, 0, 1, 1.42, -999
20161024, 1.45, 1.46, 1.43, 1.43, 122200, 1.43, 0, 1, 1.44, -999
20161021, 1.46, 1.5, 1.44, 1.45, 117100, 1.45, 0, 1, 1.455, -999
20161020, 1.44, 1.49, 1.41, 1.47, 91400, 1.47, 0, 1, 1.455, -999
20161019, 1.46, 1.5, 1.44, 1.44, 9600, 1.44, 0, 1, 1.45, -999
20161018, 1.5, 1.53, 1.44, 1.44, 352300, 1.44, 0, 1, 1.47, -999
20161017, 1.6, 1.62, 1.51, 1.53, 158900, 1.53, 0, 1, 1.565, -999
20161014, 1.58, 1.62, 1.55, 1.61, 226500, 1.61, 0, 1, 1.595, -999
20161013, 1.62, 1.65, 1.55, 1.58, 223500, 1.58, 0, 1, 1.6, -999
20161012, 1.64, 1.69, 1.61, 1.64, 181800, 1.64, 0, 1, 1.64, -999
20161011, 1.71, 1.74, 1.61, 1.65, 221100, 1.65, 0, 1, 1.68, -999
20161010, 1.75, 1.75, 1.7, 1.71, 135800, 1.71, 0, 1, 1.73, -999
20161007, 1.73, 1.74, 1.68, 1.73, 148300, 1.73, 0, 1, 1.73, -999
20161006, 1.74, 1.75, 1.7, 1.72, 263400, 1.72, 0, 1, 1.73, -999
20161005, 1.71, 1.77, 1.71, 1.74, 411600, 1.74, 0, 1, 1.725, -999
20161004, 1.65, 1.73, 1.63, 1.69, 279400, 1.69, 0, 1, 1.67, -999
20161003, 1.67, 1.73, 1.61, 1.65, 293300, 1.65, 0, 1, 1.66, -999
20160930, 1.72, 1.77, 1.64, 1.65, 393600, 1.65, 0, 1, 1.685, -999
20160929, 1.74, 1.78, 1.7, 1.72, 243300, 1.72, 0, 1, 1.73, -999
20160928, 1.82, 1.84, 1.72, 1.73, 239300, 1.73, 0, 1, 1.775, -999
20160927, 1.77, 1.79, 1.71, 1.75, 208500, 1.75, 0, 1, 1.76, -999
20160926, 1.78, 1.85, 1.74, 1.76, 293200, 1.76, 0, 1, 1.77, -999
20160923, 1.82, 1.83, 1.78, 1.8, 520000, 1.8, 0, 1, 1.81, -999
20160922, 1.9, 1.91, 1.81, 1.82, 292400, 1.82, 0, 1, 1.86, -999
20160921, 1.86, 1.92, 1.85, 1.86, 327100, 1.86, 0, 1, 1.86, -999
20160920, 1.88, 1.89, 1.85, 1.86, 245700, 1.86, 0, 1, 1.87, -999
20160919, 1.86, 1.99, 1.8, 1.87, 442700, 1.87, 0, 1, 1.865, -999
20160916, 1.81, 1.9, 1.79, 1.85, 888900, 1.85, 0, 1, 1.83, -999
20160915, 1.89, 1.89, 1.73, 1.75, 814400, 1.75, 0, 1, 1.82, -999
20160914, 1.92, 2.03, 1.88, 1.88, 778500, 1.88, 0, 1, 1.9, -999
20160913, 2.1, 2.12, 1.9, 1.96, 1011600, 1.96, 0, 1, 2.03, -999
20160912, 2.15, 2.18, 2.1, 2.16, 160600, 2.16, 0, 1, 2.155, -999
20160909, 2.22, 2.27, 2.17, 2.17, 200300, 2.17, 0, 1, 2.195, -999
20160908, 2.33, 2.38, 2.26, 2.27, 137400, 2.27, 0, 1, 2.3, -999
20160907, 2.35, 2.45, 2.31, 2.34, 158900, 2.34, 0, 1, 2.345, -999
20160906, 2.41, 2.46, 2.37, 2.39, 117500, 2.39, 0, 1, 2.4, -999
20160902, 2.28, 2.44, 2.27, 2.39, 140900, 2.39, 0, 1, 2.335, -999
20160901, 2.37, 2.44, 2.28, 2.31, 192000, 2.31, 0, 1, 2.34, -999
20160831, 2.14, 2.4, 2.13, 2.39, 816900, 2.39, 0, 1, 2.265, -999
20160830, 2.25, 2.27, 2.15, 2.16, 1334700, 2.16, 0, 1, 2.205, -999
20160829, 2.2, 2.32, 2.17, 2.25, 329600, 2.25, 0, 1, 2.225, -999
20160826, 2.15, 2.27, 2.15, 2.19, 223700, 2.19, 0, 1, 2.17, -999
20160825, 2.15, 2.26, 2.15, 2.16, 198800, 2.16, 0, 1, 2.155, -999
20160824, 2.23, 2.26, 2.16, 2.19, 163000, 2.19, 0, 1, 2.21, -999
20160823, 2.25, 2.3, 2.18, 2.2, 173000, 2.2, 0, 1, 2.225, -999
20160822, 2.29, 2.32, 2.16, 2.25, 96300, 2.25, 0, 1, 2.27, -999
20160819, 2.24, 2.33, 2.2, 2.3, 120400, 2.3, 0, 1, 2.27, -999
20160818, 2.22, 2.26, 2.15, 2.25, 181200, 2.25, 0, 1, 2.235, -999
20160817, 2.22, 2.24, 2.16, 2.22, 87100, 2.22, 0, 1, 2.22, -999
20160816, 2.24, 2.33, 2.2, 2.22, 170800, 2.22, 0, 1, 2.23, -999
20160815, 2.25, 2.33, 2.22, 2.25, 340000, 2.25, 0, 1, 2.25, -999
20160812, 2.22, 2.28, 2.15, 2.25, 177900, 2.25, 0, 1, 2.235, -999
20160811, 2.15, 2.32, 2.15, 2.21, 307100, 2.21, 0, 1, 2.18, -999
20160810, 2.1, 2.22, 2.07, 2.15, 436800, 2.15, 0, 1, 2.125, -999
20160809, 2.04, 2.2, 2.04, 2.1, 373800, 2.1, 0, 1, 2.07, -999
20160808, 1.96, 2.13, 1.96, 2.03, 418000, 2.03, 0, 1, 1.995, -999
20160805, 2.19, 2.24, 1.88, 1.97, 1452200, 1.97, 0, 1, 2.08, -999
20160804, 2.24, 2.36, 2.14, 2.33, 313600, 2.33, 0, 1, 2.285, -999
20160803, 2.18, 2.27, 2.15, 2.24, 150400, 2.24, 0, 1, 2.21, -999
20160802, 2.23, 2.29, 2.18, 2.21, 146900, 2.21, 0, 1, 2.22, -999
20160801, 2.22, 2.34, 2.19, 2.23, 185000, 2.23, 0, 1, 2.225, -999
20160729, 2.14, 2.33, 2.13, 2.22, 174600, 2.22, 0, 1, 2.18, -999
20160728, 2.28, 2.36, 2.11, 2.13, 473600, 2.13, 0, 1, 2.205, -999
20160727, 2.32, 2.38, 2.25, 2.25, 222100, 2.25, 0, 1, 2.285, -999
20160726, 2.43, 2.46, 2.3, 2.3, 251700, 2.3, 0, 1, 2.365, -999
20160725, 2.41, 2.51, 2.35, 2.41, 108100, 2.41, 0, 1, 2.41, -999
20160722, 2.45, 2.54, 2.32, 2.41, 223000, 2.41, 0, 1, 2.43, -999
20160721, 2.51, 2.69, 2.44, 2.45, 189300, 2.45, 0, 1, 2.48, -999
