Ticker: IPDN  Created on: 2/13/2017 1:33:28 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 9.7, 9.92, 9.58, 9.64, 13600, 9.64, 0, 1, 9.67, -999
20170209, 10, 10, 9.38, 9.9, 21900, 9.9, 0, 1, 9.95, -999
20170208, 9.62, 9.89, 9.52, 9.73, 5500, 9.73, 0, 1, 9.675, -999
20170207, 10.13, 10.25, 9.77, 9.91, 14900, 9.91, 0, 1, 10.02, -999
20170206, 10.04, 10.29, 10, 10.01, 8400, 10.01, 0, 1, 10.025, -999
20170203, 10.19, 10.29, 9.97, 10.25, 26500, 10.25, 0, 1, 10.22, -999
20170202, 9.58, 10.56, 9.57, 10, 57000, 10, 0, 1, 9.79, -999
20170201, 9.72, 10.17, 9.71, 9.94, 36500, 9.94, 0, 1, 9.83, -999
20170131, 9.83, 9.89, 9.77, 9.87, 1400, 9.87, 0, 1, 9.85, -999
20170130, 9.6, 10, 9.53, 9.98, 33800, 9.98, 0, 1, 9.79, -999
20170127, 9.7, 9.86, 9.35, 9.83, 52900, 9.83, 0, 1, 9.765, -999
20170126, 9.77, 9.77, 9.4, 9.7, 24000, 9.7, 0, 1, 9.735, -999
20170125, 9.71, 10.07, 9.26, 9.62, 14700, 9.62, 0, 1, 9.665, -999
20170124, 9.45, 10.12, 9.4, 9.88, 30600, 9.88, 0, 1, 9.665, -999
20170123, 9.23, 9.7, 8.64, 9.7, 41600, 9.7, 0, 1, 9.465, -999
20170120, 9.55, 9.81, 9.18, 9.22, 16800, 9.22, 0, 1, 9.385, -999
20170119, 9.64, 10, 9.45, 9.53, 18600, 9.53, 0, 1, 9.585, -999
20170118, 9.81, 9.81, 9.47, 9.56, 10400, 9.56, 0, 1, 9.685, -999
20170117, 9.8, 9.8, 9.24, 9.64, 26600, 9.64, 0, 1, 9.72, -999
20170113, 9.57, 9.57, 9.01, 9.38, 17600, 9.38, 0, 1, 9.475, -999
20170112, 9.6, 10.39, 9.13, 9.31, 45400, 9.31, 0, 1, 9.455, -999
20170111, 10.03, 10.53, 9.6, 9.69, 35400, 9.69, 0, 1, 9.86, -999
20170110, 10.08, 11.47, 9.8, 10.02, 181600, 10.02, 0, 1, 10.05, -999
20170109, 10.02, 10.52, 9.72, 10.24, 16100, 10.24, 0, 1, 10.13, -999
20170106, 10.34, 10.34, 9.82, 10.18, 25000, 10.18, 0, 1, 10.26, -999
20170105, 10.2, 10.92, 9.83, 10.24, 9300, 10.24, 0, 1, 10.22, -999
20170104, 10.33, 10.48, 10.05, 10.2, 48600, 10.2, 0, 1, 10.265, -999
20170103, 10.92, 10.96, 10.25, 10.26, 24500, 10.26, 0, 1, 10.59, -999
20161230, 11.28, 11.28, 10.03, 10.92, 54600, 10.92, 0, 1, 11.1, -999
20161229, 11.51, 11.98, 10.7, 11.28, 78800, 11.28, 0, 1, 11.395, -999
20161228, 10.49, 11.88, 10.19, 11.35, 159100, 11.35, 0, 1, 10.92, -999
20161227, 9.99, 10.45, 9.99, 10.2, 21900, 10.2, 0, 1, 10.095, -999
20161223, 10.5, 10.5, 8.84, 9.99, 56500, 9.99, 0, 1, 10.245, -999
20161222, 9.98, 10.97, 9.79, 9.99, 128100, 9.99, 0, 1, 9.985, -999
20161221, 8.7, 9.47, 8.5, 9.45, 37800, 9.45, 0, 1, 9.075, -999
20161220, 8.94, 9.1, 8.7, 8.78, 4500, 8.78, 0, 1, 8.86, -999
20161219, 8.36, 9.08, 8.3, 9.08, 7000, 9.08, 0, 1, 8.72, -999
20161216, 8.44, 8.74, 8.04, 8.36, 16000, 8.36, 0, 1, 8.4, -999
20161215, 8.47, 8.94, 7.67, 8.66, 41800, 8.66, 0, 1, 8.565, -999
20161214, 9.07, 9.07, 8.06, 8.16, 19800, 8.16, 0, 1, 8.615, -999
20161213, 9.28, 9.49, 8.81, 8.99, 74200, 8.99, 0, 1, 9.135, -999
20161212, 9.42, 9.42, 8.46, 9.41, 49800, 9.41, 0, 1, 9.415, -999
20161209, 9.75, 9.75, 8.71, 9.46, 17500, 9.46, 0, 1, 9.605, -999
20161208, 8.75, 9.76, 8.55, 9.4, 22800, 9.4, 0, 1, 9.075, -999
20161207, 9.97, 10.4, 8.14, 8.8, 62400, 8.8, 0, 1, 9.385, -999
20161206, 9.9, 10.45, 9.51, 10.15, 92600, 10.15, 0, 1, 10.025, -999
20161205, 10.06, 10.2, 9.06, 9.75, 93900, 9.75, 0, 1, 9.905, -999
20161202, 8.59, 9.97, 8.4, 9.76, 162400, 9.76, 0, 1, 9.175, -999
20161201, 8.57, 8.97, 7.99, 8.49, 71700, 8.49, 0, 1, 8.53, -999
20161130, 7.35, 8.6, 7.31, 8.36, 58600, 8.36, 0, 1, 7.855, -999
20161129, 7.95, 7.95, 7.26, 7.36, 13300, 7.36, 0, 1, 7.655, -999
20161128, 7.73, 7.97, 7.18, 7.46, 30000, 7.46, 0, 1, 7.595, -999
20161125, 8.02, 8.04, 7.73, 7.73, 13700, 7.73, 0, 1, 7.875, -999
20161123, 7.7, 7.95, 7.51, 7.87, 16500, 7.87, 0, 1, 7.785, -999
20161122, 7.73, 8.05, 7.41, 7.86, 49800, 7.86, 0, 1, 7.795, -999
20161121, 8, 8, 6.9, 7.87, 52300, 7.87, 0, 1, 7.935, -999
20161118, 7, 7.98, 6.71, 7.51, 142700, 7.51, 0, 1, 7.255, -999
