Ticker: LOGM  Created on: 2/13/2017 1:33:01 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 103.050003, 104.400002, 100.5, 101.75, 1144500, 101.75, 0, 1, 102.4000015, -999
20170209, 100.449997, 104.379997, 100.129997, 103.75, 1312700, 103.75, 0, 1, 102.0999985, -999
20170208, 99.75, 100.599998, 96.400002, 100.449997, 2771000, 100.449997, 0, 1, 100.0999985, -999
20170207, 101.550003, 102.699997, 100.25, 101.099998, 1620300, 101.099998, 0, 1, 101.3250005, -999
20170206, 101.849998, 102.949997, 99.599998, 102.75, 833400, 102.75, 0, 1, 102.299999, -999
20170203, 103, 104.5, 100.150002, 101.800003, 1117500, 101.800003, 0, 1, 102.4000015, -999
20170202, 105.599998, 106.199997, 100.099998, 103, 2239600, 103, 0, 1, 104.299999, -999
20170201, 108.199997, 108.349998, 104.599998, 106.599998, 13070100, 106.599998, 0, 1, 107.3999975, -999
20170131, 105.5, 108.550003, 103.800003, 108.099998, 3348900, 108.099998, 0, 1, 106.799999, -999
20170130, 102.650002, 106.550003, 100.800003, 106, 607100, 106, 0, 1, 104.325001, -999
20170127, 102.699997, 105.050003, 102.050003, 103.25, 479800, 103.25, 0, 1, 102.9749985, -999
20170126, 109.400002, 109.800003, 100.800003, 102.599998, 726200, 102.599998, 0, 1, 106, -999
20170125, 107.699997, 109.949997, 106.650002, 109.650002, 455800, 109.650002, 0, 1, 108.6749995, -999
20170124, 108.099998, 110, 106.349998, 106.550003, 406600, 106.550003, 0, 1, 107.3250005, -999
20170123, 107.5, 108.550003, 106.730003, 107.900002, 260900, 107.900002, 0, 1, 107.700001, -999
20170120, 106.699997, 108.599998, 106.129997, 107.449997, 343400, 107.449997, 0, 1, 107.074997, -999
20170119, 103.599998, 106.300003, 101.330002, 105.949997, 334500, 105.949997, 0, 1, 104.7749975, -999
20170118, 100.650002, 103.650002, 100.050003, 103.5, 232900, 103.5, 0, 1, 102.075001, -999
20170117, 100.300003, 100.75, 98.349998, 100.400002, 237100, 100.400002, 0, 1, 100.3500025, -999
20170113, 99.300003, 101.75, 99.300003, 100.25, 323700, 100.25, 0, 1, 99.7750015, -999
20170112, 102.050003, 102.050003, 98.599998, 98.849998, 218700, 98.849998, 0, 1, 100.4500005, -999
20170111, 100.849998, 102.75, 100.300003, 102.550003, 181300, 102.550003, 0, 1, 101.7000005, -999
20170110, 100.300003, 102.099998, 99.160004, 101.050003, 139700, 100.550006, 0, 1, 100.4250045, -999
20170109, 98.099998, 100.599998, 97.650002, 100.199997, 119800, 99.704205, 0, 1, 98.9021015, -999
20170106, 98.099998, 99, 97.379997, 98.349998, 115800, 97.863361, 0, 1, 97.9816795, -999
20170105, 99.949997, 100.599998, 97.68, 97.949997, 161500, 97.465338, 0, 1, 98.7076675, -999
20170104, 98.550003, 100.75, 98.349998, 100.599998, 178000, 100.102228, 0, 1, 99.3261155, -999
20170103, 97.599998, 99.75, 96.550003, 98, 234100, 97.515094, 0, 1, 97.557546, -999
