Ticker: LPSN  Created on: 2/13/2017 1:33:01 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 6.9, 7.15, 6.8, 7.05, 525100, 7.05, 0, 1, 6.975, -999
20170209, 5.5, 7.05, 5.43, 6.95, 1356100, 6.95, 0, 1, 6.225, -999
20170208, 6.8, 6.8, 6.45, 6.6, 286200, 6.6, 0, 1, 6.7, -999
20170207, 6.75, 7.05, 6.73, 7, 302600, 7, 0, 1, 6.875, -999
20170206, 6.9, 6.95, 6.6, 6.85, 518700, 6.85, 0, 1, 6.875, -999
20170203, 6.9, 7.05, 6.8, 7, 223000, 7, 0, 1, 6.95, -999
20170202, 6.85, 6.95, 6.7, 6.8, 201100, 6.8, 0, 1, 6.825, -999
20170201, 7.25, 7.25, 6.9, 7, 187000, 7, 0, 1, 7.125, -999
20170131, 7, 7.35, 6.95, 7.3, 265300, 7.3, 0, 1, 7.15, -999
20170130, 7.3, 7.3, 6.9, 6.95, 288300, 6.95, 0, 1, 7.125, -999
20170127, 7.4, 7.6, 7.4, 7.45, 398900, 7.45, 0, 1, 7.425, -999
20170126, 7.8, 7.85, 7.35, 7.45, 346500, 7.45, 0, 1, 7.625, -999
20170125, 8.15, 8.2, 7.9, 7.95, 625100, 7.95, 0, 1, 8.05, -999
20170124, 7.8, 8.1, 7.75, 8.05, 323400, 8.05, 0, 1, 7.925, -999
20170123, 7.65, 7.85, 7.6, 7.8, 241200, 7.8, 0, 1, 7.725, -999
20170120, 7.8, 8.03, 7.75, 7.8, 181200, 7.8, 0, 1, 7.8, -999
20170119, 7.8, 7.85, 7.7, 7.8, 157600, 7.8, 0, 1, 7.8, -999
20170118, 7.75, 7.85, 7.6, 7.8, 309800, 7.8, 0, 1, 7.775, -999
20170117, 7.65, 7.78, 7.55, 7.7, 333400, 7.7, 0, 1, 7.675, -999
20170113, 7.75, 7.9, 7.6, 7.8, 184200, 7.8, 0, 1, 7.775, -999
20170112, 7.5, 7.8, 7.35, 7.7, 216900, 7.7, 0, 1, 7.6, -999
20170111, 7.15, 7.53, 7.07, 7.5, 276900, 7.5, 0, 1, 7.325, -999
20170110, 6.95, 7.2, 6.85, 7.15, 345400, 7.15, 0, 1, 7.05, -999
20170109, 7.35, 7.4, 7.05, 7.05, 260800, 7.05, 0, 1, 7.2, -999
20170106, 7.55, 7.55, 7.43, 7.5, 99700, 7.5, 0, 1, 7.525, -999
20170105, 7.5, 7.5, 7.4, 7.5, 134700, 7.5, 0, 1, 7.5, -999
20170104, 7.4, 7.58, 7.35, 7.5, 353200, 7.5, 0, 1, 7.45, -999
20170103, 7.45, 7.53, 7.35, 7.45, 176000, 7.45, 0, 1, 7.45, -999
20161230, 7.65, 7.65, 7.48, 7.55, 130000, 7.55, 0, 1, 7.6, -999
20161229, 7.55, 7.7, 7.43, 7.7, 128100, 7.7, 0, 1, 7.625, -999
20161228, 7.6, 7.7, 7.45, 7.55, 90200, 7.55, 0, 1, 7.575, -999
20161227, 7.3, 7.7, 7.3, 7.65, 181700, 7.65, 0, 1, 7.475, -999
20161223, 7.55, 7.6, 7.4, 7.45, 136700, 7.45, 0, 1, 7.5, -999
20161222, 7.65, 7.75, 7.45, 7.55, 178900, 7.55, 0, 1, 7.6, -999
20161221, 8.05, 8.1, 7.7, 7.75, 284600, 7.75, 0, 1, 7.9, -999
20161220, 7.85, 8.3, 7.85, 8.25, 223000, 8.25, 0, 1, 8.05, -999
20161219, 7.75, 7.9, 7.7, 7.8, 231200, 7.8, 0, 1, 7.775, -999
20161216, 8.05, 8.1, 7.6, 7.75, 571000, 7.75, 0, 1, 7.9, -999
20161215, 8.05, 8.1, 7.9, 8, 308100, 8, 0, 1, 8.025, -999
20161214, 7.9, 8.1, 7.8, 8, 512400, 8, 0, 1, 7.95, -999
20161213, 8.2, 8.3, 8.1, 8.15, 334300, 8.15, 0, 1, 8.175, -999
20161212, 8.3, 8.35, 8.15, 8.15, 185500, 8.15, 0, 1, 8.225, -999
20161209, 8.35, 8.65, 8.18, 8.3, 359300, 8.3, 0, 1, 8.325, -999
20161208, 8, 8.5, 7.98, 8.45, 226700, 8.45, 0, 1, 8.225, -999
20161207, 8.15, 8.25, 7.95, 8.05, 168800, 8.05, 0, 1, 8.1, -999
20161206, 7.8, 8.32, 7.75, 8.3, 207100, 8.3, 0, 1, 8.05, -999
20161205, 7.5, 7.7, 7.45, 7.65, 330800, 7.65, 0, 1, 7.575, -999
20161202, 7.5, 7.7, 7.4, 7.5, 209400, 7.5, 0, 1, 7.5, -999
20161201, 8, 8.05, 7.45, 7.55, 262500, 7.55, 0, 1, 7.775, -999
20161130, 8.35, 8.35, 8, 8, 200500, 8, 0, 1, 8.175, -999
20161129, 8.5, 8.55, 8.28, 8.35, 244800, 8.35, 0, 1, 8.425, -999
20161128, 8.45, 8.6, 8.45, 8.55, 223600, 8.55, 0, 1, 8.5, -999
20161125, 8.6, 8.6, 8.45, 8.5, 121900, 8.5, 0, 1, 8.55, -999
20161123, 8.4, 8.6, 8.4, 8.5, 356900, 8.5, 0, 1, 8.45, -999
20161122, 8.45, 8.7, 8.45, 8.5, 531000, 8.5, 0, 1, 8.475, -999
20161121, 8.45, 8.57, 8.45, 8.5, 254300, 8.5, 0, 1, 8.475, -999
20161118, 8.55, 8.68, 8.45, 8.5, 336700, 8.5, 0, 1, 8.525, -999
20161117, 8.6, 8.75, 8.45, 8.55, 290600, 8.55, 0, 1, 8.575, -999
20161116, 8.6, 8.75, 8.5, 8.65, 324400, 8.65, 0, 1, 8.625, -999
20161115, 8.45, 8.75, 8.4, 8.6, 287300, 8.6, 0, 1, 8.525, -999
20161114, 8.55, 8.85, 8.45, 8.6, 219100, 8.6, 0, 1, 8.575, -999
20161111, 8.05, 8.55, 8, 8.55, 326200, 8.55, 0, 1, 8.3, -999
20161110, 8.2, 8.2, 7.63, 8.05, 361400, 8.05, 0, 1, 8.125, -999
20161109, 7.85, 8.25, 7.45, 8.2, 329900, 8.2, 0, 1, 8.025, -999
20161108, 8.45, 8.45, 8.15, 8.25, 273100, 8.25, 0, 1, 8.35, -999
20161107, 8.4, 8.5, 8.35, 8.45, 200300, 8.45, 0, 1, 8.425, -999
20161104, 8.25, 8.35, 8.1, 8.2, 142700, 8.2, 0, 1, 8.225, -999
20161103, 8.2, 8.35, 8.1, 8.2, 141500, 8.2, 0, 1, 8.2, -999
20161102, 8.4, 8.5, 8.1, 8.15, 164800, 8.15, 0, 1, 8.275, -999
20161101, 8.4, 8.55, 8.2, 8.3, 125200, 8.3, 0, 1, 8.35, -999
20161031, 8.55, 8.55, 8.2, 8.5, 225100, 8.5, 0, 1, 8.525, -999
20161028, 8.53, 8.64, 8.39, 8.48, 97100, 8.48, 0, 1, 8.505, -999
20161027, 8.57, 8.74, 8.47, 8.53, 133300, 8.53, 0, 1, 8.55, -999
20161026, 8.58, 8.71, 8.47, 8.49, 101900, 8.49, 0, 1, 8.535, -999
20161025, 8.5, 8.55, 8.47, 8.52, 80800, 8.52, 0, 1, 8.51, -999
20161024, 8.48, 8.71, 8.48, 8.51, 142400, 8.51, 0, 1, 8.495, -999
20161021, 8.35, 8.55, 8.19, 8.42, 200000, 8.42, 0, 1, 8.385, -999
20161020, 8.38, 8.52, 8.37, 8.44, 346800, 8.44, 0, 1, 8.41, -999
20161019, 8.34, 8.5, 8.29, 8.37, 294500, 8.37, 0, 1, 8.355, -999
20161018, 8.48, 8.48, 8.35, 8.36, 106900, 8.36, 0, 1, 8.42, -999
20161017, 8.39, 8.46, 8.37, 8.37, 84700, 8.37, 0, 1, 8.38, -999
20161014, 8.42, 8.52, 8.35, 8.36, 126100, 8.36, 0, 1, 8.39, -999
20161013, 8.39, 8.51, 8.31, 8.42, 164300, 8.42, 0, 1, 8.405, -999
20161012, 8.53, 8.58, 8.41, 8.47, 121600, 8.47, 0, 1, 8.5, -999
20161011, 8.65, 8.7, 8.43, 8.49, 100800, 8.49, 0, 1, 8.57, -999
20161010, 8.48, 8.67, 8.47, 8.65, 130100, 8.65, 0, 1, 8.565, -999
20161007, 8.55, 8.55, 8.37, 8.44, 99900, 8.44, 0, 1, 8.495, -999
20161006, 8.51, 8.62, 8.46, 8.5, 108800, 8.5, 0, 1, 8.505, -999
20161005, 8.57, 8.66, 8.54, 8.58, 124600, 8.58, 0, 1, 8.575, -999
20161004, 8.49, 8.68, 8.46, 8.51, 127600, 8.51, 0, 1, 8.5, -999
20161003, 8.38, 8.56, 8.38, 8.49, 198200, 8.49, 0, 1, 8.435, -999
20160930, 8.51, 8.6, 8.36, 8.41, 325700, 8.41, 0, 1, 8.46, -999
20160929, 8.42, 8.53, 8.4, 8.42, 148600, 8.42, 0, 1, 8.42, -999
20160928, 8.32, 8.52, 8.28, 8.5, 261900, 8.5, 0, 1, 8.41, -999
20160927, 8.31, 8.46, 8.29, 8.38, 283600, 8.38, 0, 1, 8.345, -999
20160926, 8.33, 8.4, 8.27, 8.31, 188100, 8.31, 0, 1, 8.32, -999
20160923, 8.46, 8.5, 8.3, 8.35, 199300, 8.35, 0, 1, 8.405, -999
20160922, 8.38, 8.47, 8.35, 8.45, 267400, 8.45, 0, 1, 8.415, -999
20160921, 8.13, 8.43, 8.12, 8.4, 278200, 8.4, 0, 1, 8.265, -999
20160920, 8.19, 8.22, 8.08, 8.19, 196600, 8.19, 0, 1, 8.19, -999
20160919, 8.14, 8.26, 8.02, 8.2, 199400, 8.2, 0, 1, 8.17, -999
20160916, 7.91, 8.18, 7.9, 8.15, 669200, 8.15, 0, 1, 8.03, -999
20160915, 7.58, 7.94, 7.58, 7.87, 195900, 7.87, 0, 1, 7.725, -999
20160914, 7.78, 7.83, 7.64, 7.68, 181800, 7.68, 0, 1, 7.73, -999
