Ticker: MANH  Created on: 2/13/2017 1:33:02 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 49.529999, 49.790001, 48.790001, 49, 447200, 49, 0, 1, 49.2649995, -999
20170209, 48.630001, 49.330002, 47.98, 49.27, 528000, 49.27, 0, 1, 48.9500005, -999
20170208, 48.419998, 48.959999, 47.709999, 48.259998, 614500, 48.259998, 0, 1, 48.339998, -999
20170207, 48.91, 48.950001, 48.18, 48.349998, 868600, 48.349998, 0, 1, 48.629999, -999
20170206, 48.68, 49.150002, 48.630001, 48.790001, 875400, 48.790001, 0, 1, 48.7350005, -999
20170203, 48.5, 49.189999, 47.599998, 49, 865100, 49, 0, 1, 48.75, -999
20170202, 47.349998, 48.549999, 47.130001, 48.209999, 1531800, 48.209999, 0, 1, 47.7799985, -999
20170201, 48.48, 50.740002, 46.110001, 47.689999, 3008000, 47.689999, 0, 1, 48.0849995, -999
20170131, 51.099998, 51.689999, 50.490002, 51.259998, 856800, 51.259998, 0, 1, 51.179998, -999
20170130, 50.799999, 51.470001, 50.029999, 51.23, 751900, 51.23, 0, 1, 51.0149995, -999
20170127, 50.549999, 50.98, 49.860001, 50.709999, 572500, 50.709999, 0, 1, 50.629999, -999
20170126, 51.330002, 51.900002, 50.349998, 50.880001, 650300, 50.880001, 0, 1, 51.1050015, -999
20170125, 52.48, 52.799999, 52.029999, 52.330002, 472700, 52.330002, 0, 1, 52.405001, -999
20170124, 51.080002, 52.299999, 51.009998, 52, 761100, 52, 0, 1, 51.540001, -999
20170123, 50.139999, 51.369999, 49.810001, 50.959999, 721400, 50.959999, 0, 1, 50.549999, -999
20170120, 49.91, 50.360001, 49.73, 50.110001, 542700, 50.110001, 0, 1, 50.0100005, -999
20170119, 50.610001, 50.630001, 49.619999, 49.669998, 457400, 49.669998, 0, 1, 50.1399995, -999
20170118, 50.52, 50.970001, 50.349998, 50.459999, 367100, 50.459999, 0, 1, 50.4899995, -999
20170117, 50.439999, 50.869999, 49.98, 50.419998, 505100, 50.419998, 0, 1, 50.4299985, -999
20170113, 50.330002, 50.52, 50.060001, 50.43, 367100, 50.43, 0, 1, 50.380001, -999
20170112, 49.860001, 50.279999, 49.110001, 50.119999, 377900, 50.119999, 0, 1, 49.99, -999
20170111, 49.68, 50.119999, 49.450001, 50.099998, 506300, 50.099998, 0, 1, 49.889999, -999
20170110, 49.849998, 50.82, 49.720001, 50.009998, 686100, 50.009998, 0, 1, 49.929998, -999
20170109, 51.529999, 51.66, 49.139999, 49.669998, 1455800, 49.669998, 0, 1, 50.5999985, -999
