Ticker: MOBL  Created on: 2/13/2017 1:33:11 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 4.8, 5, 4.75, 4.9, 445400, 4.9, 0, 1, 4.85, -999
20170209, 4.65, 5, 4.65, 4.9, 863500, 4.9, 0, 1, 4.775, -999
20170208, 4.7, 4.825, 4.5, 4.7, 1910700, 4.7, 0, 1, 4.7, -999
20170207, 4.4, 4.54, 4.3, 4.3, 739900, 4.3, 0, 1, 4.35, -999
20170206, 4.5, 4.6, 4.35, 4.4, 234400, 4.4, 0, 1, 4.45, -999
20170203, 4.4, 4.6, 4.3, 4.55, 393800, 4.55, 0, 1, 4.475, -999
20170202, 4.35, 4.4, 4.25, 4.4, 119400, 4.4, 0, 1, 4.375, -999
20170201, 4.35, 4.4, 4.25, 4.35, 145000, 4.35, 0, 1, 4.35, -999
20170131, 4.25, 4.375, 4.2, 4.35, 133600, 4.35, 0, 1, 4.3, -999
20170130, 4.35, 4.4, 4.2, 4.3, 187900, 4.3, 0, 1, 4.325, -999
20170127, 4.3, 4.4, 4.25, 4.35, 104800, 4.35, 0, 1, 4.325, -999
20170126, 4.45, 4.45, 4.25, 4.3, 108200, 4.3, 0, 1, 4.375, -999
20170125, 4.45, 4.5, 4.3, 4.4, 260700, 4.4, 0, 1, 4.425, -999
20170124, 4.25, 4.45, 4.15, 4.45, 456300, 4.45, 0, 1, 4.35, -999
20170123, 4.3, 4.35, 4.15, 4.25, 224400, 4.25, 0, 1, 4.275, -999
20170120, 4.15, 4.35, 4.1, 4.3, 262600, 4.3, 0, 1, 4.225, -999
20170119, 4.15, 4.2, 4.1, 4.15, 162900, 4.15, 0, 1, 4.15, -999
20170118, 4.2, 4.25, 4.1, 4.2, 229400, 4.2, 0, 1, 4.2, -999
20170117, 4.2, 4.25, 4.1, 4.2, 504500, 4.2, 0, 1, 4.2, -999
20170113, 4.15, 4.325, 4, 4.3, 349500, 4.3, 0, 1, 4.225, -999
20170112, 4.1, 4.15, 4, 4.1, 178700, 4.1, 0, 1, 4.1, -999
20170111, 4.25, 4.3, 4, 4.1, 305900, 4.1, 0, 1, 4.175, -999
20170110, 4.15, 4.32, 4, 4.25, 395000, 4.25, 0, 1, 4.2, -999
20170109, 3.95, 4.05, 3.9, 4, 296700, 4, 0, 1, 3.975, -999
20170106, 4.1, 4.1, 3.925, 4, 267800, 4, 0, 1, 4.05, -999
20170105, 4.05, 4.15, 3.95, 4.075, 156300, 4.075, 0, 1, 4.0625, -999
20170104, 4, 4.15, 3.875, 4.1, 276800, 4.1, 0, 1, 4.05, -999
20170103, 3.8, 3.975, 3.7, 3.95, 242100, 3.95, 0, 1, 3.875, -999
20161230, 3.8, 3.875, 3.65, 3.75, 357600, 3.75, 0, 1, 3.775, -999
20161229, 3.75, 3.85, 3.675, 3.8, 227300, 3.8, 0, 1, 3.775, -999
20161228, 3.95, 3.95, 3.75, 3.75, 330300, 3.75, 0, 1, 3.85, -999
20161227, 3.95, 4.05, 3.9, 3.95, 209300, 3.95, 0, 1, 3.95, -999
20161223, 4, 4, 3.9, 4, 180700, 4, 0, 1, 4, -999
20161222, 4, 4, 3.95, 4, 121100, 4, 0, 1, 4, -999
20161221, 4.05, 4.1, 3.9, 4.05, 321300, 4.05, 0, 1, 4.05, -999
20161220, 4.25, 4.3, 4.05, 4.1, 337700, 4.1, 0, 1, 4.175, -999
20161219, 4.15, 4.25, 4, 4.25, 325000, 4.25, 0, 1, 4.2, -999
20161216, 4.1, 4.2, 3.85, 4.05, 423900, 4.05, 0, 1, 4.075, -999
20161215, 4.1, 4.15, 4.025, 4.05, 174900, 4.05, 0, 1, 4.075, -999
20161214, 4.15, 4.225, 4.05, 4.15, 138100, 4.15, 0, 1, 4.15, -999
20161213, 4.2, 4.25, 4.075, 4.15, 126200, 4.15, 0, 1, 4.175, -999
20161212, 4.2, 4.3, 4.075, 4.15, 314300, 4.15, 0, 1, 4.175, -999
20161209, 4.15, 4.3, 4, 4.25, 447400, 4.25, 0, 1, 4.2, -999
20161208, 3.75, 4.25, 3.75, 4.2, 349100, 4.2, 0, 1, 3.975, -999
20161207, 3.7, 3.9, 3.7, 3.75, 435100, 3.75, 0, 1, 3.725, -999
20161206, 3.85, 3.9, 3.7, 3.75, 434100, 3.75, 0, 1, 3.8, -999
20161205, 3.75, 3.9, 3.7, 3.8, 354100, 3.8, 0, 1, 3.775, -999
20161202, 4, 4.05, 3.7, 3.75, 473400, 3.75, 0, 1, 3.875, -999
20161201, 4.1, 4.25, 3.95, 4.05, 245400, 4.05, 0, 1, 4.075, -999
20161130, 4.1, 4.25, 4.075, 4.15, 180400, 4.15, 0, 1, 4.125, -999
20161129, 4.05, 4.25, 4, 4.15, 242400, 4.15, 0, 1, 4.1, -999
20161128, 4.2, 4.3, 4, 4.1, 604100, 4.1, 0, 1, 4.15, -999
20161125, 4.3, 4.35, 4.1, 4.25, 143800, 4.25, 0, 1, 4.275, -999
20161123, 4.3, 4.35, 4.15, 4.3, 295000, 4.3, 0, 1, 4.3, -999
20161122, 4.5, 4.5, 4.125, 4.35, 267300, 4.35, 0, 1, 4.425, -999
20161121, 4.35, 4.4, 4.15, 4.3, 244000, 4.3, 0, 1, 4.325, -999
20161118, 4.3, 4.5, 4.2, 4.4, 424600, 4.4, 0, 1, 4.35, -999
20161117, 4.15, 4.4, 4.1, 4.3, 557000, 4.3, 0, 1, 4.225, -999
20161116, 4.05, 4.1, 3.95, 4.1, 208500, 4.1, 0, 1, 4.075, -999
20161115, 4.05, 4.1, 3.85, 4.1, 313100, 4.1, 0, 1, 4.075, -999
20161114, 3.95, 4.2, 3.9, 4.1, 571300, 4.1, 0, 1, 4.025, -999
20161111, 3.75, 3.975, 3.741, 3.95, 464800, 3.95, 0, 1, 3.85, -999
20161110, 3.6, 3.8, 3.55, 3.8, 401000, 3.8, 0, 1, 3.7, -999
20161109, 3.75, 3.8, 3.575, 3.65, 647500, 3.65, 0, 1, 3.7, -999
20161108, 3.65, 3.85, 3.6, 3.8, 345200, 3.8, 0, 1, 3.725, -999
20161107, 3.65, 3.8, 3.625, 3.7, 334700, 3.7, 0, 1, 3.675, -999
20161104, 3.45, 3.775, 3.405, 3.6, 521500, 3.6, 0, 1, 3.525, -999
20161103, 3.65, 3.65, 3.5, 3.5, 225000, 3.5, 0, 1, 3.575, -999
20161102, 3.5, 3.65, 3.36, 3.6, 337600, 3.6, 0, 1, 3.55, -999
20161101, 3.6, 3.65, 3.45, 3.55, 429600, 3.55, 0, 1, 3.575, -999
20161031, 3.6, 3.675, 3.45, 3.65, 448200, 3.65, 0, 1, 3.625, -999
20161028, 3.65, 3.9, 3.4, 3.55, 593000, 3.55, 0, 1, 3.6, -999
20161027, 3.75, 3.9, 3.65, 3.8, 665800, 3.8, 0, 1, 3.775, -999
20161026, 3.65, 3.85, 3.51, 3.7, 512100, 3.7, 0, 1, 3.675, -999
20161025, 3.75, 3.8, 3.55, 3.7, 355200, 3.7, 0, 1, 3.725, -999
20161024, 3.95, 4.04, 3.7, 3.8, 260400, 3.8, 0, 1, 3.875, -999
20161021, 3.85, 4.05, 3.784, 3.89, 445600, 3.89, 0, 1, 3.87, -999
20161020, 3.83, 4.06, 3.73, 3.9, 1542200, 3.9, 0, 1, 3.865, -999
20161019, 3.59, 3.89, 3.59, 3.85, 569300, 3.85, 0, 1, 3.72, -999
20161018, 3.72, 3.81, 3.57, 3.6, 332000, 3.6, 0, 1, 3.66, -999
20161017, 3.59, 3.75, 3.5, 3.71, 240800, 3.71, 0, 1, 3.65, -999
20161014, 3.73, 3.76, 3.57, 3.63, 717800, 3.63, 0, 1, 3.68, -999
20161013, 3.55, 3.88, 3.49, 3.69, 1231800, 3.69, 0, 1, 3.62, -999
20161012, 3.73, 4, 3.47, 3.57, 997300, 3.57, 0, 1, 3.65, -999
20161011, 3.63, 3.77, 3.451, 3.7, 2966200, 3.7, 0, 1, 3.665, -999
20161010, 3, 3.68, 2.875, 3.57, 5626200, 3.57, 0, 1, 3.285, -999
20161007, 2.71, 2.76, 2.602, 2.69, 327600, 2.69, 0, 1, 2.7, -999
20161006, 2.73, 2.82, 2.65, 2.72, 135700, 2.72, 0, 1, 2.725, -999
20161005, 2.67, 2.78, 2.64, 2.76, 893600, 2.76, 0, 1, 2.715, -999
20161004, 2.7, 2.73, 2.63, 2.68, 464500, 2.68, 0, 1, 2.69, -999
20161003, 2.74, 2.77, 2.67, 2.71, 223800, 2.71, 0, 1, 2.725, -999
20160930, 2.72, 2.78, 2.64, 2.75, 509900, 2.75, 0, 1, 2.735, -999
20160929, 2.69, 2.77, 2.6, 2.72, 405600, 2.72, 0, 1, 2.705, -999
20160928, 2.76, 2.78, 2.695, 2.7, 228600, 2.7, 0, 1, 2.73, -999
20160927, 2.68, 2.74, 2.65, 2.73, 138400, 2.73, 0, 1, 2.705, -999
20160926, 2.74, 2.78, 2.66, 2.69, 390600, 2.69, 0, 1, 2.715, -999
20160923, 2.67, 2.78, 2.65, 2.74, 378500, 2.74, 0, 1, 2.705, -999
20160922, 2.62, 2.68, 2.58, 2.65, 321400, 2.65, 0, 1, 2.635, -999
20160921, 2.57, 2.675, 2.56, 2.575, 486800, 2.575, 0, 1, 2.5725, -999
20160920, 2.65, 2.69, 2.6, 2.6, 317100, 2.6, 0, 1, 2.625, -999
