Ticker: MSTR  Created on: 2/13/2017 1:33:11 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 190.919998, 190.919998, 188.119995, 189.350006, 37100, 189.350006, 0, 1, 190.135002, -999
20170209, 186.179993, 190.5, 186.179993, 190.009995, 52400, 190.009995, 0, 1, 188.094994, -999
20170208, 188.210007, 189.720001, 185.600006, 187.490005, 45100, 187.490005, 0, 1, 187.850006, -999
20170207, 190.679993, 191, 187.309998, 187.990005, 51500, 187.990005, 0, 1, 189.334999, -999
20170206, 194.309998, 194.630005, 189.869995, 190.300003, 63300, 190.300003, 0, 1, 192.3050005, -999
20170203, 192.669998, 196.300003, 192.669998, 195.479996, 84600, 195.479996, 0, 1, 194.074997, -999
20170202, 196.910004, 197.580002, 190.020004, 191.5, 141300, 191.5, 0, 1, 194.205002, -999
20170201, 198.229996, 199.029999, 191.509995, 196.509995, 167800, 196.509995, 0, 1, 197.3699955, -999
20170131, 198.699997, 202.490005, 196.410004, 201.300003, 111600, 201.300003, 0, 1, 200, -999
20170130, 198.580002, 200, 196.669998, 199.460007, 78900, 199.460007, 0, 1, 199.0200045, -999
20170127, 200.720001, 202.889999, 199.190002, 199.580002, 69300, 199.580002, 0, 1, 200.1500015, -999
20170126, 203.529999, 203.529999, 199.240005, 201.300003, 48400, 201.300003, 0, 1, 202.415001, -999
20170125, 202.580002, 204.889999, 201.410004, 203.300003, 84800, 203.300003, 0, 1, 202.9400025, -999
20170124, 202.070007, 205.960007, 199, 202.960007, 102200, 202.960007, 0, 1, 202.515007, -999
20170123, 201.919998, 205.919998, 200.809998, 205.100006, 65300, 205.100006, 0, 1, 203.510002, -999
20170120, 198.75, 202.820007, 197.869995, 201.550003, 102400, 201.550003, 0, 1, 200.1500015, -999
20170119, 202, 202, 198.75, 199, 78700, 199, 0, 1, 200.5, -999
20170118, 201.410004, 204.089996, 200.419998, 202.509995, 56500, 202.509995, 0, 1, 201.9599995, -999
20170117, 202.490005, 202.490005, 200.080002, 200.919998, 48500, 200.919998, 0, 1, 201.7050015, -999
20170113, 201.580002, 204.220001, 201.119995, 203.800003, 47500, 203.800003, 0, 1, 202.6900025, -999
20170112, 200.059998, 201.160004, 197.619995, 200.470001, 58700, 200.470001, 0, 1, 200.2649995, -999
20170111, 197.539993, 202.440002, 197.539993, 201, 92200, 201, 0, 1, 199.2699965, -999
20170110, 199.669998, 200.960007, 197.910004, 200.779999, 66900, 200.779999, 0, 1, 200.2249985, -999
20170109, 199.690002, 200.889999, 196.669998, 198.630005, 73100, 198.630005, 0, 1, 199.1600035, -999
20170106, 200.240005, 201.860001, 198.789993, 199.169998, 74900, 199.169998, 0, 1, 199.7050015, -999
20170105, 197.660004, 202.740005, 197.660004, 199.610001, 109300, 199.610001, 0, 1, 198.6350025, -999
20170104, 197.649994, 198.660004, 197.039993, 197.940002, 120100, 197.940002, 0, 1, 197.794998, -999
20170103, 198.550003, 200.350006, 197.020004, 197.839996, 107700, 197.839996, 0, 1, 198.1949995, -999
20161230, 198.669998, 199.399994, 195.899994, 197.399994, 63400, 197.399994, 0, 1, 198.034996, -999
20161229, 201.009995, 201.009995, 196.990005, 198.5, 44400, 198.5, 0, 1, 199.7549975, -999
20161228, 200.199997, 203.190002, 196.360001, 197.600006, 69300, 197.600006, 0, 1, 198.9000015, -999
20161227, 200.649994, 206.979996, 200.059998, 201.479996, 74700, 201.479996, 0, 1, 201.064995, -999
20161223, 196.649994, 201.660004, 196.649994, 201.220001, 50600, 201.220001, 0, 1, 198.9349975, -999
20161222, 200.809998, 200.809998, 195.360001, 196.179993, 81100, 196.179993, 0, 1, 198.4949955, -999
20161221, 207.279999, 207.279999, 198.690002, 200.309998, 88900, 200.309998, 0, 1, 203.7949985, -999
20161220, 203.460007, 206.020004, 200.330002, 203.889999, 138200, 203.889999, 0, 1, 203.675003, -999
20161219, 200.800003, 203.570007, 199.119995, 203.179993, 74100, 203.179993, 0, 1, 201.989998, -999
20161216, 202.550003, 204.550003, 199.889999, 200.399994, 105100, 200.399994, 0, 1, 201.4749985, -999
20161215, 199.300003, 203.970001, 197.029999, 201.550003, 95000, 201.550003, 0, 1, 200.425003, -999
20161214, 204.690002, 205.600006, 198.080002, 199.589996, 110000, 199.589996, 0, 1, 202.139999, -999
20161213, 203.259995, 205.070007, 200.990005, 204.440002, 93100, 204.440002, 0, 1, 203.8499985, -999
20161212, 200.720001, 203.740005, 196.240005, 201.869995, 92500, 201.869995, 0, 1, 201.294998, -999
20161209, 201.479996, 202.070007, 198.509995, 200.970001, 107300, 200.970001, 0, 1, 201.2249985, -999
20161208, 198, 205.139999, 198, 200.979996, 108700, 200.979996, 0, 1, 199.489998, -999
20161207, 197.699997, 199.449997, 195.830002, 198.449997, 57400, 198.449997, 0, 1, 198.074997, -999
20161206, 196.009995, 198.740005, 194.649994, 198.570007, 98800, 198.570007, 0, 1, 197.290001, -999
20161205, 192.779999, 195.960007, 192.559998, 195.759995, 76400, 195.759995, 0, 1, 194.269997, -999
20161202, 191.25, 192.860001, 188.089996, 191.940002, 62300, 191.940002, 0, 1, 191.595001, -999
20161201, 194.080002, 196.639999, 190.779999, 191.600006, 121800, 191.600006, 0, 1, 192.840004, -999
20161130, 194.850006, 195.429993, 192.020004, 194.029999, 123700, 194.029999, 0, 1, 194.4400025, -999
20161129, 195.660004, 196.990005, 185.020004, 195.229996, 64300, 195.229996, 0, 1, 195.445, -999
20161128, 197.270004, 199.270004, 193.389999, 195.029999, 93200, 195.029999, 0, 1, 196.1500015, -999
20161125, 199.160004, 199.699997, 197.330002, 197.850006, 39500, 197.850006, 0, 1, 198.505005, -999
20161123, 198.5, 198.5, 195.580002, 198.210007, 54000, 198.210007, 0, 1, 198.3550035, -999
20161122, 197.279999, 198.899994, 195.389999, 198.570007, 72600, 198.570007, 0, 1, 197.925003, -999
20161121, 196, 198.460007, 195.649994, 196.929993, 71700, 196.929993, 0, 1, 196.4649965, -999
20161118, 198.410004, 199.139999, 194.899994, 196.679993, 97100, 196.679993, 0, 1, 197.5449985, -999
20161117, 196.830002, 197.729996, 194.570007, 197.470001, 63900, 197.470001, 0, 1, 197.1500015, -999
20161116, 193.580002, 196.830002, 192.020004, 196.479996, 89300, 196.479996, 0, 1, 195.029999, -999
20161115, 192.070007, 194.899994, 190.75, 193.100006, 82700, 193.100006, 0, 1, 192.5850065, -999
20161114, 198.789993, 198.789993, 190.830002, 192.110001, 172800, 192.110001, 0, 1, 195.449997, -999
20161111, 193.199997, 198, 192.570007, 196.75, 166100, 196.75, 0, 1, 194.9749985, -999
20161110, 193.899994, 198.119995, 189.479996, 193.160004, 337200, 193.160004, 0, 1, 193.529999, -999
20161109, 187.809998, 193.759995, 186.440002, 191.880005, 260200, 191.880005, 0, 1, 189.8450015, -999
20161108, 192.490005, 194.020004, 189.100006, 190, 282100, 190, 0, 1, 191.2450025, -999
20161107, 192.979996, 195.380005, 190.990005, 192.309998, 320200, 192.309998, 0, 1, 192.644997, -999
20161104, 188.619995, 192.339996, 186.539993, 190.160004, 161000, 190.160004, 0, 1, 189.3899995, -999
