Ticker: MTBC  Created on: 2/13/2017 1:33:02 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 0.711, 0.81, 0.711, 0.81, 3700, 0.81, 0, 1, 0.7605, -999
20170209, 0.76, 0.76, 0.735, 0.75, 1400, 0.75, 0, 1, 0.755, -999
20170208, 0.7, 0.72, 0.7, 0.7, 23500, 0.7, 0, 1, 0.7, -999
20170207, 0.75, 0.784, 0.721, 0.721, 12000, 0.721, 0, 1, 0.7355, -999
20170206, 0.72, 0.729, 0.72, 0.729, 1000, 0.729, 0, 1, 0.7245, -999
20170203, 0.691, 0.74, 0.691, 0.74, 14200, 0.74, 0, 1, 0.7155, -999
20170202, 0.8, 0.8, 0.69, 0.72, 4200, 0.72, 0, 1, 0.76, -999
20170201, 0.74, 0.8, 0.71, 0.755, 6300, 0.755, 0, 1, 0.7475, -999
20170131, 0.77, 0.77, 0.74, 0.75, 7200, 0.75, 0, 1, 0.76, -999
20170130, 0.8, 0.81, 0.8, 0.81, 600, 0.81, 0, 1, 0.805, -999
20170127, 0.77, 0.81, 0.77, 0.81, 5800, 0.81, 0, 1, 0.79, -999
20170126, 0.81, 0.81, 0.8, 0.81, 2800, 0.81, 0, 1, 0.81, -999
20170125, 0.8, 0.817, 0.8, 0.8, 5700, 0.8, 0, 1, 0.8, -999
20170124, 0.85, 0.85, 0.771, 0.8, 13100, 0.8, 0, 1, 0.825, -999
20170123, 0.84, 0.843, 0.8, 0.82, 9500, 0.82, 0, 1, 0.83, -999
20170120, 0.75, 0.928, 0.735, 0.75, 64800, 0.75, 0, 1, 0.75, -999
20170119, 0.8, 0.87, 0.723, 0.855, 24700, 0.855, 0, 1, 0.8275, -999
20170118, 0.72, 0.77, 0.72, 0.74, 8100, 0.74, 0, 1, 0.73, -999
20170117, 0.7, 0.72, 0.672, 0.72, 1300, 0.72, 0, 1, 0.71, -999
20170113, 0.71, 0.75, 0.7, 0.719, 5300, 0.719, 0, 1, 0.7145, -999
20170112, 0.714, 0.77, 0.714, 0.77, 500, 0.77, 0, 1, 0.742, -999
20170111, 0.701, 0.77, 0.7, 0.77, 2200, 0.77, 0, 1, 0.7355, -999
20170110, 0.75, 0.75, 0.704, 0.72, 2800, 0.72, 0, 1, 0.735, -999
20170109, 0.75, 0.77, 0.69, 0.75, 23100, 0.75, 0, 1, 0.75, -999
20170106, 0.67, 0.765, 0.67, 0.75, 33300, 0.75, 0, 1, 0.71, -999
20170105, 0.725, 0.725, 0.64, 0.66, 38900, 0.66, 0, 1, 0.6925, -999
20170104, 0.67, 0.76, 0.65, 0.76, 2900, 0.76, 0, 1, 0.715, -999
20170103, 0.723, 0.751, 0.66, 0.66, 35300, 0.66, 0, 1, 0.6915, -999
20161230, 0.765, 0.765, 0.725, 0.725, 69400, 0.725, 0, 1, 0.745, -999
20161229, 0.79, 0.79, 0.776, 0.78, 22300, 0.78, 0, 1, 0.785, -999
20161228, 0.8, 0.8, 0.79, 0.79, 18400, 0.79, 0, 1, 0.795, -999
20161227, 0.872, 0.872, 0.82, 0.87, 5700, 0.87, 0, 1, 0.871, -999
20161223, 0.83, 0.83, 0.81, 0.83, 2400, 0.83, 0, 1, 0.83, -999
20161222, 0.8, 0.84, 0.8, 0.84, 200, 0.84, 0, 1, 0.82, -999
20161221, 0.81, 0.87, 0.755, 0.8, 32500, 0.8, 0, 1, 0.805, -999
20161220, 0.83, 0.83, 0.83, 0.83, 1000, 0.83, 0, 1, 0.83, -999
20161219, 0.84, 0.853, 0.8, 0.83, 1500, 0.83, 0, 1, 0.835, -999
20161216, 0.8, 0.8, 0.8, 0.8, 200, 0.8, 0, 1, 0.8, -999
20161215, 0.82, 0.84, 0.77, 0.837, 13800, 0.837, 0, 1, 0.8285, -999
20161214, 0.815, 0.825, 0.81, 0.825, 5800, 0.825, 0, 1, 0.82, -999
20161213, 0.8, 0.83, 0.8, 0.83, 5400, 0.83, 0, 1, 0.815, -999
20161212, 0.82, 0.86, 0.82, 0.84, 6700, 0.84, 0, 1, 0.83, -999
20161209, 0.86, 0.87, 0.805, 0.85, 8000, 0.85, 0, 1, 0.855, -999
20161208, 0.82, 0.92, 0.82, 0.85, 8300, 0.85, 0, 1, 0.835, -999
20161207, 0.83, 0.9, 0.82, 0.86, 6900, 0.86, 0, 1, 0.845, -999
20161206, 0.823, 0.84, 0.81, 0.82, 5600, 0.82, 0, 1, 0.8215, -999
20161205, 0.86, 0.89, 0.757, 0.86, 29100, 0.86, 0, 1, 0.86, -999
20161202, 0.91, 0.91, 0.875, 0.89, 2900, 0.89, 0, 1, 0.9, -999
20161201, 0.9, 0.96, 0.85, 0.86, 4100, 0.86, 0, 1, 0.88, -999
20161130, 0.861, 0.895, 0.861, 0.88, 1700, 0.88, 0, 1, 0.8705, -999
20161129, 0.85, 0.93, 0.85, 0.93, 5100, 0.93, 0, 1, 0.89, -999
20161128, 0.88, 0.96, 0.85, 0.96, 11300, 0.96, 0, 1, 0.92, -999
20161125, 0.92, 0.92, 0.86, 0.906, 2700, 0.906, 0, 1, 0.913, -999
20161123, 0.87, 0.93, 0.87, 0.93, 2200, 0.93, 0, 1, 0.9, -999
20161122, 0.956, 0.956, 0.89, 0.9, 7200, 0.9, 0, 1, 0.928, -999
20161121, 0.88, 0.95, 0.88, 0.91, 14100, 0.91, 0, 1, 0.895, -999
20161118, 0.92, 0.96, 0.88, 0.89, 10000, 0.89, 0, 1, 0.905, -999
20161117, 0.89, 0.945, 0.88, 0.945, 6100, 0.945, 0, 1, 0.9175, -999
