Ticker: NATI  Created on: 2/13/2017 1:33:11 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 31.65, 31.83, 31.52, 31.76, 320100, 31.76, 0, 1, 31.705, -999
20170209, 31.23, 31.68, 30.889999, 31.639999, 299300, 31.639999, 0, 1, 31.4349995, -999
20170208, 31.26, 31.379999, 31.139999, 31.34, 600200, 31.13, 0, 1, 31.195, -999
20170207, 31.610001, 31.66, 31.25, 31.43, 344800, 31.219397, 0, 1, 31.414699, -999
20170206, 31.719999, 31.969999, 31.530001, 31.57, 374200, 31.358459, 0, 1, 31.539229, -999
20170203, 31.709999, 31.959999, 31.549999, 31.879999, 353500, 31.666381, 0, 1, 31.68819, -999
20170202, 31.450001, 31.65, 30.559999, 31.629999, 534400, 31.418056, 0, 1, 31.4340285, -999
20170201, 31.43, 31.690001, 31.309999, 31.629999, 515700, 31.418056, 0, 1, 31.424028, -999
20170131, 31.059999, 31.51, 31.059999, 31.42, 496700, 31.209464, 0, 1, 31.1347315, -999
20170130, 31, 31.35, 30.85, 31.26, 602900, 31.050537, 0, 1, 31.0252685, -999
20170127, 29.799999, 31.290001, 29.799999, 31.110001, 1012900, 30.901542, 0, 1, 30.3507705, -999
20170126, 32, 32.049999, 31.66, 31.73, 489100, 31.517387, 0, 1, 31.7586935, -999
20170125, 31.860001, 31.99, 31.74, 31.969999, 513100, 31.755778, 0, 1, 31.8078895, -999
20170124, 31.049999, 31.66, 31, 31.639999, 439700, 31.427989, 0, 1, 31.238994, -999
20170123, 30.85, 31.02, 30.639999, 31.02, 441600, 30.812145, 0, 1, 30.8310725, -999
20170120, 30.57, 30.93, 30.57, 30.91, 358600, 30.702881, 0, 1, 30.6364405, -999
20170119, 30.700001, 30.91, 30.290001, 30.57, 404100, 30.365159, 0, 1, 30.53258, -999
20170118, 30.5, 30.969999, 30.49, 30.709999, 207200, 30.504221, 0, 1, 30.5021105, -999
20170117, 30.969999, 31.1, 30.309999, 30.370001, 487800, 30.166501, 0, 1, 30.56825, -999
20170113, 31.07, 31.290001, 30.780001, 31.129999, 233100, 30.921407, 0, 1, 30.9957035, -999
20170112, 31.280001, 31.280001, 30.59, 30.93, 424700, 30.722748, 0, 1, 31.0013745, -999
20170111, 31.33, 31.43, 31.200001, 31.389999, 181300, 31.179665, 0, 1, 31.2548325, -999
20170110, 31.200001, 31.42, 31.08, 31.280001, 465100, 31.070403, 0, 1, 31.135202, -999
20170109, 31.16, 31.51, 30.9, 31.17, 732600, 30.961139, 0, 1, 31.0605695, -999
20170106, 31.18, 31.360001, 31.059999, 31.16, 624900, 30.951206, 0, 1, 31.065603, -999
20170105, 31.23, 31.610001, 31.15, 31.26, 626900, 31.050537, 0, 1, 31.1402685, -999
20170104, 31, 31.639999, 30.99, 31.4, 643500, 31.189598, 0, 1, 31.094799, -999
20170103, 30.959999, 31.110001, 30.629999, 30.9, 296600, 30.692948, 0, 1, 30.8264735, -999
20161230, 31, 31.08, 30.709999, 30.82, 446700, 30.613484, 0, 1, 30.806742, -999
20161229, 30.75, 30.99, 30.66, 30.969999, 319100, 30.762479, 0, 1, 30.7562395, -999
20161228, 31.200001, 31.24, 30.59, 30.610001, 266700, 30.404892, 0, 1, 30.8024465, -999
20161227, 30.82, 31.24, 30.690001, 31.08, 391700, 30.871742, 0, 1, 30.845871, -999
20161223, 30.5, 30.879999, 30.450001, 30.860001, 307500, 30.653217, 0, 1, 30.5766085, -999
