Ticker: NTWK  Created on: 2/13/2017 1:33:12 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 5.05, 5.05, 4.75, 4.95, 58600, 4.95, 0, 1, 5, -999
20170209, 5.05, 5.13, 5.03, 5.1, 48200, 5.1, 0, 1, 5.075, -999
20170208, 5.05, 5.05, 5, 5.05, 8500, 5.05, 0, 1, 5.05, -999
20170207, 5.1, 5.1, 5.05, 5.05, 11400, 5.05, 0, 1, 5.075, -999
20170206, 5.05, 5.15, 5.05, 5.1, 16300, 5.1, 0, 1, 5.075, -999
20170203, 5.11, 5.15, 5.05, 5.08, 8600, 5.08, 0, 1, 5.095, -999
20170202, 5.15, 5.2, 5, 5.2, 14000, 5.2, 0, 1, 5.175, -999
20170201, 5.1, 5.15, 5, 5.15, 27000, 5.15, 0, 1, 5.125, -999
20170131, 5.1, 5.15, 5.05, 5.15, 7300, 5.15, 0, 1, 5.125, -999
20170130, 5, 5.15, 5, 5.15, 6800, 5.15, 0, 1, 5.075, -999
20170127, 5.13, 5.13, 5.05, 5.06, 14000, 5.06, 0, 1, 5.095, -999
20170126, 5.2, 5.25, 5, 5.2, 44700, 5.2, 0, 1, 5.2, -999
20170125, 5.19, 5.22, 5.19, 5.22, 3300, 5.22, 0, 1, 5.205, -999
20170124, 5.25, 5.25, 5.2, 5.23, 10300, 5.23, 0, 1, 5.24, -999
20170123, 5.25, 5.26, 5, 5.25, 52000, 5.25, 0, 1, 5.25, -999
20170120, 5.3, 5.35, 5.2, 5.3, 4700, 5.3, 0, 1, 5.3, -999
20170119, 5.1, 5.3, 5.1, 5.25, 251100, 5.25, 0, 1, 5.175, -999
20170118, 5.2, 5.2, 4.9, 5.2, 98700, 5.2, 0, 1, 5.2, -999
20170117, 5.2, 5.25, 5.15, 5.2, 9100, 5.2, 0, 1, 5.2, -999
20170113, 5.2, 5.3, 5.2, 5.2, 35300, 5.2, 0, 1, 5.2, -999
20170112, 5.2, 5.25, 5.15, 5.2, 37000, 5.2, 0, 1, 5.2, -999
20170111, 5.15, 5.2, 5.15, 5.2, 1000, 5.2, 0, 1, 5.175, -999
20170110, 5.07, 5.35, 5.07, 5.2, 75000, 5.2, 0, 1, 5.135, -999
20170109, 5.25, 5.28, 5.1, 5.1, 6300, 5.1, 0, 1, 5.175, -999
20170106, 5.21, 5.35, 5.21, 5.3, 500, 5.3, 0, 1, 5.255, -999
20170105, 5.35, 5.35, 5.27, 5.35, 4300, 5.35, 0, 1, 5.35, -999
20170104, 5.32, 5.4, 5.3, 5.3, 15600, 5.3, 0, 1, 5.31, -999
20170103, 5.15, 5.55, 5.1, 5.4, 59500, 5.4, 0, 1, 5.275, -999
20161230, 5.15, 5.25, 5.15, 5.2, 9200, 5.2, 0, 1, 5.175, -999
20161229, 5.15, 5.2, 5.15, 5.2, 13700, 5.2, 0, 1, 5.175, -999
20161228, 5.13, 5.2, 5.1, 5.15, 18100, 5.15, 0, 1, 5.14, -999
20161227, 5.2, 5.2, 5.1, 5.1, 15200, 5.1, 0, 1, 5.15, -999
20161223, 5.18, 5.25, 5.15, 5.25, 5500, 5.25, 0, 1, 5.215, -999
20161222, 5.13, 5.25, 5.13, 5.2, 5700, 5.2, 0, 1, 5.165, -999
20161221, 5, 5.1, 5, 5.1, 30500, 5.1, 0, 1, 5.05, -999
20161220, 5.05, 5.1, 5, 5, 42900, 5, 0, 1, 5.025, -999
20161219, 5.3, 5.35, 5.1, 5.1, 43200, 5.1, 0, 1, 5.2, -999
20161216, 5.35, 5.4, 5.3, 5.3, 13800, 5.3, 0, 1, 5.325, -999
20161215, 5.42, 5.45, 5.35, 5.4, 6000, 5.4, 0, 1, 5.41, -999
20161214, 5.35, 5.45, 5.35, 5.35, 2400, 5.35, 0, 1, 5.35, -999
20161213, 5.51, 5.55, 5.35, 5.45, 18300, 5.45, 0, 1, 5.48, -999
20161212, 5.45, 5.55, 5.45, 5.5, 4900, 5.5, 0, 1, 5.475, -999
20161209, 5.5, 5.5, 5.4, 5.4, 5000, 5.4, 0, 1, 5.45, -999
20161208, 5.5, 5.5, 5.4, 5.4, 20100, 5.4, 0, 1, 5.45, -999
20161207, 5.35, 5.43, 5.3, 5.4, 31800, 5.4, 0, 1, 5.375, -999
20161206, 5.35, 5.4, 5.35, 5.35, 11100, 5.35, 0, 1, 5.35, -999
20161205, 5.4, 5.52, 5.4, 5.4, 28200, 5.4, 0, 1, 5.4, -999
20161202, 5.5, 5.6, 5.4, 5.45, 47600, 5.45, 0, 1, 5.475, -999
20161201, 5.75, 5.75, 5.55, 5.55, 27900, 5.55, 0, 1, 5.65, -999
20161130, 5.8, 5.8, 5.65, 5.7, 25500, 5.7, 0, 1, 5.75, -999
20161129, 5.65, 5.7, 5.63, 5.7, 35200, 5.7, 0, 1, 5.675, -999
20161128, 5.7, 5.7, 5.6, 5.6, 3600, 5.6, 0, 1, 5.65, -999
20161125, 5.7, 5.7, 5.55, 5.65, 8900, 5.65, 0, 1, 5.675, -999
20161123, 5.65, 5.7, 5.6, 5.7, 7300, 5.7, 0, 1, 5.675, -999
20161122, 5.7, 5.7, 5.6, 5.7, 22500, 5.7, 0, 1, 5.7, -999
20161121, 5.65, 5.75, 5.6, 5.65, 14100, 5.65, 0, 1, 5.65, -999
20161118, 5.8, 5.85, 5.75, 5.8, 23800, 5.8, 0, 1, 5.8, -999
20161117, 5.6, 5.75, 5.5, 5.75, 18900, 5.75, 0, 1, 5.675, -999
20161116, 5.4, 5.6, 5.37, 5.6, 72400, 5.6, 0, 1, 5.5, -999
20161115, 5.6, 5.6, 5.25, 5.25, 60200, 5.25, 0, 1, 5.425, -999
20161114, 5.9, 5.9, 5.2, 5.5, 196400, 5.5, 0, 1, 5.7, -999
20161111, 6, 6.2, 6, 6.15, 99500, 6.15, 0, 1, 6.075, -999
20161110, 6, 6.05, 6, 6.03, 23000, 6.03, 0, 1, 6.015, -999
20161109, 6.05, 6.15, 5.9, 6, 92800, 6, 0, 1, 6.025, -999
20161108, 6.3, 6.3, 6.2, 6.2, 18500, 6.2, 0, 1, 6.25, -999
20161107, 6.3, 6.4, 6.3, 6.4, 8900, 6.4, 0, 1, 6.35, -999
20161104, 6.22, 6.4, 6.05, 6.3, 46000, 6.3, 0, 1, 6.26, -999
20161103, 6.2, 6.25, 6.2, 6.2, 6700, 6.2, 0, 1, 6.2, -999
20161102, 6.4, 6.4, 6.2, 6.2, 17700, 6.2, 0, 1, 6.3, -999
20161101, 6.45, 6.45, 6.3, 6.35, 21900, 6.35, 0, 1, 6.4, -999
