Ticker: NUAN  Created on: 2/13/2017 1:33:12 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 16.700001, 16.799999, 16.6, 16.690001, 2429000, 16.690001, 0, 1, 16.695001, -999
20170209, 16.700001, 16.85, 16.58, 16.74, 6144400, 16.74, 0, 1, 16.7200005, -999
20170208, 16, 16.74, 15.97, 16.6, 24958300, 16.6, 0, 1, 16.3, -999
20170207, 15.95, 16, 15.67, 15.89, 3760400, 15.89, 0, 1, 15.92, -999
20170206, 15.96, 16.01, 15.83, 15.95, 2366400, 15.95, 0, 1, 15.955, -999
20170203, 16, 16.09, 15.91, 15.97, 2796100, 15.97, 0, 1, 15.985, -999
20170202, 15.96, 16.030001, 15.85, 15.99, 2165000, 15.99, 0, 1, 15.975, -999
20170201, 15.94, 16, 15.78, 15.98, 1848500, 15.98, 0, 1, 15.96, -999
20170131, 15.78, 15.96, 15.71, 15.86, 2680000, 15.86, 0, 1, 15.82, -999
20170130, 15.84, 16, 15.66, 15.84, 1596700, 15.84, 0, 1, 15.84, -999
20170127, 15.97, 16.040001, 15.85, 15.96, 1540700, 15.96, 0, 1, 15.965, -999
20170126, 16.09, 16.24, 15.87, 15.97, 2258000, 15.97, 0, 1, 16.03, -999
20170125, 16.07, 16.34, 15.89, 16, 6233200, 16, 0, 1, 16.035, -999
20170124, 15.75, 16.07, 15.71, 15.95, 1678200, 15.95, 0, 1, 15.85, -999
20170123, 15.78, 15.89, 15.66, 15.73, 1819200, 15.73, 0, 1, 15.755, -999
20170120, 15.77, 15.95, 15.64, 15.74, 1651900, 15.74, 0, 1, 15.755, -999
20170119, 15.46, 15.88, 15.37, 15.77, 2850100, 15.77, 0, 1, 15.615, -999
20170118, 15.5, 15.63, 15.37, 15.44, 2729300, 15.44, 0, 1, 15.47, -999
20170117, 15.57, 15.75, 15.52, 15.57, 2104300, 15.57, 0, 1, 15.57, -999
20170113, 15.54, 15.68, 15.46, 15.57, 1494700, 15.57, 0, 1, 15.555, -999
20170112, 15.64, 15.65, 15.35, 15.53, 1920300, 15.53, 0, 1, 15.585, -999
20170111, 15.45, 15.67, 15.45, 15.64, 2897900, 15.64, 0, 1, 15.545, -999
20170110, 16.1, 16.120001, 15.41, 15.45, 5417600, 15.45, 0, 1, 15.775, -999
20170109, 15.52, 16.09, 15.44, 16.01, 4169200, 16.01, 0, 1, 15.765, -999
20170106, 15.56, 15.84, 15.44, 15.54, 4341500, 15.54, 0, 1, 15.55, -999
20170105, 15.2, 15.46, 15.11, 15.16, 3372400, 15.16, 0, 1, 15.18, -999
20170104, 15.1, 15.4, 14.97, 15.2, 3073700, 15.2, 0, 1, 15.15, -999
20170103, 14.9, 15.17, 14.85, 15.05, 2044500, 15.05, 0, 1, 14.975, -999
20161230, 14.88, 14.92, 14.7, 14.9, 2409100, 14.9, 0, 1, 14.89, -999
20161229, 14.85, 14.99, 14.71, 14.86, 1574100, 14.86, 0, 1, 14.855, -999
20161228, 15.12, 15.21, 14.79, 14.83, 1660800, 14.83, 0, 1, 14.975, -999
20161227, 14.9, 15.19, 14.9, 15.17, 1323900, 15.17, 0, 1, 15.035, -999
20161223, 14.92, 14.99, 14.76, 14.9, 1502200, 14.9, 0, 1, 14.91, -999
20161222, 15.11, 15.13, 14.87, 14.94, 3216300, 14.94, 0, 1, 15.025, -999
20161221, 15.32, 15.39, 15.16, 15.18, 1935600, 15.18, 0, 1, 15.25, -999
20161220, 15.1, 15.33, 15.08, 15.3, 3041900, 15.3, 0, 1, 15.2, -999
20161219, 15.11, 15.37, 15.05, 15.06, 2263000, 15.06, 0, 1, 15.085, -999
20161216, 15.25, 15.32, 15.07, 15.14, 3181300, 15.14, 0, 1, 15.195, -999
20161215, 15.45, 15.69, 15.25, 15.25, 3218900, 15.25, 0, 1, 15.35, -999
20161214, 15.51, 15.65, 15.33, 15.33, 1828100, 15.33, 0, 1, 15.42, -999
20161213, 15.51, 15.78, 15.47, 15.59, 3065200, 15.59, 0, 1, 15.55, -999
20161212, 15.55, 15.69, 15.27, 15.55, 3294700, 15.55, 0, 1, 15.55, -999
20161209, 15.52, 15.72, 15.39, 15.64, 1906200, 15.64, 0, 1, 15.58, -999
20161208, 15.45, 15.85, 15.37, 15.57, 3340700, 15.57, 0, 1, 15.51, -999
20161207, 15.59, 15.69, 15.29, 15.38, 5530500, 15.38, 0, 1, 15.485, -999
20161206, 15.79, 15.97, 15.47, 15.66, 5142700, 15.66, 0, 1, 15.725, -999
20161205, 16, 16.139999, 15.88, 15.97, 3183700, 15.97, 0, 1, 15.985, -999
20161202, 15.77, 16.129999, 15.77, 15.97, 2759200, 15.97, 0, 1, 15.87, -999
20161201, 16.15, 16.299999, 15.72, 15.84, 3597100, 15.84, 0, 1, 15.995, -999
20161130, 16.33, 16.48, 16.09, 16.209999, 4271200, 16.209999, 0, 1, 16.2699995, -999
20161129, 16.690001, 16.75, 16.280001, 16.32, 3561800, 16.32, 0, 1, 16.5050005, -999
20161128, 16.75, 16.85, 16.66, 16.74, 2535600, 16.74, 0, 1, 16.745, -999
20161125, 16.51, 16.969999, 16.51, 16.84, 1017900, 16.84, 0, 1, 16.675, -999
20161123, 16.719999, 16.940001, 16.629999, 16.860001, 3568500, 16.860001, 0, 1, 16.79, -999
20161122, 16.43, 16.879999, 16.41, 16.790001, 4070000, 16.790001, 0, 1, 16.6100005, -999
20161121, 17, 17.040001, 16.35, 16.52, 5374200, 16.52, 0, 1, 16.76, -999
20161118, 16.67, 17.469999, 16.610001, 16.91, 13182900, 16.91, 0, 1, 16.79, -999
20161117, 15.62, 15.62, 15.25, 15.55, 3439700, 15.55, 0, 1, 15.585, -999
20161116, 15.29, 15.49, 15.16, 15.44, 2622500, 15.44, 0, 1, 15.365, -999
20161115, 14.37, 15.37, 14.37, 15.33, 4538900, 15.33, 0, 1, 14.85, -999
20161114, 14.4, 14.58, 14.26, 14.38, 1946600, 14.38, 0, 1, 14.39, -999
20161111, 14.14, 14.38, 14.04, 14.34, 1525500, 14.34, 0, 1, 14.24, -999
20161110, 14.11, 14.31, 13.88, 14.15, 1823100, 14.15, 0, 1, 14.13, -999
20161109, 13.73, 14.03, 13.61, 13.98, 1926300, 13.98, 0, 1, 13.855, -999
20161108, 13.96, 14.14, 13.84, 14.03, 1165600, 14.03, 0, 1, 13.995, -999
20161107, 13.61, 14.04, 13.61, 14.03, 1868400, 14.03, 0, 1, 13.82, -999
20161104, 13.61, 13.66, 13.44, 13.45, 1304600, 13.45, 0, 1, 13.53, -999
20161103, 13.7, 13.84, 13.6, 13.62, 1023200, 13.62, 0, 1, 13.66, -999
20161102, 13.84, 14, 13.67, 13.71, 1205900, 13.71, 0, 1, 13.775, -999
20161101, 14.02, 14.05, 13.75, 13.88, 1857200, 13.88, 0, 1, 13.95, -999
20161031, 14.19, 14.23, 13.89, 14.02, 1890000, 14.02, 0, 1, 14.105, -999
20161028, 14.22, 14.46, 14.12, 14.19, 1961900, 14.19, 0, 1, 14.205, -999
20161027, 14.35, 14.53, 14.19, 14.28, 4003400, 14.28, 0, 1, 14.315, -999
20161026, 13.72, 14.35, 13.67, 14.32, 3933100, 14.32, 0, 1, 14.02, -999
20161025, 13.82, 13.94, 13.64, 13.76, 1646400, 13.76, 0, 1, 13.79, -999
20161024, 13.9, 13.99, 13.78, 13.91, 2401700, 13.91, 0, 1, 13.905, -999
20161021, 13.73, 13.89, 13.64, 13.85, 1356300, 13.85, 0, 1, 13.79, -999
20161020, 13.86, 13.95, 13.67, 13.72, 1854300, 13.72, 0, 1, 13.79, -999
20161019, 13.77, 13.89, 13.64, 13.86, 1598500, 13.86, 0, 1, 13.815, -999
20161018, 14, 14.04, 13.78, 13.79, 1201600, 13.79, 0, 1, 13.895, -999
20161017, 13.93, 13.97, 13.79, 13.87, 1318500, 13.87, 0, 1, 13.9, -999
20161014, 13.86, 14.05, 13.8, 13.92, 1990200, 13.92, 0, 1, 13.89, -999
20161013, 13.66, 13.82, 13.62, 13.77, 1779200, 13.77, 0, 1, 13.715, -999
20161012, 13.88, 13.88, 13.75, 13.79, 1770500, 13.79, 0, 1, 13.835, -999
20161011, 14.39, 14.39, 13.91, 13.93, 1958600, 13.93, 0, 1, 14.16, -999
20161010, 14.75, 14.8, 14.4, 14.4, 1071500, 14.4, 0, 1, 14.575, -999
20161007, 14.52, 14.68, 14.49, 14.63, 1336900, 14.63, 0, 1, 14.575, -999
20161006, 14.6, 14.66, 14.29, 14.54, 1855100, 14.54, 0, 1, 14.57, -999
20161005, 14.53, 14.67, 14.44, 14.58, 1143400, 14.58, 0, 1, 14.555, -999
20161004, 14.45, 14.57, 14.41, 14.5, 856400, 14.5, 0, 1, 14.475, -999
20161003, 14.45, 14.59, 14.29, 14.44, 1271000, 14.44, 0, 1, 14.445, -999
20160930, 14.41, 14.63, 14.34, 14.5, 1468100, 14.5, 0, 1, 14.455, -999
20160929, 14.52, 14.54, 14.3, 14.38, 1413700, 14.38, 0, 1, 14.45, -999
20160928, 14.48, 14.55, 14.28, 14.47, 1776600, 14.47, 0, 1, 14.475, -999
20160927, 14.41, 14.54, 14.34, 14.51, 1304000, 14.51, 0, 1, 14.46, -999
20160926, 14.52, 14.54, 14.37, 14.39, 1700000, 14.39, 0, 1, 14.455, -999
20160923, 14.64, 14.68, 14.5, 14.56, 1297900, 14.56, 0, 1, 14.6, -999
20160922, 14.68, 14.86, 14.64, 14.66, 2064300, 14.66, 0, 1, 14.67, -999
20160921, 14.02, 14.6, 13.95, 14.59, 3344800, 14.59, 0, 1, 14.305, -999
20160920, 14.13, 14.3, 13.74, 13.9, 3608500, 13.9, 0, 1, 14.015, -999
20160919, 14.21, 14.3, 14.04, 14.11, 1481700, 14.11, 0, 1, 14.16, -999
20160916, 14.27, 14.39, 14.02, 14.15, 4477700, 14.15, 0, 1, 14.21, -999
20160915, 14.43, 14.54, 14.26, 14.39, 3411100, 14.39, 0, 1, 14.41, -999
20160914, 14.58, 14.63, 14.44, 14.46, 1918900, 14.46, 0, 1, 14.52, -999
20160913, 14.66, 14.77, 14.46, 14.6, 2441800, 14.6, 0, 1, 14.63, -999
20160912, 14.61, 14.87, 14.54, 14.83, 2539400, 14.83, 0, 1, 14.72, -999
20160909, 14.73, 14.88, 14.65, 14.73, 2473000, 14.73, 0, 1, 14.73, -999
20160908, 14.8, 14.96, 14.79, 14.85, 3589400, 14.85, 0, 1, 14.825, -999
20160907, 14.84, 14.9, 14.81, 14.87, 1571500, 14.87, 0, 1, 14.855, -999
20160906, 14.95, 14.98, 14.8, 14.81, 2198700, 14.81, 0, 1, 14.88, -999
20160902, 14.64, 14.93, 14.63, 14.9, 4413600, 14.9, 0, 1, 14.77, -999
20160901, 14.55, 14.62, 14.47, 14.6, 2223200, 14.6, 0, 1, 14.575, -999
20160831, 14.5, 14.58, 14.42, 14.58, 2530900, 14.58, 0, 1, 14.54, -999
20160830, 14.38, 14.5, 14.37, 14.49, 1902500, 14.49, 0, 1, 14.435, -999
20160829, 14.48, 14.5, 14.39, 14.42, 1101400, 14.42, 0, 1, 14.45, -999
20160826, 14.52, 14.57, 14.34, 14.44, 1919700, 14.44, 0, 1, 14.48, -999
20160825, 14.47, 14.56, 14.39, 14.53, 1566800, 14.53, 0, 1, 14.5, -999
20160824, 14.58, 14.68, 14.44, 14.49, 2069700, 14.49, 0, 1, 14.535, -999
20160823, 14.59, 14.68, 14.48, 14.57, 2112600, 14.57, 0, 1, 14.58, -999
20160822, 14.61, 14.71, 14.44, 14.48, 2537100, 14.48, 0, 1, 14.545, -999
20160819, 14.7, 14.72, 14.62, 14.63, 2195300, 14.63, 0, 1, 14.665, -999
20160818, 14.6, 14.79, 14.55, 14.7, 4330700, 14.7, 0, 1, 14.65, -999
20160817, 14.68, 14.77, 14.41, 14.58, 3894900, 14.58, 0, 1, 14.63, -999
20160816, 14.92, 15.06, 14.81, 14.86, 2245800, 14.86, 0, 1, 14.89, -999
20160815, 14.94, 15.05, 14.9, 14.93, 1245300, 14.93, 0, 1, 14.935, -999
20160812, 14.59, 14.96, 14.56, 14.87, 2662400, 14.87, 0, 1, 14.73, -999
20160811, 14.64, 14.75, 14.51, 14.61, 2738400, 14.61, 0, 1, 14.625, -999
20160810, 14.63, 14.74, 14.57, 14.6, 3162900, 14.6, 0, 1, 14.615, -999
20160809, 15.48, 15.75, 14.49, 14.62, 11641100, 14.62, 0, 1, 15.05, -999
