Ticker: PCTY  Created on: 2/13/2017 1:33:12 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 35.110001, 35.790001, 34.740002, 35.669998, 369500, 35.669998, 0, 1, 35.3899995, -999
20170209, 33.82, 35.459999, 33.82, 35.110001, 268200, 35.110001, 0, 1, 34.4650005, -999
20170208, 33.669998, 33.963001, 33.389999, 33.549999, 245400, 33.549999, 0, 1, 33.6099985, -999
20170207, 34.049999, 34.220001, 33.700001, 33.889999, 365200, 33.889999, 0, 1, 33.969999, -999
20170206, 34.970001, 35.279999, 33.970001, 34, 471300, 34, 0, 1, 34.4850005, -999
20170203, 34.77, 35.900002, 33.740002, 34.98, 1872100, 34.98, 0, 1, 34.875, -999
20170202, 30.1, 30.799999, 29.92, 29.92, 765900, 29.92, 0, 1, 30.01, -999
20170201, 31.07, 31.565001, 29.690001, 30.32, 549700, 30.32, 0, 1, 30.695, -999
20170131, 30.700001, 30.860001, 29.93, 30.860001, 395800, 30.860001, 0, 1, 30.780001, -999
20170130, 31.59, 31.59, 30.370001, 30.82, 336200, 30.82, 0, 1, 31.205, -999
20170127, 31.5, 31.82, 30.825001, 31.77, 536500, 31.77, 0, 1, 31.635, -999
20170126, 32.200001, 32.23, 31, 31.280001, 366800, 31.280001, 0, 1, 31.740001, -999
20170125, 32.689999, 33.169998, 32.150002, 32.169998, 247800, 32.169998, 0, 1, 32.4299985, -999
20170124, 32.91, 33.259998, 32.049999, 32.389999, 360800, 32.389999, 0, 1, 32.6499995, -999
20170123, 33.639999, 33.955002, 32.650002, 32.900002, 304000, 32.900002, 0, 1, 33.2700005, -999
20170120, 33.169998, 34, 32.974998, 33.799999, 369600, 33.799999, 0, 1, 33.4849985, -999
20170119, 32.799999, 33.380001, 32.799999, 33.099998, 365800, 33.099998, 0, 1, 32.9499985, -999
20170118, 33.060001, 33.080002, 32.459999, 32.740002, 351300, 32.740002, 0, 1, 32.9000015, -999
20170117, 33.459999, 33.5, 32.529999, 32.98, 419800, 32.98, 0, 1, 33.2199995, -999
20170113, 33.299999, 33.91, 32.799999, 33.59, 380400, 33.59, 0, 1, 33.4449995, -999
20170112, 33.240002, 33.380001, 32.459999, 33.209999, 281000, 33.209999, 0, 1, 33.2250005, -999
20170111, 32.369999, 33.584999, 32.130001, 33.369999, 353200, 33.369999, 0, 1, 32.869999, -999
20170110, 32.290001, 32.490002, 31.540001, 32.349998, 318100, 32.349998, 0, 1, 32.3199995, -999
20170109, 31.440001, 33.16, 31.440001, 32.380001, 634800, 32.380001, 0, 1, 31.910001, -999
20170106, 30.940001, 31.42, 30.6, 31.34, 333800, 31.34, 0, 1, 31.1400005, -999
20170105, 30.780001, 31.25, 30.549999, 30.93, 305100, 30.93, 0, 1, 30.8550005, -999
20170104, 30.08, 31.290001, 30.08, 30.780001, 428500, 30.780001, 0, 1, 30.4300005, -999
20170103, 30.450001, 30.68, 30.030001, 30.09, 295400, 30.09, 0, 1, 30.2700005, -999
20161230, 30.58, 30.58, 29.860001, 30.01, 232800, 30.01, 0, 1, 30.295, -999
20161229, 30.469999, 30.809999, 29.84, 30.51, 283000, 30.51, 0, 1, 30.4899995, -999
20161228, 30.959999, 30.959999, 30.290001, 30.459999, 164400, 30.459999, 0, 1, 30.709999, -999
20161227, 30.75, 31.1, 30.66, 30.98, 123300, 30.98, 0, 1, 30.865, -999
20161223, 30.59, 31.02, 30.59, 30.75, 107000, 30.75, 0, 1, 30.67, -999
20161222, 30.84, 31.030001, 30.18, 30.559999, 197500, 30.559999, 0, 1, 30.6999995, -999
20161221, 31.469999, 31.485001, 30.85, 30.950001, 203400, 30.950001, 0, 1, 31.21, -999
20161220, 31.530001, 32.080002, 31.110001, 31.43, 156600, 31.43, 0, 1, 31.4800005, -999
20161219, 31.110001, 31.51, 30.73, 31.440001, 205700, 31.440001, 0, 1, 31.275001, -999
20161216, 30.719999, 31.110001, 30.530001, 30.969999, 649100, 30.969999, 0, 1, 30.844999, -999
20161215, 30.68, 30.98, 30.27, 30.73, 383700, 30.73, 0, 1, 30.705, -999
20161214, 31.43, 32.25, 30.629999, 30.67, 336700, 30.67, 0, 1, 31.05, -999
20161213, 32.290001, 33.040001, 30.74, 31.41, 670100, 31.41, 0, 1, 31.8500005, -999
20161212, 32.950001, 33.834, 31.84, 32.169998, 441400, 32.169998, 0, 1, 32.5599995, -999
20161209, 32.669998, 33.299, 32.419998, 32.860001, 439600, 32.860001, 0, 1, 32.7649995, -999
20161208, 33.029999, 33.27, 32.48, 32.560001, 511100, 32.560001, 0, 1, 32.795, -999
20161207, 31.690001, 33.139999, 31.454, 32.939999, 406900, 32.939999, 0, 1, 32.315, -999
20161206, 31.809999, 31.809999, 31.059999, 31.67, 396400, 31.67, 0, 1, 31.7399995, -999
20161205, 32.119999, 32.599998, 31.200001, 31.58, 682200, 31.58, 0, 1, 31.8499995, -999
