Ticker: PRGS  Created on: 2/13/2017 1:33:13 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 28.83, 28.959999, 28.559999, 28.809999, 237200, 28.809999, 0, 1, 28.8199995, -999
20170209, 28.209999, 28.67, 28.209999, 28.610001, 257400, 28.610001, 0, 1, 28.41, -999
20170208, 27.870001, 28.200001, 27.66, 28.17, 277400, 28.17, 0, 1, 28.0200005, -999
20170207, 28.09, 28.219999, 27.85, 27.92, 175400, 27.92, 0, 1, 28.005, -999
20170206, 27.9, 28.07, 27.76, 27.98, 150400, 27.98, 0, 1, 27.94, -999
20170203, 27.950001, 28.059999, 27.84, 27.9, 361100, 27.9, 0, 1, 27.9250005, -999
20170202, 27.76, 27.77, 27.440001, 27.690001, 188200, 27.690001, 0, 1, 27.7250005, -999
20170201, 28.219999, 28.24, 27.58, 27.780001, 204900, 27.780001, 0, 1, 28, -999
20170131, 27.870001, 28.129999, 27.75, 28.02, 193200, 28.02, 0, 1, 27.9450005, -999
20170130, 28.200001, 28.33, 27.82, 27.91, 171000, 27.91, 0, 1, 28.0550005, -999
20170127, 28.559999, 28.6, 28.370001, 28.450001, 104700, 28.450001, 0, 1, 28.505, -999
20170126, 28.879999, 28.879999, 28.51, 28.559999, 117500, 28.559999, 0, 1, 28.719999, -999
20170125, 29.049999, 29.17, 28.629999, 28.879999, 182200, 28.879999, 0, 1, 28.964999, -999
20170124, 28.52, 28.959999, 28.42, 28.75, 239500, 28.75, 0, 1, 28.635, -999
20170123, 28.17, 28.76, 28.17, 28.48, 285300, 28.48, 0, 1, 28.325, -999
20170120, 28.02, 28.290001, 28.01, 28.18, 329800, 28.18, 0, 1, 28.1, -999
20170119, 28.1, 28.290001, 27.82, 28.02, 350500, 28.02, 0, 1, 28.06, -999
20170118, 27.629999, 28.370001, 27.59, 28.07, 491300, 28.07, 0, 1, 27.8499995, -999
20170117, 29.459999, 30.280001, 27.16, 27.629999, 1372300, 27.629999, 0, 1, 28.544999, -999
20170113, 31.68, 32.41, 31.68, 32.25, 343800, 32.25, 0, 1, 31.965, -999
20170112, 31.639999, 31.690001, 31.07, 31.67, 203300, 31.67, 0, 1, 31.6549995, -999
20170111, 31.360001, 31.92, 31.360001, 31.73, 302700, 31.73, 0, 1, 31.5450005, -999
20170110, 31.299999, 31.469999, 31.24, 31.32, 202000, 31.32, 0, 1, 31.3099995, -999
20170109, 31.299999, 31.719999, 31.17, 31.290001, 165300, 31.290001, 0, 1, 31.295, -999
20170106, 31.690001, 31.709999, 31.43, 31.530001, 143700, 31.530001, 0, 1, 31.610001, -999
20170105, 32.139999, 32.32, 31.459999, 31.68, 253700, 31.68, 0, 1, 31.9099995, -999
20170104, 31.950001, 32.32, 31.809999, 32.139999, 291700, 32.139999, 0, 1, 32.045, -999
20170103, 32, 32.400002, 31.780001, 32.049999, 155700, 32.049999, 0, 1, 32.0249995, -999
20161230, 32.299999, 32.34, 31.620001, 31.93, 129800, 31.93, 0, 1, 32.1149995, -999
20161229, 32.259998, 32.470001, 32.080002, 32.279999, 92200, 32.279999, 0, 1, 32.2699985, -999
20161228, 32.450001, 32.450001, 32.009998, 32.130001, 69800, 32.130001, 0, 1, 32.290001, -999
20161227, 32.130001, 32.439999, 31.870001, 32.389999, 71600, 32.389999, 0, 1, 32.26, -999
20161223, 31.91, 32.169998, 31.77, 32.150002, 100200, 32.150002, 0, 1, 32.030001, -999
20161222, 32.259998, 32.450001, 31.690001, 31.969999, 100900, 31.969999, 0, 1, 32.1149985, -999
20161221, 32, 32.41, 31.84, 32.299999, 116700, 32.299999, 0, 1, 32.1499995, -999
20161220, 31.98, 32.16, 31.629999, 32.119999, 123100, 32.119999, 0, 1, 32.0499995, -999
20161219, 31.42, 31.879999, 31.040001, 31.82, 178900, 31.82, 0, 1, 31.62, -999
20161216, 31.530001, 31.530001, 31.190001, 31.33, 734600, 31.33, 0, 1, 31.4300005, -999
20161215, 31.450001, 31.780001, 31.129999, 31.379999, 241800, 31.379999, 0, 1, 31.415, -999
20161214, 31.379999, 31.780001, 31.02, 31.370001, 131700, 31.370001, 0, 1, 31.375, -999
20161213, 31.5, 31.92, 31.07, 31.379999, 192600, 31.379999, 0, 1, 31.4399995, -999
