Ticker: QADA  Created on: 2/13/2017 1:33:14 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 29.700001, 29.75, 29.35, 29.65, 9800, 29.65, 0, 1, 29.6750005, -999
20170209, 29.049999, 29.6, 29.049999, 29.5, 13100, 29.5, 0, 1, 29.2749995, -999
20170208, 29.549999, 29.549999, 28.799999, 29.1, 14600, 29.1, 0, 1, 29.3249995, -999
20170207, 29.75, 30, 29.35, 29.75, 30700, 29.75, 0, 1, 29.75, -999
20170206, 29.5, 29.6, 29.200001, 29.5, 15600, 29.5, 0, 1, 29.5, -999
20170203, 29.6, 29.6, 29.35, 29.5, 10800, 29.5, 0, 1, 29.55, -999
20170202, 29.35, 29.6, 29.200001, 29.299999, 36300, 29.299999, 0, 1, 29.3249995, -999
20170201, 29.15, 30.049999, 28.700001, 29.25, 99400, 29.25, 0, 1, 29.2, -999
20170131, 29.049999, 29.25, 28.700001, 28.9, 18300, 28.9, 0, 1, 28.9749995, -999
20170130, 29.450001, 29.65, 29.200001, 29.25, 26200, 29.25, 0, 1, 29.3500005, -999
20170127, 30.25, 30.799999, 29.6, 29.799999, 23400, 29.799999, 0, 1, 30.0249995, -999
20170126, 30.549999, 30.65, 30.1, 30.4, 22100, 30.4, 0, 1, 30.4749995, -999
20170125, 29.700001, 30.700001, 29.700001, 30.6, 53300, 30.6, 0, 1, 30.1500005, -999
20170124, 29.02, 29.75, 29, 29.75, 25600, 29.75, 0, 1, 29.385, -999
20170123, 29.360001, 29.5, 28.799999, 29.15, 39700, 29.15, 0, 1, 29.2550005, -999
20170120, 29.049999, 29.65, 29.049999, 29.4, 30600, 29.4, 0, 1, 29.2249995, -999
20170119, 29.299999, 29.549999, 29.059999, 29.1, 28500, 29.1, 0, 1, 29.1999995, -999
20170118, 29.549999, 29.75, 29.35, 29.5, 52900, 29.5, 0, 1, 29.5249995, -999
20170117, 30.35, 30.549999, 29.549999, 29.549999, 18200, 29.549999, 0, 1, 29.9499995, -999
20170113, 30, 30.950001, 29.950001, 30.5, 33700, 30.5, 0, 1, 30.25, -999
20170112, 29.799999, 30.299999, 29.35, 30.25, 24100, 30.25, 0, 1, 30.0249995, -999
20170111, 30.25, 30.700001, 29.5, 29.85, 63000, 29.85, 0, 1, 30.05, -999
20170110, 30.549999, 30.9, 30.25, 30.4, 21800, 30.4, 0, 1, 30.4749995, -999
20170109, 30.35, 30.85, 30.129999, 30.549999, 36100, 30.549999, 0, 1, 30.4499995, -999
