Ticker: QLYS  Created on: 2/13/2017 1:33:15 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 34.950001, 34.950001, 33.700001, 34, 441500, 34, 0, 1, 34.4750005, -999
20170209, 32.450001, 35.950001, 32.400002, 35, 1103500, 35, 0, 1, 33.7250005, -999
20170208, 36.599998, 37.25, 36, 36.849998, 494400, 36.849998, 0, 1, 36.724998, -999
20170207, 36.900002, 37.529999, 36.650002, 36.75, 363000, 36.75, 0, 1, 36.825001, -999
20170206, 37.25, 37.25, 36.650002, 36.900002, 230700, 36.900002, 0, 1, 37.075001, -999
20170203, 36.25, 37.450001, 36.150002, 37.25, 271100, 37.25, 0, 1, 36.75, -999
20170202, 36, 36.5, 35.799999, 36.25, 181400, 36.25, 0, 1, 36.125, -999
20170201, 36.299999, 36.75, 35.799999, 36.200001, 205000, 36.200001, 0, 1, 36.25, -999
20170131, 36.349998, 36.5, 35.700001, 35.900002, 311800, 35.900002, 0, 1, 36.125, -999
20170130, 35.75, 36.650002, 35.299999, 36.400002, 287800, 36.400002, 0, 1, 36.075001, -999
20170127, 35.849998, 35.950001, 35.5, 35.849998, 145400, 35.849998, 0, 1, 35.849998, -999
20170126, 36.349998, 36.5, 35.450001, 35.650002, 218100, 35.650002, 0, 1, 36, -999
20170125, 36, 37, 35.650002, 36.200001, 428400, 36.200001, 0, 1, 36.1000005, -999
20170124, 33.900002, 35.060001, 33.849998, 35, 319300, 35, 0, 1, 34.450001, -999
20170123, 33.950001, 34.049999, 33.5, 33.849998, 158500, 33.849998, 0, 1, 33.8999995, -999
20170120, 33.799999, 34.049999, 33.599998, 34, 202800, 34, 0, 1, 33.8999995, -999
20170119, 33.700001, 33.849998, 33.400002, 33.549999, 133800, 33.549999, 0, 1, 33.625, -999
20170118, 33.849998, 33.849998, 33.200001, 33.650002, 117900, 33.650002, 0, 1, 33.75, -999
20170117, 34, 34.099998, 33.450001, 33.700001, 185100, 33.700001, 0, 1, 33.8500005, -999
20170113, 33.25, 34.349998, 33.25, 34.150002, 155700, 34.150002, 0, 1, 33.700001, -999
20170112, 33.75, 33.75, 32.599998, 33.200001, 150500, 33.200001, 0, 1, 33.4750005, -999
20170111, 33.349998, 34.25, 33.299999, 33.900002, 292300, 33.900002, 0, 1, 33.625, -999
20170110, 33.200001, 33.700001, 32.900002, 33.549999, 216500, 33.549999, 0, 1, 33.375, -999
20170109, 33.150002, 33.5, 32.700001, 33.049999, 349000, 33.049999, 0, 1, 33.1000005, -999
20170106, 33.099998, 33.599998, 32.5, 33.049999, 237400, 33.049999, 0, 1, 33.0749985, -999
20170105, 32.849998, 33.150002, 32.450001, 32.950001, 261700, 32.950001, 0, 1, 32.8999995, -999
20170104, 32.599998, 33.25, 32.330002, 32.950001, 278900, 32.950001, 0, 1, 32.7749995, -999
20170103, 31.85, 32.549999, 31.799999, 32.549999, 273200, 32.549999, 0, 1, 32.1999995, -999
20161230, 31.950001, 31.950001, 31.450001, 31.65, 166700, 31.65, 0, 1, 31.8000005, -999
20161229, 31.9, 32.299999, 31.549999, 31.85, 164900, 31.85, 0, 1, 31.875, -999
20161228, 32.400002, 32.650002, 31.549999, 31.85, 235800, 31.85, 0, 1, 32.125001, -999
20161227, 31.6, 32.5, 31.6, 32.299999, 187100, 32.299999, 0, 1, 31.9499995, -999
20161223, 31.15, 31.700001, 30.610001, 31.700001, 195600, 31.700001, 0, 1, 31.4250005, -999
20161222, 32.400002, 32.650002, 30.950001, 31.200001, 279600, 31.200001, 0, 1, 31.8000015, -999
20161221, 33.700001, 33.919998, 32.200001, 32.400002, 335700, 32.400002, 0, 1, 33.0500015, -999
20161220, 33.5, 33.900002, 33.200001, 33.799999, 427800, 33.799999, 0, 1, 33.6499995, -999
20161219, 33.450001, 34.349998, 33.099998, 33.450001, 203500, 33.450001, 0, 1, 33.450001, -999
20161216, 32.950001, 33.25, 32.5, 33.25, 733700, 33.25, 0, 1, 33.1000005, -999
20161215, 32.700001, 33.549999, 31.950001, 32.799999, 260400, 32.799999, 0, 1, 32.75, -999
20161214, 33.150002, 33.849998, 32.549999, 32.650002, 246200, 32.650002, 0, 1, 32.900002, -999
20161213, 32.799999, 33.549999, 32.549999, 33.200001, 328300, 33.200001, 0, 1, 33, -999
20161212, 32.950001, 33.049999, 32.25, 32.650002, 195700, 32.650002, 0, 1, 32.8000015, -999
20161209, 33.150002, 33.799999, 32.400002, 33, 154400, 33, 0, 1, 33.075001, -999
20161208, 33.099998, 33.900002, 32.919998, 33.400002, 228600, 33.400002, 0, 1, 33.25, -999
20161207, 32.099998, 33.400002, 31.950001, 33.200001, 515900, 33.200001, 0, 1, 32.6499995, -999
20161206, 32.599998, 32.900002, 31.75, 32.25, 376000, 32.25, 0, 1, 32.424999, -999
20161205, 32.150002, 32.779999, 32.049999, 32.5, 332300, 32.5, 0, 1, 32.325001, -999
20161202, 31.450001, 31.950001, 31, 31.9, 369400, 31.9, 0, 1, 31.6750005, -999
20161201, 33.200001, 33.450001, 31.549999, 31.65, 416600, 31.65, 0, 1, 32.4250005, -999
20161130, 34.049999, 34.049999, 32.900002, 33.200001, 241700, 33.200001, 0, 1, 33.625, -999
