Ticker: QUMU  Created on: 2/13/2017 1:33:15 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 2.2, 2.2, 2.19, 2.2, 16600, 2.2, 0, 1, 2.2, -999
20170209, 2.2, 2.23, 2.18, 2.23, 10100, 2.23, 0, 1, 2.215, -999
20170208, 2.23, 2.24, 2.19, 2.2, 14600, 2.2, 0, 1, 2.215, -999
20170207, 2.24, 2.28, 2.24, 2.25, 34100, 2.25, 0, 1, 2.245, -999
20170206, 2.24, 2.28, 2.2, 2.25, 26600, 2.25, 0, 1, 2.245, -999
20170203, 2.23, 2.25, 2.18, 2.22, 45300, 2.22, 0, 1, 2.225, -999
20170202, 2.26, 2.3, 2.16, 2.24, 121500, 2.24, 0, 1, 2.25, -999
20170201, 2.3, 2.36, 2.28, 2.28, 41000, 2.28, 0, 1, 2.29, -999
20170131, 2.38, 2.4, 2.26, 2.32, 128200, 2.32, 0, 1, 2.35, -999
20170130, 2.4, 2.49, 2.36, 2.37, 50200, 2.37, 0, 1, 2.385, -999
20170127, 2.45, 2.46, 2.39, 2.42, 39900, 2.42, 0, 1, 2.435, -999
20170126, 2.5, 2.51, 2.4, 2.43, 45900, 2.43, 0, 1, 2.465, -999
20170125, 2.5, 2.6, 2.37, 2.45, 236900, 2.45, 0, 1, 2.475, -999
20170124, 2.6, 2.65, 2.52, 2.57, 2800, 2.57, 0, 1, 2.585, -999
20170123, 2.58, 2.63, 2.57, 2.58, 6200, 2.58, 0, 1, 2.58, -999
20170120, 2.56, 2.65, 2.56, 2.64, 11500, 2.64, 0, 1, 2.6, -999
20170119, 2.63, 2.65, 2.59, 2.64, 1300, 2.64, 0, 1, 2.635, -999
20170118, 2.59, 2.65, 2.55, 2.65, 1600, 2.65, 0, 1, 2.62, -999
20170117, 2.5, 2.65, 2.5, 2.57, 6700, 2.57, 0, 1, 2.535, -999
20170113, 2.65, 2.65, 2.55, 2.58, 26500, 2.58, 0, 1, 2.615, -999
20170112, 2.56, 2.63, 2.37, 2.56, 38700, 2.56, 0, 1, 2.56, -999
20170111, 2.49, 2.65, 2.33, 2.52, 142200, 2.52, 0, 1, 2.505, -999
20170110, 2.41, 2.49, 2.3, 2.45, 113900, 2.45, 0, 1, 2.43, -999
20170109, 2.45, 2.45, 2.36, 2.45, 1600, 2.45, 0, 1, 2.45, -999
20170106, 2.35, 2.49, 2.35, 2.45, 43100, 2.45, 0, 1, 2.4, -999
20170105, 2.48, 2.48, 2.29, 2.44, 41600, 2.44, 0, 1, 2.46, -999
20170104, 2.33, 2.48, 2.28, 2.37, 78800, 2.37, 0, 1, 2.35, -999
20170103, 2.27, 2.5, 2.26, 2.5, 24100, 2.5, 0, 1, 2.385, -999
20161230, 2.39, 2.49, 2.2, 2.38, 41200, 2.38, 0, 1, 2.385, -999
20161229, 2.49, 2.55, 2.34, 2.34, 28700, 2.34, 0, 1, 2.415, -999
20161228, 2.33, 2.64, 2.3, 2.46, 121800, 2.46, 0, 1, 2.395, -999
20161227, 2.36, 2.49, 2.2, 2.37, 74900, 2.37, 0, 1, 2.365, -999
20161223, 2.45, 2.5, 2.29, 2.43, 87400, 2.43, 0, 1, 2.44, -999
20161222, 2.47, 2.52, 2.29, 2.48, 59300, 2.48, 0, 1, 2.475, -999
20161221, 2.6, 2.6, 2.45, 2.47, 31100, 2.47, 0, 1, 2.535, -999
20161220, 2.45, 2.64, 2.45, 2.5, 13400, 2.5, 0, 1, 2.475, -999
20161219, 2.61, 2.67, 2.46, 2.46, 6700, 2.46, 0, 1, 2.535, -999
20161216, 2.71, 2.8, 2.51, 2.73, 23400, 2.73, 0, 1, 2.72, -999
20161215, 2.79, 2.9, 2.65, 2.78, 48300, 2.78, 0, 1, 2.785, -999
20161214, 2.98, 2.98, 2.71, 2.77, 41500, 2.77, 0, 1, 2.875, -999
20161213, 2.81, 2.98, 2.63, 2.77, 42700, 2.77, 0, 1, 2.79, -999
20161212, 2.72, 2.98, 2.72, 2.77, 8600, 2.77, 0, 1, 2.745, -999
20161209, 2.56, 2.8, 2.54, 2.71, 51100, 2.71, 0, 1, 2.635, -999
20161208, 2.75, 2.78, 2.55, 2.69, 2600, 2.69, 0, 1, 2.72, -999
20161207, 2.71, 2.95, 2.65, 2.65, 17500, 2.65, 0, 1, 2.68, -999
20161206, 2.77, 2.77, 2.65, 2.68, 1700, 2.68, 0, 1, 2.725, -999
20161205, 2.75, 2.97, 2.73, 2.74, 1200, 2.74, 0, 1, 2.745, -999
20161202, 2.89, 2.89, 2.61, 2.73, 28200, 2.73, 0, 1, 2.81, -999
20161201, 2.85, 2.89, 2.62, 2.89, 2900, 2.89, 0, 1, 2.87, -999
20161130, 2.89, 3, 2.75, 2.76, 19200, 2.76, 0, 1, 2.825, -999
20161129, 2.85, 2.86, 2.83, 2.84, 6100, 2.84, 0, 1, 2.845, -999
20161128, 2.96, 3.01, 2.86, 2.86, 3000, 2.86, 0, 1, 2.91, -999
20161125, 2.99, 2.99, 2.99, 2.99, 100, 2.99, 0, 1, 2.99, -999
20161123, 2.9, 3, 2.85, 2.95, 19600, 2.95, 0, 1, 2.925, -999
20161122, 2.86, 3.1, 2.84, 3.02, 76400, 3.02, 0, 1, 2.94, -999
20161121, 3, 3.15, 2.84, 2.95, 73300, 2.95, 0, 1, 2.975, -999
20161118, 2.97, 3.09, 2.96, 3.05, 1600, 3.05, 0, 1, 3.01, -999
20161117, 2.79, 3.04, 2.79, 2.98, 63100, 2.98, 0, 1, 2.885, -999
20161116, 2.61, 2.77, 2.54, 2.74, 79000, 2.74, 0, 1, 2.675, -999
20161115, 2.89, 3.04, 2.43, 2.58, 50000, 2.58, 0, 1, 2.735, -999
20161114, 2.95, 2.95, 2.82, 2.89, 6900, 2.89, 0, 1, 2.92, -999
20161111, 2.83, 2.91, 2.72, 2.8, 4100, 2.8, 0, 1, 2.815, -999
20161110, 2.72, 3.05, 2.59, 2.85, 46100, 2.85, 0, 1, 2.785, -999
20161109, 2.97, 2.97, 2.49, 2.72, 68300, 2.72, 0, 1, 2.845, -999
20161108, 2.61, 2.68, 2.61, 2.62, 12900, 2.62, 0, 1, 2.615, -999
