Ticker: RP  Created on: 2/13/2017 1:33:15 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 32.5, 32.700001, 32.150002, 32.299999, 498800, 32.299999, 0, 1, 32.3999995, -999
20170209, 32.200001, 32.849998, 32.200001, 32.349998, 535700, 32.349998, 0, 1, 32.2749995, -999
20170208, 32.099998, 32.200001, 31.700001, 32.150002, 241700, 32.150002, 0, 1, 32.125, -999
20170207, 32, 32.299999, 31.9, 32.099998, 516400, 32.099998, 0, 1, 32.049999, -999
20170206, 31.5, 32.080002, 31.35, 31.9, 416300, 31.9, 0, 1, 31.7, -999
20170203, 31.6, 31.700001, 31.26, 31.6, 271100, 31.6, 0, 1, 31.6, -999
20170202, 31, 31.49, 30.5, 31.35, 450500, 31.35, 0, 1, 31.175, -999
20170201, 30.85, 31.299999, 30.799999, 31, 408600, 31, 0, 1, 30.925, -999
20170131, 30.15, 30.65, 30.049999, 30.6, 367800, 30.6, 0, 1, 30.375, -999
20170130, 30.25, 30.4, 29.799999, 30.25, 257700, 30.25, 0, 1, 30.25, -999
20170127, 30.4, 30.700001, 30.200001, 30.4, 287500, 30.4, 0, 1, 30.4, -999
20170126, 30.6, 30.65, 30.1, 30.450001, 264600, 30.450001, 0, 1, 30.5250005, -999
20170125, 30.200001, 30.6, 30, 30.5, 328800, 30.5, 0, 1, 30.3500005, -999
20170124, 28.950001, 30.1, 28.950001, 29.9, 1457100, 29.9, 0, 1, 29.4250005, -999
20170123, 28.85, 29, 28.6, 28.85, 221100, 28.85, 0, 1, 28.85, -999
20170120, 28.299999, 29, 28.299999, 28.9, 395000, 28.9, 0, 1, 28.5999995, -999
20170119, 28.5, 28.799999, 28, 28.25, 355200, 28.25, 0, 1, 28.375, -999
20170118, 28.25, 28.530001, 28.200001, 28.450001, 172000, 28.450001, 0, 1, 28.3500005, -999
20170117, 29, 29.08, 28.25, 28.25, 280000, 28.25, 0, 1, 28.625, -999
20170113, 28.700001, 29.35, 28.700001, 29.049999, 266100, 29.049999, 0, 1, 28.875, -999
20170112, 28.950001, 29.08, 28.15, 28.549999, 401900, 28.549999, 0, 1, 28.75, -999
20170111, 29.15, 29.25, 28.799999, 29.049999, 235300, 29.049999, 0, 1, 29.0999995, -999
20170110, 29.1, 29.299999, 28.85, 29.1, 253600, 29.1, 0, 1, 29.1, -999
20170109, 29.15, 29.33, 28.799999, 29.049999, 369300, 29.049999, 0, 1, 29.0999995, -999
20170106, 29.450001, 29.65, 28.950001, 29.200001, 636800, 29.200001, 0, 1, 29.325001, -999
20170105, 30, 30.049999, 29.25, 29.299999, 382400, 29.299999, 0, 1, 29.6499995, -999
20170104, 30, 30.5, 29.75, 29.950001, 402700, 29.950001, 0, 1, 29.9750005, -999
20170103, 30, 30.450001, 29, 29.75, 650000, 29.75, 0, 1, 29.875, -999
20161230, 29.9, 30.08, 29.700001, 30, 184200, 30, 0, 1, 29.95, -999
20161229, 30, 30.18, 29.85, 29.950001, 134300, 29.950001, 0, 1, 29.9750005, -999
20161228, 30.75, 30.75, 29.85, 29.85, 154800, 29.85, 0, 1, 30.3, -999
20161227, 30.6, 30.85, 30.5, 30.75, 171100, 30.75, 0, 1, 30.675, -999
20161223, 30.450001, 30.65, 30.299999, 30.65, 157100, 30.65, 0, 1, 30.5500005, -999
20161222, 30.4, 30.450001, 30.1, 30.35, 371100, 30.35, 0, 1, 30.375, -999
20161221, 30.200001, 30.700001, 30.049999, 30.450001, 425900, 30.450001, 0, 1, 30.325001, -999
20161220, 30.1, 30.32, 29.65, 30.15, 267300, 30.15, 0, 1, 30.125, -999
20161219, 29.450001, 30.200001, 29.200001, 29.950001, 868000, 29.950001, 0, 1, 29.700001, -999
20161216, 29.6, 29.6, 29.049999, 29.35, 667500, 29.35, 0, 1, 29.475, -999
20161215, 29.25, 29.6, 29, 29.450001, 693600, 29.450001, 0, 1, 29.3500005, -999
20161214, 29.700001, 29.85, 28.879999, 29.049999, 497300, 29.049999, 0, 1, 29.375, -999
20161213, 29.700001, 30.1, 29.65, 29.65, 563700, 29.65, 0, 1, 29.6750005, -999
20161212, 30.450001, 30.549999, 29.549999, 29.75, 355800, 29.75, 0, 1, 30.1000005, -999
20161209, 30.450001, 30.799999, 30.299999, 30.5, 310300, 30.5, 0, 1, 30.4750005, -999
20161208, 29.65, 30.549999, 29.6, 30.549999, 502300, 30.549999, 0, 1, 30.0999995, -999
20161207, 29.299999, 29.879999, 29.1, 29.75, 386300, 29.75, 0, 1, 29.5249995, -999
20161206, 28.9, 29.5, 28.75, 29.35, 252700, 29.35, 0, 1, 29.125, -999
20161205, 28.799999, 29.15, 28.700001, 28.799999, 304400, 28.799999, 0, 1, 28.799999, -999
20161202, 28.299999, 28.700001, 28, 28.549999, 320800, 28.549999, 0, 1, 28.424999, -999
20161201, 28.700001, 28.92, 28.049999, 28.450001, 402800, 28.450001, 0, 1, 28.575001, -999
20161130, 29.5, 29.5, 28.4, 28.6, 335500, 28.6, 0, 1, 29.05, -999
20161129, 28.950001, 29.65, 28.799999, 29.4, 736900, 29.4, 0, 1, 29.1750005, -999
20161128, 28.6, 29.200001, 28.6, 28.799999, 261600, 28.799999, 0, 1, 28.6999995, -999
20161125, 29.15, 29.200001, 28.65, 28.700001, 120000, 28.700001, 0, 1, 28.9250005, -999
20161123, 29, 29.299999, 28.549999, 29.049999, 186600, 29.049999, 0, 1, 29.0249995, -999
20161122, 29.4, 29.6, 28.950001, 29.35, 338100, 29.35, 0, 1, 29.375, -999
20161121, 28.9, 29.75, 28.889999, 29.450001, 586300, 29.450001, 0, 1, 29.1750005, -999
20161118, 28.799999, 29.15, 28.76, 28.950001, 525800, 28.950001, 0, 1, 28.875, -999
20161117, 28, 28.799999, 27.200001, 28.799999, 436600, 28.799999, 0, 1, 28.3999995, -999
20161116, 28.15, 28.65, 28.15, 28.4, 364300, 28.4, 0, 1, 28.275, -999
20161115, 28.200001, 28.549999, 28.1, 28.15, 478600, 28.15, 0, 1, 28.1750005, -999
20161114, 28.450001, 29.41, 28.15, 28.299999, 528300, 28.299999, 0, 1, 28.375, -999
20161111, 27.75, 28.299999, 27.5, 28.299999, 429600, 28.299999, 0, 1, 28.0249995, -999
20161110, 28.049999, 28.1, 27.15, 27.75, 545200, 27.75, 0, 1, 27.8999995, -999
20161109, 27.4, 28.450001, 27.15, 28.1, 561500, 28.1, 0, 1, 27.75, -999
20161108, 27.65, 28.200001, 27.6, 27.799999, 482800, 27.799999, 0, 1, 27.7249995, -999
20161107, 28.5, 28.5, 27.4, 28.200001, 823800, 28.200001, 0, 1, 28.3500005, -999
20161104, 28.200001, 28.66, 27.65, 27.85, 735600, 27.85, 0, 1, 28.0250005, -999
20161103, 27.9, 28.35, 27.700001, 28, 519700, 28, 0, 1, 27.95, -999
20161102, 27.65, 27.98, 27.5, 27.9, 730700, 27.9, 0, 1, 27.775, -999
20161101, 27.5, 27.85, 27.15, 27.700001, 675100, 27.700001, 0, 1, 27.6000005, -999
20161031, 27.1, 27.4, 26.85, 27.200001, 190800, 27.200001, 0, 1, 27.1500005, -999
20161028, 26.75, 27.1, 26.450001, 27, 247600, 27, 0, 1, 26.875, -999
20161027, 27.6, 27.700001, 26.549999, 26.700001, 421000, 26.700001, 0, 1, 27.1500005, -999
20161026, 27.85, 27.85, 27.35, 27.5, 324800, 27.5, 0, 1, 27.675, -999
20161025, 27.450001, 27.950001, 27.25, 27.85, 543800, 27.85, 0, 1, 27.6500005, -999
20161024, 26.200001, 27.549999, 25.950001, 27.5, 544600, 27.5, 0, 1, 26.8500005, -999
20161021, 25.25, 26.01, 25.1, 25.98, 182300, 25.98, 0, 1, 25.615, -999
20161020, 25.35, 25.549999, 25.049999, 25.450001, 250700, 25.450001, 0, 1, 25.4000005, -999
20161019, 24.75, 25.450001, 24.6, 25.450001, 226100, 25.450001, 0, 1, 25.1000005, -999
20161018, 24.6, 24.85, 24.299999, 24.6, 110500, 24.6, 0, 1, 24.6, -999
20161017, 24.299999, 24.51, 24.1, 24.450001, 178100, 24.450001, 0, 1, 24.375, -999
20161014, 24.120001, 24.290001, 24, 24.26, 183800, 24.26, 0, 1, 24.1900005, -999
20161013, 24.09, 24.280001, 23.690001, 24.08, 135300, 24.08, 0, 1, 24.085, -999
20161012, 24.290001, 24.450001, 24.01, 24.299999, 220500, 24.299999, 0, 1, 24.295, -999
20161011, 24.780001, 24.780001, 24.18, 24.35, 463500, 24.35, 0, 1, 24.5650005, -999
20161010, 24.530001, 24.82, 24.530001, 24.780001, 116800, 24.780001, 0, 1, 24.655001, -999
20161007, 24.4, 24.43, 24.07, 24.34, 327800, 24.34, 0, 1, 24.37, -999
20161006, 24.66, 24.67, 24.27, 24.450001, 241000, 24.450001, 0, 1, 24.5550005, -999
20161005, 25.26, 25.26, 24.58, 24.629999, 432800, 24.629999, 0, 1, 24.9449995, -999
20161004, 25.620001, 25.690001, 25.209999, 25.26, 220300, 25.26, 0, 1, 25.4400005, -999
20161003, 25.629999, 25.75, 25.41, 25.68, 139700, 25.68, 0, 1, 25.6549995, -999
20160930, 25.68, 25.91, 25.389999, 25.700001, 189300, 25.700001, 0, 1, 25.6900005, -999
20160929, 25.799999, 25.92, 25.549999, 25.57, 97600, 25.57, 0, 1, 25.6849995, -999
20160928, 25.709999, 25.84, 25.52, 25.799999, 207200, 25.799999, 0, 1, 25.754999, -999
20160927, 25.48, 25.700001, 25.440001, 25.700001, 143900, 25.700001, 0, 1, 25.5900005, -999
20160926, 25.76, 25.860001, 25.49, 25.549999, 142600, 25.549999, 0, 1, 25.6549995, -999
20160923, 26.379999, 26.379999, 25.790001, 25.889999, 220500, 25.889999, 0, 1, 26.134999, -999
20160922, 25.91, 26.43, 25.75, 26.41, 304100, 26.41, 0, 1, 26.16, -999
20160921, 25.25, 25.780001, 25.24, 25.719999, 213200, 25.719999, 0, 1, 25.4849995, -999
20160920, 25.23, 25.280001, 24.889999, 25.23, 170600, 25.23, 0, 1, 25.23, -999
20160919, 25.23, 25.91, 24.969999, 25.08, 110000, 25.08, 0, 1, 25.155, -999
20160916, 24.93, 25.219999, 24.76, 25.209999, 374000, 25.209999, 0, 1, 25.0699995, -999
20160915, 24.719999, 24.99, 24.41, 24.879999, 179400, 24.879999, 0, 1, 24.799999, -999
20160914, 24.74, 25.219999, 24.540001, 24.629999, 306400, 24.629999, 0, 1, 24.6849995, -999
20160913, 25.01, 25.209999, 24.549999, 24.799999, 266000, 24.799999, 0, 1, 24.9049995, -999
20160912, 25.01, 25.139999, 24.74, 25.139999, 248200, 25.139999, 0, 1, 25.0749995, -999
20160909, 25.6, 25.68, 25.18, 25.190001, 289000, 25.190001, 0, 1, 25.3950005, -999
20160908, 25.549999, 25.85, 25.389999, 25.83, 377100, 25.83, 0, 1, 25.6899995, -999
20160907, 25.77, 25.83, 25.219999, 25.549999, 387300, 25.549999, 0, 1, 25.6599995, -999
20160906, 25.200001, 25.82, 24.969999, 25.799999, 2938400, 25.799999, 0, 1, 25.5, -999
20160902, 25.32, 25.82, 25.030001, 25.360001, 635000, 25.360001, 0, 1, 25.3400005, -999
20160901, 25.610001, 26, 24.91, 25.389999, 1243100, 25.389999, 0, 1, 25.5, -999
20160831, 25.76, 25.99, 24.01, 25.74, 203100, 25.74, 0, 1, 25.75, -999
20160830, 25.860001, 26.059999, 25.719999, 25.76, 318300, 25.76, 0, 1, 25.8100005, -999
20160829, 25.799999, 26.27, 25.68, 25.950001, 427700, 25.950001, 0, 1, 25.875, -999
20160826, 25.49, 25.85, 24.01, 25.799999, 261000, 25.799999, 0, 1, 25.6449995, -999
20160825, 25.790001, 25.790001, 25.4, 25.559999, 264100, 25.559999, 0, 1, 25.675, -999
20160824, 26, 26, 25.5, 25.790001, 243200, 25.790001, 0, 1, 25.8950005, -999
20160823, 25.41, 25.91, 25.389999, 25.91, 410800, 25.91, 0, 1, 25.66, -999
20160822, 25.27, 25.65, 24.99, 25.469999, 405900, 25.469999, 0, 1, 25.3699995, -999
20160819, 25.48, 25.690001, 25.26, 25.41, 355000, 25.41, 0, 1, 25.445, -999
20160818, 24.82, 25.48, 24.799999, 25.459999, 354000, 25.459999, 0, 1, 25.1399995, -999
20160817, 24.870001, 24.950001, 24.700001, 24.83, 188600, 24.83, 0, 1, 24.8500005, -999
20160816, 25.1, 25.129999, 24.690001, 24.93, 284700, 24.93, 0, 1, 25.015, -999
20160815, 25.030001, 25.42, 24.98, 25.18, 174000, 25.18, 0, 1, 25.1050005, -999
