Ticker: SABR  Created on: 2/13/2017 1:33:29 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 22.49, 22.77, 22.33, 22.77, 3551800, 22.77, 0, 1, 22.63, -999
20170209, 21.93, 22.49, 21.91, 22.469999, 5696400, 22.469999, 0, 1, 22.1999995, -999
20170208, 22.17, 22.370001, 21.74, 21.82, 8673700, 21.82, 0, 1, 21.995, -999
20170207, 22.42, 23.43, 21.42, 22.209999, 23529700, 22.209999, 0, 1, 22.3149995, -999
20170206, 24.85, 25, 24.6, 24.809999, 4224500, 24.809999, 0, 1, 24.8299995, -999
20170203, 24.75, 25.021, 24.68, 24.92, 2548300, 24.92, 0, 1, 24.835, -999
20170202, 24.42, 24.77, 24.299999, 24.639999, 3851100, 24.639999, 0, 1, 24.5299995, -999
20170201, 24.549999, 24.709999, 24.280001, 24.530001, 3948400, 24.530001, 0, 1, 24.54, -999
20170131, 24.459999, 24.719999, 24.33, 24.5, 2284400, 24.5, 0, 1, 24.4799995, -999
20170130, 24.709999, 24.790001, 24.450001, 24.540001, 1409900, 24.540001, 0, 1, 24.625, -999
20170127, 24.719999, 24.809999, 24.5, 24.780001, 2217000, 24.780001, 0, 1, 24.75, -999
20170126, 24.709999, 24.82, 24.450001, 24.65, 2089200, 24.65, 0, 1, 24.6799995, -999
20170125, 24.690001, 24.93, 24.5, 24.59, 3138500, 24.59, 0, 1, 24.6400005, -999
20170124, 24.700001, 24.780001, 24.415001, 24.51, 2985300, 24.51, 0, 1, 24.6050005, -999
20170123, 24.799999, 24.870001, 24.51, 24.82, 1298600, 24.82, 0, 1, 24.8099995, -999
20170120, 24.870001, 25, 24.635, 24.76, 1109400, 24.76, 0, 1, 24.8150005, -999
20170119, 24.58, 24.93, 24.52, 24.799999, 1219000, 24.799999, 0, 1, 24.6899995, -999
20170118, 25, 25.059999, 24.620001, 24.719999, 2572500, 24.719999, 0, 1, 24.8599995, -999
20170117, 25.08, 25.120001, 24.809999, 24.92, 1661200, 24.92, 0, 1, 25, -999
20170113, 25.049999, 25.33, 25, 25.139999, 2449800, 25.139999, 0, 1, 25.094999, -999
20170112, 24.85, 24.99, 24.709999, 24.959999, 2009600, 24.959999, 0, 1, 24.9049995, -999
20170111, 24.98, 25.129999, 24.67, 24.959999, 2341000, 24.959999, 0, 1, 24.9699995, -999
20170110, 24.92, 25, 24.790001, 24.940001, 2027200, 24.940001, 0, 1, 24.9300005, -999
20170109, 24.75, 25.18, 24.700001, 24.9, 2865300, 24.9, 0, 1, 24.825, -999
20170106, 24.82, 24.879999, 24.67, 24.860001, 1585500, 24.860001, 0, 1, 24.8400005, -999
20170105, 24.85, 25.139999, 24.66, 24.709999, 2035400, 24.709999, 0, 1, 24.7799995, -999
20170104, 24.68, 25.01, 24.68, 24.82, 2997300, 24.82, 0, 1, 24.75, -999
20170103, 25.16, 25.893, 24.610001, 24.790001, 1569600, 24.790001, 0, 1, 24.9750005, -999
20161230, 25.030001, 25.035, 24.738001, 24.950001, 1081400, 24.950001, 0, 1, 24.990001, -999
20161229, 24.84, 25.129999, 24.809999, 25, 1501000, 25, 0, 1, 24.92, -999
20161228, 25.129999, 25.129999, 24.780001, 24.9, 1266600, 24.9, 0, 1, 25.0149995, -999
20161227, 24.9, 25.209999, 24.75, 25.01, 1459200, 25.01, 0, 1, 24.955, -999
20161223, 24.74, 25, 24.74, 24.84, 1337100, 24.84, 0, 1, 24.79, -999
20161222, 25.129999, 25.129999, 24.690001, 24.790001, 2090800, 24.790001, 0, 1, 24.96, -999
20161221, 25.059999, 25.32, 24.700001, 25.15, 3495100, 25.15, 0, 1, 25.1049995, -999
20161220, 25.450001, 25.709999, 24.93, 25.15, 3570000, 25.15, 0, 1, 25.3000005, -999
20161219, 25.209999, 25.85, 25.17, 25.5, 1670600, 25.5, 0, 1, 25.3549995, -999
20161216, 25.41, 25.450001, 25.190001, 25.42, 3147900, 25.29, 0, 1, 25.35, -999
20161215, 26.18, 26.299999, 25.43, 25.43, 2759900, 25.299949, 0, 1, 25.7399745, -999
20161214, 26.01, 26.389999, 25.9, 26.110001, 2268900, 25.976472, 0, 1, 25.993236, -999
20161213, 26.9, 27.15, 25.969999, 26.120001, 2742900, 25.986421, 0, 1, 26.4432105, -999
20161212, 26.700001, 27.35, 26.370001, 26.49, 2762400, 26.354528, 0, 1, 26.5272645, -999
20161209, 26.27, 27.09, 26.115, 27.07, 3172200, 26.931562, 0, 1, 26.600781, -999
20161208, 25.870001, 26.23, 25.76, 26.17, 1341100, 26.036165, 0, 1, 25.953083, -999
20161207, 25.469999, 25.91, 25.450001, 25.77, 1696400, 25.638211, 0, 1, 25.554105, -999
20161206, 25.200001, 25.42, 25.08, 25.4, 3224100, 25.270102, 0, 1, 25.2350515, -999
20161205, 25.57, 25.669001, 25.24, 25.290001, 2623600, 25.160666, 0, 1, 25.365333, -999
20161202, 25.469999, 25.65, 25.386999, 25.57, 2155800, 25.439233, 0, 1, 25.454616, -999
20161201, 25.93, 26.200001, 25.309999, 25.559999, 1974100, 25.429284, 0, 1, 25.679642, -999
20161130, 26.09, 26.190001, 25.85, 25.85, 2647400, 25.717801, 0, 1, 25.9039005, -999
20161129, 26.58, 26.74, 26, 26.030001, 1800200, 25.896881, 0, 1, 26.2384405, -999
20161128, 26.059999, 26.559999, 25.950001, 26.5, 2911200, 26.364477, 0, 1, 26.212238, -999
20161125, 26.15, 26.385, 26.120001, 26.32, 796600, 26.185397, 0, 1, 26.1676985, -999
