Ticker: SHSP  Created on: 2/13/2017 1:33:16 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 4.96, 5.06, 4.87, 5.05, 10700, 5.05, 0, 1, 5.005, -999
20170209, 4.91, 5.02, 4.79, 4.93, 31700, 4.93, 0, 1, 4.92, -999
20170208, 4.79, 4.9, 4.79, 4.9, 4000, 4.9, 0, 1, 4.845, -999
20170207, 4.91, 4.97, 4.42, 4.81, 17700, 4.81, 0, 1, 4.86, -999
20170206, 5.07, 5.07, 4.91, 4.92, 137000, 4.92, 0, 1, 4.995, -999
20170203, 5.14, 5.14, 5.01, 5.07, 6600, 5.07, 0, 1, 5.105, -999
20170202, 5.08, 5.15, 5.08, 5.13, 6300, 5.13, 0, 1, 5.105, -999
20170201, 5.15, 5.15, 5.02, 5.03, 2100, 5.03, 0, 1, 5.09, -999
20170131, 5.15, 5.21, 5.05, 5.18, 6500, 5.18, 0, 1, 5.165, -999
20170130, 5.19, 5.19, 5.11, 5.11, 9700, 5.11, 0, 1, 5.15, -999
20170127, 5.12, 5.2, 5.01, 5.12, 133600, 5.12, 0, 1, 5.12, -999
20170126, 5.38, 5.38, 4.98, 5.1, 95000, 5.1, 0, 1, 5.24, -999
20170125, 5.23, 5.34, 5.23, 5.29, 8500, 5.29, 0, 1, 5.26, -999
20170124, 5.25, 5.4, 5, 5.26, 162100, 5.26, 0, 1, 5.255, -999
20170123, 5.25, 5.43, 5.25, 5.27, 16400, 5.27, 0, 1, 5.26, -999
20170120, 5.51, 5.51, 5.2, 5.3, 17800, 5.3, 0, 1, 5.405, -999
20170119, 5.49, 5.49, 5.49, 5.49, 100, 5.49, 0, 1, 5.49, -999
20170118, 5.55, 5.61, 5.42, 5.49, 10700, 5.49, 0, 1, 5.52, -999
20170117, 5.45, 5.75, 5.2, 5.34, 19800, 5.34, 0, 1, 5.395, -999
20170113, 5.5, 5.5, 5.5, 5.5, 1100, 5.5, 0, 1, 5.5, -999
20170112, 5.71, 5.73, 5.53, 5.57, 4900, 5.57, 0, 1, 5.64, -999
20170111, 5.5, 5.8, 5.5, 5.64, 27800, 5.64, 0, 1, 5.57, -999
20170110, 5.37, 5.52, 5.34, 5.46, 34600, 5.46, 0, 1, 5.415, -999
20170109, 5.35, 5.5, 5.35, 5.42, 27700, 5.42, 0, 1, 5.385, -999
20170106, 5.45, 5.46, 5.26, 5.39, 7700, 5.39, 0, 1, 5.42, -999
20170105, 5.44, 5.5, 5.4, 5.44, 3300, 5.44, 0, 1, 5.44, -999
20170104, 5.3, 5.5, 5.3, 5.4, 26800, 5.4, 0, 1, 5.35, -999
20170103, 5.22, 5.3, 5.21, 5.3, 1400, 5.3, 0, 1, 5.26, -999
20161230, 5.31, 5.31, 5.21, 5.27, 3400, 5.27, 0, 1, 5.29, -999
20161229, 5.27, 5.3, 5.25, 5.29, 5200, 5.29, 0, 1, 5.28, -999
20161228, 5.26, 5.28, 5.26, 5.26, 42300, 5.26, 0, 1, 5.26, -999
20161227, 5.26, 5.31, 5.23, 5.23, 29500, 5.23, 0, 1, 5.245, -999
20161223, 5.26, 5.31, 5.25, 5.3, 7400, 5.3, 0, 1, 5.28, -999
20161222, 5.28, 5.29, 5.25, 5.29, 1400, 5.29, 0, 1, 5.285, -999
20161221, 5.32, 5.32, 5.26, 5.26, 1500, 5.26, 0, 1, 5.29, -999
20161220, 5.31, 5.31, 5.25, 5.26, 10800, 5.26, 0, 1, 5.285, -999
