Ticker: SMSI  Created on: 2/13/2017 1:33:16 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 1.59, 1.59, 1.3, 1.42, 342100, 1.42, 0, 1, 1.505, -999
20170209, 1.61, 1.65, 1.6, 1.61, 7000, 1.61, 0, 1, 1.61, -999
20170208, 1.57, 1.62, 1.56, 1.62, 4600, 1.62, 0, 1, 1.595, -999
20170207, 1.63, 1.69, 1.57, 1.62, 7400, 1.62, 0, 1, 1.625, -999
20170206, 1.54, 1.71, 1.53, 1.65, 88200, 1.65, 0, 1, 1.595, -999
20170203, 1.6, 1.68, 1.56, 1.56, 42900, 1.56, 0, 1, 1.58, -999
20170202, 1.64, 1.64, 1.55, 1.61, 37500, 1.61, 0, 1, 1.625, -999
20170201, 1.75, 1.75, 1.6, 1.64, 26500, 1.64, 0, 1, 1.695, -999
20170131, 1.76, 1.78, 1.75, 1.78, 8500, 1.78, 0, 1, 1.77, -999
20170130, 1.82, 1.82, 1.75, 1.78, 9500, 1.78, 0, 1, 1.8, -999
20170127, 1.8, 1.83, 1.8, 1.83, 40500, 1.83, 0, 1, 1.815, -999
20170126, 1.87, 1.87, 1.78, 1.84, 7800, 1.84, 0, 1, 1.855, -999
20170125, 1.81, 1.92, 1.8, 1.89, 20600, 1.89, 0, 1, 1.85, -999
20170124, 1.8, 1.82, 1.75, 1.81, 7900, 1.81, 0, 1, 1.805, -999
20170123, 1.88, 1.88, 1.75, 1.83, 32400, 1.83, 0, 1, 1.855, -999
20170120, 1.86, 1.92, 1.76, 1.85, 14600, 1.85, 0, 1, 1.855, -999
20170119, 1.92, 1.95, 1.83, 1.86, 44900, 1.86, 0, 1, 1.89, -999
20170118, 2.2, 2.32, 1.85, 1.94, 384800, 1.94, 0, 1, 2.07, -999
20170117, 1.75, 2.16, 1.71, 2.05, 138500, 2.05, 0, 1, 1.9, -999
20170113, 1.72, 1.8, 1.7, 1.72, 38800, 1.72, 0, 1, 1.72, -999
20170112, 1.71, 1.71, 1.64, 1.68, 2800, 1.68, 0, 1, 1.695, -999
20170111, 1.69, 1.75, 1.69, 1.73, 12700, 1.73, 0, 1, 1.71, -999
20170110, 1.79, 1.82, 1.65, 1.72, 31300, 1.72, 0, 1, 1.755, -999
20170109, 1.7, 1.84, 1.61, 1.82, 39300, 1.82, 0, 1, 1.76, -999
20170106, 1.66, 1.78, 1.66, 1.69, 18400, 1.69, 0, 1, 1.675, -999
20170105, 1.63, 1.72, 1.63, 1.72, 25400, 1.72, 0, 1, 1.675, -999
20170104, 1.71, 1.8, 1.6, 1.69, 93700, 1.69, 0, 1, 1.7, -999
20170103, 1.54, 1.75, 1.54, 1.7, 57400, 1.7, 0, 1, 1.62, -999
20161230, 1.63, 1.72, 1.56, 1.57, 114500, 1.57, 0, 1, 1.6, -999
20161229, 1.65, 1.69, 1.56, 1.64, 82400, 1.64, 0, 1, 1.645, -999
20161228, 1.7, 1.78, 1.59, 1.66, 55500, 1.66, 0, 1, 1.68, -999
20161227, 1.68, 1.8, 1.62, 1.78, 87500, 1.78, 0, 1, 1.73, -999
20161223, 1.66, 1.75, 1.6, 1.69, 94000, 1.69, 0, 1, 1.675, -999
20161222, 1.62, 1.68, 1.57, 1.68, 32100, 1.68, 0, 1, 1.65, -999
20161221, 1.62, 1.63, 1.6, 1.6, 23700, 1.6, 0, 1, 1.61, -999
20161220, 1.7, 1.72, 1.6, 1.64, 89600, 1.64, 0, 1, 1.67, -999
20161219, 1.74, 1.74, 1.54, 1.7, 136000, 1.7, 0, 1, 1.72, -999
20161216, 1.56, 1.72, 1.56, 1.72, 45600, 1.72, 0, 1, 1.64, -999
20161215, 1.57, 1.66, 1.51, 1.57, 76000, 1.57, 0, 1, 1.57, -999
20161214, 1.61, 1.71, 1.56, 1.57, 40900, 1.57, 0, 1, 1.59, -999
20161213, 1.63, 1.77, 1.55, 1.67, 82200, 1.67, 0, 1, 1.65, -999
20161212, 1.71, 1.73, 1.52, 1.61, 134200, 1.61, 0, 1, 1.66, -999
20161209, 1.65, 1.8, 1.48, 1.77, 230600, 1.77, 0, 1, 1.71, -999
20161208, 1.65, 1.67, 1.56, 1.66, 75900, 1.66, 0, 1, 1.655, -999
20161207, 1.47, 1.63, 1.47, 1.63, 64000, 1.63, 0, 1, 1.55, -999
20161206, 1.34, 1.51, 1.33, 1.47, 63000, 1.47, 0, 1, 1.405, -999
20161205, 1.41, 1.47, 1.31, 1.31, 133300, 1.31, 0, 1, 1.36, -999
20161202, 1.38, 1.4, 1.32, 1.37, 60000, 1.37, 0, 1, 1.375, -999
20161201, 1.36, 1.43, 1.3, 1.43, 36400, 1.43, 0, 1, 1.395, -999
20161130, 1.55, 1.55, 1.41, 1.41, 24800, 1.41, 0, 1, 1.48, -999
20161129, 1.58, 1.6, 1.51, 1.53, 76300, 1.53, 0, 1, 1.555, -999
20161128, 1.58, 1.62, 1.53, 1.56, 50400, 1.56, 0, 1, 1.57, -999
20161125, 1.53, 1.61, 1.51, 1.58, 21300, 1.58, 0, 1, 1.555, -999
20161123, 1.53, 1.59, 1.51, 1.56, 15600, 1.56, 0, 1, 1.545, -999
20161122, 1.62, 1.62, 1.52, 1.56, 7000, 1.56, 0, 1, 1.59, -999
20161121, 1.53, 1.61, 1.53, 1.56, 12000, 1.56, 0, 1, 1.545, -999
20161118, 1.59, 1.68, 1.52, 1.62, 45400, 1.62, 0, 1, 1.605, -999
20161117, 1.64, 1.7, 1.58, 1.58, 18800, 1.58, 0, 1, 1.61, -999
20161116, 1.69, 1.7, 1.58, 1.63, 54000, 1.63, 0, 1, 1.66, -999
20161115, 1.66, 1.85, 1.57, 1.72, 38800, 1.72, 0, 1, 1.69, -999
20161114, 1.81, 1.97, 1.58, 1.68, 194300, 1.68, 0, 1, 1.745, -999
20161111, 1.47, 1.86, 1.37, 1.78, 124300, 1.78, 0, 1, 1.625, -999
20161110, 1.42, 1.52, 1.28, 1.48, 68000, 1.48, 0, 1, 1.45, -999
20161109, 1.41, 1.43, 1.38, 1.39, 7300, 1.39, 0, 1, 1.4, -999
20161108, 1.36, 1.44, 1.36, 1.4, 9100, 1.4, 0, 1, 1.38, -999
20161107, 1.4, 1.4, 1.33, 1.35, 19300, 1.35, 0, 1, 1.375, -999
20161104, 1.39, 1.4, 1.35, 1.38, 26600, 1.38, 0, 1, 1.385, -999
20161103, 1.41, 1.46, 1.4, 1.4, 19100, 1.4, 0, 1, 1.405, -999
20161102, 1.44, 1.47, 1.4, 1.42, 36000, 1.42, 0, 1, 1.43, -999
20161101, 1.55, 1.55, 1.44, 1.44, 23300, 1.44, 0, 1, 1.495, -999
20161031, 1.51, 1.59, 1.49, 1.56, 5500, 1.56, 0, 1, 1.535, -999
20161028, 1.52, 1.57, 1.47, 1.52, 45400, 1.52, 0, 1, 1.52, -999
20161027, 1.52, 1.61, 1.46, 1.5, 50300, 1.5, 0, 1, 1.51, -999
20161026, 1.45, 1.65, 1.45, 1.61, 121800, 1.61, 0, 1, 1.53, -999
20161025, 1.53, 1.58, 1.47, 1.49, 92000, 1.49, 0, 1, 1.51, -999
20161024, 1.52, 1.63, 1.51, 1.52, 85000, 1.52, 0, 1, 1.52, -999
20161021, 1.56, 1.69, 1.43, 1.66, 117700, 1.66, 0, 1, 1.61, -999
20161020, 1.75, 1.75, 1.51, 1.55, 158600, 1.55, 0, 1, 1.65, -999
20161019, 1.8, 1.86, 1.65, 1.7, 56800, 1.7, 0, 1, 1.75, -999
20161018, 1.85, 1.97, 1.78, 1.8, 38900, 1.8, 0, 1, 1.825, -999
20161017, 1.98, 1.99, 1.87, 1.87, 25100, 1.87, 0, 1, 1.925, -999
20161014, 2, 2.15, 1.87, 1.95, 142800, 1.95, 0, 1, 1.975, -999
