Ticker: SNPS  Created on: 2/13/2017 1:33:18 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 65.580002, 65.620003, 65.080002, 65.290001, 725700, 65.290001, 0, 1, 65.4350015, -999
20170209, 65, 65.610001, 64.860001, 65.440002, 823700, 65.440002, 0, 1, 65.220001, -999
20170208, 65.220001, 65.279999, 64.75, 64.790001, 751800, 64.790001, 0, 1, 65.005001, -999
20170207, 65.300003, 65.57, 65.050003, 65.199997, 572600, 65.199997, 0, 1, 65.25, -999
20170206, 64.940002, 65.389999, 64.529999, 65.169998, 944800, 65.169998, 0, 1, 65.055, -999
20170203, 64.379997, 65.230003, 64.25, 64.900002, 843300, 64.900002, 0, 1, 64.6399995, -999
20170202, 62.700001, 64.220001, 62.700001, 64.18, 1024100, 64.18, 0, 1, 63.4400005, -999
20170201, 63.060001, 63.189999, 62.240002, 62.619999, 658100, 62.619999, 0, 1, 62.84, -999
20170131, 62.720001, 62.919998, 62.119999, 62.889999, 814300, 62.889999, 0, 1, 62.805, -999
20170130, 62.029999, 62.619999, 61.560001, 62.619999, 596500, 62.619999, 0, 1, 62.324999, -999
20170127, 62.169998, 62.509998, 62.150002, 62.5, 261800, 62.5, 0, 1, 62.334999, -999
20170126, 62.700001, 62.950001, 62.009998, 62.200001, 541400, 62.200001, 0, 1, 62.450001, -999
20170125, 62.580002, 62.84, 62.400002, 62.68, 517700, 62.68, 0, 1, 62.630001, -999
20170124, 61.099998, 62.549999, 61.099998, 62.41, 878200, 62.41, 0, 1, 61.754999, -999
20170123, 60.580002, 60.91, 60.41, 60.830002, 314800, 60.830002, 0, 1, 60.705002, -999
20170120, 60.889999, 61.5, 60.740002, 60.77, 565500, 60.77, 0, 1, 60.8299995, -999
20170119, 60.77, 61.389999, 60.669998, 60.91, 602800, 60.91, 0, 1, 60.84, -999
20170118, 60.82, 61, 60.509998, 60.759998, 580100, 60.759998, 0, 1, 60.789999, -999
20170117, 61.049999, 61.240002, 60.439999, 60.740002, 504300, 60.740002, 0, 1, 60.8950005, -999
20170113, 61.119999, 61.439999, 60.869999, 61.34, 397900, 61.34, 0, 1, 61.2299995, -999
20170112, 60.610001, 60.93, 59.849998, 60.880001, 356800, 60.880001, 0, 1, 60.745001, -999
20170111, 60.66, 61.209999, 60.130001, 60.91, 492000, 60.91, 0, 1, 60.785, -999
20170110, 60.34, 60.939999, 60.119999, 60.689999, 679100, 60.689999, 0, 1, 60.5149995, -999
20170109, 59.82, 60.369999, 59.630001, 60.080002, 496000, 60.080002, 0, 1, 59.950001, -999
20170106, 59.73, 60.32, 59.41, 60, 647900, 60, 0, 1, 59.865, -999
20170105, 59.610001, 60.18, 59.52, 59.790001, 1081200, 59.790001, 0, 1, 59.700001, -999
20170104, 59.369999, 60.029999, 59.369999, 59.57, 788800, 59.57, 0, 1, 59.4699995, -999
20170103, 59.27, 59.700001, 59.040001, 59.369999, 594800, 59.369999, 0, 1, 59.3199995, -999
20161230, 59.400002, 59.57, 58.740002, 58.860001, 623000, 58.860001, 0, 1, 59.1300015, -999
20161229, 59.360001, 59.599998, 59.169998, 59.419998, 707300, 59.419998, 0, 1, 59.3899995, -999
20161228, 60.029999, 60.27, 59.139999, 59.220001, 433500, 59.220001, 0, 1, 59.625, -999
20161227, 59.73, 60.169998, 59.400002, 59.849998, 327600, 59.849998, 0, 1, 59.789999, -999
20161223, 59.509998, 59.98, 59.310001, 59.759998, 365200, 59.759998, 0, 1, 59.634998, -999
20161222, 60, 60, 59.040001, 59.41, 893700, 59.41, 0, 1, 59.705, -999
20161221, 60.459999, 60.540001, 60.07, 60.099998, 532600, 60.099998, 0, 1, 60.2799985, -999
20161220, 60.5, 60.709999, 60.130001, 60.419998, 573000, 60.419998, 0, 1, 60.459999, -999
