Ticker: SPLK  Created on: 2/13/2017 1:33:16 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 63.099998, 63.450001, 62.400002, 62.650002, 1205400, 62.650002, 0, 1, 62.875, -999
20170209, 61.470001, 63.23, 61.32, 62.810001, 1706100, 62.810001, 0, 1, 62.140001, -999
20170208, 60.799999, 61.360001, 60.200001, 61.27, 1032300, 61.27, 0, 1, 61.0349995, -999
20170207, 60.259998, 61.34, 60.259998, 61.009998, 1911300, 61.009998, 0, 1, 60.634998, -999
20170206, 60.389999, 60.540001, 59.73, 60.189999, 1029900, 60.189999, 0, 1, 60.289999, -999
20170203, 59.200001, 60.880001, 59.200001, 60.580002, 2122100, 60.580002, 0, 1, 59.8900015, -999
20170202, 57.599998, 58.439999, 57, 58.169998, 2068700, 58.169998, 0, 1, 57.884998, -999
20170201, 58.009998, 58.330002, 57.049999, 58.139999, 1363700, 58.139999, 0, 1, 58.0749985, -999
20170131, 56.919998, 57.889999, 55.82, 57.860001, 1469900, 57.860001, 0, 1, 57.3899995, -999
20170130, 56.77, 57.43, 55.66, 57.400002, 916200, 57.400002, 0, 1, 57.085001, -999
20170127, 57.389999, 57.91, 56.049999, 57.310001, 1102500, 57.310001, 0, 1, 57.35, -999
20170126, 58.900002, 59.099998, 57.349998, 57.73, 1308500, 57.73, 0, 1, 58.315001, -999
20170125, 57.240002, 60, 56.799999, 58.59, 3754700, 58.59, 0, 1, 57.915001, -999
20170124, 54.150002, 54.720001, 53.560001, 54.450001, 1405300, 54.450001, 0, 1, 54.3000015, -999
20170123, 53.700001, 54.16, 52.889999, 53.709999, 1473600, 53.709999, 0, 1, 53.705, -999
20170120, 53.93, 54.509998, 53.529999, 53.779999, 1157800, 53.779999, 0, 1, 53.8549995, -999
20170119, 54.799999, 55.259998, 53.630001, 53.82, 1649500, 53.82, 0, 1, 54.3099995, -999
20170118, 53.639999, 54.369999, 53.169998, 54.299999, 1935200, 54.299999, 0, 1, 53.969999, -999
20170117, 56.189999, 56.360001, 53.220001, 53.299999, 2818400, 53.299999, 0, 1, 54.744999, -999
20170113, 56.700001, 57.650002, 55.360001, 56.419998, 3077200, 56.419998, 0, 1, 56.5599995, -999
20170112, 57.52, 57.709999, 54.939999, 56.330002, 4191200, 56.330002, 0, 1, 56.925001, -999
20170111, 56.369999, 58.060001, 56.139999, 57.68, 2814300, 57.68, 0, 1, 57.0249995, -999
20170110, 55.889999, 56.610001, 55.009998, 56.18, 1159700, 56.18, 0, 1, 56.0349995, -999
20170109, 56.220001, 56.400002, 55.040001, 55.689999, 1523700, 55.689999, 0, 1, 55.955, -999
20170106, 54.82, 56.470001, 54.669998, 56.169998, 1197800, 56.169998, 0, 1, 55.494999, -999
20170105, 54.630001, 55.169998, 53.75, 54.560001, 951500, 54.560001, 0, 1, 54.595001, -999
20170104, 52.950001, 55.799999, 52.720001, 54.84, 2273200, 54.84, 0, 1, 53.8950005, -999
20170103, 51.830002, 53.09, 51.299999, 52.5, 1602800, 52.5, 0, 1, 52.165001, -999
20161230, 51.610001, 51.799999, 50.639999, 51.150002, 1344300, 51.150002, 0, 1, 51.3800015, -999
20161229, 52, 52.360001, 51.27, 51.810001, 907400, 51.810001, 0, 1, 51.9050005, -999
20161228, 53.43, 53.459999, 51.880001, 52.060001, 885900, 52.060001, 0, 1, 52.7450005, -999
20161227, 52.34, 53.619999, 52.310001, 53.32, 811400, 53.32, 0, 1, 52.83, -999
20161223, 52.41, 52.740002, 52.200001, 52.57, 768600, 52.57, 0, 1, 52.49, -999
20161222, 53.720001, 53.720001, 52.099998, 52.34, 1462500, 52.34, 0, 1, 53.0300005, -999
20161221, 53.48, 53.869999, 52.810001, 53.439999, 1464400, 53.439999, 0, 1, 53.4599995, -999
20161220, 55, 55.209999, 53.18, 53.720001, 2308600, 53.720001, 0, 1, 54.3600005, -999
20161219, 55, 55.470001, 54.580002, 54.77, 1506300, 54.77, 0, 1, 54.885, -999
20161216, 54.98, 55.880001, 54.889999, 55.41, 1641600, 55.41, 0, 1, 55.195, -999
20161215, 55.27, 56.34, 54.299999, 55.34, 1459400, 55.34, 0, 1, 55.305, -999
20161214, 56.619999, 56.75, 54.959999, 55.330002, 1753000, 55.330002, 0, 1, 55.9750005, -999
20161213, 56.639999, 57.75, 56.5, 57.009998, 1307400, 57.009998, 0, 1, 56.8249985, -999
20161212, 56.630001, 57.139999, 55.549999, 56.209999, 1954000, 56.209999, 0, 1, 56.42, -999
20161209, 56.959999, 57.950001, 56.439999, 56.82, 1241700, 56.82, 0, 1, 56.8899995, -999
20161208, 56, 57.009998, 55.25, 56.810001, 1359900, 56.810001, 0, 1, 56.4050005, -999
20161207, 55.630001, 56.630001, 54.77, 56.27, 1783400, 56.27, 0, 1, 55.9500005, -999
