Ticker: SPSC  Created on: 2/13/2017 1:33:17 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 56.790001, 59.389999, 56.790001, 57.41, 190300, 57.41, 0, 1, 57.1000005, -999
20170209, 53.610001, 56.700001, 53.25, 56.41, 498700, 56.41, 0, 1, 55.0100005, -999
20170208, 53.5, 54.93, 48.110001, 53.810001, 1828600, 53.810001, 0, 1, 53.6550005, -999
20170207, 67.199997, 67.199997, 65.790001, 66.32, 115200, 66.32, 0, 1, 66.7599985, -999
20170206, 68.720001, 68.720001, 66.239998, 66.720001, 98000, 66.720001, 0, 1, 67.720001, -999
20170203, 68.900002, 69.110001, 68, 68.580002, 88600, 68.580002, 0, 1, 68.740002, -999
20170202, 68.029999, 68.550003, 67.349998, 68.470001, 54900, 68.470001, 0, 1, 68.25, -999
20170201, 69.419998, 69.440002, 67.290001, 67.769997, 125300, 67.769997, 0, 1, 68.5949975, -999
20170131, 68.790001, 69.379997, 68, 69, 83400, 69, 0, 1, 68.8950005, -999
20170130, 69.660004, 69.660004, 67.32, 68.720001, 75800, 68.720001, 0, 1, 69.1900025, -999
20170127, 69.93, 70.400002, 68.75, 69.910004, 42100, 69.910004, 0, 1, 69.920002, -999
20170126, 70.910004, 71.629997, 69.860001, 69.970001, 54000, 69.970001, 0, 1, 70.4400025, -999
20170125, 72.110001, 72.349998, 71, 71.089996, 46600, 71.089996, 0, 1, 71.5999985, -999
20170124, 71, 71.540001, 69.550003, 71.349998, 42300, 71.349998, 0, 1, 71.174999, -999
20170123, 70.949997, 70.949997, 69.690002, 70.290001, 42400, 70.290001, 0, 1, 70.619999, -999
20170120, 72.050003, 72.050003, 70.190002, 70.699997, 56100, 70.699997, 0, 1, 71.375, -999
20170119, 70.150002, 72.18, 70.150002, 72, 80400, 72, 0, 1, 71.075001, -999
20170118, 70.25, 70.660004, 68.379997, 70.5, 78300, 70.5, 0, 1, 70.375, -999
20170117, 70.019997, 70.800003, 68.870003, 69.75, 55000, 69.75, 0, 1, 69.8849985, -999
20170113, 68.779999, 70.660004, 68.779999, 70.599998, 57700, 70.599998, 0, 1, 69.6899985, -999
20170112, 69.75, 69.879997, 68, 68.699997, 74900, 68.699997, 0, 1, 69.2249985, -999
20170111, 70.940002, 70.980003, 69.510002, 70, 75100, 70, 0, 1, 70.470001, -999
20170110, 70.75, 72.599998, 70.050003, 70.470001, 167900, 70.470001, 0, 1, 70.6100005, -999
20170109, 70.949997, 71.720001, 70.379997, 71.059998, 125300, 71.059998, 0, 1, 71.0049975, -999
20170106, 71.879997, 72.099998, 69.889999, 71.199997, 42500, 71.199997, 0, 1, 71.539997, -999
20170105, 71.839996, 72.169998, 70.68, 71.779999, 62200, 71.779999, 0, 1, 71.8099975, -999
20170104, 69.739998, 72.220001, 69.199997, 72.169998, 160200, 72.169998, 0, 1, 70.954998, -999
20170103, 69.900002, 70.599998, 68.599998, 69.489998, 104200, 69.489998, 0, 1, 69.695, -999
20161230, 70.389999, 70.620003, 69.209999, 69.889999, 50000, 69.889999, 0, 1, 70.139999, -999
20161229, 70.760002, 71.400002, 69.669998, 70.43, 74800, 70.43, 0, 1, 70.595001, -999
20161228, 71.720001, 71.790001, 70.199997, 70.519997, 42400, 70.519997, 0, 1, 71.119999, -999
20161227, 71.010002, 72, 70.910004, 71.550003, 69500, 71.550003, 0, 1, 71.2800025, -999
20161223, 70.639999, 71.230003, 69.870003, 71.110001, 104000, 71.110001, 0, 1, 70.875, -999
20161222, 70.730003, 71.739998, 68.800003, 70.029999, 73300, 70.029999, 0, 1, 70.380001, -999
20161221, 71.190002, 71.639999, 69.800003, 70.769997, 61900, 70.769997, 0, 1, 70.9799995, -999
20161220, 73.029999, 73.029999, 70.940002, 71.019997, 239100, 71.019997, 0, 1, 72.024998, -999
20161219, 72.550003, 73.160004, 71.550003, 72.449997, 94100, 72.449997, 0, 1, 72.5, -999
20161216, 71.449997, 72.949997, 70.910004, 71.879997, 163400, 71.879997, 0, 1, 71.664997, -999
20161215, 70.75, 71.989998, 70.519997, 71.589996, 124500, 71.589996, 0, 1, 71.169998, -999
20161214, 70.910004, 71.269997, 69.610001, 70.57, 60600, 70.57, 0, 1, 70.740002, -999
20161213, 69.510002, 70.949997, 68.599998, 70.879997, 80400, 70.879997, 0, 1, 70.1949995, -999
20161212, 70.129997, 70.800003, 68.410004, 69.209999, 50800, 69.209999, 0, 1, 69.669998, -999
20161209, 69.989998, 71.220001, 69.019997, 69.839996, 107000, 69.839996, 0, 1, 69.914997, -999
20161208, 67.879997, 69.959999, 67.379997, 69.620003, 75500, 69.620003, 0, 1, 68.75, -999
20161207, 68.540001, 68.540001, 67, 67.949997, 78900, 67.949997, 0, 1, 68.244999, -999
20161206, 65.400002, 68.889999, 65.150002, 68.379997, 133900, 68.379997, 0, 1, 66.8899995, -999
20161205, 65.870003, 66.040001, 65.419998, 65.800003, 126400, 65.800003, 0, 1, 65.835003, -999
20161202, 66.25, 67.459999, 64.879997, 65.449997, 74900, 65.449997, 0, 1, 65.8499985, -999
20161201, 68.970001, 69.690002, 66.089996, 66.580002, 164200, 66.580002, 0, 1, 67.7750015, -999
20161130, 67.760002, 69.480003, 67.370003, 69.269997, 152400, 69.269997, 0, 1, 68.5149995, -999
20161129, 67.099998, 67.690002, 66.669998, 67.410004, 44100, 67.410004, 0, 1, 67.255001, -999
20161128, 67.610001, 68.120003, 66.879997, 67.110001, 50400, 67.110001, 0, 1, 67.360001, -999
20161125, 67.760002, 67.870003, 66.599998, 67.849998, 25600, 67.849998, 0, 1, 67.805, -999
20161123, 67, 67.830002, 65.650002, 67.739998, 50400, 67.739998, 0, 1, 67.369999, -999
20161122, 66.300003, 67.190002, 66.120003, 67.050003, 103900, 67.050003, 0, 1, 66.675003, -999
20161121, 66.639999, 67.410004, 65.839996, 66.230003, 163800, 66.230003, 0, 1, 66.435001, -999
20161118, 66.970001, 67.339996, 66.279999, 66.43, 97700, 66.43, 0, 1, 66.7000005, -999
20161117, 67.330002, 68.330002, 66.830002, 66.93, 132500, 66.93, 0, 1, 67.130001, -999
20161116, 65.459999, 67.43, 65.360001, 67.239998, 84700, 67.239998, 0, 1, 66.3499985, -999
20161115, 65.360001, 66.300003, 65.260002, 65.470001, 92000, 65.470001, 0, 1, 65.415001, -999
20161114, 66.18, 67.07, 64.660004, 65.150002, 85800, 65.150002, 0, 1, 65.665001, -999
20161111, 62.900002, 65.940002, 62.310001, 65.769997, 128800, 65.769997, 0, 1, 64.3349995, -999
20161110, 64.910004, 64.949997, 62.560001, 63.049999, 151100, 63.049999, 0, 1, 63.9800015, -999
20161109, 63.169998, 64.800003, 62.080002, 64.470001, 91900, 64.470001, 0, 1, 63.8199995, -999
20161108, 63.610001, 64.239998, 63.060001, 63.869999, 87800, 63.869999, 0, 1, 63.74, -999
20161107, 64, 64, 63.209999, 63.59, 119100, 63.59, 0, 1, 63.795, -999
20161104, 62.049999, 63.110001, 61.689999, 62.990002, 125400, 62.990002, 0, 1, 62.5200005, -999
20161103, 62.32, 62.41, 61.48, 61.959999, 87300, 61.959999, 0, 1, 62.1399995, -999
20161102, 62.66, 62.66, 61.400002, 62.139999, 196500, 62.139999, 0, 1, 62.3999995, -999
20161101, 62.389999, 62.759998, 61.790001, 62.490002, 131900, 62.490002, 0, 1, 62.4400005, -999
20161031, 62.880001, 62.880001, 61.599998, 62.380001, 171500, 62.380001, 0, 1, 62.630001, -999
20161028, 65.550003, 65.550003, 62.529999, 62.869999, 399400, 62.869999, 0, 1, 64.210001, -999
20161027, 69.699997, 69.860001, 67.18, 67.760002, 140000, 67.760002, 0, 1, 68.7299995, -999
20161026, 69.110001, 70.050003, 69.110001, 69.610001, 95400, 69.610001, 0, 1, 69.360001, -999
20161025, 70.669998, 70.669998, 68.879997, 69.629997, 74500, 69.629997, 0, 1, 70.1499975, -999
20161024, 69.730003, 71.160004, 68.650002, 70.779999, 90200, 70.779999, 0, 1, 70.255001, -999
20161021, 68.32, 69.57, 67.160004, 69.519997, 59700, 69.519997, 0, 1, 68.9199985, -999
