Ticker: SYMC  Created on: 2/13/2017 1:33:18 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 29.08, 29.26, 28.940001, 29.02, 4196600, 29.02, 0, 1, 29.05, -999
20170209, 28.620001, 29.139999, 28.52, 28.99, 6465400, 28.99, 0, 1, 28.8050005, -999
20170208, 28.4, 28.709999, 28.280001, 28.610001, 5680400, 28.610001, 0, 1, 28.5050005, -999
20170207, 28.34, 28.6, 28.16, 28.440001, 5403800, 28.440001, 0, 1, 28.3900005, -999
20170206, 28.370001, 28.459999, 28.120001, 28.26, 7368200, 28.26, 0, 1, 28.3150005, -999
20170203, 27.870001, 28.52, 27.67, 28.41, 6990600, 28.41, 0, 1, 28.1400005, -999
20170202, 26.620001, 27.84, 26.440001, 27.76, 15951900, 27.76, 0, 1, 27.1900005, -999
20170201, 27.65, 27.700001, 26.959999, 27.25, 12301000, 27.25, 0, 1, 27.45, -999
20170131, 27.120001, 27.559999, 27, 27.549999, 9917700, 27.549999, 0, 1, 27.335, -999
20170130, 27.34, 27.4, 27.049999, 27.27, 5012200, 27.27, 0, 1, 27.305, -999
20170127, 27.290001, 27.41, 27.129999, 27.35, 6373100, 27.35, 0, 1, 27.3200005, -999
20170126, 27.309999, 27.43, 27.049999, 27.209999, 8121400, 27.209999, 0, 1, 27.259999, -999
20170125, 27.43, 27.629999, 27.190001, 27.26, 16575300, 27.26, 0, 1, 27.345, -999
20170124, 26.75, 27.459999, 26.75, 27.35, 6056800, 27.35, 0, 1, 27.05, -999
20170123, 26.65, 26.83, 26.559999, 26.76, 5422700, 26.76, 0, 1, 26.705, -999
20170120, 26.700001, 26.83, 26.57, 26.65, 5576200, 26.65, 0, 1, 26.6750005, -999
20170119, 26.450001, 26.68, 26.379999, 26.559999, 7631600, 26.559999, 0, 1, 26.505, -999
20170118, 26.25, 26.690001, 26.209999, 26.41, 9641700, 26.41, 0, 1, 26.33, -999
20170117, 26.07, 26.23, 25.790001, 26.200001, 6597500, 26.200001, 0, 1, 26.1350005, -999
20170113, 25.709999, 26.18, 25.639999, 26.139999, 5101700, 26.139999, 0, 1, 25.924999, -999
20170112, 25.379999, 25.73, 25.200001, 25.700001, 4598000, 25.700001, 0, 1, 25.54, -999
20170111, 25.1, 25.5, 25.049999, 25.469999, 3918400, 25.469999, 0, 1, 25.2849995, -999
20170110, 25.040001, 25.25, 24.93, 25.129999, 3853200, 25.129999, 0, 1, 25.085, -999
20170109, 25.07, 25.1, 24.959999, 24.99, 4309000, 24.99, 0, 1, 25.03, -999
20170106, 24.65, 25.059999, 24.549999, 25.01, 6615400, 25.01, 0, 1, 24.83, -999
20170105, 24.200001, 24.719999, 24.139999, 24.65, 7463200, 24.65, 0, 1, 24.4250005, -999
20170104, 24.08, 24.4, 23.940001, 24.219999, 5495600, 24.219999, 0, 1, 24.1499995, -999
20170103, 23.940001, 24.059999, 23.77, 24.01, 6160500, 24.01, 0, 1, 23.9750005, -999
20161230, 24.23, 24.370001, 23.82, 23.889999, 3746200, 23.889999, 0, 1, 24.0599995, -999
20161229, 24.09, 24.33, 24.059999, 24.23, 3071300, 24.23, 0, 1, 24.16, -999
20161228, 24.469999, 24.469999, 24.09, 24.15, 2715400, 24.15, 0, 1, 24.3099995, -999
20161227, 24.200001, 24.51, 24.09, 24.360001, 4184100, 24.360001, 0, 1, 24.280001, -999
20161223, 24.1, 24.24, 24, 24.139999, 3387400, 24.139999, 0, 1, 24.1199995, -999
20161222, 24.24, 24.26, 24.01, 24.110001, 3664200, 24.110001, 0, 1, 24.1750005, -999
20161221, 24.18, 24.360001, 24.049999, 24.25, 2456900, 24.25, 0, 1, 24.215, -999
20161220, 24.209999, 24.459999, 24.1, 24.15, 3853400, 24.15, 0, 1, 24.1799995, -999
20161219, 24.07, 24.25, 23.950001, 24.219999, 4623400, 24.219999, 0, 1, 24.1449995, -999
20161216, 24.870001, 24.889999, 23.950001, 24.08, 10382700, 24.08, 0, 1, 24.4750005, -999
20161215, 24.639999, 24.940001, 24.450001, 24.799999, 7206400, 24.799999, 0, 1, 24.719999, -999
20161214, 24.950001, 25.049999, 24.75, 24.84, 6980800, 24.84, 0, 1, 24.8950005, -999
20161213, 24.82, 25.110001, 24.76, 24.91, 4812200, 24.91, 0, 1, 24.865, -999
20161212, 24.82, 24.93, 24.68, 24.700001, 6064600, 24.700001, 0, 1, 24.7600005, -999
20161209, 24.59, 24.870001, 24.48, 24.82, 9532800, 24.82, 0, 1, 24.705, -999
20161208, 24.469999, 24.719999, 24.290001, 24.559999, 6467500, 24.559999, 0, 1, 24.514999, -999
20161207, 24.129999, 24.610001, 23.870001, 24.440001, 9670000, 24.440001, 0, 1, 24.285, -999
20161206, 24.27, 24.360001, 23.959999, 24.200001, 11035800, 24.200001, 0, 1, 24.2350005, -999
20161205, 23.709999, 24.360001, 23.59, 24.35, 9090400, 24.35, 0, 1, 24.0299995, -999
20161202, 23.700001, 23.889999, 23.34, 23.51, 8981200, 23.51, 0, 1, 23.6050005, -999
20161201, 24.360001, 24.389999, 23.5, 23.76, 10150800, 23.76, 0, 1, 24.0600005, -999
20161130, 24.360001, 24.709999, 24.25, 24.389999, 9624900, 24.389999, 0, 1, 24.375, -999
20161129, 24.43, 24.639999, 24.24, 24.32, 7357100, 24.32, 0, 1, 24.375, -999
20161128, 24.780001, 24.83, 24.23, 24.4, 8070600, 24.4, 0, 1, 24.5900005, -999
20161125, 24.799999, 24.98, 24.540001, 24.82, 3645600, 24.82, 0, 1, 24.8099995, -999
20161123, 25.059999, 25.549999, 24.719999, 24.85, 10960300, 24.85, 0, 1, 24.9549995, -999
20161122, 24.5, 25.16, 24.440001, 25.110001, 13273300, 25.110001, 0, 1, 24.8050005, -999
20161121, 23.85, 24.99, 23.200001, 24.52, 25801000, 24.52, 0, 1, 24.185, -999
20161118, 23.93, 23.98, 23.559999, 23.75, 6648600, 23.75, 0, 1, 23.84, -999
20161117, 23.889999, 23.940001, 23.6, 23.83, 9184100, 23.83, 0, 1, 23.8599995, -999
20161116, 24.219999, 24.26, 23.68, 23.9, 12912500, 23.825, 0, 1, 24.0224995, -999
20161115, 24.719999, 24.719999, 24.219999, 24.219999, 9144700, 24.143995, 0, 1, 24.431997, -999
20161114, 25.049999, 25.07, 24.610001, 24.629999, 10882800, 24.552709, 0, 1, 24.801354, -999
20161111, 24.889999, 25.110001, 24.84, 25, 12334600, 24.921548, 0, 1, 24.9057735, -999
20161110, 24.92, 25.360001, 24.9, 25.049999, 11951800, 24.971391, 0, 1, 24.9456955, -999
20161109, 23.27, 25.139999, 23.25, 24.84, 9624200, 24.762051, 0, 1, 24.0160255, -999
20161108, 24.4, 24.709999, 24.190001, 24.709999, 8529400, 24.632457, 0, 1, 24.5162285, -999
20161107, 24.129999, 24.48, 23.889999, 24.4, 11674000, 24.323431, 0, 1, 24.226715, -999
20161104, 23.26, 25.07, 22.76, 23.49, 24774900, 23.416287, 0, 1, 23.3381435, -999
20161103, 25.25, 25.469999, 25.120001, 25.450001, 12643500, 25.370137, 0, 1, 25.3100685, -999
20161102, 25.23, 25.379999, 25.120001, 25.23, 12137900, 25.150826, 0, 1, 25.190413, -999
20161101, 25.129999, 25.33, 24.940001, 25.219999, 8693100, 25.140857, 0, 1, 25.135428, -999
20161031, 25.030001, 25.18, 24.969999, 25.030001, 6056100, 24.951455, 0, 1, 24.990728, -999
20161028, 24.629999, 25.02, 24.629999, 24.879999, 6069200, 24.801924, 0, 1, 24.7159615, -999
20161027, 25.139999, 25.190001, 24.9, 24.93, 7365300, 24.851768, 0, 1, 24.9958835, -999
20161026, 24.85, 25.17, 24.82, 25.030001, 8319600, 24.951455, 0, 1, 24.9007275, -999
20161025, 24.790001, 25.030001, 24.790001, 24.99, 8325600, 24.91158, 0, 1, 24.8507905, -999
20161024, 24.18, 24.950001, 24.18, 24.9, 8597500, 24.821862, 0, 1, 24.500931, -999
20161021, 24.219999, 24.24, 24.02, 24.08, 5837300, 24.004435, 0, 1, 24.112217, -999
20161020, 24.15, 24.360001, 24.07, 24.200001, 4182800, 24.12406, 0, 1, 24.13703, -999
20161019, 24.23, 24.26, 24.01, 24.23, 5390000, 24.153964, 0, 1, 24.191982, -999
20161018, 24.43, 24.549999, 24.059999, 24.219999, 8454900, 24.143995, 0, 1, 24.2869975, -999
20161017, 24.110001, 24.389999, 24.1, 24.190001, 5654600, 24.114091, 0, 1, 24.112046, -999
20161014, 24.41, 24.57, 24.02, 24.09, 7901300, 24.014404, 0, 1, 24.212202, -999
20161013, 24.879999, 24.879999, 24.030001, 24.280001, 11881800, 24.203808, 0, 1, 24.5419035, -999
20161012, 24.74, 25.120001, 24.67, 24.940001, 7724900, 24.861737, 0, 1, 24.8008685, -999
